str_no_string|PRÁZDNÝ STRING!
str_mp_countryside|Venkov (Den)
str_mp_countryside_fog|Venkov (Mlha)
str_mp_dust|Planina (Den)
str_mp_dust_morning|Planina (Ráno)
str_mp_european_city_summer|Evropské město (Léto)
str_mp_european_city_winter|Evropské město (Zima)
str_mp_floodplain|Mokřad (Den)
str_mp_floodplain_storm|Mokřad (Bouře)
str_mp_forest_pallisade|Lesní palisáda (Den)
str_mp_forest_pallisade_fog|Lesní palisáda (Mlha)
str_mp_fort_al_hafya|Pevnost Al Hafya (Den)
str_mp_fort_al_hafya_night|Pevnost Al Hafya (Noc)
str_mp_fort_bashir|Pevnost Bašír (Den)
str_mp_fort_bashir_morning|Pevnost Bašír (Ráno)
str_mp_fort_beaver|Pevnost Fausbourg (Den)
str_mp_fort_beaver_morning|Pevnost Fausbourg (Ráno)
str_mp_fort_boyd|Pevnost Boyd (Den)
str_mp_fort_boyd_raining|Pevnost Boyd (Déšť)
str_mp_fort_brochet|Pevnost Brochet (Den)
str_mp_fort_brochet_raining|Pevnost Brochet (Déšť)
str_mp_fort_de_chartres|Pevnost de Chartres (Den)
str_mp_fort_de_chartres_raining|Pevnost de Chartres (Déšť)
str_mp_fort_fleetwood|Pevnost Fleetwood (Ráno)
str_mp_fort_fleetwood_storm|Pevnost Fleetwood (Bouře)
str_mp_fort_george|Pevnost George (Den)
str_mp_fort_george_raining|Pevnost George (Déšť)
str_mp_fort_hohenfels|Pevnost Hohenfels (Den)
str_mp_fort_hohenfels_night|Pevnost Hohenfels (Noc)
str_mp_fort_lyon|Pevnost Lyon (Den)
str_mp_fort_lyon_night|Pevnost Lyon (Noc)
str_mp_fort_mackinaw|Pevnost Mackinaw (Den)
str_mp_fort_mackinaw_raining|Pevnost Mackinaw (Déšť)
str_mp_fort_nylas|Pevnost Nylas (Den)
str_mp_fort_nylas_raining|Pevnost Nylas (Déšť)
str_mp_fort_refleax|Pevnost Willsbridge (Den)
str_mp_fort_refleax_night|Pevnost Willsbridge (Noc)
str_mp_fort_vincey|Pevnost Whittington (Den)
str_mp_fort_vincey_storm|Pevnost Whittington (Bouře)
str_mp_french_farm|Francouzský statek (Den)
str_mp_french_farm_storm|Francouzský statek (Bouře)
str_mp_german_village|Německá vesnice (Ráno)
str_mp_german_village_rain|Německá vesnice (Bouře)
str_mp_hougoumont|Hougoumont (Den)
str_mp_hougoumont_night|Hougoumont (Noc)
str_mp_hungarian_plains|Uherská pláň (Den)
str_mp_hungarian_plains_cloud|Uherská pláň (Oblačno)
str_mp_theisland|Ostrov (Den)
str_mp_la_haye_sainte|La Haye Sainte (Den)
str_mp_la_haye_sainte_night|La Haye Sainte (Noc)
str_mp_landshut|Landshut (Den)
str_mp_landshut_night|Landshut (Noc)
str_mp_minden|Minden (Den)
str_mp_minden_night|Minden (Ráno)
str_mp_naval|Námořní bitva (Den)
str_mp_oaksfield_day|Oaksfield (Den)
str_mp_oaksfield_storm|Oaksfield (Bouře)
str_mp_outlaws_den|Doupě banditů (Den)
str_mp_outlaws_den_night|Doupě banditů (Noc)
str_mp_quatre_bras|Quatre Bras (Den)
str_mp_quatre_bras_night|Quatre Bras (Noc)
str_mp_river_crossing|Brod (Den)
str_mp_river_crossing_morning|Brod (Ráno)
str_mp_roxburgh|Roxburgh (Den)
str_mp_roxburgh_raining|Roxburgh (Déšť)
str_mp_russian_river_day|Ruská řeka (Den)
str_mp_russian_river_cloudy|Ruská řeka (Déšť)
str_mp_russian_village|Ruská vesnice (Snow)
str_mp_russian_village_fog|Ruská vesnice (Mlha)
str_mp_russian_village_conq|Ruské město (Mlha)
str_mp_russian_village_conq_night|Ruské město (Noc)
str_mp_saints_isle|Îles des Saintes (Den)
str_mp_saints_isle_rain|Îles des Saintes (Rain)
str_mp_schemmerbach|Schemmerbach (Den)
str_mp_schemmerbach_storm|Schemmerbach (Bouře)
str_mp_siege_of_toulon|Obléhání Toulon (Den)
str_mp_siege_of_toulon_night|Obléhání Toulon (Noc)
str_mp_sjotofta|Sjotofta (Den)
str_mp_sjotofta_night|Sjotofta (Noc)
str_mp_slovenian_village|Slovinská vesnice (Den)
str_mp_slovenian_village_raining|Slovinská vesnice (Déšť)
str_mp_spanish_farm|Španělská usedlost (Den)
str_mp_spanish_farm_rain|Španělská usedlost (Déšť)
str_mp_spanish_mountain_pass|Španělský průsmyk (Den)
str_mp_spanish_mountain_pass_evening|Španělský průsmyk (Večer)
str_mp_spanish_village|Španělská vesnice (Den)
str_mp_spanish_village_evening|Španělská vesnice (Večer)
str_mp_strangefields|Strangefields (Mlha)
str_mp_strangefields_storm|Strangefields (Bouře)
str_mp_swamp|Močál u Siegburgeru (Mlha)
str_mp_venice|Benátky (Den)
str_mp_venice_morning|Benátky (Ráno)
str_mp_walloon_farm|Valonský statek (Den)
str_mp_walloon_farm_night|Valonský statek (Noc)
str_mp_testing_map|Testovací mapa
str_random_multi_plain_medium|Bezejmenné planiny (Střední)
str_random_multi_plain_large|Bezejmenné planiny (Velká)
str_random_multi_plain_medium_rain|Bezejmenné planiny (Střední) Déšť
str_random_multi_plain_large_rain|Bezejmenné planiny (Velká) Déšť
str_random_multi_steppe_medium|Bezejmenná step (Střední)
str_random_multi_steppe_large|Bezejmenná step (Velká)
str_random_multi_steppe_forest_medium|Bezejmenný stepní háj (Střední)
str_random_multi_steppe_forest_large|Bezejmenný stepní háj (Velká)
str_random_multi_snow_medium|Sněžná bitva (Střední)
str_random_multi_snow_medium_snow|Sněžná bitva (Střední) Sněžení
str_random_multi_snow_large|Sněžná bitva (Velká)
str_random_multi_snow_large_snow|Sněžná bitva (Velká) Sněžení
str_random_multi_snow_forest_medium|Sněžná bitva v lese (Střední)
str_random_multi_snow_forest_medium_snow|Sněžná bitva v lese (Střední) Sněžení
str_random_multi_snow_forest_large|Sněžná bitva v lese (Velká)
str_random_multi_snow_forest_large_snow|Sněžná bitva v lese (Velká) Sněžení
str_random_multi_desert_medium|Pouštní bitva (Střední)
str_random_multi_desert_large|Pouštní bitva (Velká)
str_random_multi_desert_forest_medium|Pouštní háj (Střední)
str_random_multi_desert_forest_large|Pouštní háj (Velká)
str_random_multi_forest_medium|Bitva v lese (Střední)
str_random_multi_forest_medium_rain|Bitva v lese (Střední) Déšť
str_random_multi_forest_large|Bitva v lese (Velká)
str_random_multi_forest_large_rain|Bitva v lese (Velká) Déšť
str_mp_custom_map_1|upravená mapa 1
str_mp_custom_map_2|upravená mapa 2
str_mp_custom_map_3|upravená mapa 3
str_mp_custom_map_4|upravená mapa 4
str_mp_custom_map_5|upravená mapa 5
str_mp_custom_map_6|upravená mapa 6
str_mp_custom_map_7|upravená mapa 7
str_mp_custom_map_8|upravená mapa 8
str_mp_custom_map_9|upravená mapa 9
str_mp_custom_map_10|upravená mapa 10
str_mp_custom_map_11|upravená mapa 11
str_mp_custom_map_12|upravená mapa 12
str_mp_custom_map_13|upravená mapa 13
str_mp_custom_map_14|upravená mapa 14
str_mp_custom_map_15|upravená mapa 15
str_mp_custom_map_16|upravená mapa 16
str_mp_custom_map_17|upravená mapa 17
str_mp_custom_map_18|upravená mapa 18
str_mp_custom_map_19|upravená mapa 19
str_mp_custom_map_20|upravená mapa 20
str_mp_custom_map_21|upravená mapa 21
str_mp_custom_map_22|upravená mapa 22
str_mp_custom_map_23|upravená mapa 23
str_mp_custom_map_24|upravená mapa 24
str_mp_custom_map_25|upravená mapa 25
str_mp_custom_map_26|upravená mapa 26
str_mp_custom_map_27|upravená mapa 27
str_mp_custom_map_28|upravená mapa 28
str_mp_custom_map_29|upravená mapa 29
str_mp_custom_map_30|upravená mapa 30
str_mp_custom_map_31|upravená mapa 31
str_mp_custom_map_32|upravená mapa 32
str_mp_custom_map_33|upravená mapa 33
str_mp_custom_map_34|upravená mapa 34
str_mp_custom_map_35|upravená mapa 35
str_mp_custom_map_36|upravená mapa 36
str_mp_custom_map_37|upravená mapa 37
str_mp_custom_map_38|upravená mapa 38
str_mp_custom_map_39|upravená mapa 39
str_mp_custom_map_40|upravená mapa 40
str_mp_custom_map_41|upravená mapa 41
str_mp_custom_map_42|upravená mapa 42
str_mp_custom_map_43|upravená mapa 43
str_mp_custom_map_44|upravená mapa 44
str_mp_custom_map_45|upravená mapa 45
str_mp_custom_map_46|upravená mapa 46
str_mp_custom_map_47|upravená mapa 47
str_mp_custom_map_48|upravená mapa 48
str_mp_custom_map_49|upravená mapa 49
str_mp_custom_map_50|upravená mapa 50
str_mp_custom_map_51|upravená mapa 51
str_mp_custom_map_52|upravená mapa 52
str_mp_custom_map_53|upravená mapa 53
str_mp_custom_map_54|upravená mapa 54
str_mp_custom_map_55|upravená mapa 55
str_mp_custom_map_56|upravená mapa 56
str_mp_custom_map_57|upravená mapa 57
str_mp_custom_map_58|upravená mapa 58
str_mp_custom_map_59|upravená mapa 59
str_mp_custom_map_60|upravená mapa 60
str_mp_custom_map_61|upravená mapa 61
str_mp_custom_map_62|upravená mapa 62
str_mp_custom_map_63|upravená mapa 63
str_mp_custom_map_64|upravená mapa 64
str_mp_custom_map_65|upravená mapa 65
str_mp_custom_map_66|upravená mapa 66
str_mp_custom_map_67|upravená mapa 67
str_mp_custom_map_68|upravená mapa 68
str_mp_custom_map_69|upravená mapa 69
str_mp_custom_map_70|upravená mapa 70
str_mp_custom_map_71|upravená mapa 71
str_mp_custom_map_72|upravená mapa 72
str_mp_custom_map_73|upravená mapa 73
str_mp_custom_map_74|upravená mapa 74
str_mp_custom_map_75|upravená mapa 75
str_mp_custom_map_76|upravená mapa 76
str_mp_custom_map_77|upravená mapa 77
str_mp_custom_map_78|upravená mapa 78
str_mp_custom_map_79|upravená mapa 79
str_mp_custom_map_80|upravená mapa 80
str_mp_custom_map_81|upravená mapa 81
str_mp_custom_map_82|upravená mapa 82
str_mp_custom_map_83|upravená mapa 83
str_mp_custom_map_84|upravená mapa 84
str_mp_custom_map_85|upravená mapa 85
str_mp_custom_map_86|upravená mapa 86
str_mp_custom_map_87|upravená mapa 87
str_mp_custom_map_88|upravená mapa 88
str_mp_custom_map_89|upravená mapa 89
str_mp_custom_map_90|upravená mapa 90
str_mp_custom_map_91|upravená mapa 91
str_mp_custom_map_92|upravená mapa 92
str_mp_custom_map_93|upravená mapa 93
str_mp_custom_map_94|upravená mapa 94
str_mp_custom_map_95|upravená mapa 95
str_mp_custom_map_96|upravená mapa 96
str_mp_custom_map_97|upravená mapa 97
str_mp_custom_map_98|upravená mapa 98
str_mp_custom_map_99|upravená mapa 99
str_mp_custom_map_100|upravená mapa 100
str_multi_scene_end|konec scénáře více hráčů
str_multi_game_type_1|Deathmatch
str_multi_game_type_2|Týmový deathmatch
str_multi_game_type_3|Bitva
str_multi_game_type_5|Obsazení vlajky
str_multi_game_type_6|Dobývání
str_multi_game_type_7|Obléhání
str_multi_game_type_8|Duel
str_multi_game_type_9|Střetnutí maršálů
str_multi_game_type_10|Vládce kopce
str_multi_game_type_12|Úprava scény
str_multi_game_types_end|typy hry více hráčů konec
str_multi_game_type_11|Úprava scény
str_poll_kick_player_s1_by_s0|{s0} zahajuje hlasování o vyloučení hráče {s1}.
str_poll_ban_player_s1_by_s0|{s0} zahajuje hlasování o zákazu vstupu pro hráče {s1}.
str_poll_change_map_to_s1_by_s0|{s0} zahajuje hlasování o mapě {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} zahajuje hlasování o hře na mapě {s1} za strany {s2} a {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} zahajuje hlasování o změně počtu botů na {reg0} a {reg1}.
str_poll_kick_player|Hlasování o vyloučení hráče {s0}: 1 = Souhlasím, 2 = Nesouhlasím
str_poll_ban_player|Hlasování o zákazu pro hráče {s0}: 1 = Souhlasím, 2 = Nesouhlasím
str_poll_change_map|Hlasování o změně mapy na mapu {s0}: 1 = Souhlasím, 2 = Nesouhlasím
str_poll_change_map_with_faction|Hlasování o změně mapy na mapu {s0} a národů {s1} versus {s2}: 1 = Souhlasím, 2 = Nesouhlasím
str_poll_change_number_of_bots|Hlasování o změně počtu botů na {reg0} pro stranu {s0} a {reg1} pro stranu {s1}: 1 = Souhlasím, 2 = Nesouhlasím
str_poll_time_left|({reg0} s. do konce)
str_poll_result_yes|Většina souhlasí.
str_poll_result_no|Většina nesouhlasí.
str_server_name|Název serveru:
str_game_password|Heslo pro vstup:
str_map|Mapa:
str_game_type|Typ hry:
str_max_number_of_players|Maximální počet hráčů:
str_number_of_bots_in_team_reg1|Maximální počet botů v týmu {reg1}:
str_team_reg1_faction|Tým {reg1} národ:
str_enable_valve_anti_cheat|Povolit Valve Anti-cheat (Vyžaduje platný účet na službě Steam)
str_allow_friendly_fire|Povolit střelbu do vlastních řad
str_allow_melee_friendly_fire|Povolit zranění spolubojovníků 
str_friendly_fire_damage_self_ratio|Zranění hráče vlastní střelbou (%):
str_friendly_fire_damage_friend_ratio|Zranění spoluhráčů vlastní střelbou (%):
str_spectator_camera|Pozorovatel:
str_control_block_direction|Ovládání směru obrany:
str_map_time_limit|Časový limit mapy (minuty):
str_round_time_limit|Časový limit mapy (vteřiny):
str_players_take_control_of_a_bot_after_death|Po smrti přepnout na bota:
str_team_points_limit|Bodový limit na tým:
str_point_gained_from_flags|Bodový zisk týmu za obsazení vlajek (%):
str_point_gained_from_capturing_flag|Bodů za obsazení vlajek:
str_respawn_period|Doba oživení (vteřiny):
str_add_to_official_game_servers_list|Přidat na seznam oficiálních serverů
str_combat_speed|Rychlost boje:
str_combat_speed_0|Nejpomalejší
str_combat_speed_1|Pomalejší
str_combat_speed_2|Střední
str_combat_speed_3|Rychlejší
str_combat_speed_4|Nejrychlejší
str_off|Vyp.
str_on|Zap.
str_defender_spawn_count_limit|Počet životů obránců:
str_unlimited|Neomezený
str_automatic|Automatický
str_by_mouse_movement|Pohybem myši
str_free|Volný
str_stick_to_any_player|Uzamknout na hráči
str_stick_to_team_members|Uzamknout na spoluhráčích
str_stick_to_team_members_view|Uzamknout na pohledu spoluhráče
str_make_factions_voteable|Povolit změnu národů hlasováním
str_make_kick_voteable|Povolit vyloučení hráčů hlasováním
str_make_ban_voteable|Povolit zákaz vstupu pro hráče hlasováním
str_bots_upper_limit_for_votes|Limit počtu botů při hlasování:
str_make_maps_voteable|Povolit změnu mapy hlasováním
str_valid_vote_ratio|Hranice pro platnost hlasování (%):
str_auto_team_balance_limit|Hranice pro automatické vyrovnání týmů (růz.):
str_welcome_message|Uvítací zpráva:
str_initial_gold_multiplier|Počáteční množství zlatých (%):
str_battle_earnings_multiplier|Bonus zlatých za bitvu (%):
str_round_earnings_multiplier|Bonus zlatých za kolo (%):
str_allow_player_banners|Povolit vlastní prapory
str_force_default_armor|Vynutit nejslabší brnění
str_respawning_in_reg0_seconds|Oživení za {reg0} s...
str_no_more_respawns_remained_this_round|Životy pro toto kolo vyčerpány.
str_reg0_respawns_remained|({reg0} oživení zbývá)
str_this_is_your_last_respawn|(Tvůj poslední život)
str_wait_next_round|(Čekej na další kolo)
str_yes_wo_dot|Ano
str_no_wo_dot|Ne
str_s1_returned_flag|{s1} vrací vlajku do ležení svého týmu!
str_s1_auto_returned_flag|{s1} vlajka automaticky vrácena do ležení týmu!
str_s1_captured_flag|{s1} obsazuje nepřátelskou vlajku!
str_s1_taken_flag|{s1} odnáší nepřátelskou vlajku!
str_s1_neutralized_flag_reg0|{s1} ztrácí {s0}.
str_s1_captured_flag_reg0|{s1} obsazuje {s0}!
str_s1_pulling_flag_reg0|{s1} začíná obsazovat {s0}.
str_s1_defended_castle|{s1} úspěšně brání svou pevnost!
str_s1_captured_castle|{s1} obsazuje pevnost!
str_auto_team_balance_in_20_seconds|Týmy budou automaticky vyrovnány za 30 vteřin.
str_auto_team_balance_next_round|Týmy budou automaticky vyrovnány v příštím kole.
str_auto_team_balance_done|Týmy byly automaticky vyrovnány.
str_s1_won_round|{s1} vítězí v tomto kole!
str_round_draw|Čas vypršel. Remíza.
str_round_draw_no_one_remained|Nikdo nepřežil. Remíza.
str_reset_to_default|Výchozí nastavení
str_done|Hotovo
str_player_name|Jméno hráče
str_kills|Zabito
str_deaths|Úmrtí
str_ping|Ping
str_dead|Mrtvý
str_reg0_dead|{reg0} Mrtvý
str_bots_reg0_agents|Boti ({reg0} agentů)
str_bot_1_agent|Bot (1 agent)
str_score|Skóre
str_score_reg0|Skóre: {reg0}
str_flags_reg0|(Vlajky: {reg0})
str_reg0_players|({reg0} hráčů,  {reg40} žije,  {reg41} padlo)
str_reg0_player|({reg0} hráč,  {reg40} žije,  {reg41} padl)
str_reg0_alive|{reg0} žije
str_reg0_player_only|{reg0} hráč
str_reg0_players_only|{reg0} hráči
str_reg0_spectator|{reg0} pozorovatel
str_reg0_spectators|{reg0} pozorovatelé
str_open_gate|Otevřít bránu
str_close_gate|Zavřít bránu
str_open_door|Otevřít dveře
str_close_door|Zavřít dveře
str_raise_ladder|Vztyčit žebřík
str_drop_ladder|Položit žebřík
str_back|Zpět
str_start_map|Spustit mapu
str_choose_an_option|Vybrat možnost:
str_choose_a_poll_type|Vybrat typ hlasování:
str_choose_faction|Výběr národa
str_choose_a_faction|Vybrat národ:
str_choose_troop|Výběr vlajky
str_choose_a_troop|Výběr regimentu:
str_choose_items|Výběr vojáka
str_choose_an_item|Vybrat hodnost:
str_options|Nastavení
str_redefine_keys|Přenastavit klávesy
str_submit_a_poll|Spustit hlasování
str_show_game_rules|Zobrazit pravidla hry
str_administrator_panel|Nastavení administrátora
str_kick_player|Vyloučit hráče
str_ban_player|Trvale zakázat přístup
str_mute_player|Ztlumit hráče
str_unmute_player|Zesílit hráče
str_quit|Konec
str_poll_for_changing_the_map|Změnit mapu
str_poll_for_changing_the_map_and_factions|Změnit mapu a národy
str_poll_for_changing_number_of_bots|Změnit počet botů v týmech
str_poll_for_kicking_a_player|Vyloučit hráče
str_poll_for_banning_a_player|Zakázat hráči vstup
str_choose_a_player|Vybrat hráče:
str_choose_a_map|Vybrat mapu:
str_choose_a_faction_for_team_reg0|Vybrat národ pro tým {reg0}:
str_choose_number_of_bots_for_team_reg0|Nastavit počet botů pro tým {reg0}:
str_spectator|Pozorovatel
str_spectators|Pozorovatelé
str_score_2|Skóre
str_command|Příkaz:
str_profile_banner_selection_text|Vyber si svůj prapor:
str_use_default_banner|Použít národní prapor
str_player_name_s1|- {s1}
str_space| 
str_us_|My 
str_allies_|Spojenci 
str_enemies_|Nepřátelé 
str_routed|Rozehnáni
str_maximum_seconds_for_round_is_reg0|Vteřinový limit na kolo je {reg0}.
str_respawn_period_is_reg0_seconds|Doba oživení je {reg0} s.
str_bots_upper_limit_for_votes_is_reg0|Maximální počet botů při hlasování je {reg0}.
str_map_is_voteable|O mapě lze hlasovat.
str_map_is_not_voteable|O mapě nelze hlasovat.
str_factions_are_voteable|O národech lze hlasovat.
str_factions_are_not_voteable|O národech nelze hlasovat.
str_players_respawn_as_bot|Hráči se oživují jako boti.
str_players_do_not_respawn_as_bot|Hráči se neoživují jako boti.
str_kicking_a_player_is_voteable|O vyloučení hráče lze hlasovat.
str_kicking_a_player_is_not_voteable|O vyloučení hráče nelze hlasovat.
str_banning_a_player_is_voteable|O zákazu pro hráče lze hlasovat.
str_banning_a_player_is_not_voteable|O zákazu pro hráče nelze hlasovat.
str_player_banners_are_allowed|Vlastní prapory jsou povoleny.
str_player_banners_are_not_allowed|Vlastní prapory nejsou povoleny.
str_default_armor_is_forced|Vynucení základního brnění.
str_default_armor_is_not_forced|Základní brnění se nevynucuje.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Procento kladných hlasů pro přijetí hlasování je {reg0}%.
str_auto_team_balance_threshold_is_reg0|Limit pro automatické vyvážení týmů je {reg0}.
str_starting_gold_ratio_is_reg0|Výchozí poměr zlatých je {reg0}%.
str_combat_gold_bonus_ratio_is_reg0|Válečný bonus ve zlatých je {reg0}%.
str_round_gold_bonus_ratio_is_reg0|Bonus za kolo ve zlatých je {reg0}%.
str_point_gained_from_flags_is_reg0|Počet bodů pro tým za vlajky je {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Počet bodů za obsazení vlajek je {reg0}%.
str_map_time_limit_is_reg0|Časový limit mapy je {reg0} min.
str_team_points_limit_is_reg0|Bodový limit na tým je {reg0}.
str_defender_spawn_count_limit_is_s1|Počet oživení obránců je {s1}.
str_system_error|CHYBA SYSTÉMU!
str_routed_2|Rozdrcen
str_s42|{s42}
str_you|ty
str_we|my
str_quick_battle_french_farm|Francouzský statek
str_quick_battle_landshut|Landshut
str_quick_battle_river_crossing|Brod
str_quick_battle_spanish_village|Španělská vesnice
str_quick_battle_strangefields|Strangefields
str_quick_battle_scene_1|Kopce
str_quick_battle_scene_2|Zasněžená pláň
str_quick_battle_scene_3|Lesy
str_quick_battle_scene_4|Step
str_quick_battle_scene_6|Poušť
str_map_basic|Mapa
str_game_type_basic|Typ hry
str_battle|Bitva
str_character|Postava
str_player|Hráč
str_enemy|Nepřítel
str_faction|Národ
str_start|Start
str_custom_battle|Vlastní bitva
str_plus|+
str_minus|-
str_server_name_s0|Název serveru: {s0}
str_map_name_s0|Název mapy: {s0}
str_game_type_s0|Typ hry: {s0}
str_remaining_time_s0reg0_s1reg1|Zbývající čas: {s0}{reg0}:{s1}{reg1}
str_a_duel_request_is_sent_to_s0|Výzva k duelu zaslána hráči {s0}.
str_s0_offers_a_duel_with_you|{s0} tě vyzývá k duelu.
str_your_duel_with_s0_is_cancelled|Tvůj duel s hráčem {s0} byl zrušen.
str_a_duel_between_you_and_s0_will_start_in_3_seconds|Tvůj duel s hráčem {s0} začne za 3 vteřiny.
str_you_have_lost_a_duel|Duel prohráváš.
str_you_have_won_a_duel|V duelu vítězíš!
str_server_s0|[SERVER]: {s0}
str_disallow_ranged_weapons|Zakázat palné zbraně.
str_ranged_weapons_are_disallowed|Palné zbraně jsou zakázány.
str_ranged_weapons_are_allowed|Palné zbraně jsou povoleny.
str_duel_starts_in_reg0_seconds|Duel začne za {reg0} s...
str_true|Pravda
str_false|Nepravda
str_teamkilled_s1_s2|{s1} zabíjí spoluhráče {s2}.
str_kick_server_kills_first_s1_reg5|Hráč {s1} je vyloučen za {reg5} zabití spoluhráčů, poprvé.
str_kick_server_kills_second_s1_reg5|Hráč {s1} je vyloučen za {reg5} zabití spoluhráčů, podruhé.
str_ban_server_kills_s1_reg5|{s1} má zakázaný přístup za {reg5} nebo více zabití spoluhráčů.
str_warning_message_first_reg5|V tomto kole již padlo tvou rukou {reg5} spoluhráčů, dávej pozor!
str_warning_message_second_reg5|V tomto kole již padlo tvou rukou {reg5} spoluhráčů, dávej pozor. Příště tě čeká vyloučení!
str_kick_to_message_first|Vylučujeme tě ze hry za časté zabíjení spoluhráčů, dávej si pozor!
str_kick_to_message_second|Vylučujeme tě ze hry za časté zabíjení spoluhráčů, dávej si pozor! Příště tě čeká zákaz vstupu!
str_ban_to_message|Zakazujeme ti vstup z důvodu častého zabíjení spoluhráčů. Sbohem!
str_auto_kick_message_s1|Hráč {s1} je aututomaticky vyloučen za časté zabíjení spoluhráčů.
str_auto_ban_message_s1|Hráči {s1} je automaticky zakázán přístup za časté zabíjení spoluhráčů.
str_server_hq_base_retake_s1|{s1} obsazuje zpět své ležení!!
str_server_hq_base_attack_s1|{s1} brání ležení před útokem!!
str_player_left_server_s1_reg13|Hráč {s1} opustil hru s ID: {reg13}
str_push_cannon|Tlačit dělo
str_fire_cannon|Vypálit z děla
str_aim_cannon|Obsadit
str_unlimber_cannon|Odpřáhnout dělo
str_limber_cannon|Zapřáhnout dělo
str_load_cartridge|Nabít
str_load_bomb|Nabít granát
str_load_rocket|Nabít raketu
str_reload_cannon|Přebít dělo
str_pick_up_round|Sebrat kouli
str_pick_up_shell|Sebrat granát (výbušný)
str_pick_up_canister|Sebrat kartáčovou střelu
str_pick_up_bomb|Sebrat granát
str_pick_up_rocket|Sebrat raketomet
str_play_piano|Hrát na piano
str_play_organ|Hrát na varhany
str_take_a_shit|Použít toaletu
str_play_bell|Zazvonit na zvon
str_take_ship_control|Kormidlovat loď
str_cannot_use_piano|Na koni nemůžeš hrát na piano!
str_cannot_use_organ|Na koni nemůžeš hrát na varhany!
str_cannot_use_piano_angle|Stojíš na špatné straně piana.
str_cannot_use_organ_angle|Stojíš na špatné straně varhan.
str_cannot_use_toilet|Na koni nemůžeš použít toaletu!
str_piano_in_use|Na piano již hraje někdo jiný!
str_organ_in_use|Na varhany již hraje někdo jiný!
str_toilet_in_use|Toaletu již někdo používá!
str_cannot_use_cannon|Nepatříš k regimentu dělostřelců, a děla proto nemůžeš používat!
str_cannot_use_rocket|Nepatříš k regimentu raketometčíků, a rakety proto nemůžeš používat!
str_cannon_not_loaded|Dělo není naládované!
str_cannon_already_has_ball|V tomto dělu je již koule naládovaná!
str_cannon_already_loaded|Toto dělo je již naládované!
str_cannot_carry_more_cannon_ammo|Více munice neuneseš!
str_cannon_cannot_load_type|Do tohoto děla nemůžeš naládovat tento typ munice.
str_need_to_have_a_lighter|Ke střelbě z děla potřebuješ zápalník!
str_need_to_have_a_ramrod|K nabití děla potřebuješ nabiják!
str_need_to_have_a_ball|K nabití děla potřebuješ munici!
str_need_to_have_a_horse|K přesunu děla je potřeba koňský potah!
str_horse_already_has_cannon|Tento kůň už dělo táhne!
str_already_to_many_barricades|Tvůj tým již v tomto kole umístil příliš mnoho obranných prvků.
