skl_trade|Obchod
skl_athletics_desc|Zvyšuje bìžeckou rychlost. (Osobní schopnost)
skl_shield|Štít
skl_shield_desc|Snižuje poškození štítu (o 8 %% za každou úroveò této schopnosti) a zvyšuje rychlost se štítem a pokrytí. (Osobní schopnost)
skl_weapon_master|Mistrovství zbranì
skl_weapon_master_desc|Usnadòuje zvládnutí zbraní a zvyšuje limit pro dokonalé zvládnutí zbraní. Limit se stupòuje v tomto poøadí: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Osobní schopnost)
skl_reserved_9|Rezervovaná schopnost 9
skl_reserved_9_desc|Tato schopnost je rezervovaná.
skl_reserved_10|Rezervovaná schopnost 10
skl_reserved_10_desc|Tato schopnost je rezervovaná.
skl_reserved_11|Rezervovaná schopnost 11
skl_reserved_11_desc|Tato schopnost je rezervovaná.
skl_reserved_12|Rezervovaná schopnost 12
skl_reserved_12_desc|Tato schopnost je rezervovaná.
skl_reserved_13|Rezervovaná schopnost 13
skl_reserved_13_desc|Tato schopnost je rezervovaná.
skl_power_draw|Síla k napnutí luku
skl_power_draw_desc|Umožòuje postavì používat silnìjší luky. Každý bod této schopnosti (až po 4 plus potøebná napínací síla luku) zvyšuje ranivý úèinek luku o 14 %%. (Osobní schopnost)
skl_power_throw|Silný hod
skl_power_throw_desc|Každý bod této schopnosti zvyšuje ranivý efekt vrhacích zbraní o 10 %%. (Osobní schopnost)
skl_power_strike|Mocný úder
skl_power_strike_desc|Každý bod této schopnosti zvyšuje ranivý efekt zbraní pro boj zblízka o 8%%. (Osobní schopnost)
skl_ironflesh|Železné svaly
skl_ironflesh_desc|Každý bod této schopnosti zvyšuje poèet bodù zdraví o +2. (Osobní schopnost)
skl_reserved_14|Rezervovaná schopnost 14
skl_reserved_14_desc|Tato schopnost je rezervovaná.
skl_reserved_15|Rezervovaná schopnost 15
skl_reserved_15_desc|Tato schopnost je rezervovaná.
skl_reserved_16|Rezervovaná schopnost 16
skl_reserved_16_desc|Tato schopnost je rezervovaná.
skl_reserved_17|Rezervovaná schopnost 17
skl_reserved_17_desc|Tato schopnost je rezervovaná.
skl_reserved_18|Rezervovaná schopnost 18
skl_reserved_18_desc|Tato schopnost je rezervovaná.
