qstr_Careful...|小 心 ...
qstr_The_Austrians_are_la|奥 地 利 士 兵 发 起 了 一 轮 反 攻 ！ 
qstr_Fight_back_the_Austr|回 击 奥 地 利 士 兵 的 反 攻 ！ 
qstr_The_brigde_is_now_un|这 座 桥 被 法 国 士 兵 牢 牢 控 制 了 。 干 得 不 错 ！ 
qstr_Capture_the_village_|从 俄 罗 斯 人 那 里 夺 取 索 科 尔 尼 兹 村 ！ 
qstr_You_have_captured_th|你 已 经 夺 取 了 这 个 村 子 ， 干 得 太 棒 了 ！ 
qstr_Capture_the_village_o|从 俄 军 那 里 夺 取 索 科 尔 尼 兹 村 
qstr_Hold_the_village_at_|不 惜 一 切 代 价 守 住 村 子 ， 顶 住 俄 军 的 反 击 。 
qstr_Go_to_meet_the_Emper|去 见 皇 帝 陛 下 
qstr_Recapture_the_city_w|从 俄 军 那 里 夺 回 城 墙 。 
qstr_Help_your_allies_dri|帮 助 你 的 盟 友 赶 走 俄 罗 斯 人 。 
qstr_Defend_the_gate_agai|防 守 大 门 ， 抵 挡 俄 罗 斯 人 的 进 攻 。 
qstr_Sally_out_and_rout_t|突 围 ， 击 溃 残 余 的 俄 罗 斯 人 。 
qstr_The_assault_has_been|敌 人 的 进 攻 被 粉 碎 了 ！ 法 国 万 岁 ！ 
qstr_Catch_the_Austrian_c|在 奥 地 利 指 挥 官 到 达 奥 地 利 方 阵 前 活 捉 他 ！ 
qstr_Break_the_Austrian_s|干 掉 他 们 或 者 击 溃 他 们 ， 以 解 决 奥 地 利 方 阵 。 
qstr_Attack_the_lines_gua|攻 击 守 卫 村 子 的 防 线 ， 消 灭 他 们 或 者 击 溃 他 们 。 
qstr_Vive_l_Empereur!_La_|皇 帝 万 岁 ！ 胜 利 属 于 我 们 ！ 
qstr_Talk_to_the_messenge|和 信 使 谈 谈 你 的 下 一 个 任 务 。 
