str_no_string|NO STRING!
str_mp_fort_george_raining|乔 治 堡 （ 下 雨 ） 
str_mp_fort_hohenfels|霍 恩 费 尔 斯 堡 （ 白 天 ） 
str_mp_fort_hohenfels_night|霍 恩 费 尔 斯 堡 （ 夜 晚 ） 
str_mp_fort_lyon|里 昂 堡 （ 白 天 ） 
str_mp_fort_lyon_night|里 昂 堡 （ 夜 晚 ） 
str_mp_fort_mackinaw|马 肯 诺 堡 （ 白 天 ） 
str_mp_fort_mackinaw_raining|马 肯 诺 堡 （ 下 雨 ） 
str_mp_fort_nylas|赖 拉 斯 堡 （ 白 天 ） 
str_mp_fort_nylas_raining|赖 拉 斯 堡 （ 下 雨 ） 
str_mp_fort_refleax|威 尔 斯 桥 堡 （ 白 天 ） 
str_mp_fort_refleax_night|威 尔 斯 桥 堡 （ 夜 晚 ） 
str_mp_fort_vincey|惠 廷 顿 堡 （ 白 天 ） 
str_mp_fort_vincey_storm|惠 廷 顿 堡 （ 暴 风 雨 ） 
str_mp_french_farm|法 国 农 场 （ 白 天 ） 
str_mp_french_farm_storm|法 国 农 场 （ 暴 风 雨 ） 
str_mp_german_village|德 国 村 庄 （ 早 晨 ） 
str_mp_german_village_rain|德 国 村 庄 （ 暴 风 雨 ） 
str_mp_hougoumont|乌 古 蒙 （ 白 天 ） 
str_mp_hougoumont_night|乌 古 蒙 （ 夜 晚 ） 
str_mp_hungarian_plains|匈 牙 利 平 原 （ 白 天 ） 
str_mp_hungarian_plains_cloud|匈 牙 利 平 原 （ 多 云 ） 
str_mp_theisland|岛 屿 （ 白 天 ） 
str_mp_la_haye_sainte|拉 海 圣 （ 白 天 ） 
str_mp_la_haye_sainte_night|拉 海 圣 （ 夜 晚 ） 
str_mp_landshut|兰 茨 胡 特 （ 白 天 ） 
str_mp_landshut_night|兰 茨 胡 特 （ 夜 晚 ） 
str_mp_minden|明 登 （ 白 天 ） 
str_mp_minden_night|明 登 （ 夜 晚 ） 
str_mp_naval|海 战 （ 白 天 ） 
str_mp_oaksfield_day|橡 木 园 （ 白 天 ） 
str_mp_oaksfield_storm|橡 木 园 （ 暴 风 雨 ） 
str_mp_outlaws_den|匪 巢 （ 白 天 ） 
str_mp_outlaws_den_night|匪 巢 （ 夜 晚 ） 
str_mp_quatre_bras|四 臂 村 （ 白 天 ） 
str_mp_quatre_bras_night|四 臂 村 （ 夜 晚 ） 
str_mp_river_crossing|渡 河 （ 白 天 ） 
str_mp_river_crossing_morning|渡 河 （ 早 晨 ） 
str_mp_roxburgh|罗 克 斯 堡 （ 白 天 ） 
str_mp_roxburgh_raining|罗 克 斯 堡 （ 下 雨 ） 
str_mp_russian_river_day|俄 罗 斯 河 （ 白 天 ） 
str_mp_russian_river_cloudy|俄 罗 斯 河 （ 下 雨 ） 
str_mp_russian_village|俄 罗 斯 村 庄（ 下 雪 ） 
str_mp_russian_village_fog|俄 罗 斯 村 庄（ 雾 ） 
str_mp_russian_village_conq|俄 罗 斯 城 镇 （ 雾 ） 
str_mp_russian_village_conq_night|俄 罗 斯 城 镇 （ 夜 晚 ） 
str_mp_saints_isle|圣 人 岛 （ 白 天 ） 
str_mp_saints_isle_rain|圣 人 岛 （ 下 雨 ） 
str_mp_schemmerbach|施 默 巴 赫 （ 白 天 ） 
str_mp_schemmerbach_storm|施 默 巴 赫 （ 暴 风 雨 ） 
str_mp_siege_of_toulon|土 伦 围 城 （ 白 天 ） 
str_mp_siege_of_toulon_night|土 伦 围 城 （ 夜 晚 ） 
str_mp_sjotofta|舍 托 夫 塔 （ 白 天 ） 
str_mp_sjotofta_night|舍 托 夫 塔 （ 夜 晚 ） 
str_mp_slovenian_village|斯 洛 文 尼 亚 村 （ 白 天 ） 
str_mp_slovenian_village_raining|斯 洛 文 尼 亚 村 （ 下 雨 ） 
str_mp_spanish_farm|西 班 牙 农 场 （ 白 天 ） 
str_mp_spanish_farm_rain|西 班 牙 农 场 （ 下 雨 ） 
str_mp_spanish_mountain_pass|西 班 牙 山 口 （ 白 天 ） 
str_mp_spanish_mountain_pass_evening|西 班 牙 山 口 （ 傍 晚 ） 
str_mp_spanish_village|西 班 牙 村 庄 （ 白 天 ） 
str_mp_spanish_village_evening|西 班 牙 村 庄 （ 傍 晚 ） 
str_mp_strangefields|奇 妙 之 地 （ 雾 ） 
str_mp_strangefields_storm|奇 妙 之 地 （ 暴 风 雨 ） 
str_mp_swamp|锡 格 堡 沼 泽 （ 雾 ） 
str_mp_venice|威 尼 斯 （ 白 天 ） 
str_mp_venice_morning|威 尼 斯 （ 早 晨 ） 
str_mp_walloon_farm|瓦 隆 农 场 （ 白 天 ） 
str_mp_walloon_farm_night|瓦 隆 农 场 （ 夜 晚 ） 
str_mp_testing_map|测 试 地 图 
str_random_multi_plain_medium|随 机 平 原 （ 中 ） 
str_random_multi_plain_large|随 机 平 原 （ 大 ） 
str_random_multi_plain_medium_rain|随 机 平 原 （ 中 ） 下 雨 
str_random_multi_plain_large_rain|随 机 平 原 （ 大 ） 下 雨 
str_random_multi_steppe_medium|随 机 草 原 （ 中 ） 
str_random_multi_steppe_large|随 机 草 原 （ 大 ） 
str_random_multi_steppe_forest_medium|随 机 草 原 森 林 （ 中 ） 
str_random_multi_steppe_forest_large|随 机 草 原 森 林 （ 大 ） 
str_random_multi_snow_medium|随 机 雪 地 （ 中 ） 
str_random_multi_snow_medium_snow|随 机 雪 地 （ 中 ） 下 雪 
str_random_multi_snow_large|随 机 雪 地 （ 大 ） 
str_random_multi_snow_large_snow|随 机 雪 地 （ 大 ） 下 雪 
str_random_multi_snow_forest_medium|随 机 雪 森 林 （ 中 ） 
str_random_multi_snow_forest_medium_snow|随 机 雪 地 森 林 （ 中 ） 下 雪 
str_random_multi_snow_forest_large|随 机 雪 地 森 林 （ 大 ） 
str_random_multi_snow_forest_large_snow|随 机 雪 地 森 林 （ 大 ） 下 雪 
str_random_multi_desert_medium|随 机 沙 漠 （ 中 ） 
str_random_multi_desert_large|随 机 沙 漠 （ 大 型 ） 
str_random_multi_desert_forest_medium|随 机 沙 漠 森 林 （ 中 ） 
str_random_multi_desert_forest_large|随 机 沙 漠 森 林 （ 大 ） 
str_random_multi_forest_medium|随 机 森 林 （ 中 ） 
str_random_multi_forest_medium_rain|随 机 森 林 （ 中 ） 下 雨 
str_random_multi_forest_large|随 机 森 林 （ 大 ） 
str_random_multi_forest_large_rain|随 机 森 林 （ 大 ） 下 雨 
str_mp_custom_map_1|自 定 义 地 图 1 
str_mp_custom_map_2|自 定 义 地 图 2 
str_mp_custom_map_3|自 定 义 地 图 3 
str_mp_custom_map_4|自 定 义 地 图 4 
str_mp_custom_map_5|自 定 义 地 图 5 
str_mp_custom_map_6|自 定 义 地 图 6 
str_mp_custom_map_7|自 定 义 地 图 7 
str_mp_custom_map_8|自 定 义 地 图 8 
str_mp_custom_map_9|自 定 义 地 图 9 
str_mp_custom_map_10|自 定 义 地 图 10 
str_mp_custom_map_11|自 定 义 地 图 11 
str_mp_custom_map_12|自 定 义 地 图 12 
str_mp_custom_map_13|自 定 义 地 图 13 
str_mp_custom_map_14|自 定 义 地 图 14 
str_mp_custom_map_15|自 定 义 地 图 15 
str_mp_custom_map_16|自 定 义 地 图 16 
str_mp_custom_map_17|自 定 义 地 图 17 
str_mp_custom_map_18|自 定 义 地 图 18 
str_mp_custom_map_19|自 定 义 地 图 19 
str_mp_custom_map_20|自 定 义 地 图 20 
str_mp_custom_map_21|自 定 义 地 图 21 
str_mp_custom_map_22|自 定 义 地 图 22 
str_mp_custom_map_23|自 定 义 地 图 23 
str_mp_custom_map_24|自 定 义 地 图 24 
str_mp_custom_map_25|自 定 义 地 图 25 
str_mp_custom_map_26|自 定 义 地 图 26 
str_mp_custom_map_27|自 定 义 地 图 27 
str_mp_custom_map_28|自 定 义 地 图 28 
str_mp_custom_map_29|自 定 义 地 图 29 
str_mp_custom_map_30|自 定 义 地 图 30 
str_mp_custom_map_31|自 定 义 地 图 31 
str_mp_custom_map_32|自 定 义 地 图 32 
str_mp_custom_map_33|自 定 义 地 图 33 
str_mp_custom_map_34|自 定 义 地 图 34 
str_mp_custom_map_35|自 定 义 地 图 35 
str_mp_custom_map_36|自 定 义 地 图 36 
str_mp_custom_map_37|自 定 义 地 图 37 
str_mp_custom_map_38|自 定 义 地 图 38 
str_mp_custom_map_39|自 定 义 地 图 39 
str_mp_custom_map_40|自 定 义 地 图 40 
str_mp_custom_map_41|自 定 义 地 图 41 
str_mp_custom_map_42|自 定 义 地 图 42 
str_mp_custom_map_43|自 定 义 地 图 43 
str_mp_custom_map_44|自 定 义 地 图 44 
str_mp_custom_map_45|自 定 义 地 图 45 
str_mp_custom_map_46|自 定 义 地 图 46 
str_mp_custom_map_47|自 定 义 地 图 47 
str_mp_custom_map_48|自 定 义 地 图 48 
str_mp_custom_map_49|自 定 义 地 图 49 
str_mp_custom_map_50|自 定 义 地 图 50 
str_mp_custom_map_51|自 定 义 地 图 51 
str_mp_custom_map_52|自 定 义 地 图 52 
str_mp_custom_map_53|自 定 义 地 图 53 
str_mp_custom_map_54|自 定 义 地 图 54 
str_mp_custom_map_55|自 定 义 地 图 55 
str_mp_custom_map_56|自 定 义 地 图 56 
str_mp_custom_map_57|自 定 义 地 图 57 
str_mp_custom_map_58|自 定 义 地 图 58 
str_mp_custom_map_59|自 定 义 地 图 59 
str_mp_custom_map_60|自 定 义 地 图 60 
str_mp_custom_map_61|自 定 义 地 图 61 
str_mp_custom_map_62|自 定 义 地 图 62 
str_mp_custom_map_63|自 定 义 地 图 63 
str_mp_custom_map_64|自 定 义 地 图 64 
str_mp_custom_map_65|自 定 义 地 图 65 
str_mp_custom_map_66|自 定 义 地 图 66 
str_mp_custom_map_67|自 定 义 地 图 67 
str_mp_custom_map_68|自 定 义 地 图 68 
str_mp_custom_map_69|自 定 义 地 图 69 
str_mp_custom_map_70|自 定 义 地 图 70 
str_mp_custom_map_71|自 定 义 地 图 71 
str_mp_custom_map_72|自 定 义 地 图 72 
str_mp_custom_map_73|自 定 义 地 图 73 
str_mp_custom_map_74|自 定 义 地 图 74 
str_mp_custom_map_75|自 定 义 地 图 75 
str_mp_custom_map_76|自 定 义 地 图 76 
str_mp_custom_map_77|自 定 义 地 图 77 
str_mp_custom_map_78|自 定 义 地 图 78 
str_mp_custom_map_79|自 定 义 地 图 79 
str_mp_custom_map_80|自 定 义 地 图 80 
str_mp_custom_map_81|自 定 义 地 图 81 
str_mp_custom_map_82|自 定 义 地 图 82 
str_mp_custom_map_83|自 定 义 地 图 83 
str_mp_custom_map_84|自 定 义 地 图 84 
str_mp_custom_map_85|自 定 义 地 图 85 
str_mp_custom_map_86|自 定 义 地 图 86 
str_mp_custom_map_87|自 定 义 地 图 87 
str_mp_custom_map_88|自 定 义 地 图 88 
str_mp_custom_map_89|自 定 义 地 图 89 
str_mp_custom_map_90|自 定 义 地 图 90 
str_mp_custom_map_91|自 定 义 地 图 91 
str_mp_custom_map_92|自 定 义 地 图 92 
str_mp_custom_map_93|自 定 义 地 图 93 
str_mp_custom_map_94|自 定 义 地 图 94 
str_mp_custom_map_95|自 定 义 地 图 95 
str_mp_custom_map_96|自 定 义 地 图 96 
str_mp_custom_map_97|自 定 义 地 图 97 
str_mp_custom_map_98|自 定 义 地 图 98 
str_mp_custom_map_99|自 定 义 地 图 99 
str_mp_custom_map_100|自 定 义 地 图 100 
str_multi_scene_end|multi scene end
str_multi_game_type_1|混 战 
str_multi_game_type_2|组 队 混 战 
str_multi_game_type_3|战 场 
str_multi_game_type_5|抢 旗 
str_multi_game_type_6|征 服 
str_multi_game_type_7|攻 城 
str_multi_game_type_8|决 斗 
str_multi_game_type_9|领 军 战 场 
str_multi_game_type_10|占 山 为 王 
str_multi_game_type_11|大 逃 杀 
str_multi_game_type_12|场 景 编 辑 
str_multi_game_types_end|多 人 游 戏 类 型 结 束 
str_poll_kick_player_s1_by_s0|{s0}发 起 投 票 踢 出 玩 家 {s1}。 
str_poll_ban_player_s1_by_s0|{s0}发 起 投 票 禁 止 玩 家 {s1}进 入 服 务 器 。 
str_poll_change_map_to_s1_by_s0|{s0}发 起 投 票 更 换 地 图 为 {s1}。 
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0}发 起 投 票 更 换 地 图 为 {s1}更 换 国 家 为 {s2}和 {s3}。 
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0}投 票 修 改 虚 拟 人 数 量 {reg0}和 {reg1}。 
str_poll_kick_player|有 人 提 议 投 票 踢 出 玩 家 {s0}： ^ 1为 赞 成 ， 2为 反 对 。 
str_poll_ban_player|有 人 提 议 投 票 禁 止 玩 家 {s0}进 入 服 务 器 ： ^ 1为 赞 成 ， 2为 反 对 。 
str_poll_change_map|有 人 提 议 投 票 切 换 地 图 为 {s0}： ^ 1为 赞 成 ， 2为 反 对 。 
str_poll_change_map_with_faction|有 人 提 议 投 票 切 换 地 图 为 {s0}， 双 方 势 力 为 {s1}和 {s2}： ^ 1为 赞 成 ， 2为 反 对 。 
str_poll_change_number_of_bots|有 人 提 议 投 票 设 定 虚 拟 人 数 量 为 ： {s0}{reg0}人 ， {s1}{reg1}人 ： ^ 1为 赞 成 ， 2为 反 对 。 
str_poll_time_left|（ 投 票 时 间 还 剩 {reg0}秒 ） 
str_poll_result_yes|多 数 人 通 过 了 投 票 。 
str_poll_result_no|多 数 人 否 决 了 投 票 。 
str_server_name|服 务 器 名 字 ： 
str_game_password|进 入 密 码 ： 
str_map|地 图 ： 
str_game_type|游 戏 模 式 ： 
str_max_number_of_players|最 大 玩 家 人 数 ： 
str_number_of_bots_in_team_reg1|{reg1}队 中 虚 拟 人 数 ： 
str_team_reg1_faction|{reg1}队 国 家 ： 
str_enable_valve_anti_cheat|允 许 Valve反 作 弊 （ 需 要 有 效 的 Steam账 号 ） 
str_allow_friendly_fire|允 许 远 程 队 友 伤 害 
str_allow_melee_friendly_fire|允 许 近 战 队 友 伤 害 
str_friendly_fire_damage_self_ratio|队 友 伤 害 到 自 己 (%)： 
str_friendly_fire_damage_friend_ratio|队 友 伤 害 到 队 友 (%)： 
str_spectator_camera|旁 观 者 视 角 ： 
str_control_block_direction|格 挡 方 向 控 制 ： 
str_map_time_limit|地 图 时 间 限 制 （ 分 钟 ） ： 
str_round_time_limit|回 合 时 间 限 制 （ 秒 ） ： 
str_players_take_control_of_a_bot_after_death|玩 家 死 亡 后 切 换 到 虚 拟 人 
str_team_points_limit|队 伍 分 数 限 制 ： 
str_point_gained_from_flags|夺 旗 奖 励 队 伍 分 数 (%)： 
str_point_gained_from_capturing_flag|抢 旗 奖 励 分 数 ： 
str_respawn_period|重 生 间 隔 时 间 （ 秒 ） ： 
str_add_to_official_game_servers_list|加 入 官 方 服 务 器 列 表 
str_combat_speed|战 斗 速 度 ： 
str_combat_speed_0|最 慢 
str_combat_speed_1|稍 慢 
str_combat_speed_2|正 常 
str_combat_speed_3|稍 快 
str_combat_speed_4|最 快 
str_off|关 闭 
str_on|开 启 
str_defender_spawn_count_limit|防 守 方 最 大 重 生 次 数 ： 
str_unlimited|无 限 制 
str_automatic|自 动 
str_by_mouse_movement|鼠 标 控 制 
str_free|自 由 
str_stick_to_any_player|锁 定 任 一 玩 家 
str_stick_to_team_members|锁 定 队 友 
str_stick_to_team_members_view|锁 定 为 队 友 视 角 
str_make_factions_voteable|允 许 投 票 改 换 国 家 
str_make_kick_voteable|允 许 投 票 踢 出 玩 家 
str_make_ban_voteable|允 许 投 票 禁 止 玩 家 
str_bots_upper_limit_for_votes|可 投 票 的 虚 拟 人 数 量 上 限 ： 
str_make_maps_voteable|允 许 投 票 改 换 地 图 
str_valid_vote_ratio|投 票 最 低 通 过 比 例 (%)： 
str_auto_team_balance_limit|自 动 队 伍 平 衡 最 低 值 （ 相 差 ） ： 
str_welcome_message|欢 迎 信 息 ： 
str_initial_gold_multiplier|初 始 金 额 (%)： 
str_battle_earnings_multiplier|战 斗 奖 金 (%)： 
str_round_earnings_multiplier|回 合 奖 金 (%)： 
str_allow_player_banners|允 许 个 人 旗 帜 
str_force_default_armor|强 制 起 始 防 具 
str_respawning_in_reg0_seconds|{reg0}秒 后 重 生 … … 
str_no_more_respawns_remained_this_round|此 局 已 不 能 复 活 
str_reg0_respawns_remained|（ 还 剩 {reg0}次 重 生 机 会 ） 
str_this_is_your_last_respawn|（ 这 是 你 的 最 后 一 次 重 生 机 会 ） 
str_wait_next_round|（ 等 候 下 一 回 合 ） 
str_yes_wo_dot|可 
str_no_wo_dot|否 
str_s1_returned_flag|{s1}将 丢 失 的 旗 帜 重 新 夺 回 ！ 
str_s1_auto_returned_flag|{s1}旗 帜 自 动 回 到 了 他 们 的 基 地 ！ 
str_s1_captured_flag|{s1}俘 获 敌 军 旗 帜 ！ ！ 
str_s1_taken_flag|{s1}抢 到 了 敌 军 旗 帜 ！ 
str_s1_neutralized_flag_reg0|{s1}失 去 了 旗 帜 {reg0}。 
str_s1_captured_flag_reg0|{s1}占 领 了 旗 帜 {reg0}！ 
str_s1_pulling_flag_reg0|{s1}开 始 占 领 旗 帜 {reg0}。 
str_s1_defended_castle|{s1}守 住 了 城 堡 ！ 
str_s1_captured_castle|{s1}占 领 城 堡 ！ ！ 
str_auto_team_balance_in_20_seconds|20 秒 内 将 自 动 调 整 双 方 力 量 。 
str_auto_team_balance_next_round|下 一 回 合 将 自 动 调 整 双 方 力 量 。 
str_auto_team_balance_done|自 动 调 整 双 方 力 量 完 成 。 
str_s1_won_round|{s1}此 回 合 胜 ！ ！ 
str_round_draw|时 间 到 ， 平 局 。 
str_round_draw_no_one_remained|无 人 幸 存 ， 平 局 。 
str_reset_to_default|默 认 设 置 
str_done|完 成 
str_player_name|玩 家 
str_kills|杀 
str_deaths|没 
str_ping|Ping 
str_dead|死 亡 
str_reg0_dead|{reg0}死 亡 
str_bots_reg0_agents|虚 拟 人 （ {reg0}人 ） 
str_bot_1_agent|虚 拟 人 （ 1人 ） 
str_score|分 数 
str_score_reg0|分 数 ： {reg0}
str_flags_reg0|（ 旗 帜 ： {reg0}） 
str_reg0_players|（ {reg0}玩 家 ， {reg40}存 活 ， {reg41}死 亡 ） 
str_reg0_player|（ {reg0}玩 家 ， {reg40}存 活 ， {reg41}死 亡 ） 
str_reg0_alive|{reg0}存 活 
str_reg0_player_only|{reg0}玩 家 
str_reg0_players_only|{reg0}玩 家 
str_reg0_spectator|{reg0}旁 观 者 
str_reg0_spectators|{reg0}旁 观 者 
str_open_gate|开 栅 
str_close_gate|关 栅 
str_open_door|开 门 
str_close_door|关 门 
str_raise_ladder|架 梯 
str_drop_ladder|拆 梯 
str_back|返 回 
str_start_map|开 始 地 图 
str_choose_an_option|选 项 ： 
str_choose_a_poll_type|选 择 一 个 投 票 类 型 ： 
str_choose_faction|选 择 国 家 
str_choose_a_faction|选 择 一 个 国 家 ： 
str_choose_troop|选 择 旗 帜 
str_choose_a_troop|选 择 一 个 团 ： 
str_choose_items|选 择 兵 种 
str_choose_an_item|选 择 一 个 等 级 ： 
str_options|选 项 
str_redefine_keys|按 键 设 置 
str_submit_a_poll|发 起 投 票 
str_show_game_rules|显 示 游 戏 规 则 
str_administrator_panel|管 理 员 界 面 
str_kick_player|踢 出 玩 家 
str_ban_player|永 久 禁 止 玩 家 
str_mute_player|沉 默 玩 家 
str_unmute_player|取 消 沉 默 玩 家 
str_quit|退 出 
str_poll_for_changing_the_map|改 换 地 图 
str_poll_for_changing_the_map_and_factions|改 换 地 图 和 国 家 
str_poll_for_changing_number_of_bots|改 变 虚 拟 人 数 量 
str_poll_for_kicking_a_player|踢 出 玩 家 
str_poll_for_banning_a_player|禁 止 玩 家 
str_choose_a_player|选 择 一 个 玩 家 ： 
str_choose_a_map|选 择 一 个 地 图 ： 
str_choose_a_faction_for_team_reg0|给 队 伍 {reg0}选 择 一 个 国 家 ： 
str_choose_number_of_bots_for_team_reg0|给 队 伍 {reg0}选 择 虚 拟 人 数 量 ： 
str_spectator|旁 观 者 
str_spectators|旁 观 者 
str_score_2|分 数 
str_command|命 令 ： 
str_profile_banner_selection_text|给 你 的 角 色 选 定 一 面 旗 帜 
str_use_default_banner|使 用 国 家 默 认 旗 帜 
str_player_name_s1|- {s1}
str_space| 
str_us_|我 军 
str_allies_|友 军 
str_enemies_|敌 军 
str_routed|逃 亡 
str_maximum_seconds_for_round_is_reg0|每 轮 的 最 大 秒 数 是 {reg0}。 
str_respawn_period_is_reg0_seconds|复 活 时 间 是 {reg0}秒 。 
str_bots_upper_limit_for_votes_is_reg0|投 票 可 以 设 置 的 最 大 虚 拟 人 数 为 {reg0}。 
str_map_is_voteable|此 地 图 可 投 票 。 
str_map_is_not_voteable|此 地 图 不 能 投 票 
str_factions_are_voteable|可 投 票 选 择 国 家 。 
str_factions_are_not_voteable|不 可 投 票 选 择 国 家 。 
str_players_respawn_as_bot|玩 家 作 为 虚 拟 人 重 生 。 
str_players_do_not_respawn_as_bot|玩 家 不 作 为 虚 拟 人 重 生 。 
str_kicking_a_player_is_voteable|可 以 投 票 踢 出 玩 家 。 
str_kicking_a_player_is_not_voteable|不 能 就 是 否 踢 出 一 名 玩 家 进 行 投 票 。 
str_banning_a_player_is_voteable|可 以 投 票 禁 止 玩 家 。 
str_banning_a_player_is_not_voteable|不 能 就 是 否 禁 止 一 名 玩 家 进 行 投 票 。 
str_player_banners_are_allowed|允 许 玩 家 旗 帜 。 
str_player_banners_are_not_allowed|不 允 许 玩 家 旗 帜 。 
str_default_armor_is_forced|默 认 防 具 已 被 强 制 使 用 。 
str_default_armor_is_not_forced|默 认 防 具 没 有 强 制 使 用 。 
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|达 成 决 议 所 需 的 赞 成 票 比 例 是 {reg0}%。 
str_auto_team_balance_threshold_is_reg0|自 动 队 伍 平 衡 的 临 界 值 是 {reg0}。 
str_starting_gold_ratio_is_reg0|初 始 金 钱 比 率 是 {reg0}%。 
str_combat_gold_bonus_ratio_is_reg0|战 斗 奖 金 获 取 率 是 {reg0}%。 
str_round_gold_bonus_ratio_is_reg0|回 合 奖 金 比 率 是 {reg0}%。 
str_point_gained_from_flags_is_reg0|夺 旗 获 得 的 队 伍 分 数 为 {reg0}%。 
str_point_gained_from_capturing_flag_is_reg0|获 得 旗 帜 的 奖 励 分 数 为 {reg0}%。 
str_map_time_limit_is_reg0|地 图 时 间 限 制 为 {reg0}分 钟 。 
str_team_points_limit_is_reg0|队 伍 分 数 限 制 为 {reg0}。 
str_defender_spawn_count_limit_is_s1|默 认 重 生 次 数 为 {s1}。 
str_system_error|系 统 错 误 ！ 
str_routed_2|逃 亡 
str_s42|{s42}
str_you|你 们 
str_we|我 们 
str_quick_battle_french_farm|法 国 农 场 
str_quick_battle_landshut|兰 茨 胡 特 
str_quick_battle_river_crossing|渡 河 
str_quick_battle_spanish_village|西 班 牙 村 庄 
str_quick_battle_strangefields|奇 妙 之 地 
str_quick_battle_scene_1|丘 陵 
str_quick_battle_scene_2|雪 域 平 原 
str_quick_battle_scene_3|林 地 
