str_no_string|스트링 없음!
str_credits_12|"음성 녹음^^Rejenorst Media www.rejenorst.com^^리드 프로젝트 매니저 / 소리 편집:^Tassilo 'Rejenorst' Egloffstein^^러시아 로컬 프로젝트 매니저:^Nick Redfield^^영국 로컬 프로젝트 매니저:^Joseph Bracken^^성우:^Evgen 'Chur' Kucherov - 우크라이나/러시아 음성^Vladimir Kozubsky - 러시아 음성^Rebolj Herve - 프랑스 음성^Jeremy Faucomprez - 프랑스 음성^Tassilo Egloffstein - 독일 음성 / 전투 음성^Joseph Bracken - 영어 음성 / 전투 음성^Charlie Bloomer - 영어 음성^Evi Stender - 독일 음성^Olena Vanina - 우크라이나 / 러시아 음성^Georgina Woodford - 영어 / 프랑스 음성^Samuel Port - 전투 음성^^영국 현지 스튜디오 기술 지원:^Rich Coomber^Krzysztof Popiel^^^추가 음성^^GC Sounddesign www.svengerlach.de^^Soundesign:^Sven Gerlach^^^악기 녹음^^스네어 드럼:^Mark Beecher^^피리:^Ed Boyle^^트럼펫 (나팔):^Christopher Tolomeo^^백파이프:^Kenny Sutherland^^Catacombs Studio,Broomall,PA - Mark Beecher; Engineer^and BradySound Studios,Woodlyn,PA - Greg Brady & Mark Sarro; Engineers 에서 녹음.^모든 음악은 나폴레옹 시기를 토대로 Mark Beecher 에 의해 구성됨,. ^^추가 백파이프 녹음:^Charlie Hunter^^^음악^^Apollo Symphony Orchestra www.classicalmusicroyaltyfree.com^Wolfgang Amadeus Mozart - Great mass in C minor - Gloria.^Richard Wagner - Ritt der Valkuren.^Antonin Dvorak - New world symphony (4th movement)^Ludwig von Beethoven - Symphony No. 5 (1st movement)^Georges Bizet - Toreadors Song (from Carmen)^^Neosounds.com^Ludwig von Beethoven: Symphony no.9 - 4th Movement; By the New Age Symphony Orchestra^^sounddogs.com^Johann Strauss Sr. - Radetzky March; By Bartok Consulting (BMI)^Pyotr llyrich Tchaikovsky - Overture 1812; By Bartok Consulting (BMI) ^Franz Schubert - Marche Militaire; By Quimus Music^^Musicloops.com^Ludwig von Beethoven - Fur Elise; By Bobby Cole^Johann Sebastian Bach - Cello Suite No. 1; By Tim Brown ^^Trackline.com^Edward Elgar - Pomp and Circumstance March No. 1^George Frideric Handel - The Messiah (Hallelujah Chorus) ^George Frideric Handel - Queen of Sheba^Antonio Vivaldi - Four Seasons: Summer (3rd movement)^^William Boyce - Sinfonia No. 1^^Stockmusic.com^Antonio Vivaldi - Four Seasons: Summer (1st + 2nd movement)^Antonio Vivaldi - Four Seasons: Spring (1st + 2nd movement)^Antonio Vivaldi - Four Seasons: Winter (1st + 3rd movement)^Antonio Vivaldi - Four Seasons: Autimn (1st movement)^Antonio Vivaldi - Concerto No. 10 allegro 2^Antonio Vivaldi - Concerto flute violin continuo allegro^Antonio Vivaldi - Concerto grosso No. 8 allegro^Mozart - Eine Kleine Nachtmusik^Brahms - Hungarian Dance No. 5^Rimsky-Korsakov - The Flight of the Bumble Bee ^Mendelssohn - A Wedding March Recessional^Johann Sebastian Bach - Concerto for Two Violins in D Minor^Johann Sebastian Bach - Gavotte ^Johann Sebastian Bach - Orchestral Suite No. 3^Strauss - Blue Danube Waltz^Boccherini - Minuet ^Georges Bizet - Carmen Suite No. 1,Aragonaise ^Chopin - Polonaise in A Major Op 40 N1,Military ^Geminiani - Concerto Grosso ^Grieg - Peer Gynt Overture ^Grieg - Peer Gynt Suite No 1 Op 46: In the Hall of the Mountain King^Hummel - Rondo ^Liszt - Les Preludes ^^Incompetech.com; Performed by Kevin MacLeod^Licensed under Creative Commons 'Attribution 3.0'^Ludwig von Beethoven - Laendler in C minor^Ludwig von Beethoven - Ecossaise in E-flat^Johann Sebastian Bach - Toccata and Fugue^Johann Sebastian Bach - Prelude in C^Johann Sebastian Bach - Chromatic Fantasia ^Johann Sebastian Bach - Chromatic Fugue ^Saint Saens - Danse Macabre^Richard Strauss - Also Sprach Zarathustra^William tell - Ranz des Vaches^Wagner - Lohengrin ^Pyotr llyrich Tchaikovsky - Waltz Op. 40^Johann Sebastian Bach - Brandenburg concerto no.^Pachelbel - Canon^Erik Satie - Gymnopedie No. 3^Agnus Dei ^Schmetterling^Tiny Fugue^Lift Motif^^^Contributions:^Mika'il Yazbeck - Associate Producer^Volodymyr 'Yamabushi' Hamardiuk^Andrew 'Refleax' Farrugia^Julian 'Rycon' Farrugia^Sebastian 'Donald MacDonald' Melzer^Mark 'Spunned' Echers^David 'Fahausi/Kabs' Kappelhoff^Ralf 'Fortune' van Daal^Christian 'Condoz' Gruber^Aitor 'Leberecht' Jiménez^Simon 'Finguin' B.C^Lucas 'Nexus' Andrieu^Valentin 'Vavas' Provost^'CKtheFat'^^^Special Thanks to:^Alexis Cabaret www.mont-saint-jean.com^Andrew 'Refleax' Farrugia^Asger 'Deafboy' Gronhoj^Christian Drozdowski^Daniel Papen^David Liuzzo - Prussian Eagle^Jeroen van Kalkeren^Mark 'Spunned' Echers^Mika'il Yazbeck^Peter 'Biteme' Hyder^'Praetorian'^'Psiphoon'^'Shredzorz'^'Sodacan'^Tassilo 'Rejenorst' Egloffstein^Marc 'Macs899' Shaw^^^커뮤니티 맵 제작:^'Gokiller'^Teemu 'Comrade Temuzu' Hepola^'KArantukki'^Levi 'Disgrntld' Wiseman^'Ghost'^'CKtheFat'^S.Santema 'Immor'^'BigMac'^Marc 'Aldemar' Sommerhoff^Martin 'Friedrich' Kieper ^Sergiu 'Nylas' Vataman^Petter Kristian 'Vikestad' Vikestad^Lewis 'Nano' Thornton^Ben 'Jebus' Durston^Jordan 'Jay One' Barnes^Jamel Donga-As 'Angel' Angel^Carl-Johan 'Leaf' Lofgren^Daan 'Chequered' Ruiter^Benjamin 'Blame Canada' Christensen^Christian 'Xati' Lazar^84e Regiment 'Un Contre Dix'  d'Infanterie de Ligne^"
str_credits_13|Paradox Interactive^^최고 경영자:^Fredrik Wester^^재무담당 이사:^Andras Vajlok^^계약담당관:^Lena Blomberg^^개발 담당:^Johan Andersson^^영업 담당:^Reena M Miranda^^출판 담당:^Susana Meza^^제작 책임자:^Mattias Lilja^^수석 제작자:^Gordon Van Dyke^^제작자:^Shams Jorjani^Jorgen Björklund^Staffan Berglen^^DLC 제작자:^Jacob Munthe^^QA 제작자:^Erika S. Kling^^
str_credits_14|"프로젝트 매니저:^Boel Bermann^^마케팅 매니저:^Daniela Sjunnesson^^상품 & 이벤트 매니저:^Jeanette Bauer^^영업 사원:^Andrew Ciesla^Jason Ross^Don Louie^^재무회계:^Emilia Hanssen^^자산관리:^Veronica Gunlycke^2Coats Creations^^번역:^S&H Entertainment^^패키지 & 매뉴얼 구성:^Retrographics^^프로모션 사진:^Martin Doersam^^세계 각지에서 짧고 긴 기간 동안 함께 해주신 모든 파트너 분들께 감사드리며,^마지막으로,이 게임의 성공에 큰 도움을 주신 후원자들과,^커뮤니티 포럼 멤버들에게 특별 감사 인사를 드립니다."
str_credits_15|미사용
str_mp_ambush|매복 (낮)
str_mp_ambush_fog|매복 (안개낀)
str_mp_arabian_harbour|아랍 항구 (낮)
str_mp_arabian_harbour_night|아랍 항구 (밤)
str_mp_arabian_village|아랍 마을 (낮)
str_mp_arabian_village_morning|아랍 마을 (아침)
str_mp_arabian_village_conq|아랍 도시 (낮)
str_mp_arabian_village_conq_morning|아랍 도시 (아침)
str_mp_ardennes|아르덴 숲 (눈)
str_mp_ardennes_morning|아르덴 숲 (아침)
str_mp_avignon|아비뇽 (낮)
str_mp_avignon_morning|아비뇽 (흐린)
str_mp_bavarian_river|바이에른 강 (낮)
str_mp_bavarian_river_cloudy|바이에른 강 (흐린)
str_mp_beach|해변 (낮)
str_mp_beach_morning|해변 (아침)
str_mp_borodino|보로디노 (낮)
str_mp_borodino_morn|보로디노 (아침)
str_mp_champs_elysees|샹젤리제 (낮)
str_mp_champs_elysees_rain|샹젤리제 (비)
str_mp_charge_to_the_rhine|라인강 도하 (낮)
str_mp_charge_to_the_rhine_cloudy|라인강 도하 (흐린)
str_mp_citadelle_napoleon|나폴레옹 성채 (낮)
str_mp_citadelle_napoleon_morning|나폴레옹 성채 (아침)
str_mp_columbia_hill_farm|컬럼비아 농장 (낮)
str_mp_columbia_farm_morning|컬럼비아 농장 (마을)
str_mp_countryside|시골 (낮)
str_mp_countryside_fog|시골 (안개낀)
str_mp_dust|더스트 (낮)
str_mp_dust_morning|더스트 (아침)
str_mp_european_city_summer|유럽 도시 (여름)
str_mp_european_city_winter|유럽 도시 (겨울)
str_mp_floodplain|홍수 (낮)
str_mp_floodplain_storm|홍수 (폭풍우)
str_mp_forest_pallisade|숲 장벽 (낮)
str_mp_forest_pallisade_fog|숲 장벽 (안개낀)
str_mp_fort_al_hafya|알 하피아 요새 (낮)
str_mp_fort_al_hafya_night|알 하피아 요새 (낮)
str_mp_fort_bashir|바시르 요새 (낮)
str_mp_fort_bashir_morning|바시르 요새 (아침)
str_mp_fort_beaver|파우보그 요새 (낮)
str_mp_fort_beaver_morning|파우보그 요새 (아침)
str_mp_fort_boyd|보이드 요새 (낮)
str_mp_fort_boyd_raining|보이드 요새 (비)
str_mp_fort_brochet|브로셰 요새 (비)
str_mp_fort_brochet_raining|브로셰 요새 (비)
str_mp_fort_de_chartres|드 샤르트르 요새 (낮)
str_mp_fort_de_chartres_raining|드 샤르트르 요새 (비)
str_mp_fort_fleetwood|플리트우드 요새 (아침)
str_mp_fort_fleetwood_storm|플리트우드 요새 (폭풍우)
str_mp_fort_george|조지 요새 (낮)
str_mp_fort_george_raining|조지 요새 (비)
str_mp_fort_hohenfels|호헨펠스 요새 (낮)
str_mp_fort_hohenfels_night|호헨펠스 요새 (밤)
str_mp_fort_lyon|리옹 요새 (낮)
str_mp_fort_lyon_night|리옹 요새 (밤)
str_mp_fort_mackinaw|매키너 요새 (낮)
str_mp_fort_mackinaw_raining|매키너 요새 (비)
str_mp_fort_nylas|나일라스 요새 (낮)
str_mp_fort_nylas_raining|나일라스 요새 (비)
str_mp_fort_refleax|윌스브릿지 요새 (낮)
str_mp_fort_refleax_night|윌스브릿지 요새 (밤)
str_mp_fort_vincey|휘팅턴 요새 (낮)
str_mp_fort_vincey_storm|휘팅턴 요새 (폭풍우)
str_mp_french_farm|프랑스 농장 (낮)
str_mp_french_farm_storm|프랑스 농장 (폭풍우)
str_mp_german_village|독일인 마을 (아침)
str_mp_german_village_rain|독일인 마을 (폭풍우)
str_mp_hougoumont|우구몽 (낮)
str_mp_hougoumont_night|우구몽 (밤)
str_mp_hungarian_plains|헝가리 평원 (낮)
str_mp_hungarian_plains_cloud|헝가리 평원 (흐린)
str_mp_theisland|섬 (낮)
str_mp_la_haye_sainte|라 에 상트 (낮)
str_mp_la_haye_sainte_night|라 에 상트 (밤)
str_mp_landshut|란츠후트 (낮)
str_mp_landshut_night|란츠후트 (밤)
str_mp_minden|민덴 (낮)
str_mp_minden_night|민덴 (오전)
str_mp_naval|해상 전투 (낮)
str_mp_oaksfield_day|옥스필드 (낮)
str_mp_oaksfield_storm|옥스필드 (폭풍우)
str_mp_outlaws_den|무법자 소굴 (낮)
str_mp_outlaws_den_night|무법자 소굴 (밤)
str_mp_quatre_bras|카르트 브라 (낮)
str_mp_quatre_bras_night|카르트 브라 (밤)
str_mp_river_crossing|도하 (낮)
str_mp_river_crossing_morning|도하 (아침)
str_mp_roxburgh|록스버러 (낮)
str_mp_roxburgh_raining|록스버러 (비)
str_mp_russian_river_day|러시아 강 (낮)
str_mp_russian_river_cloudy|러시아 강 (비)
str_mp_russian_village|러시아 마을 (눈)
str_mp_russian_village_fog|러시아 마을 (안개낀)
str_mp_russian_village_conq|러시아 도시 (안개낀)
str_mp_russian_village_conq_night|러시아 도시 (밤)
str_mp_saints_isle|세인츠 섬 (낮)
str_mp_saints_isle_rain|세인츠 섬 (비)
str_mp_schemmerbach|셰머바흐 강 (낮)
str_mp_schemmerbach_storm|셰머바흐 강 (폭풍우)
str_mp_siege_of_toulon|툴롱 포위전 (낮)
str_mp_siege_of_toulon_night|툴롱 포위전 (밤)
str_mp_sjotofta|소흐토바 (낮)
str_mp_sjotofta_night|소흐토바 (밤)
str_mp_slovenian_village|슬로베니아 마을 (낮)
str_mp_slovenian_village_raining|슬로베니아 마을 (비)
str_mp_spanish_farm|스페인 농장 (낮)
str_mp_spanish_farm_rain|스페인 농장 (비)
str_mp_spanish_mountain_pass|스페인 산길 (낮)
str_mp_spanish_mountain_pass_evening|스페인 산길 (저녁)
str_mp_spanish_village|스페인 마을 (낮)
str_mp_spanish_village_evening|스페인 마을 (저녁)
str_mp_strangefields|낯선 들판 (안개)
str_mp_strangefields_storm|낯선 들판 (폭풍우)
str_mp_swamp|지크부르크 늪지대 (안개)
str_mp_venice|베네치아 (낮)
str_mp_venice_morning|베네치아 (아침)
str_mp_walloon_farm|왈로니안 농장 (낮)
str_mp_walloon_farm_night|왈로니안 농장 (밤)
str_mp_testing_map|테스트 맵
str_random_multi_plain_medium|무작위 평야 (중)
str_random_multi_plain_large|무작위 평야 (대)
str_random_multi_plain_medium_rain|무작위 비 내리는 평야 (중)
str_random_multi_plain_large_rain|무작위 비 내리는 평야 (대)
str_random_multi_steppe_medium|무작위 대초원 (중)
str_random_multi_steppe_large|무작위 대초원 (대)
str_random_multi_steppe_forest_medium|무작위 숲지대 (중)
str_random_multi_steppe_forest_large|무작위 숲지대 (대)
str_random_multi_snow_medium|무작위 설원 (중)
str_random_multi_snow_medium_snow|무작위 설원 (중)
str_random_multi_snow_large|무작위 설원 (대)
str_random_multi_snow_large_snow|무작위 눈내리는 설원 (대)
str_random_multi_snow_forest_medium|무작위 설림 (중)
str_random_multi_snow_forest_medium_snow|무작위 눈내리는 설림 (중)
str_random_multi_snow_forest_large|무작위 설림 (대)
str_random_multi_snow_forest_large_snow|무작위 눈내리는 설림 (대)
str_random_multi_desert_medium|무작위 사막 (중)
str_random_multi_desert_large|무작위 사막 (대)
str_random_multi_desert_forest_medium|무작위 사막 숲 (중)
str_random_multi_desert_forest_large|무작위 사막 숲 (대)
str_random_multi_forest_medium|무작위 숲 (중)
str_random_multi_forest_medium_rain|무작위 비내리는 숲 (중)
str_random_multi_forest_large|무작위 숲 (대)
str_random_multi_forest_large_rain|무작위 비내리는 숲 (대)
str_mp_custom_map_1|커스텀 맵 1
str_mp_custom_map_2|커스텀 맵 2
str_mp_custom_map_3|커스텀 맵 3
str_mp_custom_map_4|커스텀 맵 4
str_mp_custom_map_5|커스텀 맵 5
str_mp_custom_map_6|커스텀 맵 6
str_mp_custom_map_7|커스텀 맵 7
str_mp_custom_map_8|커스텀 맵 8
str_mp_custom_map_9|커스텀 맵 9
str_mp_custom_map_10|커스텀 맵 10
str_mp_custom_map_11|커스텀 맵 11
str_mp_custom_map_12|커스텀 맵 12
str_mp_custom_map_13|커스텀 맵 13
str_mp_custom_map_14|커스텀 맵 14
str_mp_custom_map_15|커스텀 맵 15
str_mp_custom_map_16|커스텀 맵 16
str_mp_custom_map_17|커스텀 맵 17
str_mp_custom_map_18|커스텀 맵 18
str_mp_custom_map_19|커스텀 맵 19
str_mp_custom_map_20|커스텀 맵 20
str_mp_custom_map_21|커스텀 맵 21
str_mp_custom_map_22|커스텀 맵 22
str_mp_custom_map_23|커스텀 맵 23
str_mp_custom_map_24|커스텀 맵 24
str_mp_custom_map_25|커스텀 맵 25
str_mp_custom_map_26|커스텀 맵 26
str_mp_custom_map_27|커스텀 맵 27
str_mp_custom_map_28|커스텀 맵 28
str_mp_custom_map_29|커스텀 맵 29
str_mp_custom_map_30|커스텀 맵 30
str_mp_custom_map_31|커스텀 맵 31
str_mp_custom_map_32|커스텀 맵 32
str_mp_custom_map_33|커스텀 맵 33
str_mp_custom_map_34|커스텀 맵 34
str_mp_custom_map_35|커스텀 맵 35
str_mp_custom_map_36|커스텀 맵 36
str_mp_custom_map_37|커스텀 맵 37
str_mp_custom_map_38|커스텀 맵 38
str_mp_custom_map_39|커스텀 맵 39
str_mp_custom_map_40|커스텀 맵 40
str_mp_custom_map_41|커스텀 맵 41
str_mp_custom_map_42|커스텀 맵 42
str_mp_custom_map_43|커스텀 맵 43
str_mp_custom_map_44|커스텀 맵 44
str_mp_custom_map_45|커스텀 맵 45
str_mp_custom_map_46|커스텀 맵 46
str_mp_custom_map_47|커스텀 맵 47
str_mp_custom_map_48|커스텀 맵 48
str_mp_custom_map_49|커스텀 맵 49
str_mp_custom_map_50|커스텀 맵 50
str_mp_custom_map_51|커스텀 맵 51
str_mp_custom_map_52|커스텀 맵 52
str_mp_custom_map_53|커스텀 맵 53
str_mp_custom_map_54|커스텀 맵 54
str_mp_custom_map_55|커스텀 맵 55
str_mp_custom_map_56|커스텀 맵 56
str_mp_custom_map_57|커스텀 맵 57
str_mp_custom_map_58|커스텀 맵 58
str_mp_custom_map_59|커스텀 맵 59
str_mp_custom_map_60|커스텀 맵 60
str_mp_custom_map_61|커스텀 맵 61
str_mp_custom_map_62|커스텀 맵 62
str_mp_custom_map_63|커스텀 맵 63
str_mp_custom_map_64|커스텀 맵 64
str_mp_custom_map_65|커스텀 맵 65
str_mp_custom_map_66|커스텀 맵 66
str_mp_custom_map_67|커스텀 맵 67
str_mp_custom_map_68|커스컴 맵 68
str_mp_custom_map_69|커스텀 맵 69
str_mp_custom_map_70|커스텀 맵 70
str_mp_custom_map_71|커스텀 맵 71
str_mp_custom_map_72|커스텀 맵 72
str_mp_custom_map_73|커스텀 맵 73
str_mp_custom_map_74|커스텀 맵 74
str_mp_custom_map_75|커스텀 맵 75
str_mp_custom_map_76|커스텀 맵 76
str_mp_custom_map_77|커스텀 맵 77
str_mp_custom_map_78|커스텀 맵 78
str_mp_custom_map_79|커스텀 맵 79
str_mp_custom_map_80|커스텀 맵 80
str_mp_custom_map_81|커스텀 맵 81
str_mp_custom_map_82|커스텀 맵 82
str_mp_custom_map_83|커스텀 맵 83
str_mp_custom_map_84|커스텀 맵 84
str_mp_custom_map_85|커스텀 맵 85
str_mp_custom_map_86|커스텀 맵 86
str_mp_custom_map_87|커스텀 맵 87
str_mp_custom_map_88|커스텀 맵 88
str_mp_custom_map_89|커스텀 맵 89
str_mp_custom_map_90|커스텀 맵 90
str_mp_custom_map_91|커스텀 맵 91
str_mp_custom_map_92|커스텀 맵 92
str_mp_custom_map_93|커스텀 맵 93
str_mp_custom_map_94|커스텀 맵 94
str_mp_custom_map_95|커스텀 맵 95
str_mp_custom_map_96|커스텀 맵 96
str_mp_custom_map_97|커스텀 맵 97
str_mp_custom_map_98|커스텀 맵 98
str_mp_custom_map_99|커스텀 맵 99
str_mp_custom_map_100|커스텀 맵 100
str_multi_scene_end|멀티플레이 맵 끝
str_multi_game_type_1|데스매치
str_multi_game_type_2|팀 데스매치
str_multi_game_type_3|일반 전투
str_multi_game_type_5|깃발쟁탈전
str_multi_game_type_6|점령전
str_multi_game_type_7|공성전
str_multi_game_type_8|결투
str_multi_game_type_9|커맨더 배틀
str_multi_game_type_10|언덕의 제왕
str_multi_game_type_12|맵 편집
str_multi_game_types_end|멀티 게임 종류 끝
str_multi_game_type_11|배틀 로얄
str_poll_kick_player_s1_by_s0|{s1} 의 추방을 위한 투표가 {s0} 에 의해 시작되었습니다.
str_poll_ban_player_s1_by_s0|{s1} 의 밴을 위한 투표가 {s0} 에 의해 시작되었습니다.
str_poll_change_map_to_s1_by_s0|{s0} 에 의해 {s1} 맵으로 바꾸기 위한 투표가 시작되었습니다.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|"{s0} 에 의해 맵을 {s1},국가를 {s2} vs {s3} 으로 바꾸기 위한 투표가 시작되었습니다."
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|"{s0} 에 의해 봇 숫자를 각각 {reg0},{reg1} 명으로 바꾸기 위한 투표가 시작되었습니다."
str_poll_kick_player|"{s0} 의 추방에 대한 투표: 1 = 찬성,2 = 반대"
str_poll_ban_player|"{s0} 의 밴에 대한 투표: 1 = 찬성,2 = 반대"
str_poll_change_map|"{s0} 맵으로 바꾸기 위한 투표: 1 = 찬성,2 = 반대"
str_poll_change_map_with_faction|"맵을 {s0},국가를 {s1} vs {s2} 으로 바꾸기 위한 투표: 1 = 찬성,2 = 반대"
str_poll_change_number_of_bots|"{reg0},{reg1} 의 봇 숫자를 각각 {s0},{s1} 명으로 바꾸기 위한 투표: 1 = 찬성,2 = 반대"
str_poll_time_left|({reg0} 초 남았습니다)
str_poll_result_yes|투표가 다수에 의해 통과되었습니다.
str_poll_result_no|투표가 다수에 의해 기각되었습니다.
str_server_name|서버명:
str_game_password|비밀번호:
str_map|맵:
str_game_type|게임 유형:
str_max_number_of_players|최대 플레이어 수:
str_number_of_bots_in_team_reg1|{reg1}의 봇 수:
str_team_reg1_faction|{reg1}팀의 국가:
str_enable_valve_anti_cheat|밸브 안티 치트 활성화 (유효한 스팀 계정 필요)
str_allow_friendly_fire|아군 원거리 공격 허용
str_allow_melee_friendly_fire|아군 근접 공격 허용
str_friendly_fire_damage_self_ratio|아군 사격시 자신이 입는 데미지 (%):
str_friendly_fire_damage_friend_ratio|아군 사격시 상대방이 입는 데미지 (%):
str_spectator_camera|관전자 카메라:
str_control_block_direction|방어 컨트롤 설정:
str_map_time_limit|맵 제한 시간 (분):
str_round_time_limit|라운드 제한 시간 (초):
str_players_take_control_of_a_bot_after_death|죽은 뒤 봇으로 부활:
str_team_points_limit|팀 점수 제한:
str_point_gained_from_flags|깃발 획득 시 얻는 포인트 (%):
str_point_gained_from_capturing_flag|거점 점령 시 얻는 포인트:
str_respawn_period|부활 주기 (초):
str_add_to_official_game_servers_list|정식 서버 리스트에 추가
str_combat_speed|전투 속도:
str_combat_speed_0|가장 느림
str_combat_speed_1|느림
str_combat_speed_2|보통
str_combat_speed_3|빠름
str_combat_speed_4|가장 빠름
str_off|끄기
str_on|켜기
str_defender_spawn_count_limit|플레이어 부활 횟수:
str_unlimited|무제한
str_automatic|자동
str_by_mouse_movement|마우스 움직임에 의해
str_free|제한 없음
str_stick_to_any_player|모두
str_stick_to_team_members|팀원에게만
str_stick_to_team_members_view|팀원 캐릭터 시점
str_make_factions_voteable|국가 변경 투표 허용
str_make_kick_voteable|플레이어 추방 투표 허용
str_make_ban_voteable|플레이어 밴 투표 허용
str_bots_upper_limit_for_votes|투표 가능 봇 숫자 제한:
str_make_maps_voteable|맵 변경 투표 허용
str_valid_vote_ratio|투표가 통과되기 위한 최소 찬성 비율 (%):
str_auto_team_balance_limit|팀 인원 균형 초과 허용치 (인원차):
str_welcome_message|환영 메시지:
str_initial_gold_multiplier|기본 지급 골드 (%):
str_battle_earnings_multiplier|전투 보너스 골드 (%):
str_round_earnings_multiplier|라운드 보너스 골드 (%):
str_allow_player_banners|개인 배너 사용 허용
str_force_default_armor|갑옷 수치 최소화
str_respawning_in_reg0_seconds|부활하기까지 {reg0} 초 남았습니다...
str_no_more_respawns_remained_this_round|이번 라운드에 남은 목숨이 없습니다.
str_reg0_respawns_remained|({reg0} 목숨이 남았습니다)
str_this_is_your_last_respawn|(마지막 목숨입니다)
str_wait_next_round|(다음 라운드를 기다려야 합니다)
str_yes_wo_dot|예
str_no_wo_dot|아니오
str_s1_returned_flag|{s1} 에 의해 깃발이 원위치로 돌아갔습니다!
str_s1_auto_returned_flag|{s1} 의 깃발이 원위치로 복귀했습니다!
str_s1_captured_flag|적군 깃발이 {s1} 에 의해 포획되었습니다!
str_s1_taken_flag|적군 깃발이 {s1} 에 의해 포획되었습니다!
str_s1_neutralized_flag_reg0|{s1} 이 {s0} 거점을 잃었습니다.
str_s1_captured_flag_reg0|{s0} 거점이 {s1} 에 의해 점령되었습니다!
str_s1_pulling_flag_reg0|{s1} 이 {s0} 거점을 점령하기 시작했습니다.
str_s1_defended_castle|{s1} 에 의해 요새가 사수되었습니다!
str_s1_captured_castle|{s1} 에 의해 요새가 점령되었습니다!
str_auto_team_balance_in_20_seconds|30초 뒤 팀 균형이 자동으로 조정됩니다.
str_auto_team_balance_next_round|다음 라운드에 팀 균형이 자동으로 조정됩니다.
str_auto_team_balance_done|팀 균형이 자동으로 조정되었습니다.
str_s1_won_round|이번 라운드는 {s1} 의 승리입니다!
str_round_draw|시간 제한 도달. 라운드 무승부.
str_round_draw_no_one_remained|생존자 없음. 라운드 무승부.
str_reset_to_default|초기값으로 변경
str_done|완료
str_player_name|플레이어 이름
str_kills|사살 횟수
str_deaths|사망 횟수
str_ping|핑
str_dead|사망
str_reg0_dead|{reg0} 명 사망
str_bots_reg0_agents|봇 ({reg0} 명)
str_bot_1_agent|봇 (1명)
str_score|점수
str_score_reg0|점수: {reg0}
str_flags_reg0|(거점: {reg0})
str_reg0_players|"({reg0} 플레이어,{reg40} 생존,{reg41} 사망)"
str_reg0_player|"({reg0} 플레이어,{reg40} 생존,{reg41} 사망)"
str_reg0_alive|{reg0} 명 생존
str_reg0_player_only|{reg0} 플레이어
str_reg0_players_only|{reg0} 명의 플레이어
str_reg0_spectator|{reg0} 관전자
str_reg0_spectators|{reg0} 명의 관전자
str_open_gate|게이트 열기
str_close_gate|게이트 닫기
str_open_door|문 열기
str_close_door|문 닫기
str_raise_ladder|사다리 세우기
str_drop_ladder|사다리 떨어뜨리기
str_back|뒤로
str_start_map|맵 시작
str_choose_an_option|옵션 선택:
str_choose_a_poll_type|투표 형식 선택:
str_choose_faction|국가 선택
str_choose_a_faction|국가 선택:
str_choose_troop|거점 선택
str_choose_a_troop|연대 선택:
str_choose_items|병종 선택
str_choose_an_item|계급 선택:
str_options|옵션
str_redefine_keys|입력 키 재설정
str_submit_a_poll|투표 시작
str_show_game_rules|게임 규칙 보기
str_administrator_panel|어드민 메뉴
str_kick_player|플레이어 추방
str_ban_player|플레이어 영구 밴
str_mute_player|플레이어 음소거
str_unmute_player|플레이어 음소거 해제
str_quit|종료
