stringsfile version 1
1312
str_no_string NO_STRING!
str_credits_12 Voice_acting^^Rejenorst_Media_www.rejenorst.com^^Lead_Project_Manager_/_Sound_Editor:^Tassilo_'Rejenorst'_Egloffstein^^Regional_Project_Manager_Russia:^Nick_Redfield^^Regional_Project_Manager_United_Kingdom:^Joseph_Bracken^^Voice_Talents:^Evgen_'Chur'_Kucherov_-_Ukrainian/Russian_Voice^Vladimir_Kozubsky_-_Russian_Voice^Rebolj_Herve_-_French_Voice^Jeremy_Faucomprez_-_French_Voice^Tassilo_Egloffstein_-_German_Voice_/_Combat_voices^Joseph_Bracken_-_English_Voice_/_Combat_voices^Charlie_Bloomer_-_English_Voice^Evi_Stender_-_German_Voice^Olena_Vanina_-_Ukrainian_/_Russian_Voice^Georgina_Woodford_-_English_/_French_Voice^Samuel_Port_-_Combat_voices^^Studio_technical_support_UK:^Rich_Coomber^Krzysztof_Popiel^^^Additonal_Sounds^^GC_Sounddesign_www.svengerlach.de^^Soundesign:^Sven_Gerlach^^^Instrumental_Music^^Snare_Drum:^Mark_Beecher^^Fife:^Ed_Boyle^^Trumpet_(Bugle):^Christopher_Tolomeo^^Bagpipes:^Kenny_Sutherland^^Recorded_at_Catacombs_Studio,_Broomall,_PA_-_Mark_Beecher;_Engineer^and_BradySound_Studios,_Woodlyn,_PA_-_Greg_Brady_&_Mark_Sarro;_Engineers.^All_music_based_on_ancient_manuscripts_of_the_Napoleonic_Era,_compiled_&_^arranged_by_Mark_Beecher._^^Additional_Bagpipes:^Charlie_Hunter^^^Music^^Apollo_Symphony_Orchestra_www.classicalmusicroyaltyfree.com^Wolfgang_Amadeus_Mozart_-_Great_mass_in_C_minor_-_Gloria.^Richard_Wagner_-_Ritt_der_Valkuren.^Antonin_Dvorak_-_New_world_symphony_(4th_movement)^Ludwig_von_Beethoven_-_Symphony_No._5_(1st_movement)^Georges_Bizet_-_Toreador’s_Song_(from_Carmen)^^Neosounds.com^Ludwig_von_Beethoven:_Symphony_no.9_-_4th_Movement;_By_the_New_Age_Symphony_Orchestra^^sounddogs.com^Johann_Strauss_Sr._-_Radetzky_March;_By_Bartok_Consulting_(BMI)^Pyotr_llyrich_Tchaikovsky_-_Overture_1812;_By_Bartok_Consulting_(BMI)_^Franz_Schubert_-_Marche_Militaire;_By_Quimus_Music^^Musicloops.com^Ludwig_von_Beethoven_-_Fur_Elise;_By_Bobby_Cole^Johann_Sebastian_Bach_-_Cello_Suite_No._1;_By_Tim_Brown_^^Trackline.com^Edward_Elgar_-_Pomp_and_Circumstance_March_No._1^George_Frideric_Handel_-_The_Messiah_(Hallelujah_Chorus)_^George_Frideric_Handel_-_Queen_of_Sheba^Antonio_Vivaldi_-_Four_Seasons:_Summer_(3rd_movement)^^William_Boyce_-_Sinfonia_No._1^^Stockmusic.com^Antonio_Vivaldi_-_Four_Seasons:_Summer_(1st_+_2nd_movement)^Antonio_Vivaldi_-_Four_Seasons:_Spring_(1st_+_2nd_movement)^Antonio_Vivaldi_-_Four_Seasons:_Winter_(1st_+_3rd_movement)^Antonio_Vivaldi_-_Four_Seasons:_Autimn_(1st_movement)^Antonio_Vivaldi_-_Concerto_No._10_allegro_2^Antonio_Vivaldi_-_Concerto_flute_violin_continuo_allegro^Antonio_Vivaldi_-_Concerto_grosso_No._8_allegro^Mozart_-_Eine_Kleine_Nachtmusik^Brahms_-_Hungarian_Dance_No._5^Rimsky-Korsakov_-_The_Flight_of_the_Bumble_Bee_^Mendelssohn_-_A_Wedding_March_Recessional^Johann_Sebastian_Bach_-_Concerto_for_Two_Violins_in_D_Minor^Johann_Sebastian_Bach_-_Gavotte_^Johann_Sebastian_Bach_-_Orchestral_Suite_No._3^Strauss_-_Blue_Danube_Waltz^Boccherini_-_Minuet_^Georges_Bizet_-_Carmen_Suite_No._1,_Aragonaise_^Chopin_-_Polonaise_in_A_Major_Op_40_N1,_Military_^Geminiani_-_Concerto_Grosso_^Grieg_-_Peer_Gynt_Overture_^Grieg_-_Peer_Gynt_Suite_No_1_Op_46:_In_the_Hall_of_the_Mountain_King^Hummel_-_Rondo_^Liszt_-_Les_Preludes_^^Incompetech.com;_Performed_by_Kevin_MacLeod^Licensed_under_Creative_Commons_'Attribution_3.0'^Ludwig_von_Beethoven_-_Laendler_in_C_minor^Ludwig_von_Beethoven_-_Ecossaise_in_E-flat^Johann_Sebastian_Bach_-_Toccata_and_Fugue^Johann_Sebastian_Bach_-_Prelude_in_C^Johann_Sebastian_Bach_-_Chromatic_Fantasia_^Johann_Sebastian_Bach_-_Chromatic_Fugue_^Saint_Saens_-_Danse_Macabre^Richard_Strauss_-_Also_Sprach_Zarathustra^William_tell_-_Ranz_des_Vaches^Wagner_-_Lohengrin_^Pyotr_llyrich_Tchaikovsky_-_Waltz_Op._40^Johann_Sebastian_Bach_-_Brandenburg_concerto_no.^Pachelbel_-_Canon^Erik_Satie_-_Gymnopedie_No._3^Agnus_Dei_^Schmetterling^Tiny_Fugue^Lift_Motif^^^Patch_1.2_Community_Contributors:^Thunderstormer:_Programming^Joe_'Marks'_Markoutsis:_Modeling_and_texturing^Paul_'Maximilien'_Le_Guilly:_Modeling,_texturing,_French_translation^Martins_'Caesim'_Stikuts:_Programming^Milos_'Grozni'_Stojanovic:_Programming^Joshua_Hurrell:_Mapping^Zebaad_Peritz:_Mapping^Ondrej_'Raii'_Fischer_:_Czech_translation^Jesus_Varela_Grela_and_AlfonsoM:_Spanish_translation^Chengda_'FeX_Xcd'_Xu:_Chinese_translation^Lingyun_Zeng_&_ilam:_Chinese_translation^Nedim:_Turkish_translation^Filip_'Vitko'_Witkowski:_Polish_translation^Stasiu_'Stasiulek'_Szeliga:_Polish_translation^Mikolaj_'Zahari'_Slawinski:_Polish_translation^Bomulsun,_Ronald_Speirs,_ChickenDelivering,_Karon:_Korean_translation^'Zauberfisch':_Programming^'Silen':_Modeling,_texturing_and_animating^Niklas_'Jetfire'_Kachel:_Modeling,_texturing_and_animating^^^Contributions:^Mika'il_Yazbeck_-_Associate_Producer^Volodymyr_'Yamabushi'_Hamardiuk^Andrew_'Refleax'_Farrugia^Julian_'Rycon'_Farrugia^Sebastian_'Donald_MacDonald'_Melzer^Mark_'Spunned'_Echers^David_'Fahausi/Kabs'_Kappelhoff^Ralf_'Fortune'_van_Daal^Christian_'Condoz'_Gruber^Aitor_'Leberecht'_Jiménez^Simon_'Finguin'_B.C^Lucas_'Nexus'_Andrieu^Valentin_'Vavas'_Provost^'CKtheFat'^^^Special_Thanks_to:^Alexis_Cabaret_www.mont-saint-jean.com^Andrew_'Refleax'_Farrugia^Asger_'Deafboy'_Gronhoj^Christian_Drozdowski^Daniel_Papen^David_Liuzzo_-_Prussian_Eagle^Jeroen_van_Kalkeren^Mark_'Spunned'_Echers^Mika'il_Yazbeck^Peter_'Biteme'_Hyder^'Praetorian'^'Psiphoon'^'Shredzorz'^'Sodacan'^Tassilo_'Rejenorst'_Egloffstein^Marc_'Macs899'_Shaw^^^Community_maps_by:^'Gokiller'^Teemu_'Comrade_Temuzu'_Hepola^'KArantukki'^Levi_'Disgrntld'_Wiseman^'Ghost'^'CKtheFat'^S.Santema_'Immor'^'BigMac'^Marc_'Aldemar'_Sommerhoff^Martin_'Friedrich'_Kieper_^Sergiu_'Nylas'_Vataman^Petter_Kristian_'Vikestad'_Vikestad^Lewis_'Nano'_Thornton^Ben_'Jebus'_Durston^Jordan_'Jay_One'_Barnes^Jamel_Donga-As_'Angel'_Angel^Carl-Johan_'Leaf'_Lofgren^Daan_'Chequered'_Ruiter^Benjamin_'Blame_Canada'_Christensen^Christian_'Xati'_Lazar^84e_Regiment_'Un_Contre_Dix'__d'Infanterie_de_Ligne^
str_credits_13 Paradox_Interactive^^CEO:^Fredrik_Wester^^CFO:^Andras_Vajlok^^CAO:^Lena_Blomberg^^EVP_Development:^Johan_Andersson^^EVP_Sales:^Reena_M_Miranda^^EVP_Publishing:^Susana_Meza^^Executive_Producer:^Mattias_Lilja^^Senior_Producer:^Gordon_Van_Dyke^^Producers:^Shams_Jorjani^Jorgen_Björklund^Staffan_Berglen^^DLC_Producer:^Jacob_Munthe^^QA_Producer:^Erika_S._Kling^^
str_credits_14 PR_Manager:^Boel_Bermann^^Marketing_Manager:^Daniela_Sjunnesson^^Product_&_Event_Manager:^Jeanette_Bauer^^Sales_Associate:^Andrew_Ciesla^Jason_Ross^Don_Louie^^Finance_&_Accounting:^Emilia_Hanssen^^Marketing_assets:^Veronica_Gunlycke^2Coats_Creations^^Localization:^S&H_Entertainment^^Packaging_&_Manual_layout:^Retrographics^^Packshots:^Martin_Doersam^^Thanks_to_all_our_partners’_worldwide,_in_particular_long-term_partners^and_last,_but_not_least,_a_special_thanks_to_all_forum_members,^operation_partners_and_supporters,_who_are_integral_for_our_success.
str_credits_15 Unused
str_mp_ambush Ambush_(Day)
str_mp_ambush_fog Ambush_(Fog)
str_mp_arabian_harbour Arabian_Harbour_(Day)
str_mp_arabian_harbour_night Arabian_Harbour_(Night)
str_mp_arabian_village Arabian_Village_(Day)
str_mp_arabian_village_morning Arabian_Village_(Morning)
str_mp_arabian_village_conq Arabian_Town_(Day)
str_mp_arabian_village_conq_morning Arabian_Town_(Morning)
str_mp_ardennes Ardennes_(Snowing)
str_mp_ardennes_morning Ardennes_(Morning)
str_mp_avignon Avignon_(Day)
str_mp_avignon_morning Avignon_(Cloudy)
str_mp_bavarian_river Bavarian_River_(Day)
str_mp_bavarian_river_cloudy Bavarian_River_(Cloudy)
str_mp_beach Beach_(Day)
str_mp_beach_morning Beach_(Morning)
str_mp_borodino Borodino_(Day)
str_mp_borodino_morn Borodino_(Morning)
str_mp_champs_elysees Champs-Elysees_(Day)
str_mp_champs_elysees_rain Champs-Elysees_(Raining)
str_mp_charge_to_the_rhine Charge_to_the_Rhine_(Day)
str_mp_charge_to_the_rhine_cloudy Charge_to_the_Rhine_(Cloudy)
str_mp_citadelle_napoleon Citadelle_Napoleon_(Day)
str_mp_citadelle_napoleon_morning Citadelle_Napoleon_(Morning)
str_mp_columbia_hill_farm Columbia_Farm_(Day)
str_mp_columbia_farm_morning Columbia_Farm_(Morning)
str_mp_countryside Countryside_(Day)
str_mp_countryside_fog Countryside_(Fog)
str_mp_dust Dust_(Day)
str_mp_dust_morning Dust_(Morning)
str_mp_european_city_summer European_City_(Summer)
str_mp_european_city_winter European_City_(Winter)
str_mp_floodplain Floodplain_(Day)
str_mp_floodplain_storm Floodplain_(Storm)
str_mp_forest_pallisade Forest_Pallisade_(Day)
str_mp_forest_pallisade_fog Forest_Pallisade_(Fog)
str_mp_fort_al_hafya Fort_Al_Hafya_(Day)
str_mp_fort_al_hafya_night Fort_Al_Hafya_(Night)
str_mp_fort_bashir Fort_Bashir_(Day)
str_mp_fort_bashir_morning Fort_Bashir_(Morning)
str_mp_fort_beaver Fort_Fausbourg_(Day)
str_mp_fort_beaver_morning Fort_Fausbourg_(Morning)
str_mp_fort_boyd Fort_Boyd_(Day)
str_mp_fort_boyd_raining Fort_Boyd_(Raining)
str_mp_fort_brochet Fort_Brochet_(Day)
str_mp_fort_brochet_raining Fort_Brochet_(Raining)
str_mp_fort_de_chartres Fort_de_Chartres_(Day)
str_mp_fort_de_chartres_raining Fort_de_Chartres_(Raining)
str_mp_fort_fleetwood Fort_Fleetwood_(Morning)
str_mp_fort_fleetwood_storm Fort_Fleetwood_(Storm)
str_mp_fort_george Fort_George_(Day)
str_mp_fort_george_raining Fort_George_(Raining)
str_mp_fort_hohenfels Fort_Hohenfels_(Day)
str_mp_fort_hohenfels_night Fort_Hohenfels_(Night)
str_mp_fort_lyon Fort_Lyon_(Day)
str_mp_fort_lyon_night Fort_Lyon_(Night)
str_mp_fort_mackinaw Fort_Mackinaw_(Day)
str_mp_fort_mackinaw_raining Fort_Mackinaw_(Raining)
str_mp_fort_nylas Fort_Nylas_(Day)
str_mp_fort_nylas_raining Fort_Nylas_(Raining)
str_mp_fort_refleax Fort_Willsbridge_(Day)
str_mp_fort_refleax_night Fort_Willsbridge_(Night)
str_mp_fort_vincey Fort_Whittington_(Day)
str_mp_fort_vincey_storm Fort_Whittington_(Storm)
str_mp_french_farm French_Farm_(Day)
str_mp_french_farm_storm French_Farm_(Storm)
str_mp_german_village German_Village_(Morning)
str_mp_german_village_rain German_Village_(Storm)
str_mp_hougoumont Hougoumont_(Day)
str_mp_hougoumont_night Hougoumont_(Night)
str_mp_hungarian_plains Hungarian_Plain_(Day)
str_mp_hungarian_plains_cloud Hungarian_Plain_(Cloudy)
str_mp_theisland The_Island_(Day)
str_mp_la_haye_sainte La_Haye_Sainte_(Day)
str_mp_la_haye_sainte_night La_Haye_Sainte_(Night)
str_mp_landshut Landshut_(Day)
str_mp_landshut_night Landshut_(Night)
str_mp_minden Minden_(Day)
str_mp_minden_night Minden_(Morning)
str_mp_naval Naval_Battle_(Day)
str_mp_oaksfield_day Oaksfield_(Day)
str_mp_oaksfield_storm Oaksfield_(Storm)
str_mp_outlaws_den Outlaw's_Den_(Day)
str_mp_outlaws_den_night Outlaw's_Den_(Night)
str_mp_pyramids Battle_of_the_Pyramids_(Day)
str_mp_quatre_bras Quatre_Bras_(Day)
str_mp_quatre_bras_night Quatre_Bras_(Night)
str_mp_river_crossing River_Crossing_(Day)
str_mp_river_crossing_morning River_Crossing_(Morning)
str_mp_roxburgh Roxburgh_(Day)
str_mp_roxburgh_raining Roxburgh_(Raining)
str_mp_russian_river_day Russian_River_(Day)
str_mp_russian_river_cloudy Russian_River_(Raining)
str_mp_russian_village Russian_Village_(Snow)
str_mp_russian_village_fog Russian_Village_(Fog)
str_mp_russian_village_conq Russian_Town_(Fog)
str_mp_russian_village_conq_night Russian_Town_(Night)
str_mp_saints_isle Saint's_Isle_(Day)
str_mp_saints_isle_rain Saint's_Isle_(Rain)
str_mp_schemmerbach Schemmerbach_(Day)
str_mp_schemmerbach_storm Schemmerbach_(Storm)
str_mp_siege_of_toulon Siege_of_Toulon_(Day)
str_mp_siege_of_toulon_night Siege_of_Toulon_(Night)
str_mp_sjotofta Sjotofta_(Day)
str_mp_sjotofta_night Sjotofta_(Night)
str_mp_slovenian_village Slovenian_Village_(Day)
str_mp_slovenian_village_raining Slovenian_Village_(Raining)
str_mp_spanish_farm Spanish_Farm_(Day)
str_mp_spanish_farm_rain Spanish_Farm_(Raining)
str_mp_spanish_mountain_pass Spanish_Mountain_Pass_(Day)
str_mp_spanish_mountain_pass_evening Spanish_Mountain_Pass_(Evening)
str_mp_spanish_village Spanish_Village_(Day)
str_mp_spanish_village_evening Spanish_Village_(Evening)
str_mp_strangefields Strangefields
str_mp_strangefields_storm Strangefields_(Storm)
str_mp_swamp Siegburger_Swamp_(Fog)
str_mp_venice Venice_(Day)
str_mp_venice_morning Venice_(Morning)
str_mp_walloon_farm Wallonian_Farm_(Day)
str_mp_walloon_farm_night Wallonian_Farm_(Night)
str_mp_wissaudorf Wissaudorf_(Day)
str_mp_testing_map Testing_map
str_random_multi_plain_medium Random_Plains_(Medium)
str_random_multi_plain_large Random_Plains_(Large)
str_random_multi_plain_medium_rain Random_Plains_(Medium)_Raining
str_random_multi_plain_large_rain Random_Plains_(Large)_Raining
str_random_multi_steppe_medium Random_Steppe_(Medium)
str_random_multi_steppe_large Random_Steppe_(Large)
str_random_multi_steppe_forest_medium Random_Steppe_Forest_(Medium)
str_random_multi_steppe_forest_large Random_Steppe_Forest_(Large)
str_random_multi_snow_medium Random_Snow_(Medium)
str_random_multi_snow_medium_snow Random_Snow_(Medium)_Snowing
str_random_multi_snow_large Random_Snow_(Large)
str_random_multi_snow_large_snow Random_Snow_(Large)_Snowing
str_random_multi_snow_forest_medium Random_Snow_Forest_(Medium)
str_random_multi_snow_forest_medium_snow Random_Snow_Forest_(Medium)_Snowing
str_random_multi_snow_forest_large Random_Snow_Forest_(Large)
str_random_multi_snow_forest_large_snow Random_Snow_Forest_(Large)_Snowing
str_random_multi_desert_medium Random_Desert_(Medium)
str_random_multi_desert_large Random_Desert_(Large)
str_random_multi_desert_forest_medium Random_Desert_Forest_(Medium)
str_random_multi_desert_forest_large Random_Desert_Forest_(Large)
str_random_multi_forest_medium Random_Forest_(Medium)
str_random_multi_forest_medium_rain Random_Forest_(Medium)_Raining
str_random_multi_forest_large Random_Forest_(Large)
str_random_multi_forest_large_rain Random_Forest_(Large)_Raining
str_mp_custom_map_1 custom_map_1
str_mp_custom_map_2 custom_map_2
str_mp_custom_map_3 custom_map_3
str_mp_custom_map_4 custom_map_4
str_mp_custom_map_5 custom_map_5
str_mp_custom_map_6 custom_map_6
str_mp_custom_map_7 custom_map_7
str_mp_custom_map_8 custom_map_8
str_mp_custom_map_9 custom_map_9
str_mp_custom_map_10 custom_map_10
str_mp_custom_map_11 custom_map_11
str_mp_custom_map_12 custom_map_12
str_mp_custom_map_13 custom_map_13
str_mp_custom_map_14 custom_map_14
str_mp_custom_map_15 custom_map_15
str_mp_custom_map_16 custom_map_16
str_mp_custom_map_17 custom_map_17
str_mp_custom_map_18 custom_map_18
str_mp_custom_map_19 custom_map_19
str_mp_custom_map_20 custom_map_20
str_mp_custom_map_21 custom_map_21
str_mp_custom_map_22 custom_map_22
str_mp_custom_map_23 custom_map_23
str_mp_custom_map_24 custom_map_24
str_mp_custom_map_25 custom_map_25
str_mp_custom_map_26 custom_map_26
str_mp_custom_map_27 custom_map_27
str_mp_custom_map_28 custom_map_28
str_mp_custom_map_29 custom_map_29
str_mp_custom_map_30 custom_map_30
str_mp_custom_map_31 custom_map_31
str_mp_custom_map_32 custom_map_32
str_mp_custom_map_33 custom_map_33
str_mp_custom_map_34 custom_map_34
str_mp_custom_map_35 custom_map_35
str_mp_custom_map_36 custom_map_36
str_mp_custom_map_37 custom_map_37
str_mp_custom_map_38 custom_map_38
str_mp_custom_map_39 custom_map_39
str_mp_custom_map_40 custom_map_40
str_mp_custom_map_41 custom_map_41
str_mp_custom_map_42 custom_map_42
str_mp_custom_map_43 custom_map_43
str_mp_custom_map_44 custom_map_44
str_mp_custom_map_45 custom_map_45
str_mp_custom_map_46 custom_map_46
str_mp_custom_map_47 custom_map_47
str_mp_custom_map_48 custom_map_48
str_mp_custom_map_49 custom_map_49
str_mp_custom_map_50 custom_map_50
str_mp_custom_map_51 custom_map_51
str_mp_custom_map_52 custom_map_52
str_mp_custom_map_53 custom_map_53
str_mp_custom_map_54 custom_map_54
str_mp_custom_map_55 custom_map_55
str_mp_custom_map_56 custom_map_56
str_mp_custom_map_57 custom_map_57
str_mp_custom_map_58 custom_map_58
str_mp_custom_map_59 custom_map_59
str_mp_custom_map_60 custom_map_60
str_mp_custom_map_61 custom_map_61
str_mp_custom_map_62 custom_map_62
str_mp_custom_map_63 custom_map_63
str_mp_custom_map_64 custom_map_64
str_mp_custom_map_65 custom_map_65
str_mp_custom_map_66 custom_map_66
str_mp_custom_map_67 custom_map_67
str_mp_custom_map_68 custom_map_68
str_mp_custom_map_69 custom_map_69
str_mp_custom_map_70 custom_map_70
str_mp_custom_map_71 custom_map_71
str_mp_custom_map_72 custom_map_72
str_mp_custom_map_73 custom_map_73
str_mp_custom_map_74 custom_map_74
str_mp_custom_map_75 custom_map_75
str_mp_custom_map_76 custom_map_76
str_mp_custom_map_77 custom_map_77
str_mp_custom_map_78 custom_map_78
str_mp_custom_map_79 custom_map_79
str_mp_custom_map_80 custom_map_80
str_mp_custom_map_81 custom_map_81
str_mp_custom_map_82 custom_map_82
str_mp_custom_map_83 custom_map_83
str_mp_custom_map_84 custom_map_84
str_mp_custom_map_85 custom_map_85
str_mp_custom_map_86 custom_map_86
str_mp_custom_map_87 custom_map_87
str_mp_custom_map_88 custom_map_88
str_mp_custom_map_89 custom_map_89
str_mp_custom_map_90 custom_map_90
str_mp_custom_map_91 custom_map_91
str_mp_custom_map_92 custom_map_92
str_mp_custom_map_93 custom_map_93
str_mp_custom_map_94 custom_map_94
str_mp_custom_map_95 custom_map_95
str_mp_custom_map_96 custom_map_96
str_mp_custom_map_97 custom_map_97
str_mp_custom_map_98 custom_map_98
str_mp_custom_map_99 custom_map_99
str_mp_custom_map_100 custom_map_100
str_multi_scene_end multi_scene_end
str_multi_game_type_1 Deathmatch
str_multi_game_type_2 Team_Deathmatch
str_multi_game_type_3 Battle
str_multi_game_type_5 Capture_the_Flag
str_multi_game_type_6 Conquest
str_multi_game_type_7 Siege
str_multi_game_type_8 Duel
str_multi_game_type_9 Commander_Battle
str_multi_game_type_10 King_of_the_Hill
str_multi_game_type_12 Scene_Editing
str_multi_game_types_end multi_game_types_end
str_multi_game_type_11 Battle_Royale
str_poll_kick_player_s1_by_s0 {s0}_started_a_poll_to_kick_player_{s1}.
str_poll_ban_player_s1_by_s0 {s0}_started_a_poll_to_ban_player_{s1}.
str_poll_change_map_to_s1_by_s0 {s0}_started_a_poll_to_change_map_to_{s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0 {s0}_started_a_poll_to_change_map_to_{s1}_and_nations_to_{s2}_and_{s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0 {s0}_started_a_poll_to_change_bot_counts_to_{reg0}_and_{reg1}.
str_poll_custom_s1_by_s0 {s0}_started_a_poll_"{s1}".
str_poll_kick_player Poll_to_kick_player_{s0}:_1_=_Accept,_2_=_Decline
str_poll_ban_player Poll_to_ban_player_{s0}:_1_=_Accept,_2_=_Decline
str_poll_change_map Poll_to_change_map_to_{s0}:_1_=_Accept,_2_=_Decline
str_poll_change_map_with_faction Poll_to_change_map_to_{s0}_and_nations_to_{s1}_versus_{s2}:_1_=_Accept,_2_=_Decline
str_poll_change_number_of_bots Poll_to_change_number_of_bots_to_{reg0}_for_{s0}_and_{reg1}_for_{s1}:_1_=_Accept,_2_=_Decline
str_poll_custom_poll {s0}:_1_=_Accept,_2_=_Decline
str_poll_time_left ({reg0}_seconds_left)
str_poll_result_yes The_poll_is_accepted_by_the_majority.
str_poll_result_no The_poll_is_rejected_by_the_majority.
str_server_name Server_name:
str_game_password Game_password:
str_map Map:
str_game_type Game_type:
str_max_number_of_players Maximum_number_of_players:
str_number_of_bots_in_team_reg1 Number_of_bots_in_team_{reg1}:
str_team_reg1_faction Team_{reg1}_nation:
str_enable_valve_anti_cheat Enable_Valve_Anti-cheat_(Requires_valid_Steam_account)
str_allow_friendly_fire Allow_ranged_friendly_fire
str_allow_melee_friendly_fire Allow_melee_friendly_fire
str_friendly_fire_damage_self_ratio Friendly_fire_damage_self_(%):
str_friendly_fire_damage_friend_ratio Friendly_fire_damage_friend_(%):
str_spectator_camera Spectator_camera:
str_control_block_direction Control_block_direction:
str_map_time_limit Map_time_limit_(minutes):
str_round_time_limit Round_time_limit_(seconds):
str_players_take_control_of_a_bot_after_death Switch_to_bot_on_death:
str_team_points_limit Team_point_limit:
str_point_gained_from_flags Team_points_gained_for_flags_(%):
str_point_gained_from_capturing_flag Points_gained_for_capturing_flags:
str_respawn_period Respawn_period_(seconds):
str_add_to_official_game_servers_list Add_to_official_game_servers_list
str_combat_speed Combat_speed:
str_combat_speed_0 Slowest
str_combat_speed_1 Slower
str_combat_speed_2 Medium
str_combat_speed_3 Faster
str_combat_speed_4 Fastest
str_off Off
str_on On
str_defender_spawn_count_limit Defender_spawn_count:
str_unlimited Unlimited
str_automatic Automatic
str_by_mouse_movement By_mouse_movement
str_free Free
str_stick_to_any_player Lock_to_any_player
str_stick_to_team_members Lock_to_team_members
str_stick_to_team_members_view Lock_to_team_members'_view
str_make_factions_voteable Allow_polls_to_change_nations
str_make_kick_voteable Allow_polls_to_kick_players
str_make_ban_voteable Allow_polls_to_ban_players
str_bots_upper_limit_for_votes Bot_count_limit_for_polls:
str_make_maps_voteable Allow_polls_to_change_maps
str_valid_vote_ratio Poll_accept_threshold_(%):
str_auto_team_balance_limit Auto_team_balance_threshold_(diff.):
str_welcome_message Welcome_message:
str_initial_gold_multiplier Starting_gold_(%):
str_battle_earnings_multiplier Combat_gold_bonus_(%):
str_round_earnings_multiplier Round_gold_bonus_(%):
str_allow_player_banners Allow_individual_banners
str_force_default_armor Force_minimum_armor
str_reg0 {!}{reg0}
str_s0_reg0 {!}{s0}_{reg0}
str_s0_s1 {!}{s0}_{s1}
str_reg0_dd_reg1reg2 {!}{reg0}:{reg1}{reg2}
str_s0_dd_reg0 {!}{s0}:_{reg0}
str_respawning_in_reg0_seconds Respawning_in_{reg0}_seconds...
str_no_more_respawns_remained_this_round No_lives_left_for_this_round
str_reg0_respawns_remained ({reg0}_lives_remaining)
str_this_is_your_last_respawn (This_is_your_last_life)
str_wait_next_round (Wait_for_the_next_round)
str_yes_wo_dot Yes
str_no_wo_dot No
str_s1_returned_flag {s1}_has_returned_their_flag_to_their_base!
str_s1_auto_returned_flag {s1}_flag_automatically_returned_to_their_base!
str_s1_captured_flag {s1}_has_captured_the_enemy_flag!
str_s1_taken_flag {s1}_has_taken_the_enemy_flag!
str_s1_neutralized_flag_reg0 {s1}_has_lost_{s0}.
str_s1_captured_flag_reg0 {s1}_has_captured_{s0}!
str_s1_pulling_flag_reg0 {s1}_has_started_capturing_{s0}.
str_s1_defended_castle {s1}_defended_their_fort!
str_s1_captured_castle {s1}_captured_the_fort!
str_auto_team_balance_in_20_seconds Auto-balance_will_be_done_in_30_seconds.
str_auto_team_balance_next_round Auto-balance_will_be_done_next_round.
