str_no_string|BRAK WIERSZA!
str_mp_custom_map_89|własna mapa 89
str_mp_custom_map_90|własna mapa 90
str_mp_custom_map_91|własna mapa 91
str_mp_custom_map_92|własna mapa 92
str_mp_custom_map_93|własna mapa 93
str_mp_custom_map_94|własna mapa 94
str_mp_custom_map_95|własna mapa 95
str_mp_custom_map_96|własna mapa 96
str_mp_custom_map_97|własna mapa 97
str_mp_custom_map_98|własna mapa 98
str_mp_custom_map_99|własna mapa 99
str_mp_custom_map_100|własna mapa 100
str_multi_scene_end|multi scene end
str_multi_game_type_1|Deathmatch
str_multi_game_type_2|Drużynowy deathmatch
str_multi_game_type_3|Bitwa
str_multi_game_type_5|Zdobądź flagę
str_multi_game_type_6|Podbój
str_multi_game_type_7|Oblężenie
str_multi_game_type_8|Pojedynek
str_multi_game_type_9|Bitwa dowódców
str_multi_game_type_10|Król wzgórza
str_multi_game_type_12|Edycja sceny
str_multi_game_types_end|multi game types end
str_multi_game_type_11|Edycja sceny
str_poll_kick_player_s1_by_s0|{s0} rozpoczyna głosowanie za wyrzuceniem gracza: {s1}.
str_poll_ban_player_s1_by_s0|{s0} rozpoczyna głosowanie za zbanowaniem gracza: {s1}.
str_poll_change_map_to_s1_by_s0|{s0} rozpoczyna głosowanie za zmianą mapy na: {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} rozpoczyna głosowanie za zmianą mapy na: {s1}, oraz frakcji na: {s2} i {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} rozpoczyna głosowanie za zmianą liczenia na: {reg0} i {reg1}.
str_poll_kick_player|Głosowanie za wyrzuceniem gracza: {s0} ^Klawisz '1' = za, Klawisz '2' = przeciw
str_poll_ban_player|Głosowanie za zbanowaniem gracza {s0} ^Klawisz '1' = za, Klawisz '2' = przeciw
str_poll_change_map|Głosowanie za zmianą mapy na {s0} ^Klawisz '1' = za, Klawisz '2' = przeciw
str_poll_change_map_with_faction|Głosowanie za zmianą mapy na {s0} oraz frakcji na: {s1} kontra {s2} ^Klawisz '1' = za, Klawisz '2' = przeciw
str_poll_change_number_of_bots|Głosowanie za zmianą botów na następujące: ^{reg0} w {s0} oraz {reg1} w {s1} ^Klawisz '1' = za, Klawisz '2' = przeciw
str_poll_time_left|(pozostały czas w sekundach: {reg0})
str_poll_result_yes|Większość poparła wniosek.
str_poll_result_no|Większość odrzuciła wniosek.
str_server_name|Nazwa serwera:
str_game_password|Hasło gry:
str_map|Mapa:
str_game_type|Typ gry:
str_max_number_of_players|Maks. liczba graczy:
str_number_of_bots_in_team_reg1|Liczba botów w {reg1}. drużynie:
str_team_reg1_faction|Nacja drużyny {reg1}:
str_enable_valve_anti_cheat|Włącz system Valve Anti-cheat (wymaga konta Steam)
str_allow_friendly_fire|Obr. 'friendly fire' w walce dystansowej
str_allow_melee_friendly_fire|Obr. 'friendly fire' w walce wręcz
str_friendly_fire_damage_self_ratio|Odbicie 'friendly fire' w siebie (%):
str_friendly_fire_damage_friend_ratio|Obr. 'friendly fire' w przyjaciół (%):
str_spectator_camera|Kamera obserwatora:
str_control_block_direction|Kontrola kierunku blokowania:
str_map_time_limit|Limit czasowy mapy (w minutach):
str_round_time_limit|Limit czasowy rundy (w sekundach):
str_players_take_control_of_a_bot_after_death|Przełącz na bota w chwili śmierci:
str_team_points_limit|Limit punktów drużyny:
str_point_gained_from_flags|Punkty drużyny za zdobycie flagi (%):
str_point_gained_from_capturing_flag|Punkty otrzymane za zdobycie flagi:
str_respawn_period|Czas do odrodzenia (w sekundach):
str_add_to_official_game_servers_list|Dodaj do oficjalnej listy serwerów gry
str_combat_speed|Prędkość walki:
str_combat_speed_0|Najwolniejsza
str_combat_speed_1|Wolna
str_combat_speed_2|Średnia
str_combat_speed_3|Szybka
str_combat_speed_4|Najszybsza
str_off|Wyłączono
str_on|Włączono
str_defender_spawn_count_limit|Liczba odrodzeń obrońców:
str_unlimited|Bez limitu
str_automatic|Automatycznie
str_by_mouse_movement|Zgodnie z ruchem myszy
str_free|Bez ograniczeń
str_stick_to_any_player|Zablokuj przy graczu
str_stick_to_team_members|Zablokuj przy członkach drużyny
str_stick_to_team_members_view|Zablokuj przy widoku członków drużyny
str_make_factions_voteable|Zezwól na głosowanie nad zmianą frakcji
str_make_kick_voteable|Zezwól na głosowanie nad wyrzucaniem graczy
str_make_ban_voteable|Zezwól na głosowanie nad banowaniem graczy
str_bots_upper_limit_for_votes|Ograniczenie botów w głosowaniach:
str_make_maps_voteable|Zezwól na głosowanie nad zmianą mapy
str_valid_vote_ratio|Próg akceptowalności głosowania (%):
str_auto_team_balance_limit|Próg auto-balansu drużyn (różn.):
str_welcome_message|Wiadomość powitalna:
str_initial_gold_multiplier|Początkowe złoto (%):
str_battle_earnings_multiplier|Wynagrodzenie za walkę (%):
str_round_earnings_multiplier|Wynagrodzenie za rundę (%):
str_allow_player_banners|Zezwól na indywidualne sztandary
str_force_default_armor|Wymuś podstawowy pancerz
str_respawning_in_reg0_seconds|Odrodzenie za {reg0} sek...
str_no_more_respawns_remained_this_round|Koniec żyć na tę rundę
str_reg0_respawns_remained|(Pozostałe życia: {reg0})
str_this_is_your_last_respawn|(To Twoje ostatnie życie)
str_wait_next_round|(Zaczekaj na następną rundę)
str_yes_wo_dot|Tak
str_no_wo_dot|Nie
str_s1_returned_flag|{s1} zwraca swoją flagę do bazy!
str_s1_auto_returned_flag|{s1} - flaga automatycznie powróciła do bazy!
str_s1_captured_flag|{s1} zdobywa flagę wroga!
str_s1_taken_flag|{s1} wykrada flagę wroga!
str_s1_neutralized_flag_reg0|{s1} traci flagę nr {reg0}.
str_s1_captured_flag_reg0|{s1} zawiesza flagę nr {reg0}!
str_s1_pulling_flag_reg0|{s1} zaczyna ściągać flagę nr {reg0}.
str_s1_defended_castle|{s1} utrzymuje cel!
str_s1_captured_castle|{s1} zdobywa cel!
str_auto_team_balance_in_20_seconds|Automatyczne zbalansowanie nastąpi za 30 sekund.
str_auto_team_balance_next_round|Automatyczne zbalansowanie nastąpi w następnej rundzie.
str_auto_team_balance_done|Drużyny automatycznie zbalansowano.
str_s1_won_round|{s1} wygrywa rundę!
str_round_draw|Czas się skończył. Remis.
str_round_draw_no_one_remained|Nie pozostał ani jeden gracz. Remis.
str_reset_to_default|Domyślne
str_done|Gotowe
str_player_name|Imię gracza
str_kills|Zab.
str_deaths|Zgony
str_ping|Ping
str_dead|Nie żyje
str_reg0_dead|{reg0} Martwych
str_bots_reg0_agents|Boty ({reg0} agentów)
str_bot_1_agent|Bot (1 agent)
str_score|Wynik
str_score_reg0|Wynik: {reg0}
str_flags_reg0|(Flagi: {reg0})
str_reg0_players|({reg0} Graczy,  {reg40} Żywych,  {reg41} Martwych)
str_reg0_player|({reg0} Graczy,  {reg40} Żywych,  {reg41} Martwych)
str_reg0_alive|{reg0} Żywych
str_reg0_player_only|{reg0} Gracz
str_reg0_players_only|{reg0} Graczy
str_reg0_spectator|{reg0} Obserwator
str_reg0_spectators|{reg0} Obserwatorów
str_open_gate|Otwórz bramę
str_close_gate|Zamknij bramę
str_open_door|Otwórz drzwi
str_close_door|Zamknij drzwi
str_raise_ladder|Podnieś drabinę
str_drop_ladder|Opuść drabinę
str_back|Wstecz
str_start_map|Rozpocznij
str_choose_an_option|Wybierz opcję:
str_choose_a_poll_type|Wybierz typ głosowania:
str_choose_faction|Wybierz frakcję
str_choose_a_faction|Wybierz frakcję:
str_choose_troop|Wybierz flagę
str_choose_a_troop|Wybierz regiment:
str_choose_items|Wybierz jednostkę
str_choose_an_item|Wybierz rangę:
str_options|Opcje
str_redefine_keys|Zmień ustawienia klawiszy
str_submit_a_poll|Zgłoś głosowanie
str_show_game_rules|Pokaż zasady gry
str_administrator_panel|Panel administratora
str_kick_player|Wyrzuć gracza
str_ban_player|Zbanuj gracza
str_mute_player|Wycisz gracza
str_unmute_player|Przywróć graczowi głos
str_quit|Wyjdź
str_poll_for_changing_the_map|Zmień mapę
str_poll_for_changing_the_map_and_factions|Zmień mapę i frakcje
str_poll_for_changing_number_of_bots|Zmień liczbę botów w drużynach
str_poll_for_kicking_a_player|Wyrzuć gracza
str_poll_for_banning_a_player|Zbanuj gracza
str_choose_a_player|Wybierz gracza:
str_choose_a_map|Wybierz mapę:
str_choose_a_faction_for_team_reg0|Wybierz frakcję dla drużyny: {reg0}
str_choose_number_of_bots_for_team_reg0|Wybierz liczbę botów dla drużyny: {reg0}
str_spectator|Obserwator
str_spectators|Obserwatorzy
str_score_2|Wynik
str_command|Dowodzenie:
str_profile_banner_selection_text|Wybierz sztandar dla swojego profilu:
str_use_default_banner|Skorzystaj ze sztandaru frakcji
str_player_name_s1|- {s1}
str_space| 
str_us_|My
str_allies_|Sprzymierzeńcy
str_enemies_|Wrogowie
str_routed|Rozgromieni
str_maximum_seconds_for_round_is_reg0|Maksymalna liczba sekund rundy to {reg0}.
str_respawn_period_is_reg0_seconds|Czas do odrodzenia wynosi {reg0} sek.
str_bots_upper_limit_for_votes_is_reg0|Górna granica liczby botów w głosowaniu to {reg0}.
str_map_is_voteable|Mapa podlega głosowaniu.
str_map_is_not_voteable|Mapa nie podlega głosowaniu.
str_factions_are_voteable|Nacje podlegają głosowaniu.
str_factions_are_not_voteable|Nacje nie podlegają głosowaniu.
str_players_respawn_as_bot|Gracze odradzają się jako boty.
str_players_do_not_respawn_as_bot|Gracze nie odradzają się jako boty.
str_kicking_a_player_is_voteable|Wyrzucenie gracza podlega głosowaniu.
str_kicking_a_player_is_not_voteable|Wyrzucenie gracza nie podlega głosowaniu.
str_banning_a_player_is_voteable|Banowanie gracza podlega głosowaniu.
str_banning_a_player_is_not_voteable|Banowanie gracza nie podlega głosowaniu.
str_player_banners_are_allowed|Sztandary graczy są dopuszczone.
str_player_banners_are_not_allowed|Sztandary graczy nie nie są dopuszczone.
str_default_armor_is_forced|Pancerz domyślny jest wymuszony.
str_default_armor_is_not_forced|Domyślny pancerz nie jest wymuszony.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Procent poparcia, by propozycja przeszła przez głosowanie: {reg0}%
str_auto_team_balance_threshold_is_reg0|Próg auto-wyrównywania drużyn: {reg0}.
str_starting_gold_ratio_is_reg0|Początkowe złoto: {reg0}%
str_combat_gold_bonus_ratio_is_reg0|Premia do złota z walki: {reg0}%
str_round_gold_bonus_ratio_is_reg0|Premia do złota w rundzie: {reg0}%
str_point_gained_from_flags_is_reg0|Punkty dla drużyny zdobyte za flagi: {reg0}%
str_point_gained_from_capturing_flag_is_reg0|Punkty uzyskane za przejęcia flag: {reg0}%
str_map_time_limit_is_reg0|Limit czasowy mapy to {reg0} min.
str_team_points_limit_is_reg0|Limit punktów dla drużyny to {reg0}.
str_defender_spawn_count_limit_is_s1|Limit odradzania obrońców wynosi {s1}.
str_system_error|BŁĄD SYSTEMOWY!
str_routed_2|routed
str_s42|{s42}
str_you|wy
str_we|my
str_quick_battle_french_farm|Francuska farma
str_quick_battle_landshut|Landshut
str_quick_battle_river_crossing|Przeprawa przez rzekę
str_quick_battle_spanish_village|Hiszpańska wioska
str_quick_battle_strangefields|Pola
str_quick_battle_scene_1|Wzgórza
str_quick_battle_scene_2|Śnieżna równina
str_quick_battle_scene_3|Leśny teren
str_quick_battle_scene_4|Step
str_quick_battle_scene_6|Pustynia
str_map_basic|Mapa
str_game_type_basic|Typ gry
str_battle|Bitwa
str_character|Postać
str_player|Gracz
str_enemy|Wróg
str_faction|Nacja
str_start|Start
str_custom_battle|Własna bitwa
str_plus|+
str_minus|-
str_server_name_s0|Nazwa serwera: {s0}
str_map_name_s0|Nazwa mapy: {s0}
str_game_type_s0|Typ gry: {s0}
str_remaining_time_s0reg0_s1reg1|Poz. czas: {s0}{reg0}:{s1}{reg1}
str_a_duel_request_is_sent_to_s0|{s0} otrzymuje propozycję pojedynku.
str_s0_offers_a_duel_with_you|{s0} proponuje pojedynek.
str_your_duel_with_s0_is_cancelled|{s0} nie stanie z tobą do pojedynku, gdyż propozycja została odrzucona.
str_a_duel_between_you_and_s0_will_start_in_3_seconds|{s0} staje z tobą do pojedynku - początek nastąpi za 3 sekundy!
str_you_have_lost_a_duel|Przegrywasz pojedynek.
str_you_have_won_a_duel|Wygrywasz pojedynek.
str_server_s0|[SERWER]: {s0}
str_disallow_ranged_weapons|Zablokuj broń zasięgową
str_ranged_weapons_are_disallowed|Broń zasięgowa jest niedozwolona.
str_ranged_weapons_are_allowed|Broń zasięgowa jest dozwolona.
str_duel_starts_in_reg0_seconds|Pojedynek rozpocznie się za {reg0} sek.
str_true|Prawda
str_false|Fałsz
str_teamkilled_s1_s2|Gracz {s1} zabija członka własnej drużyny: {s2}.
str_kick_server_kills_first_s1_reg5|Gracz {s1} zostaje automatycznie wyrzucony za zabicie {reg5} członków własnej drużyny (po raz pierwszy).
str_kick_server_kills_second_s1_reg5|Gracz {s1} zostaje automatycznie wyrzucony za zabicie {reg5} członków własnej drużyny (po raz drugi).
str_ban_server_kills_s1_reg5|Gracz {s1} zostaje automatycznie zbanowany za zabicie {reg5} lub więcej członków własnej drużyny.
str_warning_message_first_reg5|Uważaj! Zabiłeś już {reg5} członków własnej drużyny na tej mapie.
str_warning_message_second_reg5|Uważaj! Zabiłeś już {reg5} członków własnej drużyny na tej mapie - kolejny oznacza wyrzucenie.
str_kick_to_message_first|Uważaj! Zostajesz wyrzucony za nagminne zabijanie członków własnej drużyny.
str_kick_to_message_second|Uważaj! Zostajesz wyrzucony za nagminne zabijanie członków własnej drużyny - kolejny oznacza ban.
str_ban_to_message|Żegnaj! Zostajesz zbanowany za nagminne zabijanie członków własnej drużyny.
str_auto_kick_message_s1|Gracz {s1} zostaje automaczynie wyrzucony za nagminne zabijanie członków własnej drużyny.
str_auto_ban_message_s1|Gracz {s1} zostaje automaczynie zbanowany za nagminne zabijanie członków własnej drużyny.
str_server_hq_base_retake_s1|{s1} odbija własną bazę!!!
str_server_hq_base_attack_s1|Baza, której gospodarzem jest {s1}, jest atakowana!!!
str_player_left_server_s1_reg13|{s1} opuszcza grę o ID: {reg13}
str_push_cannon|Ustaw działo
str_fire_cannon|Wystrzel z działa
str_aim_cannon|Przejmij kontrolę
str_unlimber_cannon|Rozprzęgnij działo
str_limber_cannon|Zaprzęgnij działo
str_load_cartridge|Umieść pocisk
str_load_bomb|Umieść ładunek moździerzowy
str_load_rocket|Umieść rakietę
str_reload_cannon|Załaduj działo
str_pick_up_round|Weź pocisk kulowy
str_pick_up_shell|Weź pocisk (wybuchowy)
str_pick_up_canister|Weź pocisk kasetowy
str_pick_up_bomb|Weź pocisk moździerzowy
str_pick_up_rocket|Podnieś wyrzutnię rakiet
str_play_piano|Graj na pianinie
str_play_organ|Graj na organach
str_take_a_shit|Skorzystaj z latryny
str_play_bell|Uderz w dzwon
str_take_ship_control|Przejmij kontrolę nad okrętem
str_cannot_use_piano|Nie możesz grać na pianinie podczas jazdy konnej!
str_cannot_use_organ|Nie możesz grać na organach podczas jazdy konnej!
str_cannot_use_piano_angle|Nie możesz grać na pianinie od tyłu.
str_cannot_use_organ_angle|Nie możesz grać na organach od tyłu.
str_cannot_use_toilet|Nie możesz korzystać z latryny podczas jazdy konnej!
str_piano_in_use|Ktoś inny już gra na pianinie!
str_organ_in_use|Ktoś inny już gra na organach!
str_toilet_in_use|Ktoś inny już korzysta z latryny!
str_cannot_use_cannon|Nie należysz do regimentu artyleryjskiego i nie możesz używać dział!
str_cannot_use_rocket|Nie należysz do regimentu rakietowego i nie możesz używać rakiet!
str_cannon_not_loaded|Działo nie jest naładowane!
