qstr_Careful...|Careful...
qstr_Go_to_meet_the_Emper|Udaj się na spotkanie z Imperatorem.
qstr_Recapture_the_city_w|Odbij miejskie mury z rąk Rosjan.
qstr_Help_your_allies_dri|Pomóż sprzymierzeńcom odeprzeć Rosjan.
qstr_Defend_the_gate_agai|Strzeż bram przed atakiem Rosjan.
qstr_Sally_out_and_rout_t|Rozgrom resztki oddziałów Rosjan.
qstr_The_assault_has_been|Atak został odparty. Vive la France!
qstr_Catch_the_Austrian_c|Złap austryjackiego dowódcę zanim ten dotrze do oddziałów austryjackich!
qstr_Break_the_Austrian_s|Pokonaj Austryjaków zabijacąc lub rozgramiając ich oddziały.
qstr_Attack_the_lines_gua|Zaatakuj linie obrony wioski i zniszcz lub rozgrom je.
qstr_Vive_l_Empereur!_La_|Vive l'Empereur! La Victoire est a Nous!
qstr_Talk_to_the_messenge|Porozmawiaj z posłańcem o kolejnej misji.
