str_no_string|STRING MANQUANT !
str_credits_12|Voice acting^^Rejenorst Media www.rejenorst.com^^Lead Project Manager / Editeur de son:^Tassilo 'Rejenorst' Egloffstein^^Regional Project Manager Russia:^Nick Redfield^^Regional Project Manager United Kingdom:^Joseph Bracken^^Voice Talents:^Evgen 'Chur' Kucherov - Ukrainian/Russian Voice^Vladimir Kozubsky - Russian Voice^Rebolj Herve - French Voice^Jeremy Faucomprez - French Voice^Tassilo Egloffstein - German Voice / Combat voices^Joseph Bracken - English Voice / Combat voices^Charlie Bloomer - English Voice^Evi Stender - German Voice^Olena Vanina - Ukrainian / Russian Voice^Georgina Woodford - English / French Voice^Samuel Port - Combat voices^^Studio technical support UK:^Rich Coomber^Krzysztof Popiel^^^Additonal Sounds^^GC Sounddesign www.svengerlach.de^^Soundesign:^Sven Gerlach^^^Instrumental Music^^Snare Drum:^Mark Beecher^^Fife:^Ed Boyle^^Trumpet (Bugle):^Christopher Tolomeo^^Bagpipes:^Kenny Sutherland^^Recorded at Catacombs Studio, Broomall, PA - Mark Beecher; Engineer^and BradySound Studios, Woodlyn, PA - Greg Brady & Mark Sarro; Engineers.^All music based on ancient manuscripts of the Napoleonic Era, compiled & ^arranged by Mark Beecher. ^^Additional Bagpipes:^Charlie Hunter^^^Music^^Apollo Symphony Orchestra www.classicalmusicroyaltyfree.com^Wolfgang Amadeus Mozart - Great mass in C minor - Gloria.^Richard Wagner - Ritt der Valkuren.^Antonin Dvorak - New world symphony (4th movement)^Ludwig von Beethoven - Symphony No. 5 (1st movement)^Georges Bizet - Toreador�s Song (from Carmen)^^Neosounds.com^Ludwig von Beethoven: Symphony no.9 - 4th Movement; By the New Age Symphony Orchestra^^sounddogs.com^Johann Strauss Sr. - Radetzky March; By Bartok Consulting (BMI)^Pyotr llyrich Tchaikovsky - Overture 1812; By Bartok Consulting (BMI) ^Franz Schubert - Marche Militaire; By Quimus Music^^Musicloops.com^Ludwig von Beethoven - Fur Elise; By Bobby Cole^Johann Sebastian Bach - Cello Suite No. 1; By Tim Brown ^^Trackline.com^Edward Elgar - Pomp and Circumstance March No. 1^George Frideric Handel - The Messiah (Hallelujah Chorus) ^George Frideric Handel - Queen of Sheba^Antonio Vivaldi - Four Seasons: Summer (3rd movement)^^William Boyce - Sinfonia No. 1^^Stockmusic.com^Antonio Vivaldi - Four Seasons: Summer (1st + 2nd movement)^Antonio Vivaldi - Four Seasons: Spring (1st + 2nd movement)^Antonio Vivaldi - Four Seasons: Winter (1st + 3rd movement)^Antonio Vivaldi - Four Seasons: Autimn (1st movement)^Antonio Vivaldi - Concerto No. 10 allegro 2^Antonio Vivaldi - Concerto flute violin continuo allegro^Antonio Vivaldi - Concerto grosso No. 8 allegro^Mozart - Eine Kleine Nachtmusik^Brahms - Hungarian Dance No. 5^Rimsky-Korsakov - The Flight of the Bumble Bee ^Mendelssohn - A Wedding March Recessional^Johann Sebastian Bach - Concerto for Two Violins in D Minor^Johann Sebastian Bach - Gavotte ^Johann Sebastian Bach - Orchestral Suite No. 3^Strauss - Blue Danube Waltz^Boccherini - Minuet ^Georges Bizet - Carmen Suite No. 1, Aragonaise ^Chopin - Polonaise in A Major Op 40 N1, Military ^Geminiani - Concerto Grosso ^Grieg - Peer Gynt Overture ^Grieg - Peer Gynt Suite No 1 Op 46: In the Hall of the Mountain King^Hummel - Rondo ^Liszt - Les Preludes ^^Incompetech.com; Performed by Kevin MacLeod^Licensed under Creative Commons 'Attribution 3.0'^Ludwig von Beethoven - Laendler in C minor^Ludwig von Beethoven - Ecossaise in E-flat^Johann Sebastian Bach - Toccata and Fugue^Johann Sebastian Bach - Prelude in C^Johann Sebastian Bach - Chromatic Fantasia ^Johann Sebastian Bach - Chromatic Fugue ^Saint Saens - Danse Macabre^Richard Strauss - Also Sprach Zarathustra^William tell - Ranz des Vaches^Wagner - Lohengrin ^Pyotr llyrich Tchaikovsky - Waltz Op. 40^Johann Sebastian Bach - Brandenburg concerto no.^Pachelbel - Canon^Erik Satie - Gymnopedie No. 3^Agnus Dei ^Schmetterling^Tiny Fugue^Lift Motif^^^Contributions:^Mika'il Yazbeck - Associate Producer^Volodymyr 'Yamabushi' Hamardiuk^Andrew 'Refleax' Farrugia^Julian 'Rycon' Farrugia^Sebastian 'Donald MacDonald' Melzer^Mark 'Spunned' Echers^David 'Fahausi/Kabs' Kappelhoff^Ralf 'Fortune' van Daal^Christian 'Condoz' Gruber^Aitor 'Leberecht' Jim�nez^Simon 'Finguin' B.C^Lucas 'Nexus' Andrieu^Valentin 'Vavas' Provost^'CKtheFat'^^^Special Thanks to:^Alexis Cabaret www.mont-saint-jean.com^Andrew 'Refleax' Farrugia^Asger 'Deafboy' Gronhoj^Christian Drozdowski^Daniel Papen^David Liuzzo - Prussian Eagle^Jeroen van Kalkeren^Mark 'Spunned' Echers^Mika'il Yazbeck^Peter 'Biteme' Hyder^'Praetorian'^'Psiphoon'^'Shredzorz'^'Sodacan'^Tassilo 'Rejenorst' Egloffstein^Marc 'Macs899' Shaw^^^Community maps by:^'Gokiller'^Teemu 'Comrade Temuzu' Hepola^'KArantukki'^Levi 'Disgrntld' Wiseman^'Ghost'^'CKtheFat'^S.Santema 'Immor'^'BigMac'^Marc 'Aldemar' Sommerhoff^Martin 'Friedrich' Kieper ^Sergiu 'Nylas' Vataman^Petter Kristian 'Vikestad' Vikestad^Lewis 'Nano' Thornton^Ben 'Jebus' Durston^Jordan 'Jay One' Barnes^Jamel Donga-As 'Angel' Angel^Carl-Johan 'Leaf' Lofgren^Daan 'Chequered' Ruiter^Benj
str_credits_13|Paradox Interactive^^CEO:^Fredrik Wester^^CFO:^Andras Vajlok^^CAO:^Lena Blomberg^^EVP Development:^Johan Andersson^^EVP Sales:^Reena M Miranda^^EVP Publishing:^Susana Meza^^Executive Producer:^Mattias Lilja^^Senior Producer:^Gordon Van Dyke^^Producers:^Shams Jorjani^Jorgen Bj�rklund^Staffan Berglen^^DLC Producer:^Jacob Munthe^^QA Producer:^Erika S. Kling^^
str_credits_14|PR Manager:^Boel Bermann^^Marketing Manager:^Daniela Sjunnesson^^Product & Event Manager:^Jeanette Bauer^^Sales Associate:^Andrew Ciesla^Jason Ross^Don Louie^^Finance & Accounting:^Emilia Hanssen^^Marketing assets:^Veronica Gunlycke^2Coats Creations^^Localization:^S&H Entertainment^^Packaging & Manual layout:^Retrographics^^Packshots:^Martin Doersam^^Thanks to all our partners� worldwide, in particular long-term partners^and last, but not least, a special thanks to all forum members,^operation partners and supporters, who are integral for our success.
str_credits_15|Unused
str_mp_ambush|Embuscade (jour)
str_mp_ambush_fog|Embuscade (brouillard)
str_mp_arabian_harbour|Port arabe (jour)
str_mp_arabian_harbour_night|Port arabe (nuit)
str_mp_arabian_village|Village arabe (jour)
str_mp_arabian_village_morning|Village arabe (matin)
str_mp_arabian_village_conq|Village arabe (jour)
str_mp_arabian_village_conq_morning|Village arabe (matin)
str_mp_ardennes|Ardennes (Neige)
str_mp_ardennes_morning|Ardennes (matin)
str_mp_avignon|Avignon (jour)
str_mp_avignon_morning|Avignon (matin)
str_mp_bavarian_river|Rivière bavaroise (jour)
str_mp_bavarian_river_cloudy|Rivière bavaroise (Nuageux)
str_mp_beach|Plage (jour)
str_mp_beach_morning|Plage (matin)
str_mp_borodino|La Moskova (jour)
str_mp_borodino_morn|Embuscade (matin)
str_mp_champs_elysees|Champs-Élysées (jour)
str_mp_champs_elysees_rain|Champs-Élysées (pluie)
str_mp_charge_to_the_rhine|Charge sur le Rhin (jour)
str_mp_charge_to_the_rhine_cloudy|Charge sur le Rhin (nuageux)
str_mp_citadelle_napoleon|Citadelle Napoléon (jour)
str_mp_citadelle_napoleon_morning|Citadelle Napoléon (matin)
str_mp_columbia_hill_farm|Ferme quelconque (jour)
str_mp_columbia_farm_morning|Ferme quelconque (matin)
str_mp_countryside|Campagne (jour)
str_mp_countryside_fog|Campagne (brouillard)
str_mp_dust|Dust(jour)
str_mp_dust_morning|Dust (matin)
str_mp_european_city_summer|Ville européenne (été)
str_mp_european_city_winter|Ville européenne (hiver)
str_mp_floodplain|Plaine inondée (jour)
str_mp_floodplain_storm|Plaine inondée (tempête)
str_mp_forest_pallisade|Palissade en forêt (jour)
str_mp_forest_pallisade_fog|Palissade en forêt (Brouillard)
str_mp_fort_al_hafya|Fort Al Hafya (jour)
str_mp_fort_al_hafya_night|Fort Al Hafya (nuit)
str_mp_fort_bashir|Fort Bashir (jour)
str_mp_fort_bashir_morning|Fort Bashir (matin
str_mp_fort_beaver|Fort Beaver (jour)
str_mp_fort_beaver_morning|Fort Beaver (matin)
str_mp_fort_boyd|Fort Boyd (jour)
str_mp_fort_boyd_raining|Fort Boyd (pluie)
str_mp_fort_brochet|Fort Brochet (jour)
str_mp_fort_brochet_raining|Fort Brochet (pluie)
str_mp_fort_de_chartres|Fort de Chartres (jour)
str_mp_fort_de_chartres_raining|Fort de Chartres (pluie)
str_mp_fort_fleetwood|Fort Fleetwood (matin)
str_mp_fort_fleetwood_storm|Fort Fleetwood (tempête)
str_mp_fort_george|Fort George (jour)
str_mp_fort_george_raining|Fort George (pluie)
str_mp_fort_hohenfels|Fort Hohenfels (jour)
str_mp_fort_hohenfels_night|Fort Hohenfels (nuit)
str_mp_fort_lyon|Fort Lyon (jour)
str_mp_fort_lyon_night|Fort Lyon (nuit)
str_mp_fort_mackinaw|Fort Mackinaw (jour)
str_mp_fort_mackinaw_raining|Fort Mackinaw (pluie)
str_mp_fort_nylas|Fort Nylas (jour)
str_mp_fort_nylas_raining|Fort Nylas (pluie)
str_mp_fort_refleax|Fort Willsbridge (jour)
str_mp_fort_refleax_night|Fort Willsbridge (nuit)
str_mp_fort_vincey|Fort Whittington (jour)
str_mp_fort_vincey_storm|Fort Whittington (tempête)
str_mp_french_farm|Champs français
str_mp_french_farm_storm|Champs français (tempête)
str_mp_german_village|Village allemand
str_mp_german_village_rain|Village allemand (pluie)
str_mp_hougoumont|Hougoumont (jour)
str_mp_hougoumont_night|Hougoumont (nuit)
str_mp_hungarian_plains|Plaine hongroise (jour)
str_mp_hungarian_plains_cloud|Plaine hongroise (Nuageux)
str_mp_theisland|L'île (jour)
str_mp_la_haye_sainte|La Haye Sainte
str_mp_la_haye_sainte_night|La Haye Sainte (nuit)
str_mp_landshut|Landshut (jour)
str_mp_landshut_night|Landshut (nuit)
str_mp_minden|Minden (jour)
str_mp_minden_night|Minden (matin)
str_mp_naval|Bataille navale (jour)
str_mp_oaksfield_day|Oaksfield (jour)
str_mp_oaksfield_storm|Oaksfield (tempête)
str_mp_outlaws_den|Repère des bandits (jour)
str_mp_outlaws_den_night|Repère des bandits (nuit)
str_mp_pyramids|Battle of the Pyramids (Day){***}
str_mp_quatre_bras|Quatre Bras (jour)
str_mp_quatre_bras_night|Quatre Bras (nuit)
str_mp_river_crossing|Traversée du fleuve (jour)
str_mp_river_crossing_morning|Traversée du fleuve (matin)
str_mp_roxburgh|Roxburgh (jour)
str_mp_roxburgh_raining|Roxburgh (pluie)
str_mp_russian_river_day|Rivière russe (jour)
str_mp_russian_river_cloudy|Rivière russe (Nuageux)
str_mp_russian_village|Village Russe (neige)
str_mp_russian_village_fog|Village Russe (brouillard)
str_mp_russian_village_conq|Village russe (conquete neige)
str_mp_russian_village_conq_night|Village russe (conquete nuit)
str_mp_saints_isle|L'île aux saints (jour)
str_mp_saints_isle_rain|L'île aux saints (pluie)
str_mp_schemmerbach|Schemmerbach
str_mp_schemmerbach_storm|Schemmerbach (tempête)
str_mp_siege_of_toulon|Siège de Toulon (jour)
str_mp_siege_of_toulon_night|Siège de Toulon (nuit)
str_mp_sjotofta|Sjotofta (jour)
str_mp_sjotofta_night|Sjotofta (nuit)
str_mp_slovenian_village|Village slovène
str_mp_slovenian_village_raining|Village slovène (pluie)
str_mp_spanish_farm|Ferme espagnole
str_mp_spanish_farm_rain|Ferme espagnole (pluie)
str_mp_spanish_mountain_pass|Col d'Espagne
str_mp_spanish_mountain_pass_evening|Col d'Espagne (soir)
str_mp_spanish_village|Village espagnol (jour)
str_mp_spanish_village_evening|Village espagnol (soir)
str_mp_strangefields|Champs étranges
str_mp_strangefields_storm|Champs étranges (tempête)
str_mp_swamp|Marais
str_mp_venice|Venise (jour)
str_mp_venice_morning|Venise (matin)
str_mp_walloon_farm|Ferme wallonne
str_mp_walloon_farm_night|Ferme wallonne (nuit)
str_mp_testing_map|Map de test
str_random_multi_plain_medium|Plaines aléatoires (moyen)
str_random_multi_plain_large|Plaines aléatoires (grande)
str_random_multi_plain_medium_rain|Plaines aléatoires (moyen) pluie
str_random_multi_plain_large_rain|Plaines aléatoires (grande) pluie
str_random_multi_steppe_medium|Steppe aléatoire (moyen)
str_random_multi_steppe_large|Steppe aléatoire (grande)
str_random_multi_steppe_forest_medium|Steppe boisée aléatoire (moyen)
str_random_multi_steppe_forest_large|Steppe boisée aléatoire (grande)
str_random_multi_snow_medium|Neige aléatoire (moyen)
str_random_multi_snow_medium_snow|Neige aléatoire (moyen) Neige
str_random_multi_snow_large|Neige aléatoire (grande)
str_random_multi_snow_large_snow|Neige aléatoire (grande) Neige
str_random_multi_snow_forest_medium|Forêt enneigée aléatoire (moyen)
str_random_multi_snow_forest_medium_snow|Forêt enneigée aléatoire (moyen) neige
str_random_multi_snow_forest_large|Forêt enneigée aléatoire (grande)
str_random_multi_snow_forest_large_snow|Forêt enneigée aléatoire (grande) Neige
str_random_multi_desert_medium|Désert aléatoire (moyen)
str_random_multi_desert_large|Désert aléatoire (grande)
str_random_multi_desert_forest_medium|Désert verdoyant aléatoire (moyen)
str_random_multi_desert_forest_large|Désert verdoyant aléatoire (grande)
str_random_multi_forest_medium|Forêt Aléatoire (moyen)
str_random_multi_forest_medium_rain|Forêt Aléatoire (moyen) pluie
str_random_multi_forest_large|Forêt Aléatoire (grande)
str_random_multi_forest_large_rain|Forêt Aléatoire (grande) pluie
str_mp_custom_map_1|custom map 1
str_mp_custom_map_2|custom map 2
str_mp_custom_map_3|custom map 3
str_mp_custom_map_4|custom map 4
str_mp_custom_map_5|custom map 5
str_mp_custom_map_6|custom map 6
str_mp_custom_map_7|custom map 7
str_mp_custom_map_8|custom map 8
str_mp_custom_map_9|custom map 9
str_mp_custom_map_10|custom map 10
str_mp_custom_map_11|custom map 11
str_mp_custom_map_12|custom map 12
str_mp_custom_map_13|custom map 13
str_mp_custom_map_14|custom map 14
str_mp_custom_map_15|custom map 15
str_mp_custom_map_16|custom map 16
str_mp_custom_map_17|custom map 17
str_mp_custom_map_18|custom map 18
str_mp_custom_map_19|custom map 19
str_mp_custom_map_20|custom map 20
str_mp_custom_map_21|custom map 21
str_mp_custom_map_22|custom map 22
str_mp_custom_map_23|custom map 23
str_mp_custom_map_24|custom map 24
str_mp_custom_map_25|custom map 25
str_mp_custom_map_26|custom map 26
str_mp_custom_map_27|custom map 27
str_mp_custom_map_28|custom map 28
str_mp_custom_map_29|custom map 29
str_mp_custom_map_30|custom map 30
str_mp_custom_map_31|custom map 31
str_mp_custom_map_32|custom map 32
str_mp_custom_map_33|custom map 33
str_mp_custom_map_34|custom map 34
str_mp_custom_map_35|custom map 35
str_mp_custom_map_36|custom map 36
str_mp_custom_map_37|custom map 37
str_mp_custom_map_38|custom map 38
str_mp_custom_map_39|custom map 39
str_mp_custom_map_40|custom map 40
str_mp_custom_map_41|custom map 41
str_mp_custom_map_42|custom map 42
str_mp_custom_map_43|custom map 43
str_mp_custom_map_44|custom map 44
str_mp_custom_map_45|custom map 45
str_mp_custom_map_46|custom map 46
str_mp_custom_map_47|custom map 47
str_mp_custom_map_48|custom map 48
str_mp_custom_map_49|custom map 49
str_mp_custom_map_50|custom map 50
str_mp_custom_map_51|custom map 51
str_mp_custom_map_52|custom map 52
str_mp_custom_map_53|custom map 53
str_mp_custom_map_54|custom map 54
str_mp_custom_map_55|custom map 55
str_mp_custom_map_56|custom map 56
str_mp_custom_map_57|custom map 57
str_mp_custom_map_58|custom map 58
str_mp_custom_map_59|custom map 59
str_mp_custom_map_60|custom map 60
str_mp_custom_map_61|custom map 61
str_mp_custom_map_62|custom map 62
str_mp_custom_map_63|custom map 63
str_mp_custom_map_64|custom map 64
str_mp_custom_map_65|custom map 65
str_mp_custom_map_66|custom map 66
str_mp_custom_map_67|custom map 67
str_mp_custom_map_68|custom map 68
str_mp_custom_map_69|custom map 69
str_mp_custom_map_70|custom map 70
str_mp_custom_map_71|custom map 71
str_mp_custom_map_72|custom map 72
str_mp_custom_map_73|custom map 73
str_mp_custom_map_74|custom map 74
str_mp_custom_map_75|custom map 75
str_mp_custom_map_76|custom map 76
str_mp_custom_map_77|custom map 77
str_mp_custom_map_78|custom map 78
str_mp_custom_map_79|custom map 79
str_mp_custom_map_80|custom map 80
str_mp_custom_map_81|custom map 81
str_mp_custom_map_82|custom map 82
str_mp_custom_map_83|custom map 83
str_mp_custom_map_84|custom map 84
str_mp_custom_map_85|custom map 85
str_mp_custom_map_86|custom map 86
str_mp_custom_map_87|custom map 87
str_mp_custom_map_88|custom map 88
str_mp_custom_map_89|custom map 89
str_mp_custom_map_90|custom map 90
str_mp_custom_map_91|custom map 91
str_mp_custom_map_92|custom map 92
str_mp_custom_map_93|custom map 93
str_mp_custom_map_94|custom map 94
str_mp_custom_map_95|custom map 95
str_mp_custom_map_96|custom map 96
str_mp_custom_map_97|custom map 97
str_mp_custom_map_98|custom map 98
str_mp_custom_map_99|custom map 99
str_mp_custom_map_100|custom map 100
str_multi_scene_end|Fin des scènes multi
str_multi_game_type_1|Match à mort
str_multi_game_type_2|Match à mort par équipes
str_multi_game_type_3|Bataille
str_multi_game_type_5|Capture du drapeau
str_multi_game_type_6|Conquête
str_multi_game_type_7|Siège
str_multi_game_type_8|Duel
str_multi_game_type_9|Bataille de commandants
str_multi_game_type_10|Roi de la colline
str_multi_game_type_12|Scene Editing{***}
str_multi_game_types_end|Fin des modes de jeu multi
str_multi_game_type_11|Édition de scène
str_poll_kick_player_s1_by_s0|{s0} a lancé un sondage pour éjecter {s1}.
str_poll_ban_player_s1_by_s0|{s0} a lancé un sondage pour bannir {s1}.
str_poll_change_map_to_s1_by_s0|{s0} a lancé un sondage pour passer à la map {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} a lancé un sondage pour passer à la map {s1} avec les nations {s2} et {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} a lancé un sondage pour passer de {reg0} bots à {reg1}.
str_poll_custom_s1_by_s0|{s0} started a poll "{s1}".{***}
str_poll_kick_player|{s0} doit-il être éjecté ?: 1 = Oui , 2 = Non
str_poll_ban_player|Bannir le joueur {s0}: 1 = Oui , 2 = Non
str_poll_change_map|Passer à la carte {s0}: 1 = Oui, 2 = Non
str_poll_change_map_with_faction|Vote: Passer à la carte {s0} avec les nations {s1} et {s2}: 1 = Oui, 2 = Non
str_poll_change_number_of_bots|Passer de {reg0} sur {s0} à {reg1} bots sur {s1}: 1 = Oui, 2 = Non
str_poll_custom_poll|{s0}: 1 = Accept, 2 = Decline{***}
str_poll_time_left|({reg0} secondes restantes)
str_poll_result_yes|Le vote est accepté par la majorité !
str_poll_result_no|Le vote est rejeté.
str_server_name|Nom du serveur :
str_game_password|Mot de passe :
str_map|Carte :
str_game_type|Mode de jeu:
str_max_number_of_players|Nombre maximum de joueurs :
str_number_of_bots_in_team_reg1|Nombre de bots dans l'équipe {reg1} :
str_team_reg1_faction|Faction pour l'équipe {reg1}:
str_enable_valve_anti_cheat|Activer Valve Anti-Cheat (Requiert un compte Steam valide)
str_allow_friendly_fire|Autoriser le tir ami
str_allow_melee_friendly_fire|Autoriser les dégats de mêlée sur les alliés
str_friendly_fire_damage_self_ratio|Dégats du tir ami sur soi-même (%) :
str_friendly_fire_damage_friend_ratio|Dégats du tir ami sur le coéquipier (%) :
str_spectator_camera|Caméra spectateur :
str_control_block_direction|Contrôle des parades :
str_map_time_limit|Durée maximale de la carte (minutes) :
str_round_time_limit|Limite de temps par tour (secondes):
str_players_take_control_of_a_bot_after_death|Prendre le contrôle d'un bot après décès :
str_team_points_limit|Limite de points :
str_point_gained_from_flags|Points générés par les drapeaux (%):
str_point_gained_from_capturing_flag|Points obtenus en capturant des drapeaux :
str_respawn_period|Temps de respawn (secondes) :
str_add_to_official_game_servers_list|Ajouter à la liste officielle des serveurs de jeu
str_combat_speed|Vitesse de combat :
str_combat_speed_0|Très lente
str_combat_speed_1|Lente
str_combat_speed_2|Moyenne
str_combat_speed_3|Rapide
str_combat_speed_4|Très rapide
str_off|off
str_on|On
str_defender_spawn_count_limit|Nombre de vies des défenseurs :
str_unlimited|Illimité
str_automatic|Automatique
str_by_mouse_movement|Par mouvement de la souris
str_free|Libre
str_stick_to_any_player|Tous les joueurs
str_stick_to_team_members|Membres de l'équipe
str_stick_to_team_members_view|Vision équipe
str_make_factions_voteable|Autoriser les votes pour choisir les factions.
str_make_kick_voteable|Autoriser les votes pour expulser un joueur.
str_make_ban_voteable|Autoriser les votes pour bannir un joueur.
str_bots_upper_limit_for_votes|Nombre maximal de bots dans les votes :
str_make_maps_voteable|Autoriser les votes pour changer de carte
str_valid_vote_ratio|Seuil d'acceptation du vote (%):
str_auto_team_balance_limit|Rééquilibrage des équipes (différence) :
str_welcome_message|Message de bienvenue :
str_initial_gold_multiplier|or de départ (%):
str_battle_earnings_multiplier|Bonus d'or en combat (%):
str_round_earnings_multiplier|Bonus d'or en round (%):
str_allow_player_banners|Autoriser les bannières individuelles
str_force_default_armor|Forcer l'armure par défaut
str_respawning_in_reg0_seconds|Respawn dans {reg0} secondes...
str_no_more_respawns_remained_this_round|Pas de vie restantes pour ce tour.
str_reg0_respawns_remained|({reg0} vies restantes)
str_this_is_your_last_respawn|(C'est votre dernière vie)
str_wait_next_round|(Attendre le prochain tour)
str_yes_wo_dot|Oui
str_no_wo_dot|Non
str_s1_returned_flag|{s1} a récupéré son drapeau !
str_s1_auto_returned_flag|Le drapeau de {s1} est revenu à la base !
str_s1_captured_flag|{s1} a capturé le drapeau ennemi !
str_s1_taken_flag|{s1} s'est emparé du drapeau ennemi !
str_s1_neutralized_flag_reg0|{s1} a neutralisé {s0}.
str_s1_captured_flag_reg0|{s1} a capturé {s0}!
str_s1_pulling_flag_reg0|{s1} a commencé à capturer {s0}.
str_s1_defended_castle|{s1} a défendu sont fort !
str_s1_captured_castle|{s1} a capturé le fort  !
str_auto_team_balance_in_20_seconds|Rééquilibrage des équipes dans 20 secondes.
str_auto_team_balance_next_round|Rééquilibrage des équipes au prochain tour.
str_auto_team_balance_done|Les équipes ont été rééquilibrées automatiquement.
str_s1_won_round|{s1} a remporté le round !
str_round_draw|Fin du round, égalité.
str_round_draw_no_one_remained|Tout le monde est mort. Égalité.
str_reset_to_default|Réinitialiser
str_done|Fait
str_player_name|Nom du Joueur
str_kills|Ennemis tués
str_deaths|Morts
str_ping|Ping
str_dead|mort
str_reg0_dead|{reg0} morts
str_bots_reg0_agents|{reg0} bots
str_bot_1_agent|1 Bot
str_score|Score
str_score_reg0|Score: {reg0}
str_flags_reg0|(Drapeaux: {reg0})
str_reg0_players|{reg0} joueurs,  {reg40} vivant(s),  {reg41} mort(s)
str_reg0_player|{reg0} joueurs,  {reg40} vivant(s),  {reg41} mort(s)
str_reg0_alive|{reg0} vivant(s)
str_reg0_player_only|{reg0} joueur
str_reg0_players_only|{reg0} joueurs
str_reg0_spectator|{reg0} spectateur
str_reg0_spectators|{reg0} spectateurs
str_open_gate|Ouvrir
str_close_gate|Fermer
str_open_door|Ouvrir
str_close_door|Fermer
str_raise_ladder|Lever l'échelle
str_drop_ladder|Faire tomber l'échelle
str_back|Retour
str_start_map|Lancer la map
str_choose_an_option|Choisissez une option :
str_choose_a_poll_type|Choisir un type de vote :
str_choose_faction|Choisir la faction
str_choose_a_faction|Choisir une faction :
str_choose_troop|Sélection de troupe
str_choose_a_troop|Choisir un régiment :
str_choose_items|Choisir la classe
str_choose_an_item|Choisir une classe :
str_options|Options
str_redefine_keys|Redéfinir les touches
str_submit_a_poll|Soumettre un vote
str_show_game_rules|Voir les règles du serveur
str_administrator_panel|Panneau admin
str_kick_player|Expulser un joueur
str_ban_player|Bannir un joueur
str_mute_player|Rendre muet un joueur
str_unmute_player|Rendre sa voix à un joueur
str_quit|Quitter
str_poll_for_changing_the_map|Changer la carte
str_poll_for_changing_the_map_and_factions|Changer la map et les factions
str_poll_for_changing_number_of_bots|Changer le nombre de bots
str_poll_for_kicking_a_player|Expulser un joueur
str_poll_for_banning_a_player|Ban permanent
str_poll_for_custom_poll|Custom poll{***}
str_choose_a_player|Choisir un joueur :
str_choose_a_map|Choisissez une carte :
str_choose_a_faction_for_team_reg0|Choisissez une faction pour l'équipe {reg0}:
str_choose_number_of_bots_for_team_reg0|Réglez le nombre bots pour l'équipe {reg0}:
str_spectator|Spectateur
str_spectators|Spectateurs
str_score_2|Score
str_command|Commande :
str_profile_banner_selection_text|Choisissez une bannière pour votre profil :
str_use_default_banner|Prendre la bannière par défaut
str_player_name_s1|- {s1}
str_space|espace
str_us_|Nous 
str_allies_|Alliés 
str_enemies_|Ennemis 
str_routed|En déroute
str_maximum_seconds_for_round_is_reg0|Lemps maximum pour le round est de {reg0} secondes.
str_respawn_period_is_reg0_seconds|Le temps de respawn est de {reg0} secondes.
str_bots_upper_limit_for_votes_is_reg0|La nombre maximal de bots est de {reg0}.
str_map_is_voteable|La carte peut être choisie.
str_map_is_not_voteable|La carte ne peut être choisie.
str_factions_are_voteable|Les factions peuvent être choisies.
str_factions_are_not_voteable|Les factions ne peuvent être choisies.
str_players_respawn_as_bot|Les joueurs respawnent sur un bot.
str_players_do_not_respawn_as_bot|Les joueurs ne peuvent respawn.
str_kicking_a_player_is_voteable|Les votes pour expulsion sont possibles.
