trp_player|Игрок
trp_russian_dragoon_ai_pl|Драгуны
trp_russian_horse_guard_ai|Русский кавалергард
trp_russian_horse_guard_ai_pl|Кавалергарды
trp_russian_arty_ai|Русский артиллерист
trp_russian_arty_ai_pl|Артиллерия(Пушка)
trp_russian_arty_alt_ai|Русский артиллерист
trp_russian_arty_alt_ai_pl|Артиллерия(Гаубица)
trp_austrian_infantry_ai|Немецкий"линейный пехотинец
trp_austrian_infantry_ai_pl|Немецкая"линейная пехота
trp_austrian_infantry2_ai|Венгерский" линейный пехотинец
trp_austrian_infantry2_ai_pl|Венгерская"линейная пехота
trp_austrian_grenzer_ai|Австрийский граничар
trp_austrian_grenzer_ai_pl|Граничары
trp_austrian_grenadier_ai|Венгерский" гренадер
trp_austrian_grenadier_ai_pl|Гренадеры
trp_austrian_infantry_rifle_ai|Австрийский егерь
trp_austrian_infantry_rifle_ai_pl|Егеря
trp_austrian_hussar_ai|Австрийский гусар
trp_austrian_hussar_ai_pl|Гусары
trp_austrian_uhlan_ai|Австрийский улан
trp_austrian_uhlan_ai_pl|Уланы
trp_austrian_light_horse_ai|Австрийский шевальжер
trp_austrian_light_horse_ai_pl|Шевальжеры
trp_austrian_dragoon_ai|Австрийский драгун
trp_austrian_dragoon_ai_pl|Драгуны
trp_austrian_cuirassier_ai|Австрийский кирасир
trp_austrian_cuirassier_ai_pl|Кирасиры
trp_austrian_arty_ai|Австрийский артиллерист
trp_austrian_arty_ai_pl|Артиллерия(Пушка)
trp_austrian_arty_alt_ai|Австрийский артиллерист
trp_austrian_arty_alt_ai_pl|Артиллерия(Гаубица)
trp_rhine_infantry_bavaria_ai|Баварский линейный пехотинец
trp_rhine_infantry_bavaria_ai_pl|Баварская линейная пехота
trp_rhine_infantry_wurttemberg_ai|Вюрттембергский линейный пехотинец
trp_rhine_infantry_wurttemberg_ai_pl|Вюрттембергская линейная пехота
trp_rhine_infantry_saxony_ai|Саксонский линейный пехотинец
trp_rhine_infantry_saxony_ai_pl|Саксонская линейная пехота
trp_rhine_infantry_wurttemberg2_ai|Вюрттембергский гренадер
trp_rhine_infantry_wurttemberg2_ai_pl|Вюрггембергские гренадеры
trp_rhine_grenadier_guard_ai|Вестфальский гвардейский гренадер
trp_rhine_grenadier_guard_ai_pl|Вестфальские гвардейские гренадеры
trp_rhine_light_infantry_hessen_ai|Гессенский легкий пехотинец
trp_rhine_light_infantry_hessen_ai_pl|Гессенская легкая пехота
trp_rhine_light_infantry_bavaria_ai|Баварский стрелок
trp_rhine_light_infantry_bavaria_ai_pl|Баварские стрелки
trp_rhine_mounted_jaeger_ai|Конный егерь из Нассау
trp_rhine_mounted_jaeger_ai_pl|Конные егеря из Нассау
trp_rhine_uhlan_ai|Саксонский улан
trp_rhine_uhlan_ai_pl|Саксонские уланы
trp_rhine_light_dragoon_ai|Баденский легкий драгун
trp_rhine_light_dragoon_ai_pl|Баденские легкие драгуны
trp_rhine_cuirassier_ai|Вестфальский кирасир
trp_rhine_cuirassier_ai_pl|Вестфальские кирасиры
trp_rhine_garde_du_corps_ai|Саксонский конногвардеец
trp_rhine_garde_du_corps_ai_pl|Саксонские конногвардейцы
trp_rhine_arty_ai|Баварский артиллерист
trp_rhine_arty_ai_pl|Баварская артиллерия (Пушка)
trp_rhine_arty_alt_ai|Баварский артиллерист
trp_rhine_arty_alt_ai_pl|Баварская артиллерия (Гаубица)
trp_british_infantry_nco|33-й пехотный полк
trp_british_infantry_nco_pl|Знаменосец
trp_british_infantry_officer|33-й пехотный полк
trp_british_infantry_officer_pl|Офицер
trp_british_infantry_drum|33-й пехотный полк
trp_british_infantry_drum_pl|Барабанщик
trp_british_infantry_flute|33-й пехотный полк
trp_british_infantry_flute_pl|Флейтист
trp_british_infantry2|5-й линейный батальон Королевского Германского Легиона
trp_british_infantry2_pl|Линейная пехота
trp_british_infantry2_nco|Kings German Legion 5th Battalion
trp_british_infantry2_nco_pl|Знаменосец
trp_british_infantry2_officer|Kings German Legion 5th Battalion
trp_british_infantry2_officer_pl|Офицер
trp_british_infantry2_drum|Kings German Legion 5th Battalion
trp_british_infantry2_drum_pl|Барабанщик
trp_british_infantry2_flute|Kings German Legion 5th Battalion
trp_british_infantry2_flute_pl|Флейтист
trp_british_highlander|42-й пехотный полк хайлэндеров (Черная Стража)
trp_british_highlander_pl|Линейная пехота
trp_british_highlander_nco|42nd Highland Regiment of Foot
trp_british_highlander_nco_pl|Знаменосец
trp_british_highlander_officer|42nd Highland Regiment of Foot
trp_british_highlander_officer_pl|Офицер
trp_british_highlander_drum|42nd Highland Regiment of Foot
trp_british_highlander_drum_pl|Барабанщик
trp_british_highlander_pipes|42nd Highland Regiment of Foot
trp_british_highlander_pipes_pl|Волынщик
trp_british_foot_guard|2-й гвардейский полк (Колдстримские гвардейцы)
trp_british_foot_guard_pl|Пешая гвардия
trp_british_foot_guard_nco|2nd Regiment of Foot Guards (Coldstream)
trp_british_foot_guard_nco_pl|Знаменосец
trp_british_foot_guard_officer|2nd Regiment of Foot Guards (Coldstream)
trp_british_foot_guard_officer_pl|Офицер
trp_british_foot_guard_drum|2nd Regiment of Foot Guards (Coldstream)
trp_british_foot_guard_drum_pl|Барабанщик
trp_british_foot_guard_flute|2nd Regiment of Foot Guards (Coldstream)
trp_british_foot_guard_flute_pl|Флейтист
trp_british_light_infantry|51-й пехотный полк
trp_british_light_infantry_pl|Легкая пехота
trp_british_light_infantry_nco|51st Regiment of Foot
trp_british_light_infantry_nco_pl|Знаменосец
trp_british_light_infantry_officer|51st Regiment of Foot
trp_british_light_infantry_officer_pl|Офицер
trp_british_light_infantry_horn|51st Regiment of Foot
trp_british_light_infantry_horn_pl|Горнист
trp_british_rifle|95-й пехотный полк (Райфлз)
trp_british_rifle_pl|Стрелки
trp_british_rifle_nco|95th Rifle Regiment of Foot
trp_british_rifle_nco_pl|Сержант
trp_british_rifle_officer|95th Rifle Regiment of Foot
trp_british_rifle_officer_pl|Офицер
trp_british_rifle_horn|95th Rifle Regiment of Foot
trp_british_rifle_horn_pl|Горнист
trp_british_hussar|1st KGL Hussars
trp_british_hussar_pl|Гусары
trp_british_hussar_nco|1st KGL Hussars
trp_british_hussar_nco_pl|Штандартоносец
trp_british_hussar_officer|1st KGL Hussars
trp_british_hussar_officer_pl|Офицер
trp_british_hussar_bugle|1st KGL Hussars
trp_british_hussar_bugle_pl|Трубач
trp_british_light_dragoon|23-й полк легких драгун
trp_british_light_dragoon_pl|Легкая кавалерия
trp_british_light_dragoon_nco|23rd Light Dragoons
trp_british_light_dragoon_nco_pl|Штандартоносец
trp_british_light_dragoon_officer|23rd Light Dragoons
trp_british_light_dragoon_officer_pl|Офицер
trp_british_light_dragoon_bugle|23rd Light Dragoons
trp_british_light_dragoon_bugle_pl|Трубач
trp_british_dragoon|6-й драгунский полк ( Иннискиллингский)
trp_british_dragoon_pl|Тяжелая кавалерия
trp_british_dragoon_nco|6th (Inniskilling) Dragoons
trp_british_dragoon_nco_pl|Штандартоносец
trp_british_dragoon_officer|6th (Inniskilling) Dragoons
trp_british_dragoon_officer_pl|Офицер
trp_british_dragoon_bugle|6th (Inniskilling) Dragoons
trp_british_dragoon_bugle_pl|Трубач
trp_british_horseguard|Полк Королевской Конной Гвардии (Синие)
trp_british_horseguard_pl|Тяжелая кавалерия
trp_british_horseguard_nco|Royal Horse Guards Blue
trp_british_horseguard_nco_pl|Штандартоносец
trp_british_horseguard_officer|Royal Horse Guards Blue
trp_british_horseguard_officer_pl|Офицер
trp_british_horseguard_bugle|Royal Horse Guards Blue
trp_british_horseguard_bugle_pl|Трубач
trp_british_arty|Королевская пешая артиллерия
trp_british_arty_pl|Артиллерия
trp_british_arty_guard|Вооруженный артиллерист
trp_british_arty_guard_pl|Вооруженные артиллеристы
trp_british_arty_nco|Королевская пешая артиллерия
trp_british_arty_nco_pl|Ездовой артиллерийского поезда
trp_british_arty_officer|Royal Foot Artillery
trp_british_arty_officer_pl|Офицер
trp_british_rocket|2-я ракетная рота
trp_british_rocket_pl|Ракетная артиллерия
trp_british_medic|Хирург
trp_british_medic_pl|Хирурги
trp_british_sapper|Сапeр
trp_british_sapper_pl|Инженер
trp_british_ship|Корабельный экипаж
trp_british_ship_pl|Пехота
trp_british_ship_cannon|Корабельный экипаж
trp_british_ship_cannon_pl|Морская артиллерия
trp_british_ship_marine|Корабельный экипаж
trp_british_ship_marine_pl|Морской пехотинец, 1-й батальон - Королевская морская пехота.
trp_british_ship_captain|Корабельный экипаж
trp_british_ship_captain_pl|Капитан 1-го ранга, "Нептун
trp_wellington|Артур Уэлсли, 1-й герцог Веллингтон
trp_wellington_pl|Генерал
trp_french_infantry|45-й полк линейной пехоты
trp_french_infantry_pl|Линейная пехота
trp_french_infantry_nco|45e Regiment d'Infanterie de ligne
trp_french_infantry_nco_pl|Орлоносец
trp_french_infantry_officer|45e Regiment d'Infanterie de ligne
trp_french_infantry_officer_pl|Офицер
trp_french_infantry_drum|45e Regiment d'Infanterie de ligne
trp_french_infantry_drum_pl|Барабанщик
trp_french_infantry_flute|45e Regiment d'Infanterie de ligne
trp_french_infantry_flute_pl|Флейтист
trp_french_infantry2|84-й полк линейной пехоты (Один против десяти)
trp_french_infantry2_pl|Линейная пехота
trp_french_infantry2_nco|84e Regiment d'Infanterie de ligne
trp_french_infantry2_nco_pl|Орлоносец
trp_french_infantry2_officer|84e Regiment d'Infanterie de ligne
trp_french_infantry2_officer_pl|Офицер
trp_french_infantry2_drum|84e Regiment d'Infanterie de ligne
trp_french_infantry2_drum_pl|Барабанщик
trp_french_infantry2_flute|84e Regiment d'Infanterie de ligne
trp_french_infantry2_flute_pl|Флейтист
trp_french_infantry_vistula|3-й полк Легиона Вислы
trp_french_infantry_vistula_pl|Линейная пехота
trp_french_infantry_vistula_colours|Legion de la Vistule
trp_french_infantry_vistula_colours_pl|Знаменосец
trp_french_infantry_vistula_officer|Legion de la Vistule
trp_french_infantry_vistula_officer_pl|Офицер
trp_french_infantry_vistula_drum|Legion de la Vistule
trp_french_infantry_vistula_drum_pl|Барабанщик
trp_french_infantry_vistula_flute|Legion de la Vistule
trp_french_infantry_vistula_flute_pl|Флейтист
trp_french_old_guard|1-й полк пеших гренадер Императорской Гвардии (Ворчуны)
trp_french_old_guard_pl|Пешая гвардия
trp_french_old_guard_nco|1er Regiment de Grenadiers de la Garde Imperiale
trp_french_old_guard_nco_pl|Орлоносец
trp_french_old_guard_officer|1er Regiment de Grenadiers de la Garde Imperiale
trp_french_old_guard_officer_pl|Офицер
trp_french_old_guard_drum|1er Regiment de Grenadiers de la Garde Imperiale
trp_french_old_guard_drum_pl|Барабанщик
trp_french_old_guard_flute|1er Regiment de Grenadiers de la Garde Imperiale
trp_french_old_guard_flute_pl|Флейтист
trp_french_voltigeur|15-й полк лeгкой пехоты
trp_french_voltigeur_pl|Лeгкая пехота
trp_french_voltigeur_colours|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_colours_pl|Орлоносец
trp_french_voltigeur_officer|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_officer_pl|Офицер
trp_french_voltigeur_horn|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_horn_pl|Горнист
trp_french_hussar|2-й гусарский полк
trp_french_hussar_pl|Гусары
trp_french_hussar_nco|2e Regiment de Hussards
trp_french_hussar_nco_pl|Орлоносец
trp_french_hussar_officer|2e Regiment de Hussards
trp_french_hussar_officer_pl|Офицер
trp_french_hussar_trumpet|2e Regiment de Hussards
trp_french_hussar_trumpet_pl|Трубач
trp_french_lancer|1-й полк шевольжер-улан Императорской Гвардии (Польские уланы)
trp_french_lancer_pl|Уланы
trp_french_lancer_nco|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_nco_pl|Орлоносец
trp_french_lancer_officer|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_officer_pl|Офицер
trp_french_lancer_trumpet|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_trumpet_pl|Трубач
trp_french_dragoon|Драгунский полк Императорской Гвардии (Драгуны Императрицы)
trp_french_dragoon_pl|Драгуны
trp_french_dragoon_nco|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_nco_pl|Орлоносец
trp_french_dragoon_officer|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_officer_pl|Офицер
trp_french_dragoon_trumpet|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_trumpet_pl|Трубач
trp_french_cuirassier|9-й кирасирский полк
trp_french_cuirassier_pl|Кирасиры
trp_french_cuirassier_nco|Cuirassiers
trp_french_cuirassier_nco_pl|Знаменосец
trp_french_cuirassier_officer|Cuirassiers
trp_french_cuirassier_officer_pl|Офицер
trp_french_cuirassier_trumpet|Cuirassiers
trp_french_cuirassier_trumpet_pl|Трубач
trp_french_carabineer|1-й карабинерский полк
trp_french_carabineer_pl|Карабинеры
trp_french_carabineer_nco|Carabineers
trp_french_carabineer_nco_pl|Орлоносец
trp_french_carabineer_officer|Carabineers
trp_french_carabineer_officer_pl|Офицер
trp_french_carabineer_trumpet|Carabineers
trp_french_carabineer_trumpet_pl|Трубач
trp_french_grenadier_a_cheval|Конно-гренадерский полк Императорской Гвардии
trp_french_grenadier_a_cheval_pl|Тяжелая кавалерия
trp_french_grenadier_a_cheval_nco|Regiment de Grenadiers a Cheval de la Garde
trp_french_grenadier_a_cheval_nco_pl|Орлоносец
trp_french_grenadier_a_cheval_officer|Regiment de Grenadiers a Cheval de la Garde
trp_french_grenadier_a_cheval_officer_pl|Офицер
trp_french_grenadier_a_cheval_trumpet|Regiment de Grenadiers a Cheval de la Garde
trp_french_grenadier_a_cheval_trumpet_pl|Трубач
trp_french_arty|Полк пешей артиллерии Старой Гвардии
trp_french_arty_pl|Артиллерия
trp_french_arty_guard|Вооруженный артиллерист
trp_french_arty_guard_pl|Вооруженные артиллеристы
trp_french_arty_nco|L'Artillerie
trp_french_arty_nco_pl|Ездовой артиллерийского поезда
trp_french_arty_officer|L'Artillerie
trp_french_arty_officer_pl|Офицер
trp_french_medic|Хирург второго класса
trp_french_medic_pl|Хирурги
trp_french_sapper|Сапeр
trp_french_sapper_pl|Инженер
trp_french_ship|Корабельный экипаж
trp_french_ship_pl|Пехота
trp_french_ship_cannon|Корабельный экипаж
trp_french_ship_cannon_pl|Морская артиллерия
trp_french_ship_marine|Корабельный экипаж
trp_french_ship_marine_pl|Морской пехотинец, 24-й батальон экипажей
trp_french_ship_captain|Корабельный экипаж
trp_french_ship_captain_pl|Капитан судна, "Отважный
trp_napoleon|Император Наполеон І Бонапарт
trp_napoleon_pl|Генерал
trp_prussian_infantry|8-й Бранденбургский пехотный полк
trp_prussian_infantry_pl|Линейная пехота
trp_prussian_infantry_nco|8. Infanterie Regiment
trp_prussian_infantry_nco_pl|Знаменосец
trp_prussian_infantry_officer|8. Infanterie Regiment
trp_prussian_infantry_officer_pl|Офицер
trp_prussian_infantry_drum|8. Infanterie Regiment
trp_prussian_infantry_drum_pl|Барабанщик
trp_prussian_infantry_flute|8. Infanterie Regiment
trp_prussian_infantry_flute_pl|Флейтист
trp_prussian_infantry2|23-й Рейнский пехотный полк
trp_prussian_infantry2_pl|Линейная пехота
trp_prussian_infantry2_nco|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_nco_pl|Знаменосец
trp_prussian_infantry2_officer|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_officer_pl|Офицер
trp_prussian_infantry2_drum|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_drum_pl|Барабанщик
trp_prussian_infantry2_flute|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_flute_pl|Флейтист
trp_prussian_infantry_kurmark|3-й полк Курмакского ландвера
trp_prussian_infantry_kurmark_pl|Линейная пехота
trp_prussian_infantry_kurmark_nco|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_nco_pl|Знаменосец
trp_prussian_infantry_kurmark_officer|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_officer_pl|Офицер
trp_prussian_infantry_kurmark_drum|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_drum_pl|Барабанщик
trp_prussian_infantry_kurmark_flute|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_flute_pl|Флейтист
trp_prussian_infantry_freikorps|Вольный корпус фон Лютцова
trp_prussian_infantry_freikorps_pl|Линейная пехота
trp_prussian_infantry_freikorps_nco|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_nco_pl|Знаменосец
trp_prussian_infantry_freikorps_officer|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_officer_pl|Офицер
trp_prussian_infantry_freikorps_drum|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_drum_pl|Барабанщик
trp_prussian_infantry_freikorps_flute|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_flute_pl|Флейтист
trp_prussian_infantry_15|1-й полк Пешей Гвардии
trp_prussian_infantry_15_pl|Пешая гвардия
trp_prussian_infantry_15_nco|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_nco_pl|Знаменосец
trp_prussian_infantry_15_officer|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_officer_pl|Офицер
trp_prussian_infantry_15_drum|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_drum_pl|Барабанщик
trp_prussian_infantry_15_flute|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_flute_pl|Флейтист
trp_prussian_infantry_rifle|Силезский стрелковый батальон
trp_prussian_infantry_rifle_pl|Стрелки
trp_prussian_infantry_rifle_nco|Schlesische Jaeger
trp_prussian_infantry_rifle_nco_pl|Унтер-офицер
trp_prussian_infantry_rifle_officer|Schlesische Jaeger
trp_prussian_infantry_rifle_officer_pl|Офицер
trp_prussian_infantry_rifle_horn|Schlesische Jaeger
trp_prussian_infantry_rifle_horn_pl|Горнист
trp_prussian_dragoon|6-й Ноймаркский драгунский полк
trp_prussian_dragoon_pl|Драгуны
trp_prussian_dragoon_nco|6. Dragoner Regiment
trp_prussian_dragoon_nco_pl|Штандартоносец
trp_prussian_dragoon_officer|6. Dragoner Regiment
trp_prussian_dragoon_officer_pl|Офицер
trp_prussian_dragoon_trumpet|6. Dragoner Regiment
trp_prussian_dragoon_trumpet_pl|Трубач
trp_prussian_hussar|1-й лейб-гусарский полк (Мертвая Голова)
trp_prussian_hussar_pl|Гусары
trp_prussian_hussar_nco|Death's Head Hussar Regiment
trp_prussian_hussar_nco_pl|Штандартоносец
trp_prussian_hussar_officer|Death's Head Hussar Regiment
trp_prussian_hussar_officer_pl|Офицер
trp_prussian_hussar_trumpet|Death's Head Hussar Regiment
trp_prussian_hussar_trumpet_pl|Трубач
trp_prussian_landwehr_cav|Вестфальский полк кавалерии ландвера
trp_prussian_landwehr_cav_pl|Уланы
trp_prussian_landwehr_cav_nco|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_nco_pl|Штандартоносец
trp_prussian_landwehr_cav_officer|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_officer_pl|Офицер
trp_prussian_landwehr_cav_trumpet|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_trumpet_pl|Трубач
trp_prussian_cuirassier|3-й Бранденбургский кирасирский полк
trp_prussian_cuirassier_pl|Тяжелая кавалерия
trp_prussian_cuirassier_nco|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_nco_pl|Штандартоносец
trp_prussian_cuirassier_officer|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_officer_pl|Офицер
trp_prussian_cuirassier_trumpet|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_trumpet_pl|Трубач
trp_prussian_arty|36-й полк пешей артиллерии
trp_prussian_arty_pl|Артиллерия
trp_prussian_arty_guard|Артиллерийская охрана
trp_prussian_arty_guard_pl|Вооруженный артиллерист
trp_prussian_arty_nco|36. Regiment der Fussartillerie
trp_prussian_arty_nco_pl|Ездовой артиллерийского поезда
trp_prussian_arty_officer|36. Regiment der Fussartillerie
trp_prussian_arty_officer_pl|Офицер
trp_prussian_medic|Хирург
trp_prussian_medic_pl|Хирурги
trp_prussian_sapper|4-й Мансфельдский пионерный корпус
trp_prussian_sapper_pl|Инженер
trp_prussian_blucher|Генерал-фельдмаршал Гебхард Леберехт фон Блюхер
trp_prussian_blucher_pl|Генерал
trp_russian_partizan|Партизаны
trp_russian_partizan_pl|иррегулярные формирования
trp_russian_opol|Санкт-Петербургское ополчение
trp_russian_opol_pl|Ополчение
trp_russian_opol_nco|St Petersburg Opolcheniye
trp_russian_opol_nco_pl|Знаменосец
trp_russian_opol_officer|St Petersburg Opolcheniye
trp_russian_opol_officer_pl|Офицер
trp_russian_infantry|Симбирский пехотный полк
trp_russian_infantry_pl|Линейная пехота
trp_russian_infantry_nco|Simbirsk Infantry Regiment
trp_russian_infantry_nco_pl|Знаменосец
trp_russian_infantry_officer|Simbirsk Infantry Regiment
trp_russian_infantry_officer_pl|Офицер
trp_russian_infantry_drum|Simbirsk Infantry Regiment
trp_russian_infantry_drum_pl|Барабанщик
trp_russian_infantry_flute|Simbirsk Infantry Regiment
trp_russian_infantry_flute_pl|Флейтист
trp_russian_grenadier|Павловский гренадерский полк
trp_russian_grenadier_pl|Линейная пехота
trp_russian_grenadier_nco|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_nco_pl|Знаменосец
trp_russian_grenadier_officer|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_officer_pl|Офицер
trp_russian_grenadier_drum|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_drum_pl|Барабанщик
trp_russian_grenadier_flute|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_flute_pl|Флейтист
trp_russian_foot_guard|Лейб-Гвардии Преображенский полк
trp_russian_foot_guard_pl|Пешая гвардия
trp_russian_foot_guard_nco|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_nco_pl|Знаменосец
trp_russian_foot_guard_officer|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_officer_pl|Офицер
trp_russian_foot_guard_drum|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_drum_pl|Барабанщик
trp_russian_foot_guard_flute|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_flute_pl|Флейтист
trp_russian_infantry_rifle|21-й егерский полк
trp_russian_infantry_rifle_pl|Стрелки
trp_russian_infantry_rifle_nco|21st Jaeger Regiment
