itm_no_item|НЕДОПУСТИМЫЙ ПРЕДМЕТ
itm_russian_peasant_serp_pl|Серп
itm_british_highlander_officer_sword|Шотландский офицерский палаш
itm_british_highlander_officer_sword_pl|Шотландский офицерский палаш
itm_british_heavy_cav_sword|Тяжелокавалерийский палаш
itm_british_heavy_cav_sword_pl|Тяжелокавалерийский палаш
itm_british_light_cav_sabre|Легкокавалерийская сабля
itm_british_light_cav_sabre_pl|Легкокавалерийская сабля
itm_british_baker_bayonet|Кортик
itm_british_baker_bayonet_pl|Кортик
itm_british_musician_sword|Палаш
itm_british_musician_sword_pl|Палаш
itm_british_musician_sword_invis|Палаш
itm_british_musician_sword_invis_pl|Палаш
itm_british_officer_sword|Офицерская шпага
itm_british_officer_sword_pl|Офицерская шпага
itm_austrian_infantry_briquet|Кортик
itm_austrian_infantry_briquet_pl|Кортик
itm_austrian_infantry_briquet_black|Кортик
itm_austrian_infantry_briquet_black_pl|Кортик
itm_austrian_jaeger_bayonet|Кортик
itm_austrian_jaeger_bayonet_pl|Кортик
itm_austrian_jaeger_bayonet_invis|Кортик
itm_austrian_jaeger_bayonet_invis_pl|Кортик
itm_russian_briquet_1807_black|Тесак
itm_russian_briquet_1807_black_pl|Тесак
itm_russian_briquet_1807_black_blackbelt|Тесак
itm_russian_briquet_1807_black_blackbelt_pl|Тесак
itm_russian_briquet_1807_landwehr|Тесак
itm_russian_briquet_1807_landwehr_pl|Тесак
itm_russian_peasant_axe_landwehr|Топор
itm_russian_peasant_axe_landwehr_pl|Топор
itm_french_briquet_garde_fake|Тесак
itm_french_briquet_garde_fake_pl|Тесак
itm_french_briquet_fake|Тесак
itm_french_briquet_fake_pl|Тесак
itm_russian_briquet_1807_fake|Тесак
itm_russian_briquet_1807_fake_pl|Тесак
itm_russian_briquet_1807_black_fake|Кортик
itm_russian_briquet_1807_black_fake_pl|Кортик
itm_russian_briquet_1807_black_blackbelt_fake|Кортик
itm_russian_briquet_1807_black_blackbelt_fake_pl|Кортик
itm_russian_briquet_1807_landwehr_fake|Кортик
itm_russian_briquet_1807_landwehr_fake_pl|Кортик
itm_russian_peasant_axe_landwehr_fake|Топор
itm_russian_peasant_axe_landwehr_fake_pl|Топор
itm_austrian_infantry_briquet_fake|Кортик
itm_austrian_infantry_briquet_fake_pl|Кортик
itm_banhammer|БАНХАММЕР
itm_banhammer_pl|БАНХАММЕР
itm_drumstick_right|Барабанная палка
itm_drumstick_right_pl|Барабанная палка
itm_flute|Флейта
itm_flute_pl|Флейта
itm_horn|Рожок
itm_horn_pl|Рожок
itm_trumpet|Труба
itm_trumpet_pl|Труба
itm_bugle|Горн
itm_bugle_pl|Горн
itm_bagpipe|Волынка
itm_bagpipe_pl|Волынка
itm_bullets|Патроны
itm_bullets_pl|Патроны
itm_pistol_ammo|Патроны
itm_pistol_ammo_pl|Патроны
itm_canister_ammo|Картечь
itm_canister_ammo_pl|Картечь
itm_shell_fragment|Осколки гранаты
itm_shell_fragment_pl|Осколки гранаты
itm_explosive_bullets|ракеты
itm_explosive_bullets_pl|ракеты
itm_cannon_cartridge_round|Ядро
itm_cannon_cartridge_round_pl|Ядро
itm_cannon_cartridge_shell|Граната
itm_cannon_cartridge_shell_pl|Граната
itm_cannon_cartridge_canister|Картечь
itm_cannon_cartridge_canister_pl|Картечь
itm_cannon_cartridge_bomb|Мортирная бомба
itm_cannon_cartridge_bomb_pl|Мортирная бомба
itm_rockets|Ракеты
itm_rockets_pl|Ракеты
itm_french_lance|Кавалерийская пика
itm_french_lance_pl|Кавалерийская пика
itm_prussian_lance|Кавалерийская пика
itm_prussian_lance_pl|Кавалерийская пика
itm_austrian_lance|Кавалерийская пика
itm_austrian_lance_pl|Кавалерийская пика
itm_saxon_lance|Кавалерийская пика
itm_saxon_lance_pl|Кавалерийская пика
itm_russian_cossack_pike|Кавалерийская пика
itm_russian_cossack_pike_pl|Кавалерийская пика
itm_russian_lancer_pike|Кавалерийская пика
itm_russian_lancer_pike_pl|Кавалерийская пика
itm_russian_opolcheniye_pike|Пика
itm_russian_opolcheniye_pike_pl|Пика
itm_russian_peasant_kosa|Коса
itm_russian_peasant_kosa_pl|Коса
itm_russian_peasant_fork|Вилы
itm_russian_peasant_fork_pl|Вилы
itm_russian_peasant_pitchfork|Вилы
itm_russian_peasant_pitchfork_pl|Вилы
itm_russian_peasant_sap|Сапка
itm_russian_peasant_sap_pl|Сапка
itm_birch_trunk|Ствол берeзы
itm_birch_trunk_pl|Ствол берeзы
itm_russian_peasant_kosa2|Коса
itm_russian_peasant_kosa2_pl|Коса
itm_russian_peasant_club|Дубина
itm_russian_peasant_club_pl|Дубина
itm_russian_peasant_birch_club|Берeзовая дубина
itm_russian_peasant_birch_club_pl|Берeзовая дубина
itm_russian_peasant_pike|Пика
itm_russian_peasant_pike_pl|Пика
itm_russian_peasant_kuvalda|Кувалда
itm_russian_peasant_kuvalda_pl|Кувалда
itm_russian_peasant_2handed_axe|Топор дровосека
itm_russian_peasant_2handed_axe_pl|Топор дровосека
itm_russian_peasant_rogatina|Рогатина
itm_russian_peasant_rogatina_pl|Рогатина
itm_sapper_axe_ship|Саперный топор
itm_sapper_axe_ship_pl|Саперный топор
itm_sapper_axe_rus_ship|Саперный топор
itm_sapper_axe_rus_ship_pl|Саперный топор
itm_french_mousquiton_melee_gf|Кавалерийский карабин
itm_french_mousquiton_melee_gf_pl|Кавалерийский карабин
itm_french_mousquiton_light_melee_gf|легкий кавалерийский карабин
itm_french_mousquiton_light_melee_gf_pl|Легкий кавалерийский карабин
itm_french_dragoon_musket_melee_gf|Кавалерийское ружье
itm_french_dragoon_musket_melee_gf_pl|Кавалерийское ружье
itm_russian_dragoon_musket_melee_gf|Кавалерийское ружье
itm_russian_dragoon_musket_melee_gf_pl|Кавалерийское ружье
itm_russian_gusarskiy_karabin_melee_gf|Мушкетон
itm_russian_gusarskiy_karabin_melee_gf_pl|Мушкетон
itm_british_carbine_melee_gf|Кавалерийский карабин
itm_british_carbine_melee_gf_pl|Кавалерийский карабин
itm_russian_rifle_1805_melee_gf|Винтовка
itm_russian_rifle_1805_melee_gf_pl|Винтовка
itm_british_baker_rifle_melee_gf|Винтовка
itm_british_baker_rifle_melee_gf_pl|Винтовка
itm_french_charleville_melee_gf|Пехотное ружье
itm_french_charleville_melee_gf_pl|Пехотное ружье
itm_french_versailles_melee_gf|Пехотное ружье
itm_french_versailles_melee_gf_pl|Пехотное ружье
itm_british_brown_bess_melee_gf|Пехотное ружье
itm_british_brown_bess_melee_gf_pl|Пехотное ружье
itm_russian_musket_1808_melee_gf|Пехотное ружье
itm_russian_musket_1808_melee_gf_pl|Пехотное ружье
itm_austrian_musket_melee_gf|Пехотное ружье
itm_austrian_musket_melee_gf_pl|Пехотное ружье
itm_prussian_potsdam_melee_gf|Пехотное ружье
itm_prussian_potsdam_melee_gf_pl|Пехотное ружье
itm_prussian_musket_1806_melee_gf|Пехотное ружье
itm_prussian_musket_1806_melee_gf_pl|Пехотное ружье
itm_flag_france_45e|Орел 45-го пехотного полка
itm_flag_france_45e_pl|Орел 45-го пехотного полка
itm_flag_france_84e|Орел 84-го пехотного полка
itm_flag_france_84e_pl|Орел 84-го пехотного полка
itm_flag_france_vistula|Знамя Легиона Вислы
itm_flag_france_vistula_pl|Знамя Легиона Вислы
itm_flag_france_grenadiers|Орел полка Пеших гренадер Императорской Гвардии
itm_flag_france_grenadiers_pl|Орел полка Пеших гренадер Императорской Гвардии
itm_flag_france_15|Орел 15-го легкого полка
itm_flag_france_15_pl|Орел 15-го легкого полка
itm_flag_france_hussard|Орел гусарского полка
itm_flag_france_hussard_pl|Орел гусарского полка
itm_flag_france_carab|Орел карабинерского полка
itm_flag_france_carab_pl|Орел карабинерского полка
itm_flag_france_cuirassier|Орел 9-го кирасирского полка
itm_flag_france_cuirassier_pl|Орел 9-го кирасирского полка
itm_flag_france_cheval|Орел полка конных гренадер.
itm_flag_france_cheval_pl|Орел полка конных гренадер.
itm_flag_france_dragon|Орел полка гвардейских драгун
itm_flag_france_dragon_pl|Орел полка гвардейских драгун
itm_flag_france_lancier|Орел полка польских гвардейских улан
itm_flag_france_lancier_pl|Орел полка польских гвардейских улан
itm_flag_russia_opolcheniye|Знамя санкт-петербургского ополчения
itm_flag_russia_opolcheniye_pl|Знамя санкт-петербургского ополчения
itm_flag_russia_pavlovsk_color|Цветное знамя Павловского гренадерского полка
itm_flag_russia_pavlovsk_color_pl|Цветное знамя Павловского гренадерского полка
itm_flag_russia_pavlovsk_white|Белое знамя Павловского гренадерского полка
itm_flag_russia_pavlovsk_white_pl|Белое знамя Павловского гренадерского полка
itm_flag_russia_preobragenskiy_color|Цветное знамя Лейб-гвардии Преображенского полка
itm_flag_russia_preobragenskiy_color_pl|Цветное знамя Лейб-гвардии Преображенского полка
itm_flag_russia_preobragenskiy_white|Белое знамя Лейб-гвардии Преображенского полка
itm_flag_russia_preobragenskiy_white_pl|Белое знамя Лейб-гвардии Преображенского полка
itm_flag_russia_simbirsk_color|Цветное знамя Симбирского пехотного полка
itm_flag_russia_simbirsk_color_pl|Цветное знамя Симбирского пехотного полка
itm_flag_russia_simbirsk_white|Белое знамя Симбирского пехотного полка
itm_flag_russia_simbirsk_white_pl|Белое знамя Симбирского пехотного полка
itm_flag_russia_kyiv_dragoon|Штандарт Киевского драгунского полка
itm_flag_russia_kyiv_dragoon_pl|Штандарт Киевского драгунского полка
itm_britain_colour_33rd_regt|Полковое знамя 33-го полка
itm_britain_colour_33rd_regt_pl|Полковое знамя 33-го полка
itm_britain_colour_33rd_king|Королевское знамя 33-го полка
itm_britain_colour_33rd_king_pl|Королевское знамя 33-го полка
itm_britain_colour_42nd_regt|Полковое знамя 42-го полка
itm_britain_colour_42nd_regt_pl|Полковое знамя 42-го полка
itm_britain_colour_42nd_king|Королевское знамя 42-го полка
itm_britain_colour_42nd_king_pl|Королевское знамя 42-го полка
itm_britain_colour_2nd_regt|Полковое знамя 2-го Колдстримского полка
itm_britain_colour_2nd_regt_pl|Полковое знамя 2-го Колдстримского полка
itm_britain_colour_2nd_king|Королевское  знамя 2-го Колдстримского полка
itm_britain_colour_2nd_king_pl|Королевское знамя 2-го Колдстримского полка
itm_britain_colour_51st_regt|Полковое знамя 51-го лeгкого полка
itm_britain_colour_51st_regt_pl|Полковое знамя 51-го лeгкого полка
itm_britain_colour_51st_king|Королевское знамя знамя 51-го лeгкого полка
itm_britain_colour_51st_king_pl|Королевское знамя 51-го лeгкого полка
itm_britain_colour_kgl_regt|Полковое знамя 5-го батальона КГЛ
itm_britain_colour_kgl_regt_pl|Полковое знамя 5-го батальона КГЛ
itm_britain_colour_kgl_king|Королевское знамя 5-го батальона КГЛ
itm_britain_colour_kgl_king_pl|Королевское знамя 5-го батальона КГЛ
itm_britain_colour_blues|Штандарт британского полка Конной Гвардии
itm_britain_colour_blues_pl|BШтандарт британского полка Конной Гвардии
itm_prussia_colour_infantry|Прусское пехотное знамя
itm_prussia_colour_infantry_pl|Прусское пехотное знамя
itm_prussia_colour_infantry2|Прусское пехотное знамя
itm_prussia_colour_infantry2_pl|Прусское пехотное знамя
itm_prussia_colour_guard|Прусское гвардейское пехотное знамя
itm_prussia_colour_guard_pl|Прусское гвардейское пехотное знамя
itm_prussia_colour_landwehr|Знамя прусского ландвера
itm_prussia_colour_landwehr_pl|Знамя прусского ландвера
itm_prussia_colour_hussard|Штандарт прусских гвардейских гусар
itm_prussia_colour_hussard_pl|Штандарт прусских гвардейских гусар
itm_austria_colour_leibfahne|Австрийское лейб-знамя
itm_austria_colour_leibfahne_pl|Австрийское лейб-знамя
itm_austria_colour_ordinarfahne|Австрийское простое знамя
itm_austria_colour_ordinarfahne_pl|Австрийское простое знамя
itm_austria_colour_ordinarfahne_cav|Австрийский кавалерийский штандарт
itm_austria_colour_ordinarfahne_cav_pl|Австрийский кавалерийский штандарт
itm_bavarian_flag_national|Bavarian National Colour
itm_bavarian_flag_national_pl|Bavarian National Colour
itm_bavarian_flag_regimental|Bavarian Reg. Colour
itm_bavarian_flag_regimental_pl|Bavarian Reg. Colour
itm_saxon_flag_infantry|Знамя саксонской пехоты
itm_saxon_flag_infantry_pl|Знамена саксонской пехоты
itm_saxon_flag_uhlan|Щтандарт саксонских улан
itm_saxon_flag_uhlan_pl|Штандарты саксонских улан
itm_hessian_flag_infantry|Знамя гессенской пехоты
itm_hessian_flag_infantry_pl|Знамена гессенской пехоты
itm_westphalian_flag_infantry|Знамя вестфальской пехоты
itm_westphalian_flag_infantry_pl|Знамена вестфальской пехоты
itm_baden_flag_dragoon|Штандарт баденских драгун
itm_baden_flag_dragoon_pl|Штандарты баденских драгун
itm_westphalian_flag_cuirassier|Штандарт вестфальских кирасир
itm_westphalian_flag_cuirassier_pl|Штандарты вестфальских кирасир
itm_saxon_flag_garde|Штандарт саксонского полка Гард Дю Кор
itm_saxon_flag_garde_pl|Штандарты саксонского полка Гард Дю Кор
itm_wurttemberg_flag_infantry|Знамя вюртембергской пехоты
itm_wurttemberg_flag_infantry_pl|Знамена вюртембергской пехоты
itm_wurttemberg_flag_infantry2|Знамя вюртембергских гренадер
itm_wurttemberg_flag_infantry2_pl|Знамена вюртембергских гренадер
itm_cannon_lighter|Пальник с фитилем
itm_cannon_lighter_pl|Пальник с фитилем
itm_ramrod|Банник с прибойником
itm_ramrod_pl|Банник с прибойником
itm_rocket_placement|Ракетная установка
itm_rocket_placement_pl|Ракетная установка
itm_spyglass|Подзорная труба
itm_spyglass_pl|Подзорная труба
itm_bandages|Бинт
itm_bandages_pl|Бинты
itm_grenade|Святая граната
itm_grenade_pl|Святая граната
itm_sapper_axe|Саперный топор
itm_sapper_axe_pl|Саперный топор
itm_sapper_axe_rus|Саперный топор
itm_sapper_axe_rus_pl|Саперный топор
itm_construction_hammer|Молоток
itm_construction_hammer_pl|Молоток
itm_shovel|Лопата
itm_shovel_pl|Лопата
itm_shovel_undig|Лопата
itm_shovel_undig_pl|Лопата
itm_french_bomb|Взрывчатка
itm_french_bomb_pl|Взрывчатка
itm_french_voltigeur_body_officer|French Voltigeur Uniform
itm_french_voltigeur_body_officer_pl|French Voltigeur Uniform
itm_french_voltigeur_body_ranker|French Voltigeur Uniform
itm_french_voltigeur_body_ranker_pl|French Voltigeur Uniform
itm_french_voltigeur_body_sarge|French Voltigeur Uniform
itm_french_voltigeur_body_sarge_pl|French Voltigeur Uniform
itm_french_45e_body_officer|French Infantry Uniform
itm_french_45e_body_officer_pl|French Infantry Uniform
itm_french_45e_body_colours|French Infantry Uniform
itm_french_45e_body_colours_pl|French Infantry Uniform
itm_french_45e_body_ranker|French Infantry Uniform
itm_french_45e_body_ranker_pl|French Infantry Uniform
itm_french_84e_body_officer|French Infantry Uniform
itm_french_84e_body_officer_pl|French Infantry Uniform
itm_french_84e_body_ranker|French Infantry Uniform
itm_french_84e_body_ranker_pl|French Infantry Uniform
itm_french_84e_body_sarge|French Infantry Uniform
itm_french_84e_body_sarge_pl|French Infantry Uniform
itm_french_dragoon_body_ranker|French Dragoon Uniform
itm_french_dragoon_body_ranker_pl|French Dragoon Uniform
itm_french_dragoon_body_officer|French Dragoon Uniform
itm_french_dragoon_body_officer_pl|French Dragoon Uniform
itm_french_general_body_boney|Napoleon's Uniform
itm_french_general_body_boney_pl|Napoleon's Uniform
itm_french_grenadiers_a_cheval_body_colours|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_colours_pl|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_ranker|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_ranker_pl|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_officer|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_officer_pl|French Horse Grenadier Uniform
itm_french_gap_body_colours|French Grenadier Uniform
itm_french_gap_body_colours_pl|French Grenadier Uniform
itm_french_gap_body_ranker|French Grenadier Uniform
itm_french_gap_body_ranker_pl|French Grenadier Uniform
itm_french_gap_body_officer|French Grenadier Uniform
itm_french_gap_body_officer_pl|French Grenadier Uniform
itm_french_art_ranker_body|French Artillery Uniform
itm_french_art_ranker_body_pl|French Artillery Uniform
itm_french_art_ranker_body_alt|French Artillery Uniform
itm_french_art_ranker_body_alt_pl|French Artillery Uniform
itm_french_art_officer_body|French Artillery Uniform
itm_french_art_officer_body_pl|French Artillery Uniform
itm_french_vistula_body_ranker|Vistula Legion Uniform
itm_french_vistula_body_ranker_pl|Vistula Legion Uniform
itm_french_vistula_body_colours|Vistula Legion Uniform
itm_french_vistula_body_colours_pl|Vistula Legion Uniform
itm_french_vistula_body_officer|Vistula Legion Uniform
itm_french_vistula_body_officer_pl|Vistula Legion Uniform
itm_french_lancer_body_ranker|French Guard Lancer Uniform
itm_french_lancer_body_ranker_pl|French Guard Lancer Uniform
itm_french_lancer_body_colours|French Guard Lancer Uniform
itm_french_lancer_body_colours_pl|French Guard Lancer Uniform
itm_french_lancer_body_officer|French Guard Lancer Uniform
itm_french_lancer_body_officer_pl|French Guard Lancer Uniform
itm_french_cuirassier_ranker|French Cuirassier Uniform
itm_french_cuirassier_ranker_pl|French Cuirassier Uniform
itm_french_cuirassier_colours|French Cuirassier Uniform
itm_french_cuirassier_colours_pl|French Cuirassier Uniform
itm_french_cuirassier_officer|French Cuirassier Uniform
itm_french_cuirassier_officer_pl|French Cuirassier Uniform
itm_french_carabineer_ranker|French Carabineer Uniform
itm_french_carabineer_ranker_pl|French Carabineer Uniform
itm_french_carabineer_colours|French Carabineer Uniform
itm_french_carabineer_colours_pl|French Carabineer Uniform
itm_french_carabineer_officer|French Carabineer Uniform
itm_french_carabineer_officer_pl|French Carabineer Uniform
itm_french_hussards_ranker|French Hussar Uniform
itm_french_hussards_ranker_pl|French Hussar Uniform
itm_french_hussards_nco|French Hussar Uniform
itm_french_hussards_nco_pl|French Hussar Uniform
itm_french_hussards_officer|French Hussar Uniform
itm_french_hussards_officer_pl|French Hussar Uniform
itm_french_hussards_trumpeter|French Hussar Uniform
itm_french_hussards_trumpeter_pl|French Hussar Uniform
itm_french_sapper|French Sapper Uniform
itm_french_sapper_pl|French Sapper Uniform
itm_french_grap_body_drummer|French Drummer Uniform
itm_french_grap_body_drummer_pl|French Drummer Uniform
itm_french_grap_body_flautist|French Flautist Uniform
itm_french_grap_body_flautist_pl|French Flautist Uniform
itm_french_voltigeur_body_hornist|French Voltigeur Uniform
itm_french_voltigeur_body_hornist_pl|French Voltigeur Uniform
itm_french_45e_body_drummer|French Drummer Uniform
itm_french_45e_body_drummer_pl|French Drummer Uniform
itm_french_45e_body_flautist|French Flautist Uniform
itm_french_45e_body_flautist_pl|French Flautist Uniform
itm_french_84e_body_drummer|French Drummer Uniform
itm_french_84e_body_drummer_pl|French Drummer Uniform
itm_french_84e_body_flautist|French Flautist Uniform
itm_french_84e_body_flautist_pl|French Flautist Uniform
itm_fr_carabineer_trumpeter|French Trumpeter Uniform
itm_fr_carabineer_trumpeter_pl|French Trumpeter Uniform
itm_fr_cuirassier_body_trumpeter|French Trumpeter Uniform
itm_fr_cuirassier_body_trumpeter_pl|French Trumpeter Uniform
itm_french_dragoon_body_trumpeter|French Trumpeter Uniform
itm_french_dragoon_body_trumpeter_pl|French Trumpeter Uniform
itm_french_lancer_trumpeter_body|French Trumpeter Uniform
itm_french_lancer_trumpeter_body_pl|French Trumpeter Uniform
itm_french_vistula_body_drummer|Vistula Legion Uniform
itm_french_vistula_body_drummer_pl|Vistula Legion Uniform
itm_french_vistula_body_flautist|Vistula Legion Uniform
itm_french_vistula_body_flautist_pl|Vistula Legion Uniform
itm_french_dragoon_body_sargent|French Dragoon Uniform
itm_french_dragoon_body_sargent_pl|French Dragoon Uniform
itm_french_arty_train|French Artillery Train Uniform
itm_french_arty_train_pl|French Artillery Train Uniform
itm_french_grenadier_a_cheval_body_trumpeter|French Trumpeter Uniform
itm_french_grenadier_a_cheval_body_trumpeter_pl|French Trumpeter Uniform
itm_french_captain|french captain
itm_french_captain_pl|french captain
itm_french_equipage_batallion|french equipage batallion
