ui_music_volume|Громкость музыки:
ui_explanation_agility|Ловкость: Кажлое очко дает пять оружейных очков и слегка повышает скорость движения. Следующие скиллы не могут быть развиты выше 1/3 ловкости: Оружейный мастер, Щит, Атлетика, Верховая езда, Стрельба из лука с коня, Сбор трофеев.
ui_explanation_intelligence|Интеллект: Каждое очко интеллекта немедленно дает одно дополнительное очко скилла. Следующие скиллы не могут быть развиты выше 1/3 интеллекта: Тренер, Следопытство, Тактика, Логистика, Обнаружение, Управление инвентарем, Лечение, Хирургия, Первая помощь, Инженер, Убеждение.
ui_explanation_charisma|Харизма: каждое очко увеличивает лимит Вашей партии на +1. Следующие скиллы не могут быть развиты выше 1/3 харизмы: Обращение с пленными, Лидерство, Торговля.
ui_level|Уровень: %d
ui_xp|Опыт: %d
ui_next_level_at|Новый уровень на: %d
ui_health_player|Здоровье: %d/%d
ui_health|Здоровье: %d
ui_attribute_points|Очки черт: %d
ui_skill_points|Очки навыков: %d
ui_weapon_points|Оружейные очки: %d
ui_mission_losses_none| нет.
ui_mission_losses_wounded|раненные :
ui_mission_losses_killed|убитые :
ui_party_losses|%s  : %d раненных --- %d убитых из %d.
ui_casualties_sustained|Понесенные потери:
ui_advantage_change|Изменение преимущества = %c%d 
ui_overall_battle_casualties|Общие обевые потери:
ui_advantage_outnumbered| У врага подавляющее численное преимущество.
ui_advantage_major_disadvantage| Враг в целом превосходит вас числом.
ui_advantage_slight_disadvantage| Враг несколько многочисленнее вас.
ui_advantage_balanced| Силы противоборствующих сторон равны.
ui_advantage_fair_advantage| У вас достаточное преимущество для победы.
ui_advantage_greatly_favored| Все показатели в этой битве в вашу пользу.
ui_tactical_advantage|Тактическое преимущество: %d (%s)
ui_order_group|Приказать группе:
ui_question_save_changes|Вы изменили задачи. Хотите ли сохранить изменения?
ui_yes_save|Да, сохраняйте
ui_no_discard_changes|Нет, отставить изменения
ui_everyone_control|Все!
ui_everyone_around_control|Все, кто рядом со мной!
ui_others_control|Дрцгие!
ui_question_give_up_fight|Покинуть бой?
ui_give_up|Покинуть
ui_keep_fighting|Продолжить сражаться
ui_question_leave_area|Покинуть поле боя
ui_cant_retreat_there_are_enemies_nearby|Отступить невозможно! Вокруг враги!
ui_question_retreat_battle|Отступить?
ui_retreated_battle|%s был обращен в бегство.
ui_retreated_battle|%s бежал с поля боя.
ui_retreat|Отступать
ui_talk|Говорить
ui_duel|Устроить дуэдь
ui_mount|Сесть на коня
ui_riding_skill_not_adequate_to_mount|(Навыки верховой езды недостаточны для этого коня)
ui_dismount|Спешиться
ui_exit|Выход
ui_door_to|Дверь в 
ui_open|Открыть
ui_equip|Взять
ui_baggage|Багаж
ui_access_inventory|Полкчить доступ к инвентарю
ui_chest|Сундук
ui_passage|Проход
ui_go|Вперед
ui_retreat_battle|Выйти из сражения
ui_leave_area|Покинуть зону
ui_reports|Донесения
ui_camp|Лагерь
ui_terrain|Местность
ui_quests|Заметки
ui_inventory|Инвентарь
ui_character|Персонаж
ui_party|Отряд
ui_paused|ПАУЗА
ui_click_left_button_to_cancel_wait|Ожидаем... (Левая кнопка мыши чтобы вернуться)
ui_midnight|Полночь
ui_late_night|Поздняя ночь
ui_dawn|Рассвет
ui_early_morning|Раннее утро
ui_morning|Утро
ui_noon|Полдень
ui_afternoon|Обед
ui_late_afternoon|Поздний обед
ui_dusk|Сумерки
ui_evening|Вечер
ui_midnight|Полночь
ui_level_limit_reached|Достигнут лимит уровня!
ui_explanation_level_limit|Приветствую, странник!Mount&Blade еще не была активирована и сейчас работает в режиме демо-версии.В этом режиме игра ограничивается уровнем 8.Для продолжения игры перезапустите, пожауйста, игру и активируйте ее своим 16-значным серийным ключем, который Вы можете найти в коробке с игрой. После активации Вы сможете продолжить игру прямо с этого места. Теперь же Mount&Blade сохранит вашу игру и покинет ее.
ui_time_limit_reached|Достигнут лимит времени!
ui_explanation_time_limit|Приветствую, странник!Mount&Blade еще не была активирована и сейчас работает в режиме демо-версии.В этом режиме время игры ограничивается 30-дневным периодом.Для продолжения игры перезапустите, пожауйста, игру и активируйте ее своим 16-значным серийным ключем, который Вы можете найти в коробке с игрой. После активации Вы сможете продолжить игру прямо с этого места. Теперь же Mount&Blade сохранит вашу игру и покинет ее.
ui_target_lost|Цель упущена
ui_waiting|Ожидает.
ui_travelling_to|Путешествует к 
ui_following|Преследует 
ui_accompanying|Сопровождает 
ui_running_from|Уходит от 
ui_patrolling|Патрулирует
ui_patrolling_around|Патрулирует вокруг 
ui_holding|Держит позицию
ui_travelling|Путешествует
ui_fighting_against|Сражается против 
ui_speed_equals|Скорость = %2.1f
ui_defenders|Гарнизон:
ui_prisoners|Военнопленные:
ui_1_hour|1 час
ui_n_hours|%d часы
ui_between_hours|%d - %d часами
ui_combatants|Комбатанты: %d
ui_party_size|Размер отряда: %d
ui_party_size_between|Размер отряда: %d - %d
ui_merchant|Торговец
ui_return|Вернуться
ui_no_cost|Нет цены
ui_rename|Переименовать
ui_use|Использовать
ui_destroy|Разрушить
ui_destructible_target|Разрушаемый объект
ui_tutorial_inventory|Это экран торговли. Зажмите ctrl нажимая на объект чтобы быстро купить или продать его.
ui_head_armor|Защита головы: %d
ui_body_armor|Защите телаd
ui_leg_armor|Защита ног: %d
ui_encumbrance|Задолженностьe: %2.1f
ui_you_dont_have_value|У Вас нет %s.
ui_merchant_cant_afford_value|%s: Я не могу себе позволить %s. У меня есть только %s.
ui_merchant_pay_whatever|Хорошо, просто заплати когда сможешь.
ui_merchant_think_of_something_else|Хммм, давай подыщем тебе что-нибудь еще.
ui_dumping_value_items|%d предметов будут периодически теряться, ты уверен/а?
ui_dumping_value_item|Один предмет будет периодически теряться, ты уверен/а?
ui_question_slaughter_food_and_eat|Зарезать эту %s и съесть ее?
ui_money_value|Деньги: %s
ui_dump|Отменить
ui_outfit|Одежда
ui_arms|Оружие
ui_horse|Лошади
ui_food|Пища
ui_reclaim_your_sold_goods| Вернуть назад Ваши проданные товары перед тем как купить это!
ui_return_your_bought_goods|Вернуть Ваши купленные товары перед тем как продать это!
ui_polearm_no_shield|Древковое оружие (Без щита)
ui_polearm|Древковое оружие
ui_two_handed|Двуркчное
ui_two_handed_one_handed|Двуручное/Одноручное
ui_one_handed|Одноручно
ui_return_price|Цена возврата: %d
ui_sell_price|Цена продажи: %d
ui_reclaim_price|Цена возврата: %d
ui_buying_price|Цена покупки: %d
ui_default_item|Случайный предмет
ui_buying_price_free|Цена покупки: бесплатно
ui_weight|Вес: %2.1f
ui_plus_value_to_head_armor|+%d к защите головы
ui_plus_value_to_body_armor|+%d к защите тела
ui_plus_value_to_leg_armor|+%d к защите ног
ui_swing|Удар: %d%s
ui_damage|Ущерб: %d%s
ui_thrust|Укол: %d%s
ui_accuracy|Точность: %d
ui_speed_rating|Скорость: %d
ui_value_to_damage|%c%d к урону
ui_value_to_morale|+%1.1f к морали отряда
ui_resistance|Сопротивление: %d
ui_size|Размер: %d
ui_weapon_reach|Длинна орудия: %d
ui_armor|Защита: %d
ui_speed|Скорость: %d
ui_maneuver|Маневренность: %d
ui_charge|Атака: %d
ui_hit_points|Хит поинты: %d/%d
ui_requires_value_difficulty|Требует %s: %d
ui_bonus_against_shields|Бонус против щитов
ui_cant_be_used_to_block|Не может использоваться для блокирования
ui_troop_cant_use_item|%s: Я не могу использовать этот предмет!
ui_notification_riding_skill_not_enough|Ваши навыки езды недостаточно высоки чтобы ездить на этом коне.
ui_notification_requirements_not_met|Вам недостает черт или умений для владения этим оружием.
ui_notification_payment_value|Вы должны заплатить %s.
ui_notification_payment_receive_value|Вы получите %s.
ui_one_handed_weapons|Одноручное оружие
ui_two_handed_weapons|Двуручное оружие
ui_polearms|Древковое оружие
ui_archery|Луки
ui_crossbows|Арбалеты
ui_throwing|Метательное
ui_firearms|Огнестрельное
ui_reset|Перезапустить
ui_release_one|Освободить одного
ui_move_up|Передвинуть вверх
ui_move_down| Передвинуть вниз
ui_upgrade_one|Усовершенствовать одного
ui_party_skills|Навыки отряда
ui_morale|Мораль: %s
ui_terrible|Ужасная
ui_very_low|Очень низкая
ui_low|Низкая
ui_below_average|Ниже средней
ui_average|Средняя
ui_above_average|Выше средней
ui_high|Высокая
ui_very_high|Очень высокая
ui_excellent|Безупречная
ui_starving|Солдаты умирают от голода! %d%%
ui_weekly_cost_value|Недельная плата: %s
ui_company|Компания: %d / %d
ui_prisoners_equal_value|Пленные: %d / %d
ui_choose_prisoners|Выбрать пленных
ui_choose_companions|Выбрать компаньонов
ui_rescued_prisoners|Спасенные пленные
ui_captured_enemies|Захваченные враги
ui_disband|Выгнать
ui_take_prisoner|Взять в плен
ui_take_back|Взять назад
ui_give|Дать
ui_take|Взять
ui_sell|Продать
ui_hire|Нанять
ui_notification_cant_hire|(Нельза нанять: не хватает денег)
ui_uncapture|Освободить
ui_capture|Захватить
ui_party_capcity_reached|(Достигнут лимит численности отряда)
ui_all| все
ui_joining_cost_weekly_wage|Стоимость присоединяющихся: %d, Недельная плата: %d
ui_weekly_wage|Недельная плата: %d монет
ui_price|Стоимость: %d
ui_number_ready_to_upgrade|%d готов к улучшению.
ui_upgrade_to_value| Улучшить до %s (%dd)
ui_notification_no_slot_for_upgrade|Нет мест для улучшения до %s!
ui_shield_broken|Щит разбит.
ui_shield_cracked|Щит надломлен.
ui_shield_deformed|Щит поврежден.
ui_you_hit_a_friendly_troop|Вы попали в союзника!
ui_hit_shield_on_back|Попадание в щит на спине!
ui_delivered_couched_lance_damage|Нанесено повреждение опущенной пикой!
ui_received_couched_lance_damage|Получено повреждение опущенной пикой!
ui_speed_bonus_plus|Скоростной бонус: +%d%%
ui_speed_bonus|Speed Скоростной бонус: %d%%
ui_cant_reload_this_weapon_on_horseback|Это оружие нельзя зарядить на коне.
ui_no_more_bolts|Болтов больше нет...
ui_you_are_not_carrying_any_bolts|У Вас нет с собой болтов.
ui_no_more_arrows|Стрел больше нет...
ui_you_are_not_carrying_any_arrows|У Вас нет с собой стрел.
ui_head_shot|Попадание в голову!
ui_delivered_number_damage|Нанесено %d повреждений.
ui_delivered_number_damage_to_horse|Нанесено %d повреждений лошади.
ui_horse_charged_for_number_damage|Лошадь нанесла %d повреждений.
ui_received_number_damage|Получено %d повреждений.
ui_horse_received_number_damage|Лошать получила %d повреждений.
ui_value_killed_teammate|%s убил союзника!
ui_horse_fell_dead|Конь пал смертью храбрых...
ui_horse_crippled|Лошадь травмирована...
ui_shot_difficulty|Трудность выстрела: %2.1f
ui_you_have_improved_your_proficiency_in_value_to_number|Вы повысили свое умение в %s до %d.
ui_your_proficiency_in_value_has_improved_by_number_to_number|Ваше умение в %s повысилось на +%d до %d.
ui_value_killed_by_value|%s убит %s.
ui_value_fell_dead|%s упал замертво.
ui_value_knocked_unconscious_by_value|%s был избит до потери сознания %s.
ui_value_fell_unconscious|%s потерял сонание.
ui_troop_routed|%s был обращен в бегство.
ui_troop_panicked|%s запаниковал.
ui_troop_fled|%s бежал с поля боя.
ui_you_got_number_experience|Вы получили %d опыта.
ui_you_have_advanced_to_level_number|Вы усовершенствовались до уровня %d.
ui_value_has_advanced_to_level_number|%s усовершенствовался до уровня %d.
ui_you_got_value|Вы получили %s.
ui_new_quest_taken|Получено новое задание: %s.
ui_quest_completed_value|Задание завершено: %s.
ui_quest_succeeded_value|Задание удачно исполнено: %s.
ui_quest_failed_value|Задание провалено: %s.
ui_quest_concluded_value|Задание закрыто: %s.
ui_quest_cancelled_value|Задание отменено: %s.
ui_lost_value| (Потеряно: %s)
ui_items_lost| (Предметов потеряно:
ui_party_has_nothing_to_eat|Отряду нечего есть!
ui_days_training_is_complete|Дневное обучение завершено...
ui_total_experience_gained_through_training_number|Всего опыта набрано за время обучения: %d
ui_some_soldiers_are_ready_to_upgrade|Некоторые солдаты готовы перейти на новый уровень.
ui_number_of_companions_exceeds_leadership_limit| Число компаньонов превосходит лимит лидерских способностей.
ui_number_of_prisoners_exceeds_prisoner_management_limit| Число пленных превосходит лимит.
ui_party_morale_is_low| Мораль отряда низка!
ui_and_one_space| и
ui_has_deserted_the_party| дезертировал из отряда.
ui_have_deserted_the_party| дезертировали из отряда.
ui_weekly_report|Еженедельный отчет
ui_shared_number_experience_within_party|Поделился %d опыта с отрядом.
ui_got_item_value|Получил предметы: %s.
ui_game_saved_successfully|Игра успешно сохранена.
ui_autosaving|Автоматическое сохранение...
ui_quick_saving|Быстрое сохранение...
ui_cant_quick_save|Нельзя сохранять игру во время боя...
ui_screenshot_taken_to_value|Скриншот сохранен в %s
ui_screenshot_failed|Не получается сохранить скриншот.
ui_value_joined_your_party|%s присоединился к Вашему отряду.
ui_value_joined_party_as_prisoner|%s присоединился к отряду в статусе пленного.
ui_value_has_joined_party|%s присоединился к Вашему отряду.
ui_value_has_been_taken_prisoner|%s был взят в плен.
ui_value_left_the_party|%s покинули отряд.
ui_number_values_left_the_party|%d %s(s) покинул отряд.
ui_number_value_left_the_party|%d %s покинул отряд.
ui_your_relations_with_value_has_improved_from_number_to_number|Ваши отношения с %s улусшились с %d до %d.
ui_your_relations_with_value_has_deteriorated_from_number_to_number|Ваши отношения с %s ухудшились с %d до %d.
ui_you_lost_value|Вы потеряли %s.
ui_lost_item_value|Потерянный предмет: %s.
ui_got_number_value|Получили %d %s.
ui_lost_number_value|Потеряли %d %s.
ui_set_default_keys|Установить клавиши по умолчанию
ui_undo_changes|Отменить изменения
ui_press_a_key|Нажмите клавишу
ui_return_to_game|Вернуться в игру
ui_options|Настройки
ui_save_and_exit|Сохранить & Выйти
ui_save|Сохранить
ui_save_as|Сохранить как
ui_quit_without_saving|Выйти без сохранения
ui_empty_slot|Пустой слот
ui_game_saved|Игра сохранена...
ui_confirm_overwrite|Сохраненная игра для %s будет переписана. Вы уверены?
ui_dynamic_lighting|Динамическое освещение
ui_character_shadows|Тени персонажей
ui_grass_density|Густота травы:
ui_environment_shadows|Тени окружающей среды
ui_realistic_shadows_on_plants|Реалистичные тени на растениях:
ui_particle_systems|Системы частиц:
ui_gamma|Гамма монитора:
ui_character_detail|Детализация персонажей:
ui_character_shadow_detail|Детализация теней персонажей:
ui_blood_stains|Пятна крови:
ui_on|Вкл
ui_off|Выкл
ui_near_player_only|Только рядом с игроком
ui_default|По умолчанию
ui_3d_grass|3D трава:
ui_number_of_ragdolls|Количество Rag Doll еффектов:
ui_number_of_corpses|Количество трупов:
ui_unlimited|Безлимитное
ui_anisotropic_filtering|Анизотропная фильтрация
ui_fast_water_reflection|Быстрые отражения на воде
ui_maximum_framerate|Максимальное количество кадров:
ui_show_framerate|Минимальное количество кадров:
ui_estimated_performance|Предположительная производительность: %d%%
ui_change_graphics_settings_explanation| Некоторые из сделанных вами изменений вступят в силу при перпеходе в новую зону.
ui_start_tutorial|Играть обучающую миссию
ui_start_a_new_game|Начать новую игру
ui_restore_a_saved_game|Загрузить игру
ui_exit_to_windows|Выход
ui_credits|Кредиты
ui_version_value|v%s
ui_active_quests|Действующие задания
ui_finished_quests|Пройденные задания
ui_given_on_date|Выдан: %s
ui_days_since_given|Дней прошло с момента выдачи: %d
ui_quest_progression_number|Прогресс в выполнении: %d%%
ui_too_many_quests|Слишком много заданий
ui_ok|OK
ui_move_forward|Движение вперед
ui_move_backward|Движение назад
ui_move_left|Движение налево
ui_move_right|Движение направо
ui_action|Действие
ui_jump|Прыжок
ui_attack|Атака
ui_parry_then_attack|Контратака
ui_defend|Оборона
ui_kick|Пинок ногой
ui_equip_weapon_1|Взять предмет 1
ui_equip_weapon_2|Взять предмет 2
ui_equip_weapon_3|Взять предмет 3
ui_equip_weapon_4|Взять предмет 4
ui_equip_next_weapon|Взять следующее оружие
ui_equip_next_shield|Взять следующий щит
ui_sheath_weapon|Спрятать оружие
ui_character_window|Окно персонажа
ui_inventory_window|Окно инвентаря
ui_party_window|Окно сдаваться
ui_quests_window|Окно квестов
ui_game_log_window|Окно игрового протокола
ui_leave_location_retreat|Покинуть местность/Отступить
ui_view_outfit|Просмотр одежды
ui_toggle_first_person_view|Включить вид от первого лица
ui_view_orders|Просмотреть приказы
ui_quick_save|Быстрое сохранение
ui_no_key_assigned|Нет назначенной клавиши
ui_new_enemies_have_arrived|Прибыли неприятельские подкрепления.
ui_reinforcements_have_arrived|Наши подкрепления прибыли!!.
ui_report_casualties|Докладывать о потерях
ui_report_experience|Докладывать об опыте
ui_current_level_value|Уровень сейчас: %d
ui_base_attribute_value|Базовая черта: %s
ui_battle_controls|Управление в битве
ui_map_controls|Управление на карте
ui_general_controls|Общее управление
ui_zoom_in|Приблизить
ui_zoom_out|Удалить
ui_wait|Ждать
ui_take_screenshot|Снять скриншот
ui_randomize|В случайном порядке
ui_hint|Подсказка
ui_press_left_mouse_button_to_continue|Нажмите левую кнопку мыши чтобы продолжить...
ui_loot|Грабить
ui_chest|Грудь
ui_cut_short|c
ui_pierce_short|p
ui_blunt_short|b
ui_battle|Battle
ui_siege|Осада
ui_troops|Войска:
ui_loading_module_info_file|Loading Module Info File...
ui_processing_ini_file|Processing INI File...
ui_loading_music|Loading Music...
ui_loading_data|Loading Data...
ui_loading_setting_data|Loading Setting Data...
ui_loading_textures|Loading Textures...
ui_finished|Finished.
ui_creating_game|Creating Game...
ui_loading_savegame_file|Loading Savegame File...
ui_loading_map_file|Loading Map File...
ui_initializing_map|Initializing Map...
ui_launching_game|Launching Game...
ui_capital_battle|БИТВА:
ui_capital_versus|--ПРОТИВ--
ui_tracks|Треки
ui_battleground|Поле боя
ui_order_1|Выбрать порядок 1
ui_order_2|Выбрать порядок 2
ui_order_3|Выбрать порядок 3
ui_order_4|Выбрать порядок 4
ui_order_5|Выбрать порядок 5
ui_order_6|Выбрать порядок 6
ui_order_button_hold_this_position|Держать позицию
ui_order_button_follow_me|За мной
ui_order_button_charge|В атаку
ui_order_button_stand_ground|Обороняться
ui_order_button_retreat|Отступать
ui_order_button_advance|Вперед на 10 шагов
ui_order_button_fall_back|Назад на 10 шагов
ui_order_button_spread_out|Рассыпаться
ui_order_button_stand_closer|Сомкнуть ряды
ui_order_button_mount_horses|На коня
ui_order_button_dismount|Спешиться
ui_order_button_hold_fire|Не стрелять
ui_order_button_fire_at_will|Стрелять по готовности
ui_order_button_use_blunt_weapons|Использовать только тупое оружие
ui_order_button_use_any_weapon|Использовать любое оружие
ui_order_button_movement_orders|Приказы о движении
ui_order_button_formation_orders|Приказы о построении
ui_order_button_fire_orders|Приказы о стрельбе
ui_follow_me_e_|%s, за мной!
ui_charge_e_|%s, в атаку!!!
ui_stand_ground_e_|%s, держать позицию!
ui_retreat_e_|%s, отступаем!
ui_mount_horses_e_|%s, на коня!
ui_dismount_e_|%s, спешиться!
ui_advance_e_|%s, вперед на 10 шагов!
ui_fall_back_e_|%s, назад на 10 шагов!
ui_stand_closer_e_|%s, сомкнись!
ui_spread_out_e_|%s, рассыпаться!
ui_use_blunt_weapons_e_|%s, использовать только тупое оружие!
ui_use_any_weapon_e_|%s, использовать любое оружие!
ui_hold_fire_e_|%s, не стрелять!
ui_fire_at_will_e_|%s, стрелять по готовности!
ui_hold_this_position_e_|%s, держать эту позицию!
ui_infantry|Пехота
ui_archers|Стрелки
ui_cavalry|Конница
ui_companions|Компаньоны
ui_everyone_hear_me|Всем слушать меня!
ui_everyone|Все
ui_everyone_around_me|Солдаты поблизости
ui_str_hear_me|%s, слушай меня!
ui_str_and_str|%s и %s
ui_str_comma_str|%s, %s
ui_need_to_learn_prisoner_management|Вам нужно изучить навык "Обращение с пленными".
ui_game_log|Game Log
ui_recent_messages|Recent Messages
ui_custom_battle|Случайная битва
ui_player|Игрок
ui_value_denars|%d денаров
ui_back|Назад
ui_forward|Вперед
ui_display_on_map|Показать на карте
ui_info_pages|Концепции игры
ui_troops2|Персонажи
ui_locations|Локации
ui_click_button_to_view_note|Кликните по ссылке для просмотре замечаний.
ui_this_page_contains_no_information|Эта страница не содержит информации
ui_other_pages_that_link_here|Другие страницы, отсылающие сюда: 
ui_report_is_value_days_old| (Донесению %d дней)
ui_report_is_current| (Свежее донесение)
ui_button_party_member_healthy_total|%s (%d/%d)
ui_button_party_member_total|%s (%d)
ui_button_party_member_hero_percentage_wounded|%s (%d%% - раненные)
ui_button_party_member_hero_percentage|%s (%d%%)
ui_percentage_value|%d%%
ui_full|Полная
ui_quick|Быстрая
ui_none|Никакой
ui_change|Изменение
ui_how_to_change|Как это изменить?
ui_change_directx_explanation|Вы можете менять метод отображения между DirectX 7 и DirectX 9 нажимая кнопку Настроить в меню запуска, появляющемся при первом запуске игры.
ui_dropping_picking_up|Бросаем %s; подбираем %s.
ui_dropping|Бросаем %s.
ui_picking_up|Подбираем %s.
ui_unable_to_take|Невозможно взять это.
ui_age|Возраст
ui_cannot_be_used_on_horseback|Использование на коне невозможно
ui_enable_vertex_shaders2|Метод отображения:
ui_screen_size2|Разрешение экрана:
ui_use_desktop_resolution2|Использовать разрешение рабочего стола
ui_shadow_quality2|качество тени:
ui_m_low2|Низкое
ui_m_high2|Высокое
ui_m_ultra_high2|Очень высокое
ui_off2|Выкл
ui_group_header|Класс войск
ui_group_rename|Переименовать группу
ui_group_1|Пехота
ui_group_2|Стрелки
ui_group_3|Конница
ui_group_4|Безимянный 1
ui_group_5|Безимянный 2
ui_group_6|Безимянный 3
ui_group_7|Безимянный 4
ui_group_8|Безимянный 5
ui_group_9|Безимянный 6
ui_group_rename|Переименовать группу
ui_group_close|Закрыть
ui_party_b_group_information|%s принадлежит группе %s
ui_thrown_or_s|Метание/%s
ui_ranged_damage|Дистанционное: %d%s
ui_overall_quality|Общее качество
ui_shader_quality|Качество шейдеров:
ui_flora_lod_detail|Детализация деревьев:
ui_flora_degrade_distance|Расстояние деградации деревьев:
ui_antialiasing|Антианалайзинг:
ui_use_depth_effects|Использовать эффекты глубины
ui_hdr_mode|Режим HDR:
ui_autoexpore|Автоматическое осветление
ui_choose_profile|Выбрать профиль
ui_create|Создать
ui_edit|Редактировать
ui_join_game|Присоединиться к игре
ui_host_game|Создать игру
ui_custom|Случайный
ui_medium|Средний
ui_male|Мужской
ui_female|Женский
ui_gender|Выберите пол:
ui_edit_profile|Редактировать профиль
ui_new_profile|Новый профиль
ui_enter_username|Введите имя:
ui_invalid_username|Имя может содержать лишь буквы, цифры или следующие символы _ - * [ ] ~ .
ui_confirmation|Точно?
ui_multiplayer|Сетевая игра
ui_server_name|Сервер
ui_module_name|Модуль
ui_game_type|Тип игры
ui_map_name|Карта
ui_ping|Пинг
ui_dedicated|Выделенный
ui_number_of_players|Игроки
ui_password_protected|Пароль
ui_connect|Присоединиться
ui_local_area_network|Локальная сеть
ui_internet|Интернет
ui_favorites|Избранное
ui_source|Источник:
ui_server_password|Пароль сервера:
ui_refresh|Обновить
ui_start_search|Начать поиск
ui_add_to_favorites|Добавить в избранное
ui_remove_from_favorites|Убрать из избранного
ui_use_speedtree|Использовать Speedtree
ui_use_instancing|Использовать инстансинг
ui_error|Ошибка
