str_no_string|НЕТ СТРОКИ
str_mp_fort_fleetwood_storm|Форт Флитвуд (Буря)
str_mp_fort_george|Форт Джорд (День)
str_mp_fort_george_raining|Форт Джорд (Дождь)
str_mp_fort_hohenfels|Форт Хофенфелс (День)
str_mp_fort_hohenfels_night|Форт Хофенфелс (Ночь)
str_mp_fort_lyon|Форт Лион (День)
str_mp_fort_lyon_night|Форт Лион (Ночь)
str_mp_fort_mackinaw|Форт Макиноу (День)
str_mp_fort_mackinaw_raining|Форт Макиноу (Дождь)
str_mp_fort_nylas|Форт Нила (День)
str_mp_fort_nylas_raining|Форт Нила (Дождь)
str_mp_fort_refleax|Форт Виллсбридж (День)
str_mp_fort_refleax_night|Форт Виллсбридж (Ночь)
str_mp_fort_vincey|Форт Виттингтон ( День)
str_mp_fort_vincey_storm|Форт Фиттингтон ( Буря)
str_mp_french_farm|Французская ферма
str_mp_french_farm_storm|Французская ферма (Буря)
str_mp_german_village|Немецкое село
str_mp_german_village_rain|Немецкое село (Дождь)
str_mp_hougoumont|Ферма Угомон (День)
str_mp_hougoumont_night|Ферма Угомон (Ночь)
str_mp_hungarian_plains|Венгерские равнины (День)
str_mp_hungarian_plains_cloud|Венгерские равнины (облачный)
str_mp_theisland|Остров (День)
str_mp_la_haye_sainte|Ла Хе Сант (День)
str_mp_la_haye_sainte_night|Ла Хе Сант (Ночь)
str_mp_landshut|Ландшут (День)
str_mp_landshut_night|Ландшут (Ночь)
str_mp_minden|Минден (День)
str_mp_minden_night|Минден (Утро)
str_mp_naval|Морской бой (День)
str_mp_oaksfield_day|Оксфилд (День)
str_mp_oaksfield_storm|Оксфилд (Буря)
str_mp_outlaws_den|Подземелье Каторжника (День)
str_mp_outlaws_den_night|Подземелье Каторжника (Ночь)
str_mp_quatre_bras|Кватр-Бра (День)
str_mp_quatre_bras_night|Кватр Бра (Ночь)
str_mp_river_crossing|Переправа (День)
str_mp_river_crossing_morning|Переправа (Утро)
str_mp_roxburgh|Роксбург (День)
str_mp_roxburgh_raining|Роксбург (Дождь)
str_mp_russian_river_day|Русская Река (День)
str_mp_russian_river_cloudy|Русская Река (Облачно)
str_mp_russian_village|Русская деревня (Снег)
str_mp_russian_village_fog|Русская деревня (туман)
str_mp_russian_village_conq|Русская деревня (Снег)
str_mp_russian_village_conq_night|Русская деревня (Ночь)
str_mp_saints_isle|Остров Святого (День)
str_mp_saints_isle_rain|Остров Святого (Дождь)
str_mp_schemmerbach|Шеммербах (День)
str_mp_schemmerbach_storm|Шеммербах (Буря)
str_mp_siege_of_toulon|Осада Тулон (День)
str_mp_siege_of_toulon_night|Осада Тулон (Ночь)
str_mp_sjotofta|Sjotofta (День)
str_mp_sjotofta_night|Sjotofta (Ночь)
str_mp_slovenian_village|Словенское село
str_mp_slovenian_village_raining|Словенское село (Дождь)
str_mp_spanish_farm|Испанская ферма
str_mp_spanish_farm_rain|Испанская ферма (Дождь)
str_mp_spanish_mountain_pass|Испанский проход в горах
str_mp_spanish_mountain_pass_evening|Испанский проход в горах (Вечер)
str_mp_spanish_village|Испанская деревня (День)
str_mp_spanish_village_evening|Испанская деревня(Вечер)
str_mp_strangefields|Странные поля
str_mp_strangefields_storm|Cтранные поля (Буря)
str_mp_swamp|Сигбургское болото
str_mp_venice|Венеция (День)
str_mp_venice_morning|Венеция (Утро)
str_mp_walloon_farm|Валлонская ферма
str_mp_walloon_farm_night|Валлонская ферма (Ночь)
str_mp_testing_map|Тестовая карта
str_random_multi_plain_medium|Случайная равнина (Средняя )
str_random_multi_plain_large|Случайная равнина (Большая)
str_random_multi_plain_medium_rain|Случайная равнина (Средняя ) Дождь
str_random_multi_plain_large_rain|Случайная равнина (Большая) Дождь
str_random_multi_steppe_medium|Случайная степь (Средняя)
str_random_multi_steppe_large|Случайная степь (Большая)
str_random_multi_steppe_forest_medium|Случайная лесостепь (Средняя)
str_random_multi_steppe_forest_large|Случайная лесостепь (Большая)
str_random_multi_snow_medium|Случайная заснеженная (Средняя)
str_random_multi_snow_medium_snow|Случайная заснеженная (Средняя) Снегопад
str_random_multi_snow_large|Случайная заснеженная (Большая)
str_random_multi_snow_large_snow|Случайная заснеженная (Большая) Снегопад
str_random_multi_snow_forest_medium|Случайный заснеженный лес ( Средний)
str_random_multi_snow_forest_medium_snow|Случайный заснеженный лес (Средний) Снегопад
str_random_multi_snow_forest_large|Случайный заснеженный лес (Большой)
str_random_multi_snow_forest_large_snow|Случайный заснеженный лес (Большой) Снегопад
str_random_multi_desert_medium|Случайная пустыня (Средняя)
str_random_multi_desert_large|Случайная пустыня (Большая)
str_random_multi_desert_forest_medium|Случайный бушлэнд (Средний)
str_random_multi_desert_forest_large|Случайный бушлэнд (Большой)
str_random_multi_forest_medium|Случайный лес (Средний)
str_random_multi_forest_medium_rain|Случайный лес (Средний) Дождь
str_random_multi_forest_large|Случайный лес (Большой)
str_random_multi_forest_large_rain|Случайный лес (Большой) Дождь
str_mp_custom_map_1|custom map 1
str_mp_custom_map_2|custom map 2
str_mp_custom_map_3|custom map 3
str_mp_custom_map_4|custom map 4
str_mp_custom_map_5|custom map 5
str_mp_custom_map_6|custom map 6
str_mp_custom_map_7|custom map 7
str_mp_custom_map_8|custom map 8
str_mp_custom_map_9|custom map 9
str_mp_custom_map_10|custom map 10
str_mp_custom_map_11|custom map 11
str_mp_custom_map_12|custom map 12
str_mp_custom_map_13|custom map 13
str_mp_custom_map_14|custom map 14
str_mp_custom_map_15|custom map 15
str_mp_custom_map_16|custom map 16
str_mp_custom_map_17|custom map 17
str_mp_custom_map_18|custom map 18
str_mp_custom_map_19|custom map 19
str_mp_custom_map_20|custom map 20
str_mp_custom_map_21|случайная карта 21
str_mp_custom_map_22|случайная карта 22
str_mp_custom_map_23|случайная карта 23
str_mp_custom_map_24|случайная карта 24
str_mp_custom_map_25|случайная карта 25
str_mp_custom_map_26|случайная карта 26
str_mp_custom_map_27|случайная карта 27
str_mp_custom_map_28|случайная карта 28
str_mp_custom_map_29|случайная карта 29
str_mp_custom_map_30|случайная карта 30
str_mp_custom_map_31|случайная карта 31
str_mp_custom_map_32|случайная карта 32
str_mp_custom_map_33|случайная карта 33
str_mp_custom_map_34|случайная карта 34
str_mp_custom_map_35|случайная карта 35
str_mp_custom_map_36|случайная карта 36
str_mp_custom_map_37|случайная карта 37
str_mp_custom_map_38|случайная карта 38
str_mp_custom_map_39|случайная карта 39
str_mp_custom_map_40|случайная карта 40
str_mp_custom_map_41|случайная карта 41
str_mp_custom_map_42|случайная карта 42
str_mp_custom_map_43|случайная карта 43
str_mp_custom_map_44|случайная карта 44
str_mp_custom_map_45|случайная карта 45
str_mp_custom_map_46|случайная карта 46
str_mp_custom_map_47|случайная карта 47
str_mp_custom_map_48|случайная карта 48
str_mp_custom_map_49|случайная карта 49
str_mp_custom_map_50|случайная карта 50
str_mp_custom_map_51|случайная карта 51
str_mp_custom_map_52|случайная карта 52
str_mp_custom_map_53|случайная карта 53
str_mp_custom_map_54|случайная карта 54
str_mp_custom_map_55|случайная карта 55
str_mp_custom_map_56|случайная карта 56
str_mp_custom_map_57|случайная карта 57
str_mp_custom_map_58|случайная карта 58
str_mp_custom_map_59|случайная карта 59
str_mp_custom_map_60|случайная карта 60
str_mp_custom_map_61|случайная карта 61
str_mp_custom_map_62|случайная карта 62
str_mp_custom_map_63|случайная карта 63
str_mp_custom_map_64|случайная карта 64
str_mp_custom_map_65|случайная карта 65
str_mp_custom_map_66|случайная карта 66
str_mp_custom_map_67|случайная карта 67
str_mp_custom_map_68|случайная карта 68
str_mp_custom_map_69|случайная карта 69
str_mp_custom_map_70|случайная карта 70
str_mp_custom_map_71|случайная карта 71
str_mp_custom_map_72|случайная карта 72
str_mp_custom_map_73|случайная карта 73
str_mp_custom_map_74|случайная карта 74
str_mp_custom_map_75|случайная карта 75
str_mp_custom_map_76|случайная карта 76
str_mp_custom_map_77|случайная карта 77
str_mp_custom_map_78|случайная карта 78
str_mp_custom_map_79|случайная карта 79
str_mp_custom_map_80|случайная карта 80
str_mp_custom_map_81|случайная карта 81
str_mp_custom_map_82|случайная карта 82
str_mp_custom_map_83|случайная карта 83
str_mp_custom_map_84|случайная карта 84
str_mp_custom_map_85|случайная карта 85
str_mp_custom_map_86|случайная карта 86
str_mp_custom_map_87|случайная карта 87
str_mp_custom_map_88|случайная карта 88
str_mp_custom_map_89|случайная карта 89
str_mp_custom_map_90|случайная карта 90
str_mp_custom_map_91|случайная карта 91
str_mp_custom_map_92|случайная карта 92
str_mp_custom_map_93|случайная карта 93
str_mp_custom_map_94|случайная карта 94
str_mp_custom_map_95|случайная карта 95
str_mp_custom_map_96|случайная карта 96
str_mp_custom_map_97|случайная карта 97
str_mp_custom_map_98|случайная карта 98
str_mp_custom_map_99|случайная карта 99
str_mp_custom_map_100|случайная карта 100
str_multi_scene_end|окончание мулти карты
str_multi_game_type_1|Deathmatch
str_multi_game_type_2|Team Deathmatch
str_multi_game_type_3|Битва
str_multi_game_type_5|Захват Флага
str_multi_game_type_6|Завоевание
str_multi_game_type_7|Осада
str_multi_game_type_8|Дуэль
str_multi_game_type_9|Командование ботами
str_multi_game_type_10|Царь Горы
str_multi_game_type_12|Редактирование уровня
str_multi_game_types_end|multi game types end
str_multi_game_type_11|Редактирование
str_poll_kick_player_s1_by_s0|{s0} начал голосование об изгнании игрока {s1}.
str_poll_ban_player_s1_by_s0|{s0} начал голосование о бане игрока {s1}.
str_poll_change_map_to_s1_by_s0|{s0} начал голосование о смене карты на {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} начал голосование о смене карты на {s1} и воюющих сторон на {s2} и {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} начал голосование о смене количества ботов на {reg0} и {reg1}.
str_poll_kick_player|Голосование об изгнании игрока {s0}: 1 = Принять, 2 = Отклонить
str_poll_ban_player|Голосование о бане игрока {s0}: 1 = Принять, 2 = Отклонить
str_poll_change_map|Голосование о смене карты на {s0}: 1 = Принять, 2 = Отклонить
str_poll_change_map_with_faction|Голосование о смене карты на {s0} и воюющих сторон на {s1} против {s2}: 1 = Принять, 2 = Отклонить
str_poll_change_number_of_bots|Голосование о смене количества ботов на {reg0} для {s0} и {reg1} для {s1}: 1 = Принять, 2 = Отклонить
str_poll_time_left|({reg0} секунд осталось)
str_poll_result_yes|Предложение принято большинством голосов.
str_poll_result_no|Предложение отклонено большинством голосов.
str_server_name|Название сервера:
str_game_password|Пароль:
str_map|Карта:
str_game_type|Тип игры:
str_max_number_of_players|Максимальное количество игроков:
str_number_of_bots_in_team_reg1|Количество ботов в команде {reg1}:
str_team_reg1_faction|Фракция команды {reg1}:
str_enable_valve_anti_cheat|Включить Valve Anti-cheat
str_allow_friendly_fire|Разрешить нанесение повреждений союзникам оружием дальнего боя
str_allow_melee_friendly_fire|Разрешить нанасение повреждений союзникам оружием ближнего боя
str_friendly_fire_damage_self_ratio|Степень ущерба себе при нанасении повреждений союзником (%):
str_friendly_fire_damage_friend_ratio|Степень ущерба союзника при нанесении ему повреждений(%):
str_spectator_camera|Камера наблюдателя:
str_control_block_direction|Выбор направления блокирования:
str_map_time_limit|Продолжительность карты (в минутах):
str_round_time_limit|Продолжительность раунда (в секундах):
str_players_take_control_of_a_bot_after_death|Вселиться в бота после смерти:
str_team_points_limit|Командных очков для победы:
str_point_gained_from_flags|Потеря командных очков за захват противником флага(%):
str_point_gained_from_capturing_flag|Командных очков для захвата флага:
str_respawn_period|Возрождение через (секунд):
str_add_to_official_game_servers_list|Добавить в официальный список серверов.
str_combat_speed|Скорость боя:
str_combat_speed_0|Самая медленная
str_combat_speed_1|Медленная
str_combat_speed_2|Средняя
str_combat_speed_3|Быстрая
str_combat_speed_4|Самая быстрая
str_off|Выкл
str_on|Вкл
str_defender_spawn_count_limit|Время возрождения обороняющихся:
str_unlimited|Неограниченное
str_automatic|Автоматический
str_by_mouse_movement|С помощью мыши
str_free|Свободная
str_stick_to_any_player|Прикреплена к любому игроку
str_stick_to_team_members|Прикреплена к членам команды
str_stick_to_team_members_view|Прикреплена к полю зрения членов команды
str_make_factions_voteable|Разрешить голоссования за смену воюющих сторон
str_make_kick_voteable|Разрешнить голосования за изгнание игроков
str_make_ban_voteable|Разрешить голосования за бан игроков
str_bots_upper_limit_for_votes|Ограничение количества ботов для голосований:
str_make_maps_voteable|Разрешить голосования за смену карт
str_valid_vote_ratio|Процентная доля голосов, необходимая для принятия решения (%):
str_auto_team_balance_limit|Процент игроков для автоматического распределения составов команд (diff.):
str_welcome_message|Вступительное слово:
str_initial_gold_multiplier|Начальный капитал(%):
str_battle_earnings_multiplier|Денежный бонус за участие в бою (%):
str_round_earnings_multiplier|Денежный бонус за выживание в раунде(%):
str_allow_player_banners|Разрешить индивидуальные баннеры
str_force_default_armor|Принудить к ношению брони по умолчанию
str_respawning_in_reg0_seconds|Возрождение через {reg0} секунд...
str_no_more_respawns_remained_this_round|У Вас не осталось жизней в этом раунде
str_reg0_respawns_remained|({reg0} жизней осталось)
str_this_is_your_last_respawn|(Это ваша последняя жизнь)
str_wait_next_round|(Дождитесь начала следующего раунда)
str_yes_wo_dot|Да
str_no_wo_dot|Нет
str_s1_returned_flag|{s1} вернула флаг на свою базу!
str_s1_auto_returned_flag|{s1} флаг был автоматически возвращен на их базу!
str_s1_captured_flag|{s1} захватила неприятельский флаг!
str_s1_taken_flag|{s1} взяла неприятельский флаг!
str_s1_neutralized_flag_reg0|{s1} потеряла {s0}.
str_s1_captured_flag_reg0|{s1} захватила {s0}!
str_s1_pulling_flag_reg0|{s1} начала захват {s0}.
str_s1_defended_castle|{s1} защитила свою крепость!
str_s1_captured_castle|{s1} захватила крепость!
str_auto_team_balance_in_20_seconds|Авто-балланс будет произведен через 30 секунд.
str_auto_team_balance_next_round|Авто-балланс будет произведен в следующем раунде.
str_auto_team_balance_done|Команды были сбаллансированы.
str_s1_won_round|{s1} выиграла раунд
str_round_draw|Время вышло.Победа не досталась никому.
str_round_draw_no_one_remained|Никого не осталось.Ничья!
str_reset_to_default|Восстановить настройки по умолчанию
str_done|Сделано
str_player_name|Имя игрока
str_kills|Убийств
str_deaths|Смертей
str_ping|Ping
str_dead|Мертв
str_reg0_dead|{reg0} Мертв
str_bots_reg0_agents|Боты ({reg0} буратин)
str_bot_1_agent|Bot (1 буратин)
str_score|Счет
str_score_reg0|Счет: {reg0}
str_flags_reg0|(Флагов: {reg0})
str_reg0_players|({reg0} Игроков,  {reg40} Живых,  {reg41} Погибло)
str_reg0_player|({reg0} Игроков,  {reg40} Живых,  {reg41} Погибло)
str_reg0_alive|{reg0} Жив
str_reg0_player_only|{reg0} Игрок
str_reg0_players_only|{reg0} Игроки
str_reg0_spectator|{reg0} Зритель
str_reg0_spectators|{reg0} Зрители
str_open_gate|Отворить ворота
str_close_gate|Закрыть ворота
str_open_door|Открыть дверь
str_close_door|Закрыть дверь
str_raise_ladder|Приставить лестницу
str_drop_ladder|Сборсить лестницу
str_back|Назад
str_start_map|Начать карту
str_choose_an_option|Выбрать настройку:
str_choose_a_poll_type|Выбрать тип голосования:
str_choose_faction|Выбор воюющей стороны
str_choose_a_faction|Выбрать воюющую сторону:
str_choose_troop|Выбор флага
str_choose_a_troop|Выбрать подразделение:
str_choose_items|Выбор подразделения
str_choose_an_item|Выбрать звание:
str_options|Настройки
str_redefine_keys|Переназначить клавиши
str_submit_a_poll|Принять голосование
str_show_game_rules|Показать правила игры
str_administrator_panel|Панель Администратора
str_kick_player|Изгнать игрока
str_ban_player|Забанить игрока навсегда
str_mute_player|Заглушить игрока
str_unmute_player|Вернуть игроку голос
str_quit|Выйти
str_poll_for_changing_the_map|Сменить карту
str_poll_for_changing_the_map_and_factions|Сменить карту и воюющие стороны
str_poll_for_changing_number_of_bots|Сменить количество ботов в командах
str_poll_for_kicking_a_player|Изгнать игрока
str_poll_for_banning_a_player|Забанить игрока
str_choose_a_player|Выбрать игрока:
str_choose_a_map|Выбрать карту:
str_choose_a_faction_for_team_reg0|Выбрать воюющую сторону для команды {reg0}:
str_choose_number_of_bots_for_team_reg0|Выбрать количество ботов для команды {reg0}:
str_spectator|Зритель
str_spectators|Зрители
str_score_2|Счет
str_command|Команда:
str_profile_banner_selection_text|Выбрать баннер для Вашего профиля:
str_use_default_banner|Использовать баннер воюющей стороны
str_player_name_s1|- {s1}
str_space| 
str_us_|Мы
str_allies_|Союзники
str_enemies_|Враги
str_routed|Отступили
str_maximum_seconds_for_round_is_reg0|Максимум секунд на раунд {reg0}.
str_respawn_period_is_reg0_seconds|Время воозрождения {reg0} секунд.
str_bots_upper_limit_for_votes_is_reg0|Максимальное количество ботов для голосований {reg0}.
str_map_is_voteable|За карту можно голосовать.
str_map_is_not_voteable|За карту нельзя голосовать.
str_factions_are_voteable|За воюющие стороны можно голосовать.
str_factions_are_not_voteable|За воюющие стороны нельзя голосовать.
str_players_respawn_as_bot|Игроки возрождаются в ботов.
str_players_do_not_respawn_as_bot|Игроки не возрождаются в ботов.
str_kicking_a_player_is_voteable|За изгнание игрока можно голосовать.
str_kicking_a_player_is_not_voteable|За изгнание игрока нельзя голосовать.
str_banning_a_player_is_voteable|За бан игрока можно голосовать.
str_banning_a_player_is_not_voteable|За бан игрока голосовать нельзя.
str_player_banners_are_allowed|Баннеры игроков разрешены.
str_player_banners_are_not_allowed|Баннеры игроков запрещены.
str_default_armor_is_forced|Принудительное использование базовой брони включено.
str_default_armor_is_not_forced|Принудительное использование базовой брони выключено.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Процент утрведительных голосов для принятия условий голосования составляет {reg0}%.
str_auto_team_balance_threshold_is_reg0|Порог автобалланса составляет {reg0}.
str_starting_gold_ratio_is_reg0|Начальный капитал{reg0}%.
str_combat_gold_bonus_ratio_is_reg0|Combat gold bonus ratio is {reg0}%.
str_round_gold_bonus_ratio_is_reg0|Round gold bonus ratio is {reg0}%.
str_point_gained_from_flags_is_reg0|Командные очки, потерянные за захват флага неприятелем {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Командные очки, полученные за захват флага {reg0}%.
str_map_time_limit_is_reg0|Продолжительность игры на карте {reg0} минут.
str_team_points_limit_is_reg0|Лимит командных очков {reg0}.
str_defender_spawn_count_limit_is_s1|Время возрождения обороняющихся {s1}.
str_system_error|СИСТЕМНАЯ ОШИБКА
str_routed_2|Обращено в бегство
str_s42|{s42}
str_you|ты
str_we|мы
str_quick_battle_french_farm|Французская ферма
str_quick_battle_landshut|Ландшут
str_quick_battle_river_crossing|Переправа
str_quick_battle_spanish_village|Испанское село
str_quick_battle_strangefields|Странные поля
str_quick_battle_scene_1|Холмы
str_quick_battle_scene_2|Снежная равнина
str_quick_battle_scene_3|Лесостепь
str_quick_battle_scene_4|Степь
str_quick_battle_scene_6|Пустыня
str_map_basic|Карта
str_game_type_basic|Тип игры
str_battle|Битва
str_character|Персонаж
str_player|Игрок
str_enemy|Неприятель
str_faction|Воюющая сторона
str_start|Начало
str_custom_battle|Пользовательское сражение
str_plus|+
str_minus|-
str_server_name_s0|Название сервера: {s0}
str_map_name_s0|Название карты: {s0}
str_game_type_s0|Тип игры: {s0}
str_remaining_time_s0reg0_s1reg1|Оставшееся время: {s0}{reg0}:{s1}{reg1}
str_a_duel_request_is_sent_to_s0|Вызов на дуэль отправлен {s0}.
str_s0_offers_a_duel_with_you|{s0} вызывает Вас на дуэль.
str_your_duel_with_s0_is_cancelled|Ваша дуэль с {s0} отменена.
str_a_duel_between_you_and_s0_will_start_in_3_seconds|Дуэль между Вами  и {s0} начнется через 3 секунды.
str_you_have_lost_a_duel|Вы были убиты на дуэли.
str_you_have_won_a_duel|Вы победили на дуэли!
str_server_s0|[SERVER]: {s0}
str_disallow_ranged_weapons|Запретить оружие дальнего боя.
str_ranged_weapons_are_disallowed|Оружие дальнего боя запрещено.
str_ranged_weapons_are_allowed|Оружие дальнего боя разрешено.
str_duel_starts_in_reg0_seconds|Дуэль начнется через {reg0} секунд...
str_true|Включить
str_false|Выключить
str_teamkilled_s1_s2|{s1} убил союзника {s2}.
str_kick_server_kills_first_s1_reg5|{s1} автоматически изгоняется за {reg5} убийств союзников, в первый раз.
str_kick_server_kills_second_s1_reg5|{s1} автоматически изгоняется за {reg5} убийств союзников, во второй раз.
str_ban_server_kills_s1_reg5|{s1} автоматически забанет за совершение {reg5} или более убийств союзников.
str_warning_message_first_reg5|Вы убили уже {reg5} игроков на этой карте. Остановитесь или будете наказаны!
str_warning_message_second_reg5|Вы убили уже {reg5} игроков на этой карте. Останоситесь или будете изгнаны!
str_kick_to_message_first|Вас изгнали за чрезмерное количество убийств союзников по команде.
str_kick_to_message_second|Вас изгнали за чрезмерное количество убийств союзников по команде.Опомнитесь, или же в следующий раз будете забанены!
str_ban_to_message|Вы забанены за чрезмерное количество убийств союзников по команде. Прощайте!
str_auto_kick_message_s1|{s1} автоматически изгнан за чрезмерное количество убийств союзников по команде.
str_auto_ban_message_s1|{s1} автоматически забанен за чрезмерное количество убийств союзников по команде.
str_server_hq_base_retake_s1| {s1} отбивают свою базу!!
str_server_hq_base_attack_s1|База {s1} была атакована!!
str_player_left_server_s1_reg13|{s1} покинул игру с ID: {reg13}
str_push_cannon|Накатить орудие
str_fire_cannon|Выстрелить из орудия
str_aim_cannon|Принять управление
str_unlimber_cannon|Снять орудие с передка
str_limber_cannon|Поставить орудие на передок
str_load_cartridge|Поместить снаряд в дуло
str_load_bomb|Поместить мортирную бомбу в дуло
str_load_rocket|Поместить ракету на направляющую
str_reload_cannon|Зарядить орудие
str_pick_up_round|Взять ядро
str_pick_up_shell|Взять гранату
str_pick_up_canister|Взять картечь
str_pick_up_bomb|Взять мортирную бомбу
str_pick_up_rocket|Собрать ракетницу в походное положение
str_play_piano|Сыграть на пианино
str_play_organ|Сыграть на органе
str_take_a_shit|Воспользоваться уборной
str_play_bell|Позвонить в колокол
str_take_ship_control|Принять управление судном
str_cannot_use_piano|Вы не можете играть на пианино прямо с лошади!!
str_cannot_use_organ|Вы не можете играть на органе прямо с лошади!!
str_cannot_use_piano_angle|Вы не можете играть на пианино с этой стороны.
str_cannot_use_organ_angle|Вы не можете играть на органе с этой стороны.
str_cannot_use_toilet|Ну и как вы собираетесь пользоваться уборной сидя одновременно в седле?!
str_piano_in_use|Кто-то другой уже играет на этом пианино!
str_organ_in_use|Кто-то другой уже играет на этом органе!
str_toilet_in_use|З А Н Я Т О!
str_cannot_use_cannon|Вы не являетесь артиллеристом и не можете пользоваться орудием!Для этого переведитесь в артиллерийский полк!
str_cannot_use_rocket|Вы не являетесь ракетчиком и не можете пользоваться ракетной установкой!Для этого переведитесь в ракетный полк!
str_cannon_not_loaded|Это орудие не заряжено!
str_cannon_already_has_ball|В дуле этого орудия уже есть снаряд!
str_cannon_already_loaded|Это орудие уже заряжено!
str_cannot_carry_more_cannon_ammo|Вы не можете нести больше аммуниции
str_cannon_cannot_load_type|Этот тип снарядов не используется данным орудием!
str_need_to_have_a_lighter|Для произведения выстрела из орудия Вам необходим пальник!
str_need_to_have_a_ramrod|Для заряжания орудия Вам нужен банник!
str_need_to_have_a_ball|Для заряжания орудия вам нужен боеприпас!
str_need_to_have_a_horse|Для того, чтобы поставить орудие на передок, нужно разместить конную уприяжку вблизи тыльной части орудия!
str_horse_already_has_cannon|На этот передок уже поставлено другое орудие!
str_already_to_many_barricades|Ваша команда построила уже слишком много оборонительных сооружений в этом раунде.
str_already_to_many_ammobox|Ваша команда использовала уже слишком много зарядных ящиков в этом раунде.
str_cannon_is_already_in_use|Этим орудием уже пользуются!
str_already_to_many_players_class_s21|Слишком много игроков играют уже за {s21}. Выберите, пожалуйста, другое подразделение.
str_already_to_many_players_rank_mus|В этом подразделении уже и так слишком много музыкантов. Выберите, пожалуйста, другое звание.
str_already_to_many_players_rank_srg|Слишком много игроков играют уже за {s21}. Выберите, пожалуйста, другое подразделение.
str_already_to_many_players_rank_off|Слишком много игроков играют уже за {s21}. Выберите, пожалуйста, другое подразделение.
str_chk_class_limits|Активировать классовые ограничения
str_chk_class_limits_player_count|Миниму игроков для включения классовых ограничений:
str_limit_grenadier|Лимит пеших гвардейцев в каждой команде (%):
str_limit_skirmisher|Лимит легкой пехоты в каждой команде (%):
str_limit_rifle|Максимум стрелков среди легкой пехоты (%):
