str_no_string|NO STRING!
str_mp_fort_george|喬 治 堡 （ 白 天 ） 
str_mp_fort_george_raining|喬 治 堡 （ 下 雨 ） 
str_mp_fort_hohenfels|霍 恩 費 爾 斯 堡 （ 白 天 ） 
str_mp_fort_hohenfels_night|霍 恩 費 爾 斯 堡 （ 夜 晚 ） 
str_mp_fort_lyon|里 昂 堡 （ 白 天 ） 
str_mp_fort_lyon_night|里 昂 堡 （ 夜 晚 ） 
str_mp_fort_mackinaw|馬 肯 諾 堡 （ 白 天 ） 
str_mp_fort_mackinaw_raining|馬 肯 諾 堡 （ 下 雨 ） 
str_mp_fort_nylas|賴 拉 斯 堡 （ 白 天 ） 
str_mp_fort_nylas_raining|賴 拉 斯 堡 （ 下 雨 ） 
str_mp_fort_refleax|威 爾 斯 橋 堡 （ 白 天 ） 
str_mp_fort_refleax_night|威 爾 斯 橋 堡 （ 夜 晚 ） 
str_mp_fort_vincey|惠 廷 頓 堡 （ 白 天 ） 
str_mp_fort_vincey_storm|惠 廷 頓 堡 （ 暴 風 雨 ） 
str_mp_french_farm|法 國 農 場 （ 白 天 ） 
str_mp_french_farm_storm|法 國 農 場 （ 暴 風 雨 ） 
str_mp_german_village|德 國 村 莊 （ 早 晨 ） 
str_mp_german_village_rain|德 國 村 莊 （ 暴 風 雨 ） 
str_mp_hougoumont|烏 古 蒙 （ 白 天 ） 
str_mp_hougoumont_night|烏 古 蒙 （ 夜 晚 ） 
str_mp_hungarian_plains|匈 牙 利 平 原 （ 白 天 ） 
str_mp_hungarian_plains_cloud|匈 牙 利 平 原 （ 多 雲 ） 
str_mp_theisland|島 嶼 （ 白 天 ） 
str_mp_la_haye_sainte|拉 海 聖 （ 白 天 ） 
str_mp_la_haye_sainte_night|拉 海 聖 （ 夜 晚 ） 
str_mp_landshut|蘭 茨 胡 特 （ 白 天 ） 
str_mp_landshut_night|蘭 茨 胡 特 （ 夜 晚 ） 
str_mp_minden|明 登 （ 白 天 ） 
str_mp_minden_night|明 登 （ 夜 晚 ） 
str_mp_naval|海 戰 （ 白 天 ） 
str_mp_oaksfield_day|橡 木 園 （ 白 天 ） 
str_mp_oaksfield_storm|橡 木 園 （ 暴 風 雨 ） 
str_mp_outlaws_den|匪 巢 （ 白 天 ） 
str_mp_outlaws_den_night|匪 巢 （ 夜 晚 ） 
str_mp_quatre_bras|四 臂 村 （ 白 天 ） 
str_mp_quatre_bras_night|四 臂 村 （ 夜 晚 ） 
str_mp_river_crossing|渡 河 （ 白 天 ） 
str_mp_river_crossing_morning|渡 河 （ 早 晨 ） 
str_mp_roxburgh|羅 克 斯 堡 （ 白 天 ） 
str_mp_roxburgh_raining|羅 克 斯 堡 （ 下 雨 ） 
str_mp_russian_river_day|俄 羅 斯 河 （ 白 天 ） 
str_mp_russian_river_cloudy|俄 羅 斯 河 （ 下 雨 ） 
str_mp_russian_village|俄 羅 斯 村 莊 （ 下 雪 ） 
str_mp_russian_village_fog|俄 羅 斯 村 莊 （ 霧 ） 
str_mp_russian_village_conq|俄 羅 斯 城 鎮 （ 霧 ） 
str_mp_russian_village_conq_night|俄 羅 斯 城 鎮 （ 夜 晚 ） 
str_mp_saints_isle|聖 人 島 （ 白 天 ） 
str_mp_saints_isle_rain|聖 人 島 （ 下 雨 ） 
str_mp_schemmerbach|施 默 巴 赫 （ 白 天 ） 
str_mp_schemmerbach_storm|施 默 巴 赫 （ 暴 風 雨 ） 
str_mp_siege_of_toulon|土 倫 圍 城 （ 白 天 ） 
str_mp_siege_of_toulon_night|土 倫 圍 城 （ 夜 晚 ） 
str_mp_sjotofta|舍 托 夫 塔 （ 白 天 ） 
str_mp_sjotofta_night|舍 托 夫 塔 （ 夜 晚 ） 
str_mp_slovenian_village|斯 洛 文 尼 亞 村 （ 白 天 ） 
str_mp_slovenian_village_raining|斯 洛 文 尼 亞 村 （ 下 雨 ） 
str_mp_spanish_farm|西 班 牙 農 場 （ 白 天 ） 
str_mp_spanish_farm_rain|西 班 牙 農 場 （ 下 雨 ） 
str_mp_spanish_mountain_pass|西 班 牙 山 口 （ 白 天 ） 
str_mp_spanish_mountain_pass_evening|西 班 牙 山 口 （ 傍 晚 ） 
str_mp_spanish_village|西 班 牙 村 莊 （ 白 天 ） 
str_mp_spanish_village_evening|西 班 牙 村 莊 （ 傍 晚 ） 
str_mp_strangefields|奇 妙 之 地 （ 霧 ） 
str_mp_strangefields_storm|奇 妙 之 地 （ 暴 風 雨 ） 
str_mp_swamp|錫 格 堡 沼 澤 （ 霧 ） 
str_mp_venice|威 尼 斯 （ 白 天 ） 
str_mp_venice_morning|威 尼 斯 （ 早 晨 ） 
str_mp_walloon_farm|瓦 隆 農 場 （ 白 天 ） 
str_mp_walloon_farm_night|瓦 隆 農 場 （ 夜 晚 ） 
str_mp_testing_map|測 試 地 圖 
str_random_multi_plain_medium|隨 機 平 原 （ 中 ） 
str_random_multi_plain_large|隨 機 平 原 （ 大 ） 
str_random_multi_plain_medium_rain|隨 機 平 原 （ 中 ） 下 雨 
str_random_multi_plain_large_rain|隨 機 平 原 （ 大 ） 下 雨 
str_random_multi_steppe_medium|隨 機 草 原 （ 中 ） 
str_random_multi_steppe_large|隨 機 草 原 （ 大 ） 
str_random_multi_steppe_forest_medium|隨 機 草 原 森 林 （ 中 ） 
str_random_multi_steppe_forest_large|隨 機 草 原 森 林 （ 大 ） 
str_random_multi_snow_medium|隨 機 雪 地 （ 中 ） 
str_random_multi_snow_medium_snow|隨 機 雪 地 （ 中 ） 下 雪 
str_random_multi_snow_large|隨 機 雪 地 （ 大 ） 
str_random_multi_snow_large_snow|隨 機 雪 地 （ 大 ） 下 雪 
str_random_multi_snow_forest_medium|隨 機 雪 森 林 （ 中 ） 
str_random_multi_snow_forest_medium_snow|隨 機 雪 地 森 林 （ 中 ） 下 雪 
str_random_multi_snow_forest_large|隨 機 雪 地 森 林 （ 大 ） 
str_random_multi_snow_forest_large_snow|隨 機 雪 地 森 林 （ 大 ） 下 雪 
str_random_multi_desert_medium|隨 機 沙 漠 （ 中 ） 
str_random_multi_desert_large|隨 機 沙 漠 （ 大 型 ） 
str_random_multi_desert_forest_medium|隨 機 沙 漠 森 林 （ 中 ） 
str_random_multi_desert_forest_large|隨 機 沙 漠 森 林 （ 大 ） 
str_random_multi_forest_medium|隨 機 森 林 （ 中 ） 
str_random_multi_forest_medium_rain|隨 機 森 林 （ 中 ） 下 雨 
str_random_multi_forest_large|隨 機 森 林 （ 大 ） 
str_random_multi_forest_large_rain|隨 機 森 林 （ 大 ） 下 雨 
str_mp_custom_map_1|自 定 義 地 圖 1
str_mp_custom_map_2|自 定 義 地 圖 2
str_mp_custom_map_3|自 定 義 地 圖 3
str_mp_custom_map_4|自 定 義 地 圖 4
str_mp_custom_map_5|自 定 義 地 圖 5
str_mp_custom_map_6|自 定 義 地 圖 6
str_mp_custom_map_7|自 定 義 地 圖 7
str_mp_custom_map_8|自 定 義 地 圖 8
str_mp_custom_map_9|自 定 義 地 圖 9
str_mp_custom_map_10|自 定 義 地 圖 10
str_mp_custom_map_11|自 定 義 地 圖 11
str_mp_custom_map_12|自 定 義 地 圖 12
str_mp_custom_map_13|自 定 義 地 圖 13
str_mp_custom_map_14|自 定 義 地 圖 14
str_mp_custom_map_15|自 定 義 地 圖 15
str_mp_custom_map_16|自 定 義 地 圖 16
str_mp_custom_map_17|自 定 義 地 圖 17
str_mp_custom_map_18|自 定 義 地 圖 18
str_mp_custom_map_19|自 定 義 地 圖 19
str_mp_custom_map_20|自 定 義 地 圖 20
str_mp_custom_map_21|自 定 義 地 圖 21
str_mp_custom_map_22|自 定 義 地 圖 22
str_mp_custom_map_23|自 定 義 地 圖 23
str_mp_custom_map_24|自 定 義 地 圖 24
str_mp_custom_map_25|自 定 義 地 圖 25
str_mp_custom_map_26|自 定 義 地 圖 26
str_mp_custom_map_27|自 定 義 地 圖 27
str_mp_custom_map_28|自 定 義 地 圖 28
str_mp_custom_map_29|自 定 義 地 圖 29
str_mp_custom_map_30|自 定 義 地 圖 30
str_mp_custom_map_31|自 定 義 地 圖 31
str_mp_custom_map_32|自 定 義 地 圖 32
str_mp_custom_map_33|自 定 義 地 圖 33
str_mp_custom_map_34|自 定 義 地 圖 34
str_mp_custom_map_35|自 定 義 地 圖 35
str_mp_custom_map_36|自 定 義 地 圖 36
str_mp_custom_map_37|自 定 義 地 圖 37
str_mp_custom_map_38|自 定 義 地 圖 38
str_mp_custom_map_39|自 定 義 地 圖 39
str_mp_custom_map_40|自 定 義 地 圖 40
str_mp_custom_map_41|自 定 義 地 圖 41
str_mp_custom_map_42|自 定 義 地 圖 42
str_mp_custom_map_43|自 定 義 地 圖 43
str_mp_custom_map_44|自 定 義 地 圖 44
str_mp_custom_map_45|自 定 義 地 圖 45
str_mp_custom_map_46|自 定 義 地 圖 46
str_mp_custom_map_47|自 定 義 地 圖 47
str_mp_custom_map_48|自 定 義 地 圖 48
str_mp_custom_map_49|自 定 義 地 圖 49
str_mp_custom_map_50|自 定 義 地 圖 50
str_mp_custom_map_51|自 定 義 地 圖 51
str_mp_custom_map_52|自 定 義 地 圖 52
str_mp_custom_map_53|自 定 義 地 圖 53
str_mp_custom_map_54|自 定 義 地 圖 54
str_mp_custom_map_55|自 定 義 地 圖 55
str_mp_custom_map_56|自 定 義 地 圖 56
str_mp_custom_map_57|自 定 義 地 圖 57
str_mp_custom_map_58|自 定 義 地 圖 58
str_mp_custom_map_59|自 定 義 地 圖 59
str_mp_custom_map_60|自 定 義 地 圖 60
str_mp_custom_map_61|自 定 義 地 圖 61
str_mp_custom_map_62|自 定 義 地 圖 62
str_mp_custom_map_63|自 定 義 地 圖 63
str_mp_custom_map_64|自 定 義 地 圖 64
str_mp_custom_map_65|自 定 義 地 圖 65
str_mp_custom_map_66|自 定 義 地 圖 66
str_mp_custom_map_67|自 定 義 地 圖 67
str_mp_custom_map_68|自 定 義 地 圖 68
str_mp_custom_map_69|自 定 義 地 圖 69
str_mp_custom_map_70|自 定 義 地 圖 70
str_mp_custom_map_71|自 定 義 地 圖 71
str_mp_custom_map_72|自 定 義 地 圖 72
str_mp_custom_map_73|自 定 義 地 圖 73
str_mp_custom_map_74|自 定 義 地 圖 74
str_mp_custom_map_75|自 定 義 地 圖 75
str_mp_custom_map_76|自 定 義 地 圖 76
str_mp_custom_map_77|自 定 義 地 圖 77
str_mp_custom_map_78|自 定 義 地 圖 78
str_mp_custom_map_79|自 定 義 地 圖 79
str_mp_custom_map_80|自 定 義 地 圖 80
str_mp_custom_map_81|自 定 義 地 圖 81
str_mp_custom_map_82|自 定 義 地 圖 82
str_mp_custom_map_83|自 定 義 地 圖 83
str_mp_custom_map_84|自 定 義 地 圖 84
str_mp_custom_map_85|自 定 義 地 圖 85
str_mp_custom_map_86|自 定 義 地 圖 86 
str_mp_custom_map_87|自 定 義 地 圖 87
str_mp_custom_map_88|自 定 義 地 圖 88
str_mp_custom_map_89|自 定 義 地 圖 89
str_mp_custom_map_90|自 定 義 地 圖 90
str_mp_custom_map_91|自 定 義 地 圖 91
str_mp_custom_map_92|自 定 義 地 圖 92
str_mp_custom_map_93|自 定 義 地 圖 93
str_mp_custom_map_94|自 定 義 地 圖 94
str_mp_custom_map_95|自 定 義 地 圖 95
str_mp_custom_map_96|自 定 義 地 圖 96
str_mp_custom_map_97|自 定 義 地 圖 97
str_mp_custom_map_98|自 定 義 地 圖 98
str_mp_custom_map_99|自 定 義 地 圖 99
str_mp_custom_map_100|自 定 義 地 圖 100
str_multi_scene_end|multi scene end
str_multi_game_type_1|混 戰 
str_multi_game_type_2|組 隊 混 戰 
str_multi_game_type_3|戰 場 
str_multi_game_type_5|搶 旗 
str_multi_game_type_6|征 服 
str_multi_game_type_7|攻 城 
str_multi_game_type_8|決 鬥 
str_multi_game_type_9|領 軍 戰 場 
str_multi_game_type_10|佔 山 為 王 
str_multi_game_type_11|大 逃 殺 
str_multi_game_type_12|場 景 編 輯 
str_multi_game_types_end|多 人 遊 戲 類 型 結 束 
str_poll_kick_player_s1_by_s0|{s0}發 起 投 票 踢 出 玩 家 {s1}。 
str_poll_ban_player_s1_by_s0|{s0}發 起 投 票 禁 止 玩 家 {s1}進 入 伺 服 器 。 
str_poll_change_map_to_s1_by_s0|{s0}發 起 投 票 更 換 地 圖 為 {s1}。 
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0}發 起 投 票 更 換 地 圖 為 {s1}更 換 國 家 為 {s2}和 {s3}。 
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0}投 票 修 改 虛 擬 人 數 量 {reg0}和 {reg1}。 
str_poll_kick_player|有 人 提 議 投 票 踢 出 玩 家 {s0}： ^ 1為 贊 成 ， 2為 反 對 。 
str_poll_ban_player|有 人 提 議 投 票 禁 止 玩 家 {s0}進 入 伺 服 器 ： ^ 1為 贊 成 ， 2為 反 對 。 
str_poll_change_map|有 人 提 議 投 票 切 換 地 圖 為 {s0}： ^ 1為 贊 成 ， 2為 反 對 。 
str_poll_change_map_with_faction|有 人 提 議 投 票 切 換 地 圖 為 {s0}， 雙 方 勢 力 為 {s1}和 {s2}： ^ 1為 贊 成 ， 2為 反 對 。 
str_poll_change_number_of_bots|有 人 提 議 投 票 設 置 虛 擬 人 數 量 為 ： {s0}{reg0}人 ， {s1}{reg1}人 ： ^ 1為 贊 成 ， 2為 反 對 。 
str_poll_time_left|（ 投 票 時 間 還 剩 {reg0}秒 ） 
str_poll_result_yes|多 數 人 通 過 了 投 票 。 
str_poll_result_no|多 數 人 否 決 了 投 票 。 
str_server_name|伺 服 器 名 ： 
str_game_password|進 入 密 碼 ： 
str_map|地 圖 ： 
str_game_type|遊 戲 模 式 ： 
str_max_number_of_players|最 大 玩 家 人 數 ： 
str_number_of_bots_in_team_reg1|{reg1}隊 中 虛 擬 人 數 ： 
str_team_reg1_faction|{reg1}隊 國 家 ： 
str_enable_valve_anti_cheat|允 許 Valve反 作 弊 （ 需 要 有 效 的 Steam賬 號 ） 
str_allow_friendly_fire|允 許 遠 程 隊 友 傷 害 
str_allow_melee_friendly_fire|允 許 近 戰 隊 友 傷 害 
str_friendly_fire_damage_self_ratio|隊 友 傷 害 到 自 己 (%)： 
str_friendly_fire_damage_friend_ratio|隊 友 傷 害 到 隊 友 (%)： 
str_spectator_camera|旁 觀 者 視 角 ： 
str_control_block_direction|格 擋 方 向 控 制 ： 
str_map_time_limit|地 圖 時 間 限 制 （ 分 鐘 ） ： 
str_round_time_limit|回 合 時 間 限 制 （ 秒 ） ： 
str_players_take_control_of_a_bot_after_death|玩 家 死 亡 后 切 換 到 虛 擬 人 
str_team_points_limit|隊 伍 分 數 限 制 ： 
str_point_gained_from_flags|奪 旗 獎 勵 隊 伍 分 數 (%)： 
str_point_gained_from_capturing_flag|搶 旗 獎 勵 分 數 ： 
str_respawn_period|重 生 間 隔 時 間 （ 秒 ） ： 
str_add_to_official_game_servers_list|加 入 官 方 伺 服 器 列 表 
str_combat_speed|戰 鬥 速 度 ： 
str_combat_speed_0|最 慢 
str_combat_speed_1|稍 慢 
str_combat_speed_2|正 常 
str_combat_speed_3|稍 快 
str_combat_speed_4|最 快 
str_off|關 閉 
str_on|開 啟 
str_defender_spawn_count_limit|防 守 方 最 大 重 生 次 數 ： 
str_unlimited|無 限 制 
str_automatic|自 動 
str_by_mouse_movement|滑 鼠 控 制 
str_free|自 由 
str_stick_to_any_player|鎖 定 任 一 玩 家 
str_stick_to_team_members|鎖 定 隊 友 
str_stick_to_team_members_view|鎖 定 為 隊 友 視 角 
str_make_factions_voteable|允 許 投 票 改 換 國 家 
str_make_kick_voteable|允 許 投 票 踢 出 玩 家 
str_make_ban_voteable|允 許 投 票 封 禁 玩 家 
str_bots_upper_limit_for_votes|可 投 票 的 虛 擬 人 數 量 上 限 ： 
str_make_maps_voteable|允 許 投 票 改 換 地 圖 
str_valid_vote_ratio|投 票 最 低 通 過 比 例 (%)： 
str_auto_team_balance_limit|自 動 隊 伍 平 衡 最 低 值 （ 相 差 ） ： 
str_welcome_message|歡 迎 信 息 ： 
str_initial_gold_multiplier|初 始 金 額 (%)： 
str_battle_earnings_multiplier|戰 鬥 獎 金 (%)： 
str_round_earnings_multiplier|回 合 獎 金 (%)： 
str_allow_player_banners|允 許 個 人 旗 幟 
str_force_default_armor|強 制 起 始 防 具 
str_respawning_in_reg0_seconds|{reg0}秒 后 重 生 … … 
str_no_more_respawns_remained_this_round|此 局 已 不 能 重 生 
str_reg0_respawns_remained|（ 還 剩 {reg0}次 重 生 機 會 ） 
str_this_is_your_last_respawn|（ 這 是 你 的 最 后 一 次 重 生 機 會 ） 
str_wait_next_round|（ 等 候 下 一 回 合 ） 
str_yes_wo_dot|是 
str_no_wo_dot|否 
str_s1_returned_flag|{s1}將 丟 失 的 旗 幟 重 新 奪 回 ！ 
str_s1_auto_returned_flag|{s1}旗 幟 自 動 回 到 了 他 們 的 基 地 ！ 
str_s1_captured_flag|{s1}俘 獲 敵 軍 旗 幟 ！ ！ 
str_s1_taken_flag|{s1}搶 到 了 敵 軍 旗 幟 ！ 
str_s1_neutralized_flag_reg0|{s1}失 去 了 旗 幟 {reg0}。 
str_s1_captured_flag_reg0|{s1}佔 領 了 旗 幟 {reg0}！ 
str_s1_pulling_flag_reg0|{s1}開 始 佔 領 旗 幟 {reg0}。 
str_s1_defended_castle|{s1}守 住 了 城 堡 ！ 
str_s1_captured_castle|{s1}佔 領 城 堡 ！ ！ 
str_auto_team_balance_in_20_seconds|20 秒 內 將 自 動 調 整 雙 方 力 量 。 
str_auto_team_balance_next_round|下 一 回 合 將 自 動 調 整 雙 方 力 量 。 
str_auto_team_balance_done|自 動 調 整 雙 方 力 量 完 成 。 
str_s1_won_round|{s1}此 回 合 勝 ！ ！ 
str_round_draw|時 間 到 ， 平 局 。 
str_round_draw_no_one_remained|無 人 幸 存 ， 平 局 。 
str_reset_to_default|默 認 設 置 
str_done|完 成 
str_player_name|玩 家 
str_kills|殺 
str_deaths|沒 
str_ping|Ping 
str_dead|死 亡 
str_reg0_dead|{reg0}死 亡 
str_bots_reg0_agents|虛 擬 人 （ {reg0}人 ） 
str_bot_1_agent|虛 擬 人 （ 1人 ） 
str_score|分 數 
str_score_reg0|分 數 ： {reg0}
str_flags_reg0|（ 旗 幟 ： {reg0}） 
str_reg0_players|（ {reg0}玩 家 ， {reg40}存 活 ， {reg41}死 亡 ） 
str_reg0_player|（ {reg0}玩 家 ， {reg40}存 活 ， {reg41}死 亡 ） 
str_reg0_alive|{reg0}存 活 
str_reg0_player_only|{reg0}玩 家 
str_reg0_players_only|{reg0}玩 家 
str_reg0_spectator|{reg0}旁 觀 者 
str_reg0_spectators|{reg0}旁 觀 者 
str_open_gate|開 柵 
str_close_gate|關 柵 
str_open_door|開 門 
str_close_door|關 門 
str_raise_ladder|架 梯 
str_drop_ladder|拆 梯 
str_back|返 回 
str_start_map|開 始 地 圖 
str_choose_an_option|選 項 ： 
str_choose_a_poll_type|選 擇 一 個 投 票 類 型 ： 
str_choose_faction|選 擇 國 家 
str_choose_a_faction|選 擇 一 個 國 家 ： 
str_choose_troop|選 擇 旗 幟 
str_choose_a_troop|選 擇 一 個 團 ： 
str_choose_items|選 擇 兵 種 
str_choose_an_item|選 擇 一 個 等 級 ： 
str_options|選 項 
str_redefine_keys|按 鍵 設 置 
str_submit_a_poll|發 起 投 票 
str_show_game_rules|顯 示 遊 戲 規 則 
str_administrator_panel|管 理 員 界 面 
str_kick_player|踢 出 玩 家 
str_ban_player|永 久 封 禁 玩 家 
str_mute_player|沉 默 玩 家 
str_unmute_player|取 消 沉 默 玩 家 
str_quit|退 出 
str_poll_for_changing_the_map|改 換 地 圖 
str_poll_for_changing_the_map_and_factions|改 換 地 圖 和 國 家 
str_poll_for_changing_number_of_bots|改 變 虛 擬 人 數 量 
str_poll_for_kicking_a_player|踢 出 玩 家 
str_poll_for_banning_a_player|封 禁 玩 家 
str_choose_a_player|選 擇 一 個 玩 家 ： 
str_choose_a_map|選 擇 一 個 地 圖 ： 
str_choose_a_faction_for_team_reg0|給 隊 伍 {reg0}選 擇 一 個 國 家 ： 
str_choose_number_of_bots_for_team_reg0|給 隊 伍 {reg0}選 擇 虛 擬 人 數 量 ： 
str_spectator|旁 觀 者 
str_spectators|旁 觀 者 
str_score_2|分 數 
str_command|命 令 ： 
str_profile_banner_selection_text|給 你 的 角 色 選 定 一 面 旗 幟 
str_use_default_banner|使 用 國 家 默 認 旗 幟 
str_player_name_s1|- {s1}
str_space| 
str_us_|我 軍 
str_allies_|友 軍 
str_enemies_|敵 軍 
str_routed|逃 亡 
str_maximum_seconds_for_round_is_reg0|每 輪 的 最 大 秒 數 是 {reg0}。 
str_respawn_period_is_reg0_seconds|重 生 時 間 是 {reg0}秒 。 
str_bots_upper_limit_for_votes_is_reg0|投 票 可 以 設 置 的 最 大 虛 擬 人 數 為 {reg0}。 
str_map_is_voteable|此 地 圖 可 投 票 。 
str_map_is_not_voteable|此 地 圖 不 能 投 票 
str_factions_are_voteable|可 投 票 選 擇 國 家 。 
str_factions_are_not_voteable|不 可 投 票 選 擇 國 家 。 
str_players_respawn_as_bot|玩 家 作 為 虛 擬 人 重 生 。 
str_players_do_not_respawn_as_bot|玩 家 不 作 為 虛 擬 人 重 生 。 
str_kicking_a_player_is_voteable|可 以 投 票 踢 出 玩 家 。 
str_kicking_a_player_is_not_voteable|不 能 就 是 否 踢 出 一 名 玩 家 進 行 投 票 。 
str_banning_a_player_is_voteable|可 以 投 票 封 禁 玩 家 。 
str_banning_a_player_is_not_voteable|不 能 就 是 否 封 禁 一 名 玩 家 進 行 投 票 。 
str_player_banners_are_allowed|允 許 玩 家 旗 幟 。 
str_player_banners_are_not_allowed|不 允 許 玩 家 旗 幟 。 
str_default_armor_is_forced|默 認 防 具 已 被 強 制 使 用 。 
str_default_armor_is_not_forced|默 認 防 具 沒 有 強 制 使 用 。 
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|達 成 決 議 所 需 的 贊 成 票 比 例 是 {reg0}%。 
str_auto_team_balance_threshold_is_reg0|自 動 隊 伍 平 衡 的 臨 界 值 是 {reg0}。 
str_starting_gold_ratio_is_reg0|初 始 金 錢 比 率 是 {reg0}%。 
str_combat_gold_bonus_ratio_is_reg0|戰 鬥 獎 金 獲 取 率 是 {reg0}%。 
str_round_gold_bonus_ratio_is_reg0|回 合 獎 金 比 率 是 {reg0}%。 
str_point_gained_from_flags_is_reg0|奪 旗 獲 得 的 隊 伍 分 數 為 {reg0}%。 
str_point_gained_from_capturing_flag_is_reg0|獲 得 旗 幟 的 獎 勵 分 數 為 {reg0}%。 
str_map_time_limit_is_reg0|地 圖 時 間 限 制 為 {reg0}分 鐘 。 
str_team_points_limit_is_reg0|隊 伍 分 數 限 制 為 {reg0}。 
str_defender_spawn_count_limit_is_s1|默 認 重 生 次 數 為 {s1}。 
str_system_error|系 統 錯 誤 ！ 
str_routed_2|逃 亡 
str_s42|{s42}
str_you|你 們 
str_we|我 們 
str_quick_battle_french_farm|法 國 農 場 
