trp_player|玩 家 
trp_prussian_cuirassier_ai|普 魯 士 胸 甲 騎 兵 
trp_prussian_cuirassier_ai_pl|胸 甲 騎 兵 
trp_prussian_arty_ai|普 魯 士 炮 兵 
trp_prussian_arty_ai_pl|炮 兵 （ 加 農 炮 ） 
trp_prussian_arty_alt_ai|普 魯 士 炮 兵 
trp_prussian_arty_alt_ai_pl|炮 兵 （ 榴 彈 炮 ） 
trp_russian_partizan_ai|俄 羅 斯 游 擊 隊 員 
trp_russian_partizan_ai_pl|游 擊 隊 員 
trp_russian_opol_ai|俄 羅 斯 民 兵 
trp_russian_opol_ai_pl|線 列 民 兵 
trp_russian_infantry_ai|俄 羅 斯 線 列 步 兵 
trp_russian_infantry_ai_pl|線 列 步 兵 
trp_russian_grenadier_ai|俄 羅 斯 擲 彈 兵 
trp_russian_grenadier_ai_pl|擲 彈 兵 
trp_russian_foot_guard_ai|俄 羅 斯 近 衛 步 兵 
trp_russian_foot_guard_ai_pl|近 衛 步 兵 
trp_russian_infantry_rifle_ai|俄 羅 斯 獵 兵 
trp_russian_infantry_rifle_ai_pl|獵 兵 
trp_russian_hussar_ai|俄 羅 斯 驃 騎 兵 
trp_russian_hussar_ai_pl|驃 騎 兵 
trp_russian_uhlan_ai|俄 羅 斯 槍 騎 兵 
trp_russian_uhlan_ai_pl|槍 騎 兵 
trp_russian_cossack_ai|俄 羅 斯 哥 薩 克 騎 兵 
trp_russian_cossack_ai_pl|哥 薩 克 騎 兵 
trp_russian_dragoon_ai|俄 羅 斯 龍 騎 兵 
trp_russian_dragoon_ai_pl|龍 騎 兵 
trp_russian_horse_guard_ai|俄 羅 斯 近 衛 騎 兵 
trp_russian_horse_guard_ai_pl|近 衛 騎 兵 
trp_russian_arty_ai|俄 羅 斯 炮 兵 
trp_russian_arty_ai_pl|炮 兵 （ 加 農 炮 ） 
trp_russian_arty_alt_ai|俄 羅 斯 炮 兵 
trp_russian_arty_alt_ai_pl|炮 兵 （ 榴 彈 炮 ） 
trp_austrian_infantry_ai|奧 地 利 線 列 步 兵 
trp_austrian_infantry_ai_pl|線 列 步 兵 
trp_austrian_infantry2_ai|匈 牙 利 線 列 步 兵 
trp_austrian_infantry2_ai_pl|線 列 步 兵 （ 匈 牙 利 ） 
trp_austrian_grenzer_ai|奧 地 利 邊 防 兵 
trp_austrian_grenzer_ai_pl|邊 防 兵 
trp_austrian_grenadier_ai|匈 牙 利 擲 彈 兵 
trp_austrian_grenadier_ai_pl|擲 彈 兵 （ 匈 牙 利 ） 
trp_austrian_infantry_rifle_ai|奧 地 利 獵 兵 
trp_austrian_infantry_rifle_ai_pl|獵 兵 
trp_austrian_hussar_ai|匈 牙 利 驃 騎 兵 
trp_austrian_hussar_ai_pl|驃 騎 兵 （ 匈 牙 利 ） 
trp_austrian_uhlan_ai|奧 地 利 槍 騎 兵 
trp_austrian_uhlan_ai_pl|槍 騎 兵 
trp_austrian_light_horse_ai|奧 地 利 輕 龍 騎 兵 
trp_austrian_light_horse_ai_pl|輕 龍 騎 兵 
trp_austrian_dragoon_ai|奧 地 利 龍 騎 兵 
trp_austrian_dragoon_ai_pl|龍 騎 兵 
trp_austrian_cuirassier_ai|奧 地 利 胸 甲 騎 兵 
trp_austrian_cuirassier_ai_pl|胸 甲 騎 兵 
trp_austrian_arty_ai|奧 地 利 炮 兵 
trp_austrian_arty_ai_pl|炮 兵 （ 加 農 炮 ） 
trp_austrian_arty_alt_ai|奧 地 利 炮 兵 
trp_austrian_arty_alt_ai_pl|炮 兵 （ 榴 彈 炮 ） 
trp_rhine_infantry_bavaria_ai|巴 伐 利 亞 線 列 步 兵 
trp_rhine_infantry_bavaria_ai_pl|線 列 步 兵 （ 巴 伐 利 亞 ） 
trp_rhine_infantry_wurttemberg_ai|符 騰 堡 線 列 步 兵 
trp_rhine_infantry_wurttemberg_ai_pl|線 列 步 兵 （ 符 騰 堡 ） 
trp_rhine_infantry_saxony_ai|薩 克 森 線 列 步 兵 
trp_rhine_infantry_saxony_ai_pl|線 列 步 兵 （ 薩 克 森 ） 
trp_rhine_infantry_wurttemberg2_ai|符 騰 堡 擲 彈 兵 
trp_rhine_infantry_wurttemberg2_ai_pl|擲 彈 兵 （ 符 騰 堡 ） 
trp_rhine_grenadier_guard_ai|威 斯 特 法 倫 近 衛 擲 彈 兵 
trp_rhine_grenadier_guard_ai_pl|近 衛 擲 彈 兵 （ 威 斯 特 法 倫 ） 
trp_rhine_light_infantry_hessen_ai|黑 森 輕 步 兵 
trp_rhine_light_infantry_hessen_ai_pl|輕 步 兵 （ 黑 森 ） 
trp_rhine_light_infantry_bavaria_ai|巴 伐 利 亞 來 福 槍 兵 
trp_rhine_light_infantry_bavaria_ai_pl|來 福 槍 兵 （ 巴 伐 利 亞 ） 
trp_rhine_mounted_jaeger_ai|拿 騷 獵 騎 兵 
trp_rhine_mounted_jaeger_ai_pl|獵 騎 兵 （ 拿 騷 ） 
trp_rhine_uhlan_ai|薩 克 森 槍 騎 兵 
trp_rhine_uhlan_ai_pl|槍 騎 兵 （ 薩 克 森 ） 
trp_rhine_light_dragoon_ai|巴 登 輕 龍 騎 兵 
trp_rhine_light_dragoon_ai_pl|輕 龍 騎 兵 （ 巴 登 ） 
trp_rhine_cuirassier_ai|威 斯 特 法 倫 胸 甲 騎 兵 
trp_rhine_cuirassier_ai_pl|胸 甲 騎 兵 （ 威 斯 特 法 倫 ） 
trp_rhine_garde_du_corps_ai|薩 克 森 近 衛 騎 兵 
trp_rhine_garde_du_corps_ai_pl|近 衛 騎 兵 （ 薩 克 森 ） 
trp_rhine_arty_ai|巴 伐 利 亞 炮 兵 
trp_rhine_arty_ai_pl|炮 兵 （ 加 農 炮 ） （ 巴 伐 利 亞 ） 
trp_rhine_arty_alt_ai|巴 伐 利 亞 炮 兵 
trp_rhine_arty_alt_ai_pl|炮 兵 （ 榴 彈 炮 ） （ 巴 伐 利 亞 ） 
trp_british_infantry|第 33步 兵 團 
trp_british_infantry_pl|線 列 步 兵  
trp_british_infantry_nco|英 國 線 列 步 兵 
trp_british_infantry_nco_pl|旗 手 
trp_british_infantry_officer|英 國 線 列 步 兵 
trp_british_infantry_officer_pl|軍 官 
trp_british_infantry_drum|英 國 線 列 步 兵 
trp_british_infantry_drum_pl|鼓 手 
trp_british_infantry_flute|英 國 線 列 步 兵 
trp_british_infantry_flute_pl|笛 手 
trp_british_infantry2|英 王 德 意 志 軍 團 第 5線 列 營 
trp_british_infantry2_pl|線 列 步 兵 
trp_british_infantry2_nco|英 王 德 意 志 線 列 步 兵 
trp_british_infantry2_nco_pl|旗 手 
trp_british_infantry2_officer|英 王 德 意 志 線 列 步 兵 
trp_british_infantry2_officer_pl|軍 官 
trp_british_infantry2_drum|英 王 德 意 志 線 列 步 兵 
trp_british_infantry2_drum_pl|鼓 手 
trp_british_infantry2_flute|英 王 德 意 志 線 列 步 兵 
trp_british_infantry2_flute_pl|笛 手 
trp_british_highlander|第 42步 兵 團 （ 黑 守 衛 ） 
trp_british_highlander_pl|線 列 步 兵 
trp_british_highlander_nco|英 國 高 地 步 兵 
trp_british_highlander_nco_pl|旗 手 
trp_british_highlander_officer|英 國 高 地 步 兵 
trp_british_highlander_officer_pl|軍 官 
trp_british_highlander_drum|英 國 高 地 步 兵 
trp_british_highlander_drum_pl|鼓 手 
trp_british_highlander_pipes|英 國 高 地 步 兵 
trp_british_highlander_pipes_pl|風 笛 手 
trp_british_foot_guard|冷 溪 近 衛 步 兵 團 
trp_british_foot_guard_pl|近 衛 步 兵 
trp_british_foot_guard_nco|英 國 近 衛 步 兵 
trp_british_foot_guard_nco_pl|旗 手 
trp_british_foot_guard_officer|英 國 近 衛 步 兵 
trp_british_foot_guard_officer_pl|軍 官 
trp_british_foot_guard_drum|英 國 近 衛 步 兵 
trp_british_foot_guard_drum_pl|鼓 手 
trp_british_foot_guard_flute|英 國 近 衛 步 兵 
trp_british_foot_guard_flute_pl|笛 手 
trp_british_light_infantry|第 51（ 第 2約 克 郡 西 區 ） 步 兵 團 
trp_british_light_infantry_pl|輕 步 兵 
trp_british_light_infantry_nco|英 國 輕 步 兵 
trp_british_light_infantry_nco_pl|旗 手 
trp_british_light_infantry_officer|英 國 輕 步 兵 
trp_british_light_infantry_officer_pl|軍 官 
trp_british_light_infantry_horn|英 國 輕 步 兵 
trp_british_light_infantry_horn_pl|號 手 
trp_british_rifle|第 95步 兵 團 （ 來 福 槍 ） 
trp_british_rifle_pl|來 福 槍 兵 
trp_british_rifle_nco|英 國 來 福 槍 兵 
trp_british_rifle_nco_pl|軍 士 
trp_british_rifle_officer|英 國 來 福 槍 兵 
trp_british_rifle_officer_pl|軍 官 
trp_british_rifle_horn|英 國 來 福 槍 兵 
trp_british_rifle_horn_pl|號 手 
trp_british_hussar|英 王 德 意 志 軍 團 第 1驃 騎 兵 團 
trp_british_hussar_pl|驃 騎 兵 
trp_british_hussar_nco|英 王 德 意 志 驃 騎 兵 
trp_british_hussar_nco_pl|軍 士 
trp_british_hussar_officer|英 王 德 意 志 驃 騎 兵 
trp_british_hussar_officer_pl|軍 官 
trp_british_hussar_bugle|英 王 德 意 志 驃 騎 兵 
trp_british_hussar_bugle_pl|號 手 
trp_british_light_dragoon|第 23輕 龍 騎 兵 團 
trp_british_light_dragoon_pl|輕 龍 騎 兵 
trp_british_light_dragoon_nco|英 國 輕 龍 騎 兵 
trp_british_light_dragoon_nco_pl|軍 士 
trp_british_light_dragoon_officer|英 國 輕 龍 騎 兵 
trp_british_light_dragoon_officer_pl|軍 官 
trp_british_light_dragoon_bugle|英 國 輕 龍 騎 兵 
trp_british_light_dragoon_bugle_pl|號 手 
trp_british_dragoon|第 6（ 恩 尼 斯 基 林 ） 龍 騎 兵 團 
trp_british_dragoon_pl|重 騎 兵 
trp_british_dragoon_nco|英 國 龍 騎 兵 
trp_british_dragoon_nco_pl|軍 士 
trp_british_dragoon_officer|英 國 龍 騎 兵 
trp_british_dragoon_officer_pl|軍 官 
trp_british_dragoon_bugle|英 國 龍 騎 兵 
trp_british_dragoon_bugle_pl|號 手 
trp_british_horseguard|皇 家 近 衛 騎 兵 團 （ 藍 ） 
trp_british_horseguard_pl|重 騎 兵 
trp_british_horseguard_nco|英 國 近 衛 騎 兵 
trp_british_horseguard_nco_pl|軍 士 
trp_british_horseguard_officer|英 國 近 衛 騎 兵 
trp_british_horseguard_officer_pl|軍 官 
trp_british_horseguard_bugle|英 國 近 衛 騎 兵 
trp_british_horseguard_bugle_pl|號 手 
trp_british_arty|皇 家 炮 兵 團 
trp_british_arty_pl|炮 兵 
trp_british_arty_guard|炮 兵 護 衛 
trp_british_arty_guard_pl|炮 兵 護 衛 
trp_british_arty_nco|英 國 炮 兵 
trp_british_arty_nco_pl|炮 兵 輜 重 
trp_british_arty_officer|英 國 炮 兵 
trp_british_arty_officer_pl|軍 官 
trp_british_rocket|第 2火 箭 炮 兵 連 
trp_british_rocket_pl|火 箭 炮 兵 
trp_british_medic|軍 醫 
trp_british_medic_pl|軍 醫 
trp_british_sapper|工 兵 
trp_british_sapper_pl|工 兵 
trp_british_ship|船 員 
trp_british_ship_pl|步 兵 
trp_british_ship_cannon|船 員 
trp_british_ship_cannon_pl|海 軍 炮 兵 
trp_british_ship_marine|船 員 
trp_british_ship_marine_pl|皇 家 第 1營 水 兵 
trp_british_ship_captain|船 員 
trp_british_ship_captain_pl|海 王 星 號 艦 長 
trp_wellington|阿 瑟 · 韋 爾 斯 利 ， 威 靈 頓 公 爵 
trp_wellington_pl|指 揮 官 
trp_french_infantry|第 45線 列 步 兵 團 
trp_french_infantry_pl|線 列 步 兵 
trp_french_infantry_nco|法 國 線 列 步 兵 
trp_french_infantry_nco_pl|鷹 旗 手 
trp_french_infantry_officer|法 國 線 列 步 兵 
trp_french_infantry_officer_pl|軍 官 
trp_french_infantry_drum|法 國 線 列 步 兵 
trp_french_infantry_drum_pl|鼓 手 
trp_french_infantry_flute|法 國 線 列 步 兵 
trp_french_infantry_flute_pl|笛 手 
trp_french_infantry2|第 84線 列 步 兵 團 
trp_french_infantry2_pl|線 列 步 兵 
trp_french_infantry2_nco|法 國 擲 彈 兵 
trp_french_infantry2_nco_pl|鷹 旗 手 
trp_french_infantry2_officer|法 國 擲 彈 兵 
trp_french_infantry2_officer_pl|軍 官 
trp_french_infantry2_drum|法 國 擲 彈 兵 
trp_french_infantry2_drum_pl|鼓 手 
trp_french_infantry2_flute|法 國 擲 彈 兵 
trp_french_infantry2_flute_pl|笛 手 
trp_french_infantry_vistula|維 斯 杜 拉 軍 團 
trp_french_infantry_vistula_pl|線 列 步 兵 
trp_french_infantry_vistula_colours|波 蘭 線 列 步 兵 
trp_french_infantry_vistula_colours_pl|鷹 旗 手 
trp_french_infantry_vistula_officer|波 蘭 線 列 步 兵 
trp_french_infantry_vistula_officer_pl|軍 官 
trp_french_infantry_vistula_drum|波 蘭 線 列 步 兵 
trp_french_infantry_vistula_drum_pl|鼓 手 
trp_french_infantry_vistula_flute|波 蘭 線 列 步 兵 
trp_french_infantry_vistula_flute_pl|笛 手 
trp_french_old_guard|帝 國 近 衛 軍 第 1擲 彈 兵 團 
trp_french_old_guard_pl|近 衛 步 兵 
trp_french_old_guard_nco|法 國 近 衛 擲 彈 兵 
trp_french_old_guard_nco_pl|鷹 旗 手 
trp_french_old_guard_officer|法 國 近 衛 擲 彈 兵 
trp_french_old_guard_officer_pl|軍 官 
trp_french_old_guard_drum|法 國 近 衛 擲 彈 兵 
trp_french_old_guard_drum_pl|鼓 手 
trp_french_old_guard_flute|法 國 近 衛 擲 彈 兵 
trp_french_old_guard_flute_pl|笛 手 
trp_french_voltigeur|第 15輕 步 兵 團 
trp_french_voltigeur_pl|輕 步 兵 
trp_french_voltigeur_colours|法 國 尖 兵 
trp_french_voltigeur_colours_pl|鷹 旗 手 
trp_french_voltigeur_officer|法 國 尖 兵 
trp_french_voltigeur_officer_pl|軍 官 
trp_french_voltigeur_horn|法 國 尖 兵 
trp_french_voltigeur_horn_pl|號 手 
trp_french_hussar|第 2驃 騎 兵 團 
trp_french_hussar_pl|驃 騎 兵 
trp_french_hussar_nco|法 國 驃 騎 兵 
trp_french_hussar_nco_pl|鷹 旗 手 
trp_french_hussar_officer|法 國 驃 騎 兵 
trp_french_hussar_officer_pl|軍 官 
trp_french_hussar_trumpet|法 國 驃 騎 兵 
trp_french_hussar_trumpet_pl|號 手 
trp_french_lancer|帝 國 近 衛 軍 波 蘭 槍 騎 兵 團 
trp_french_lancer_pl|槍 騎 兵 
trp_french_lancer_nco|波 蘭 槍 騎 兵 
trp_french_lancer_nco_pl|鷹 旗 手 
trp_french_lancer_officer|波 蘭 槍 騎 兵 
trp_french_lancer_officer_pl|軍 官 
trp_french_lancer_trumpet|波 蘭 槍 騎 兵 
trp_french_lancer_trumpet_pl|號 手 
trp_french_dragoon|皇 后 龍 騎 兵 團 
trp_french_dragoon_pl|龍 騎 兵 
trp_french_dragoon_nco|法 國 龍 騎 兵 
trp_french_dragoon_nco_pl|鷹 旗 手 
trp_french_dragoon_officer|法 國 龍 騎 兵 
trp_french_dragoon_officer_pl|軍 官 
trp_french_dragoon_trumpet|法 國 龍 騎 兵 
trp_french_dragoon_trumpet_pl|號 手 
trp_french_cuirassier|第 9胸 甲 騎 兵 團 
trp_french_cuirassier_pl|胸 甲 騎 兵 
trp_french_cuirassier_nco|法 國 胸 甲 騎 兵 
trp_french_cuirassier_nco_pl|鷹 旗 手 
trp_french_cuirassier_officer|法 國 胸 甲 騎 兵 
trp_french_cuirassier_officer_pl|軍 官 
trp_french_cuirassier_trumpet|法 國 胸 甲 騎 兵 
trp_french_cuirassier_trumpet_pl|號 手 
trp_french_carabineer|第 1卡 賓 槍 騎 兵 團 
trp_french_carabineer_pl|卡 賓 槍 騎 兵 
trp_french_carabineer_nco|法 國 卡 賓 槍 騎 兵 
trp_french_carabineer_nco_pl|鷹 旗 手 
trp_french_carabineer_officer|法 國 卡 賓 槍 騎 兵 
trp_french_carabineer_officer_pl|軍 官 
trp_french_carabineer_trumpet|法 國 卡 賓 槍 騎 兵 
trp_french_carabineer_trumpet_pl|號 手 
trp_french_grenadier_a_cheval|帝 國 近 衛 軍 擲 彈 騎 兵 團 
trp_french_grenadier_a_cheval_pl|重 騎 兵 
trp_french_grenadier_a_cheval_nco|法 國 擲 彈 騎 兵 
trp_french_grenadier_a_cheval_nco_pl|鷹 旗 手 
trp_french_grenadier_a_cheval_officer|法 國 擲 彈 騎 兵 
trp_french_grenadier_a_cheval_officer_pl|軍 官 
trp_french_grenadier_a_cheval_trumpet|法 國 擲 彈 騎 兵 
trp_french_grenadier_a_cheval_trumpet_pl|號 手 
trp_french_arty|炮 兵 
trp_french_arty_pl|炮 兵 
trp_french_arty_guard|炮 兵 護 衛 
trp_french_arty_guard_pl|炮 兵 護 衛 
trp_french_arty_nco|法 國 炮 兵 
trp_french_arty_nco_pl|炮 兵 輜 重 
trp_french_arty_officer|法 國 炮 兵 
trp_french_arty_officer_pl|軍 官 
trp_french_medic|二 級 軍 醫 
trp_french_medic_pl|軍 醫 
trp_french_sapper|工 兵 
trp_french_sapper_pl|工 兵 
trp_french_ship|船 員 
trp_french_ship_pl|步 兵 
trp_french_ship_cannon|船 員 
trp_french_ship_cannon_pl|海 軍 炮 兵 
trp_french_ship_marine|船 員 
trp_french_ship_marine_pl|海 軍 第 24營 水 兵 
trp_french_ship_captain|船 員 
trp_french_ship_captain_pl|無 畏 號 艦 長 
trp_napoleon|拿 破 侖 · 波 拿 巴 大 帝 
trp_napoleon_pl|指 揮 官 
trp_prussian_infantry|第 8勃 蘭 登 堡 步 兵 團 
trp_prussian_infantry_pl|線 列 步 兵 
trp_prussian_infantry_nco|普 魯 士 線 列 步 兵 
trp_prussian_infantry_nco_pl|旗 手 
trp_prussian_infantry_officer|普 魯 士 線 列 步 兵 
trp_prussian_infantry_officer_pl|軍 官 
trp_prussian_infantry_drum|普 魯 士 線 列 步 兵 
trp_prussian_infantry_drum_pl|鼓 手 
trp_prussian_infantry_flute|普 魯 士 線 列 步 兵 
trp_prussian_infantry_flute_pl|笛 手 
trp_prussian_infantry2|第 23萊 茵 步 兵 團 
trp_prussian_infantry2_pl|線 列 步 兵 
trp_prussian_infantry2_nco|普 魯 士 線 列 步 兵 
trp_prussian_infantry2_nco_pl|旗 手 
trp_prussian_infantry2_officer|普 魯 士 線 列 步 兵 
trp_prussian_infantry2_officer_pl|軍 官 
trp_prussian_infantry2_drum|普 魯 士 線 列 步 兵 
trp_prussian_infantry2_drum_pl|鼓 手 
trp_prussian_infantry2_flute|普 魯 士 線 列 步 兵 
trp_prussian_infantry2_flute_pl|笛 手 
trp_prussian_infantry_kurmark|第 3庫 爾 馬 克 后 備 兵 團 
trp_prussian_infantry_kurmark_pl|線 列 步 兵 
trp_prussian_infantry_kurmark_nco|普 魯 士 后 備 兵 
trp_prussian_infantry_kurmark_nco_pl|旗 手 
trp_prussian_infantry_kurmark_officer|普 魯 士 后 備 兵 
trp_prussian_infantry_kurmark_officer_pl|軍 官 
trp_prussian_infantry_kurmark_drum|普 魯 士 后 備 兵 
trp_prussian_infantry_kurmark_drum_pl|鼓 手 
trp_prussian_infantry_kurmark_flute|普 魯 士 后 備 兵 
trp_prussian_infantry_kurmark_flute_pl|笛 手 
trp_prussian_infantry_freikorps|呂 佐 夫 自 由 軍 團 
trp_prussian_infantry_freikorps_pl|線 列 步 兵 
trp_prussian_infantry_freikorps_nco|普 魯 士 志 願 兵 
trp_prussian_infantry_freikorps_nco_pl|旗 手 
trp_prussian_infantry_freikorps_officer|普 魯 士 志 願 兵 
trp_prussian_infantry_freikorps_officer_pl|軍 官 
trp_prussian_infantry_freikorps_drum|普 魯 士 志 願 兵 
trp_prussian_infantry_freikorps_drum_pl|鼓 手 
trp_prussian_infantry_freikorps_flute|普 魯 士 志 願 兵 
trp_prussian_infantry_freikorps_flute_pl|笛 手 
trp_prussian_infantry_15|第 1近 衛 步 兵 團 
trp_prussian_infantry_15_pl|近 衛 步 兵 
trp_prussian_infantry_15_nco|普 魯 士 近 衛 步 兵 
trp_prussian_infantry_15_nco_pl|旗 手 
trp_prussian_infantry_15_officer|普 魯 士 近 衛 步 兵 
trp_prussian_infantry_15_officer_pl|軍 官 
trp_prussian_infantry_15_drum|普 魯 士 近 衛 步 兵 
trp_prussian_infantry_15_drum_pl|鼓 手 
trp_prussian_infantry_15_flute|普 魯 士 近 衛 步 兵 
trp_prussian_infantry_15_flute_pl|笛 手 
trp_prussian_infantry_rifle|西 裡 西 亞 獵 兵 營 
trp_prussian_infantry_rifle_pl|來 福 槍 兵 
trp_prussian_infantry_rifle_nco|普 魯 士 獵 兵 
trp_prussian_infantry_rifle_nco_pl|軍 士 
trp_prussian_infantry_rifle_officer|普 魯 士 獵 兵 
trp_prussian_infantry_rifle_officer_pl|軍 官 
trp_prussian_infantry_rifle_horn|普 魯 士 獵 兵 
trp_prussian_infantry_rifle_horn_pl|號 手 
trp_prussian_dragoon|第 6諾 伊 馬 克 龍 騎 兵 團 
trp_prussian_dragoon_pl|龍 騎 兵 
trp_prussian_dragoon_nco|普 魯 士 龍 騎 兵 
trp_prussian_dragoon_nco_pl|軍 士 
trp_prussian_dragoon_officer|普 魯 士 龍 騎 兵 
trp_prussian_dragoon_officer_pl|軍 官 
trp_prussian_dragoon_trumpet|普 魯 士 龍 騎 兵 
trp_prussian_dragoon_trumpet_pl|號 手 
trp_prussian_hussar|第 1近 衛 驃 騎 兵 團 （ 骷 髏 驃 騎 兵 ） 
trp_prussian_hussar_pl|驃 騎 兵 
trp_prussian_hussar_nco|普 魯 士 驃 騎 兵 
trp_prussian_hussar_nco_pl|軍 士 
trp_prussian_hussar_officer|普 魯 士 驃 騎 兵 
trp_prussian_hussar_officer_pl|軍 官 
trp_prussian_hussar_trumpet|普 魯 士 驃 騎 兵 
trp_prussian_hussar_trumpet_pl|號 手 
trp_prussian_landwehr_cav|威 斯 特 法 倫 后 備 騎 兵 營 
trp_prussian_landwehr_cav_pl|槍 騎 兵 
trp_prussian_landwehr_cav_nco|普 魯 士 槍 騎 兵 
trp_prussian_landwehr_cav_nco_pl|軍 士 
trp_prussian_landwehr_cav_officer|普 魯 士 槍 騎 兵 
trp_prussian_landwehr_cav_officer_pl|軍 官 
trp_prussian_landwehr_cav_trumpet|普 魯 士 槍 騎 兵 
trp_prussian_landwehr_cav_trumpet_pl|號 手 
trp_prussian_cuirassier|第 3勃 蘭 登 堡 胸 甲 騎 兵 團 
trp_prussian_cuirassier_pl|重 騎 兵 
trp_prussian_cuirassier_nco|普 魯 士 胸 甲 騎 兵 
trp_prussian_cuirassier_nco_pl|軍 士 
trp_prussian_cuirassier_officer|普 魯 士 胸 甲 騎 兵 
trp_prussian_cuirassier_officer_pl|軍 官 
