142
qstr_Careful... Careful...
qstr_Recapture_the_city_w Recapture_the_city_walls_from_the_Russians.
qstr_Help_your_allies_dri Help_your_allies_drive_back_the_Russians.
qstr_Defend_the_gate_agai Defend_the_gate_against_Russian_attacks.
qstr_Sally_out_and_rout_t Sally_out_and_rout_the_remaining_Russians.
qstr_The_assault_has_been The_assault_has_been_broken!_Vive_la_France!
qstr_Catch_the_Austrian_c Catch_the_Austrian_commander_before_he_reaches_the_Austrian_squares!
qstr_Break_the_Austrian_s Break_the_Austrian_squares_by_either_killing_them_or_making_them_all_rout.
qstr_Attack_the_lines_gua Attack_the_lines_guarding_the_village_and_destroy_or_rout_them.
qstr_Vive_l_Empereur!_La_ Vive_l'Empereur!_La_Victoire_est_a_Nous!
qstr_Talk_to_the_messenge Talk_to_the_messenger_for_your_next_mission.
