trp_multiplayer_profile_troop_male|ehhhhhhh wtf
trp_rhine_uhlan_ai|Sächsischer Ulan 
trp_rhine_uhlan_ai_pl|Ulanen 
trp_rhine_light_dragoon_ai|Badner Leichter Dragoon 
trp_rhine_light_dragoon_ai_pl|Leichte Dragoner 
trp_rhine_cuirassier_ai|Westfälischer Kürassier 
trp_rhine_cuirassier_ai_pl|Kürassiere 
trp_rhine_garde_du_corps_ai|Sächsische Pferdewache 
trp_rhine_garde_du_corps_ai_pl|Horse Guards 
trp_rhine_arty_ai|Bayerischer Artillerist 
trp_rhine_arty_ai_pl|Artillerie (Kanone) 
trp_rhine_arty_alt_ai|Bayerischer Artillerist 
trp_rhine_arty_alt_ai_pl|Artillerie (Haubitze) 
trp_british_infantry|33rd Regiment of Foot
trp_british_infantry_pl|Linieninfanterie
trp_british_infantry_nco|33rd Regiment of Foot
trp_british_infantry_nco_pl|Unteroffizier
trp_british_infantry_officer|33rd Regiment of Foot
trp_british_infantry_officer_pl|Offizier
trp_british_infantry_drum|33rd Regiment of Foot
trp_british_infantry_drum_pl|Trommler
trp_british_infantry_flute|33rd Regiment of Foot
trp_british_infantry_flute_pl|Flötenspieler
trp_british_infantry2|5th Line Battalion King's German Legion
trp_british_infantry2_pl|Linieninfanterie
trp_british_infantry2_nco|Kings German Legion 5th Battalion
trp_british_infantry2_nco_pl|Unteroffizier
trp_british_infantry2_officer|Kings German Legion 5th Battalion
trp_british_infantry2_officer_pl|Offizier
trp_british_infantry2_drum|Kings German Legion 5th Battalion
trp_british_infantry2_drum_pl|Trommler
trp_british_infantry2_flute|Kings German Legion 5th Battalion
trp_british_infantry2_flute_pl|Flötenspieler
trp_british_highlander|42nd Regiment of Foot (Black Watch)
trp_british_highlander_pl|Linieninfanterie
trp_british_highlander_nco|42nd Highland Regiment of Foot
trp_british_highlander_nco_pl|Unteroffizier
trp_british_highlander_officer|42nd Highland Regiment of Foot
trp_british_highlander_officer_pl|Offizier
trp_british_highlander_drum|42nd Highland Regiment of Foot
trp_british_highlander_drum_pl|Trommler
trp_british_highlander_pipes|42nd Highland Regiment of Foot
trp_british_highlander_pipes_pl|Piper
trp_british_foot_guard|Coldstream Regiment of Garde zu Fuß
trp_british_foot_guard_pl|Garde zu Fuss
trp_british_foot_guard_nco|2nd Regiment of Garde zu Fuß (Coldstream)
trp_british_foot_guard_nco_pl|Unteroffizier
trp_british_foot_guard_officer|2nd Regiment of Garde zu Fuß (Coldstream)
trp_british_foot_guard_officer_pl|Offizier
trp_british_foot_guard_drum|2nd Regiment of Garde zu Fuß (Coldstream)
trp_british_foot_guard_drum_pl|Trommler
trp_british_foot_guard_flute|2nd Regiment of Garde zu Fuß (Coldstream)
trp_british_foot_guard_flute_pl|Flötenspieler
trp_british_light_infantry|51st (2nd Yorkshire West Riding) Regiment of Foot
trp_british_light_infantry_pl|Leichte Infanterie
trp_british_light_infantry_nco|51st Regiment of Foot
trp_british_light_infantry_nco_pl|Unteroffizier
trp_british_light_infantry_officer|51st Regiment of Foot
trp_british_light_infantry_officer_pl|Offizier
trp_british_light_infantry_horn|51st Regiment of Foot
trp_british_light_infantry_horn_pl|Hornist
trp_british_rifle|95th Regiment of Foot (Rifles)
trp_british_rifle_pl|Jäger
trp_british_rifle_nco|95th Rifle Regiment of Foot
trp_british_rifle_nco_pl|Sergeant
trp_british_rifle_officer|95th Rifle Regiment of Foot
trp_british_rifle_officer_pl|Offizier
trp_british_rifle_horn|95th Rifle Regiment of Foot
trp_british_rifle_horn_pl|Hornist
trp_british_hussar|1st KGL Hussars
trp_british_hussar_pl|Hussar
trp_british_hussar_nco|1st KGL Hussars
trp_british_hussar_nco_pl|Sergeant
trp_british_hussar_officer|1st KGL Hussars
trp_british_hussar_officer_pl|Offizier
trp_british_hussar_bugle|1st KGL Hussars
trp_british_hussar_bugle_pl|Hornist
trp_british_light_dragoon|23rd Leichte Dragoner
trp_british_light_dragoon_pl|Leichte Kavallerie
trp_british_light_dragoon_nco|23rd Leichte Dragoner
trp_british_light_dragoon_nco_pl|Sergeant
trp_british_light_dragoon_officer|23rd Leichte Dragoner
trp_british_light_dragoon_officer_pl|Offizier
trp_british_light_dragoon_bugle|23rd Leichte Dragoner
trp_british_light_dragoon_bugle_pl|Hornist
trp_british_dragoon|6th Dragoner
trp_british_dragoon_pl|Schwere Kavallerie
trp_british_dragoon_nco|6th Dragoner
trp_british_dragoon_nco_pl|Sergeant
trp_british_dragoon_officer|6th Dragoner
trp_british_dragoon_officer_pl|Offizier
trp_british_dragoon_bugle|6th Dragoner
trp_british_dragoon_bugle_pl|Hornist
trp_british_horseguard|Royal Horse Guards Blue
trp_british_horseguard_pl|Schwere Kavallerie
trp_british_horseguard_nco|Royal Horse Guards Blue
trp_british_horseguard_nco_pl|Sergeant
trp_british_horseguard_officer|Royal Horse Guards Blue
trp_british_horseguard_officer_pl|Offizier
trp_british_horseguard_bugle|RoyalRoyal Horse Guards Blue
trp_british_horseguard_bugle_pl|Hornist
trp_british_arty|Royal Foot Artillery
trp_british_arty_pl|Artillerie
trp_british_arty_guard|Artillery Guard
trp_british_arty_guard_pl|Artillery Guard
trp_british_arty_nco|Royal Foot Artillery
trp_british_arty_nco_pl|Artillerie Zug
trp_british_arty_officer|Royal Foot Artillery
trp_british_arty_officer_pl|Offizier
trp_british_rocket|2nd Rocket Troop
trp_british_rocket_pl|Artillerie
trp_british_medic|Surgeon
trp_british_medic_pl|Surgeon
trp_british_sapper|Sapper
trp_british_sapper_pl|Pionier
trp_british_ship|Schiffscrew
trp_british_ship_pl|Infanterie
trp_british_ship_cannon|Ship Crew
trp_british_ship_cannon_pl|Schiff Artillerie
trp_british_ship_marine|Schiffscrew
trp_british_ship_marine_pl|Marine, 1st Battalion - Royal Marines
trp_british_ship_captain|Schiffscrew
trp_british_ship_captain_pl|Post Captain, HMS Neptune
trp_wellington|Arthur Wellesley, Duke of Wellington
trp_wellington_pl|General
trp_french_infantry|45e Regiment d'Infanterie de ligne
trp_french_infantry_pl|Linieninfanterie
trp_french_infantry_nco|45e Regiment d'Infanterie de ligne
trp_french_infantry_nco_pl|Flaggenträger
trp_french_infantry_officer|45e Regiment d'Infanterie de ligne
trp_french_infantry_officer_pl|Offizier
trp_french_infantry_drum|45e Regiment d'Infanterie de ligne
trp_french_infantry_drum_pl|Trommler
trp_french_infantry_flute|45e Regiment d'Infanterie de ligne
trp_french_infantry_flute_pl|Flötenspieler
trp_french_infantry2|84e Regiment d'Infanterie de ligne
trp_french_infantry2_pl|Linieninfanterie
trp_french_infantry2_nco|84e Regiment d'Infanterie de ligne
trp_french_infantry2_nco_pl|Flaggenträger
trp_french_infantry2_officer|84e Regiment d'Infanterie de ligne
trp_french_infantry2_officer_pl|Offizier
trp_french_infantry2_drum|84e Regiment d'Infanterie de ligne
trp_french_infantry2_drum_pl|Trommler
trp_french_infantry2_flute|84e Regiment d'Infanterie de ligne
trp_french_infantry2_flute_pl|Flötenspieler
trp_french_infantry_vistula|Legion de la Vistule
trp_french_infantry_vistula_pl|Linieninfanterie
trp_french_infantry_vistula_colours|Legion de la Vistule
trp_french_infantry_vistula_colours_pl|Flaggenträger
trp_french_infantry_vistula_officer|Legion de la Vistule
trp_french_infantry_vistula_officer_pl|Offizier
trp_french_infantry_vistula_drum|Legion de la Vistule
trp_french_infantry_vistula_drum_pl|Trommler
trp_french_infantry_vistula_flute|Legion de la Vistule
trp_french_infantry_vistula_flute_pl|Flötenspieler
trp_french_old_guard|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_pl|Garde zu Fuss
trp_french_old_guard_nco|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_nco_pl|Flaggenträger
trp_french_old_guard_officer|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_officer_pl|Offizier
trp_french_old_guard_drum|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_drum_pl|Trommler
trp_french_old_guard_flute|1er Regiment de Grenadiere de la Garde Imperiale
trp_french_old_guard_flute_pl|Flötenspieler
trp_french_voltigeur|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_pl|Leichte Infanterie
trp_french_voltigeur_colours|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_colours_pl|Flaggenträger
trp_french_voltigeur_officer|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_officer_pl|Offizier
trp_french_voltigeur_horn|15eme Regiment d'Infanterie Legere
trp_french_voltigeur_horn_pl|Hornist
trp_french_hussar|2e Regiment de Hussards
trp_french_hussar_pl|Hussar
trp_french_hussar_nco|2e Regiment de Hussards
trp_french_hussar_nco_pl|Flaggenträger
trp_french_hussar_officer|2e Regiment de Hussards
trp_french_hussar_officer_pl|Offizier
trp_french_hussar_trumpet|2e Regiment de Hussards
trp_french_hussar_trumpet_pl|Trompetenspieler
trp_french_lancer|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_pl|Lanzenreiter
trp_french_lancer_nco|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_nco_pl|Flaggenträger
trp_french_lancer_officer|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_officer_pl|Offizier
trp_french_lancer_trumpet|Regiment de Chevau-Legers Lanciers de la Garde
trp_french_lancer_trumpet_pl|Trompetenspieler
trp_french_dragoon|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_pl|Dragoner
trp_french_dragoon_nco|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_nco_pl|Flaggenträger
trp_french_dragoon_officer|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_officer_pl|Offizier
trp_french_dragoon_trumpet|Regiment de Dragons de l'Imperatrice
trp_french_dragoon_trumpet_pl|Trompetenspieler
trp_french_cuirassier|9eme Regiment de Kürassiere
trp_french_cuirassier_pl|Kürassier
trp_french_cuirassier_nco|Kürassiere
trp_french_cuirassier_nco_pl|Flaggenträger
trp_french_cuirassier_officer|Kürassiere
trp_french_cuirassier_officer_pl|Offizier
trp_french_cuirassier_trumpet|Kürassiere
trp_french_cuirassier_trumpet_pl|Trompetenspieler
trp_french_carabineer|1er Regiment de Carabiniers
trp_french_carabineer_pl|Karabinier
trp_french_carabineer_nco|Carabineers
trp_french_carabineer_nco_pl|Flaggenträger
trp_french_carabineer_officer|Carabineers
trp_french_carabineer_officer_pl|Offizier
trp_french_carabineer_trumpet|Carabineers
trp_french_carabineer_trumpet_pl|Trompetenspieler
trp_french_grenadier_a_cheval|Regiment de Grenadiere a Cheval de la Garde
trp_french_grenadier_a_cheval_pl|Schwere Kavallerie
trp_french_grenadier_a_cheval_nco|Regiment de Grenadiere a Cheval de la Garde
trp_french_grenadier_a_cheval_nco_pl|Flaggenträger
trp_french_grenadier_a_cheval_officer|Regiment de Grenadiere a Cheval de la Garde
trp_french_grenadier_a_cheval_officer_pl|Offizier
trp_french_grenadier_a_cheval_trumpet|Regiment de Grenadiere a Cheval de la Garde
trp_french_grenadier_a_cheval_trumpet_pl|Trompetenspieler
trp_french_arty|L'Artillerie
trp_french_arty_pl|Artillerie
trp_french_arty_guard|Artillery Guard
trp_french_arty_guard_pl|Artillery Guard
trp_french_arty_nco|L'Artillerie
trp_french_arty_nco_pl|Artillerie Zug
trp_french_arty_officer|L'Artillerie
trp_french_arty_officer_pl|Offizier
trp_french_medic|Medecin de 2e classe
trp_french_medic_pl|Surgeon
trp_french_sapper|Sappeur
trp_french_sapper_pl|Pionier
trp_french_ship|Schiffscrew
trp_french_ship_pl|Infanterie
trp_french_ship_cannon|Schiffscrew
trp_french_ship_cannon_pl|Schiff Artillerie
trp_french_ship_marine|Schiffscrew
trp_french_ship_marine_pl|Marine, 24e Bataillon des Equipages
trp_french_ship_captain|Schiffscrew
trp_french_ship_captain_pl|Capitaine de Vaisseau, Intrepide
trp_napoleon|L'Empereur Napoleon Bonaparte
trp_napoleon_pl|General
trp_prussian_infantry|8. Brandenburgische Infanterie-Regiment
trp_prussian_infantry_pl|Linieninfanterie
trp_prussian_infantry_nco|8. Infanterie Regiment
trp_prussian_infantry_nco_pl|Flaggenträger
trp_prussian_infantry_officer|8. Infanterie Regiment
trp_prussian_infantry_officer_pl|Offizier
trp_prussian_infantry_drum|8. Infanterie Regiment
trp_prussian_infantry_drum_pl|Trommler
trp_prussian_infantry_flute|8. Infanterie Regiment
trp_prussian_infantry_flute_pl|Flötenspieler
trp_prussian_infantry2|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_pl|Linieninfanterie
trp_prussian_infantry2_nco|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_nco_pl|Flaggenträger
trp_prussian_infantry2_officer|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_officer_pl|Offizier
trp_prussian_infantry2_drum|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_drum_pl|Trommler
trp_prussian_infantry2_flute|23. Rheinische Infanterie-Regiment
trp_prussian_infantry2_flute_pl|Flötenspieler
trp_prussian_infantry_kurmark|3. Kurmarkische Landwehr-Regiment
trp_prussian_infantry_kurmark_pl|Linieninfanterie
trp_prussian_infantry_kurmark_nco|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_nco_pl|Flaggenträger
trp_prussian_infantry_kurmark_officer|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_officer_pl|Offizier
trp_prussian_infantry_kurmark_drum|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_drum_pl|Trommler
trp_prussian_infantry_kurmark_flute|3. Kurmark Landwehr
trp_prussian_infantry_kurmark_flute_pl|Flötenspieler
trp_prussian_infantry_freikorps|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_pl|Linieninfanterie
trp_prussian_infantry_freikorps_nco|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_nco_pl|Flaggenträger
trp_prussian_infantry_freikorps_officer|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_officer_pl|Offizier
trp_prussian_infantry_freikorps_drum|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_drum_pl|Trommler
trp_prussian_infantry_freikorps_flute|Lutzowsches Freikorps
trp_prussian_infantry_freikorps_flute_pl|Flötenspieler
trp_prussian_infantry_15|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_pl|Garde zu Fuss
trp_prussian_infantry_15_nco|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_nco_pl|Flaggenträger
trp_prussian_infantry_15_officer|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_officer_pl|Offizier
trp_prussian_infantry_15_drum|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_drum_pl|Trommler
trp_prussian_infantry_15_flute|1. Garde-Regiment zu Fuss
trp_prussian_infantry_15_flute_pl|Flötenspieler
trp_prussian_infantry_rifle|Schlesische Schutzen
trp_prussian_infantry_rifle_pl|Jäger
trp_prussian_infantry_rifle_nco|Schlesische Jaeger
trp_prussian_infantry_rifle_nco_pl|Sergeant
trp_prussian_infantry_rifle_officer|Schlesische Jaeger
trp_prussian_infantry_rifle_officer_pl|Offizier
trp_prussian_infantry_rifle_horn|Schlesische Jaeger
trp_prussian_infantry_rifle_horn_pl|Hornist
trp_prussian_dragoon|6. Neumarkische Dragoner
trp_prussian_dragoon_pl|Dragoner
trp_prussian_dragoon_nco|6. Dragoner Regiment
trp_prussian_dragoon_nco_pl|Sergeant
trp_prussian_dragoon_officer|6. Dragoner Regiment
trp_prussian_dragoon_officer_pl|Offizier
trp_prussian_dragoon_trumpet|6. Dragoner Regiment
trp_prussian_dragoon_trumpet_pl|Trompetenspieler
trp_prussian_hussar|1. Leib-Husaren-Regiment (Totenkopfhusaren)
trp_prussian_hussar_pl|Hussar
trp_prussian_hussar_nco|Death's Head Hussar Regiment
trp_prussian_hussar_nco_pl|Sergeant
trp_prussian_hussar_officer|Death's Head Hussar Regiment
trp_prussian_hussar_officer_pl|Offizier
trp_prussian_hussar_trumpet|Death's Head Hussar Regiment
trp_prussian_hussar_trumpet_pl|Trompetenspieler
trp_prussian_landwehr_cav|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_pl|Lanzenreiter
trp_prussian_landwehr_cav_nco|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_nco_pl|Sergeant
trp_prussian_landwehr_cav_officer|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_officer_pl|Offizier
trp_prussian_landwehr_cav_trumpet|Westfalische Landwehrkavallerie
trp_prussian_landwehr_cav_trumpet_pl|Trompetenspieler
trp_prussian_cuirassier|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_pl|Kürassiere
trp_prussian_cuirassier_nco|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_nco_pl|Sergeant
trp_prussian_cuirassier_officer|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_officer_pl|Offizier
trp_prussian_cuirassier_trumpet|3. Brandenburgische Kurassier Regiment
trp_prussian_cuirassier_trumpet_pl|Trompetenspieler
trp_prussian_arty|36. Regiment der Fussartillerie
trp_prussian_arty_pl|Artillerie
trp_prussian_arty_guard|Artillery Guard
trp_prussian_arty_guard_pl|Artillery Guard
trp_prussian_arty_nco|36. Regiment der Fussartillerie
trp_prussian_arty_nco_pl|Artillerie Zug
trp_prussian_arty_officer|36. Regiment der Fussartillerie
trp_prussian_arty_officer_pl|Offizier
trp_prussian_medic|Sanitaeter
trp_prussian_medic_pl|Surgeon
trp_prussian_sapper|4. Mansfelder Pionierskorps
trp_prussian_sapper_pl|Pionier
trp_prussian_blucher|Generalfeldmarschall Gebhard von Blucher
trp_prussian_blucher_pl|General
trp_russian_partizan|Partizani
trp_russian_partizan_pl|Partisan
trp_russian_opol|Sankt-Peterburzhskoye Opolcheniye
trp_russian_opol_pl|Miliz
trp_russian_opol_nco|St Petersburg Opolcheniye
trp_russian_opol_nco_pl|Flaggenträger
trp_russian_opol_officer|St Petersburg Opolcheniye
trp_russian_opol_officer_pl|Offizier
trp_russian_infantry|Simbirskiy Pehotniy Polk
trp_russian_infantry_pl|Linieninfanterie
trp_russian_infantry_nco|Simbirsk Infantry Regiment
trp_russian_infantry_nco_pl|Flaggenträger
trp_russian_infantry_officer|Simbirsk Infantry Regiment
trp_russian_infantry_officer_pl|Offizier
trp_russian_infantry_drum|Simbirsk Infantry Regiment
trp_russian_infantry_drum_pl|Trommler
trp_russian_infantry_flute|Simbirsk Infantry Regiment
trp_russian_infantry_flute_pl|Flötenspieler
trp_russian_grenadier|Pavlovskiy Grenaderskiy Polk
trp_russian_grenadier_pl|Linieninfanterie
trp_russian_grenadier_nco|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_nco_pl|Flaggenträger
trp_russian_grenadier_officer|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_officer_pl|Offizier
trp_russian_grenadier_drum|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_drum_pl|Trommler
trp_russian_grenadier_flute|Pavlovskiy Grenadier Regiment
trp_russian_grenadier_flute_pl|Flötenspieler
trp_russian_foot_guard|Leib-Gvardii Preobrazhenskiy Polk
trp_russian_foot_guard_pl|Garde zu Fuss
trp_russian_foot_guard_nco|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_nco_pl|Flaggenträger
trp_russian_foot_guard_officer|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_officer_pl|Offizier
trp_russian_foot_guard_drum|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_drum_pl|Trommler
trp_russian_foot_guard_flute|Preobrazhenskiy Guard Regiment
trp_russian_foot_guard_flute_pl|Flötenspieler
trp_russian_infantry_rifle|21-y Yegerskiy Polk
trp_russian_infantry_rifle_pl|Jäger
trp_russian_infantry_rifle_nco|21st Jaeger Regiment
trp_russian_infantry_rifle_nco_pl|Flaggenträger
trp_russian_infantry_rifle_officer|21st Jaeger Regiment
trp_russian_infantry_rifle_officer_pl|Offizier
trp_russian_infantry_rifle_horn|21st Jaeger Regiment
trp_russian_infantry_rifle_horn_pl|Hornist
