str_no_string|Kein String
str_mp_fort_brochet|Fort Brochet (Tag)
str_mp_fort_brochet_raining|Fort Brochet (Regen)
str_mp_fort_de_chartres|Fort de Chartres (Tag)
str_mp_fort_de_chartres_raining|Fort de Chartres (Regen)
str_mp_fort_fleetwood|Fort Fleetwood (Morgen)
str_mp_fort_fleetwood_storm|Fort Fleetwood (Sturm)
str_mp_fort_george|Fort George (Tag)
str_mp_fort_george_raining|Fort George (Regen)
str_mp_fort_hohenfels|Fort Hohenfels (Tag)
str_mp_fort_hohenfels_night|Fort Hohenfels (Nacht)
str_mp_fort_lyon|Fort Lyon (Tag)
str_mp_fort_lyon_night|Fort Lyon (Nacht)
str_mp_fort_mackinaw|Fort Mackinaw (Tag)
str_mp_fort_mackinaw_raining|Fort Mackinaw (Regen)
str_mp_fort_nylas|Fort Nylas (Tag)
str_mp_fort_nylas_raining|Fort Nylas (Regen)
str_mp_fort_refleax|Fort Willsbridge (Tag)
str_mp_fort_refleax_night|Fort Willsbridge (Nacht)
str_mp_fort_vincey|Fort Whittington (Tag)
str_mp_fort_vincey_storm|Fort Whittington (Sturm)
str_mp_french_farm|Französiches Farm (Tag)
str_mp_french_farm_storm|Französiche Farm (Sturm)
str_mp_german_village|Deutsches Dorf (Morgen)
str_mp_german_village_rain|Deutsches Dorf (Regen)
str_mp_hougoumont|Hougoumont (Tag)
str_mp_hougoumont_night|Hougoumont (Nacht)
str_mp_hungarian_plains|Ungarische Ebene (Tag)
str_mp_hungarian_plains_cloud|Ungarische Ebene (Bewölkt)
str_mp_theisland|Die Insel (Tag)
str_mp_la_haye_sainte|La Haye Sainte (Tag)
str_mp_la_haye_sainte_night|La Haye Sainte (Nacht)
str_mp_landshut|Landshut
str_mp_landshut_night|Landshut (Nacht)
str_mp_minden|Minden (Tag)
str_mp_minden_night|Minden (Morgen)
str_mp_naval|Seeschlacht (Tag)
str_mp_oaksfield_day|Oaksfield (Tag)
str_mp_oaksfield_storm|Oaksfield (Sturm)
str_mp_outlaws_den|Outlaw's Den (Tag)
str_mp_outlaws_den_night|Outlaw's Den (Nacht)
str_mp_quatre_bras|Quatre Bras (Tag)
str_mp_quatre_bras_night|Quatre Bras (Nacht)
str_mp_river_crossing|Flussübergang (Tag)
str_mp_river_crossing_morning|Flussübergang (Morgen)
str_mp_roxburgh|Roxburgh (Tag)
str_mp_roxburgh_raining|Roxburgh (Regen)
str_mp_russian_river_day|Russian River (Tag)
str_mp_russian_river_cloudy|Russischer Fluss (Bewölkt)
str_mp_russian_village|Russisches Dorf (Schnee)
str_mp_russian_village_fog|Russisches Dorf (Nebel)
str_mp_russian_village_conq|Russisches Dorf (Schnee)
str_mp_russian_village_conq_night|Russisches Dorf (Nacht)
str_mp_saints_isle|Saint's Isle (Tag)
str_mp_saints_isle_rain|Saint's Isle (Regen)
str_mp_schemmerbach|Schemmerbach (Tag)
str_mp_schemmerbach_storm|Schemmerbach (Sturm)
str_mp_siege_of_toulon|Siege of Toulon (Tag)
str_mp_siege_of_toulon_night|Siege of Toulon (Nacht)
str_mp_sjotofta|Sjotofta (Tag)
str_mp_sjotofta_night|Sjotofta (Nacht)
str_mp_slovenian_village|Slowenisches Dorf (Tag)
str_mp_slovenian_village_raining|Slowenisches Dorf (Regen)
str_mp_spanish_farm|Spanische Farm (Tag)
str_mp_spanish_farm_rain|Spanische Farm (Regen)
str_mp_spanish_mountain_pass|Spanischer Bergpass (Tag)
str_mp_spanish_mountain_pass_evening|Spanischer Bergpass (Abend)
str_mp_spanish_village|Spanisches Dorf (Tag)
str_mp_spanish_village_evening|Spanisches Dorf (Morgen)
str_mp_strangefields|Strangefields (Nebel)
str_mp_strangefields_storm|Strangefields (Sturm)
str_mp_swamp|Siegburger Sumpf (Nebel)
str_mp_venice|Venedig (Tag)
str_mp_venice_morning|Venedig (Morgen)
str_mp_walloon_farm|Wallonische Farm (Tag)
str_mp_walloon_farm_night|Wallonische Farm (Nacht)
str_mp_testing_map|Testkarte
str_random_multi_plain_medium|Zufallskarte (Mittel)
str_random_multi_plain_large|Zufallskarte (Groß)
str_random_multi_plain_medium_rain|Zufallskarte (Mittel) Regen
str_random_multi_plain_large_rain|Zufallskarte (Groß) Regen
str_random_multi_steppe_medium|Zufallskarte-Steppe (Mittel)
str_random_multi_steppe_large|Zufallskarte-Steppe (Groß)
str_random_multi_steppe_forest_medium|Zufallskarte-Steppe Wald (Mittel)
str_random_multi_steppe_forest_large|Zufallskarte-Steppe Wald (Groß)
str_random_multi_snow_medium|Zufallskarte-Schnee (Mittel)
str_random_multi_snow_medium_snow|Zufallskarte-Schnee (Mittel) Schnee
str_random_multi_snow_large|Zufallskarte-Schnee (Groß)
str_random_multi_snow_large_snow|Zufallskarte-Schnee (Groß) Schnee
str_random_multi_snow_forest_medium|Zufallskarte-Schnee Wald (Mittel)
str_random_multi_snow_forest_medium_snow|Zufallskarte-Schnee Wald (Mittel) Schnee
str_random_multi_snow_forest_large|Zufallskarte-Schnee Wald (Groß)
str_random_multi_snow_forest_large_snow|Zufallskarte-Schnee Wald (Groß) Schnee
str_random_multi_desert_medium|Zufallskarte-Wüste (Mittel)
str_random_multi_desert_large|Zufallskarte-Wüste (Groß)
str_random_multi_desert_forest_medium|Zufallskarte-Wüste Wald (Mittel)
str_random_multi_desert_forest_large|Zufallskarte-Wüste Wald (Groß)
str_random_multi_forest_medium|Zufallskarte-Wald (Mittel)
str_random_multi_forest_medium_rain|Zufallskarte-Wald (Mittel) Regen
str_random_multi_forest_large|Zufallskarte-Wald (Groß)
str_random_multi_forest_large_rain|Zufallskarte-Wald (Groß) Regen
str_mp_custom_map_1|custom map 1
str_mp_custom_map_2|custom map 2
str_mp_custom_map_3|custom map 3
str_mp_custom_map_4|custom map 4
str_mp_custom_map_5|custom map 5
str_mp_custom_map_6|custom map 6
str_mp_custom_map_7|custom map 7
str_mp_custom_map_8|custom map 8
str_mp_custom_map_9|custom map 9
str_mp_custom_map_10|custom map 10
str_mp_custom_map_11|custom map 11
str_mp_custom_map_12|custom map 12
str_mp_custom_map_13|custom map 13
str_mp_custom_map_14|custom map 14
str_mp_custom_map_15|custom map 15
str_mp_custom_map_16|custom map 16
str_mp_custom_map_17|custom map 17
str_mp_custom_map_18|custom map 18
str_mp_custom_map_19|custom map 19
str_mp_custom_map_20|custom map 20
str_mp_custom_map_21|custom map 21
str_mp_custom_map_22|custom map 22
str_mp_custom_map_23|custom map 23
str_mp_custom_map_24|custom map 24
str_mp_custom_map_25|custom map 25
str_mp_custom_map_26|custom map 26
str_mp_custom_map_27|custom map 27
str_mp_custom_map_28|custom map 28
str_mp_custom_map_29|custom map 29
str_mp_custom_map_30|custom map 30
str_mp_custom_map_31|custom map 31
str_mp_custom_map_32|custom map 32
str_mp_custom_map_33|custom map 33
str_mp_custom_map_34|custom map 34
str_mp_custom_map_35|custom map 35
str_mp_custom_map_36|custom map 36
str_mp_custom_map_37|custom map 37
str_mp_custom_map_38|custom map 38
str_mp_custom_map_39|custom map 39
str_mp_custom_map_40|custom map 40
str_mp_custom_map_41|custom map 41
str_mp_custom_map_42|custom map 42
str_mp_custom_map_43|custom map 43
str_mp_custom_map_44|custom map 44
str_mp_custom_map_45|custom map 45
str_mp_custom_map_46|custom map 46
str_mp_custom_map_47|custom map 47
str_mp_custom_map_48|custom map 48
str_mp_custom_map_49|custom map 49
str_mp_custom_map_50|custom map 50
str_mp_custom_map_51|custom map 51
str_mp_custom_map_52|custom map 52
str_mp_custom_map_53|custom map 53
str_mp_custom_map_54|custom map 54
str_mp_custom_map_55|custom map 55
str_mp_custom_map_56|custom map 56
str_mp_custom_map_57|custom map 57
str_mp_custom_map_58|custom map 58
str_mp_custom_map_59|custom map 59
str_mp_custom_map_60|custom map 60
str_mp_custom_map_61|custom map 61
str_mp_custom_map_62|custom map 62
str_mp_custom_map_63|custom map 63
str_mp_custom_map_64|custom map 64
str_mp_custom_map_65|custom map 65
str_mp_custom_map_66|custom map 66
str_mp_custom_map_67|custom map 67
str_mp_custom_map_68|custom map 68
str_mp_custom_map_69|custom map 69
str_mp_custom_map_70|custom map 70
str_mp_custom_map_71|custom map 71
str_mp_custom_map_72|custom map 72
str_mp_custom_map_73|custom map 73
str_mp_custom_map_74|custom map 74
str_mp_custom_map_75|custom map 75
str_mp_custom_map_76|custom map 76
str_mp_custom_map_77|custom map 77
str_mp_custom_map_78|custom map 78
str_mp_custom_map_79|custom map 79
str_mp_custom_map_80|custom map 80
str_mp_custom_map_81|custom map 81
str_mp_custom_map_82|custom map 82
str_mp_custom_map_83|custom map 83
str_mp_custom_map_84|custom map 84
str_mp_custom_map_85|custom map 85
str_mp_custom_map_86|custom map 86
str_mp_custom_map_87|custom map 87
str_mp_custom_map_88|custom map 88
str_mp_custom_map_89|custom map 89
str_mp_custom_map_90|custom map 90
str_mp_custom_map_91|custom map 91
str_mp_custom_map_92|custom map 92
str_mp_custom_map_93|custom map 93
str_mp_custom_map_94|custom map 94
str_mp_custom_map_95|custom map 95
str_mp_custom_map_96|custom map 96
str_mp_custom_map_97|custom map 97
str_mp_custom_map_98|custom map 98
str_mp_custom_map_99|custom map 99
str_mp_custom_map_100|custom map 100
str_multi_scene_end|multi scene end
str_multi_game_type_1|Deathmatch
str_multi_game_type_2|Team Deathmatch
str_multi_game_type_3|Battle
str_multi_game_type_5|Capture the Flag
str_multi_game_type_6|Conquest
str_multi_game_type_7|Siege
str_multi_game_type_8|Duel
str_multi_game_type_9|Commander Battle
str_multi_game_type_10|King of the Hill
str_multi_game_type_12|Szenen Editier Modus
str_multi_game_types_end|multi game types end
str_multi_game_type_11|Scene Editing
str_poll_kick_player_s1_by_s0|{s0} will Spieler {s1} vom Server werfen.
str_poll_ban_player_s1_by_s0|{s0} will Spiler {s1} vom Server werfen.
str_poll_change_map_to_s1_by_s0|{s0} will die Karte {s1} spielen.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} will die Karte {s1} mit den Nationen {s2} und {s3} spielen.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} will die Bot Anzahl auf {reg0} und {reg1} ändern.
str_poll_kick_player|Poll to kick player {s0}: 1 = Annehmen, 2 = Ablehnen
str_poll_ban_player|Poll to ban player {s0}: 1 = Annehmen, 2 = Ablehnen
str_poll_change_map|Poll to change map to {s0}: 1 = Annehmen, 2 = Ablehnen
str_poll_change_map_with_faction|Ändere Karte nach {s0} und Nationen nach {s1} gegen {s2}: 1 = Annehmen, 2 = Ablehnen
str_poll_change_number_of_bots|Änder Bots nach {reg0} für {s0} und {reg1} für {s1} ab: 1 = Annehmen, 2 = Ablehnen
str_poll_time_left|({reg0} Sekunden verbleibend)
str_poll_result_yes|Die Umfrage wurde angenommen.
str_poll_result_no|Die Umfrage wurde abgelehnt.
str_server_name|Server Name:
str_game_password|Server Passwort:
str_map|Karte:
str_game_type|Spielmodus:
str_max_number_of_players|Maximale Spieleranzahl:
str_number_of_bots_in_team_reg1|Anzahl der Bots in Team {reg1}:
str_team_reg1_faction|Team {reg1} Nation:
str_enable_valve_anti_cheat|Erlaube Valve Anti-cheat
str_allow_friendly_fire|Erlaube Teamschaden (Fernkampf)
str_allow_melee_friendly_fire|Erlaube Teamschaden (Nahkampf)
str_friendly_fire_damage_self_ratio|Teamschaden an sich selbst (%):
str_friendly_fire_damage_friend_ratio|Teamschaden an Freunden (%):
str_spectator_camera|Zuschauer Kamera:
str_control_block_direction|Waffen-Block:
str_map_time_limit|Kartenzeit (Minuten):
str_round_time_limit|Rundenzeit (Sekunden):
str_players_take_control_of_a_bot_after_death|Wechsel zu Bot nach Tod:
str_team_points_limit|Punkte Limit:
str_point_gained_from_flags|Team punkte für Flaggen (%):
str_point_gained_from_capturing_flag|Punkte beim Erobern von Flaggen
str_respawn_period|Wiedereinstiegszeit (Sekunden):
str_add_to_official_game_servers_list|Füge zur Server Liste hinzu
str_combat_speed|Geschwindigkeit:
str_combat_speed_0|Sehr Langsam
str_combat_speed_1|Langsam
str_combat_speed_2|Normal
str_combat_speed_3|Schnell
str_combat_speed_4|Sehr Schnell
str_off|Aus
str_on|An
str_defender_spawn_count_limit|Verteidiger Wiedereinstiegsanzahl:
str_unlimited|Unbegrenzt
str_automatic|Automatisch
str_by_mouse_movement|Bei Mausbewegung
str_free|Frei
str_stick_to_any_player|An Spieler gebunden
str_stick_to_team_members|An Teammitglieder gebunden
str_stick_to_team_members_view|Aus sicht der Teammitglieder gebunden
str_make_factions_voteable|Erlaube Nationenumfragen
str_make_kick_voteable|Erlaube Rausschmissumfragen
str_make_ban_voteable|Erlaube Verbannungsumfragen
str_bots_upper_limit_for_votes|Bot limit für Umfragen:
str_make_maps_voteable|Erlaube Kartenumfragen
str_valid_vote_ratio|Erfolderliche Prozentzahl für Umfragen(%):
str_auto_team_balance_limit|Anzahl der für die automatische Teambalance benötigten Spieler(diff.):
str_welcome_message|Willkommens Meldung:
str_initial_gold_multiplier|Gold (%):
str_battle_earnings_multiplier|Gold Bonus(%):
str_round_earnings_multiplier|Runden Bonus (%):
str_allow_player_banners|Erlaube Individuelle Banner
str_force_default_armor|Erzwinge minimale Ausrüstung
str_respawning_in_reg0_seconds|Wiedereinstieg in {reg0} Sekunden...
str_no_more_respawns_remained_this_round|Keine Leben mehr übrig
str_reg0_respawns_remained|({reg0} Leben verbleibend)
str_this_is_your_last_respawn|(Dies ist dein letztes Leben)
str_wait_next_round|(Warte auf die nächste Runde)
str_yes_wo_dot|Ja
str_no_wo_dot|Nein
str_s1_returned_flag|{s1} hat die Flagge zurückgebracht!
str_s1_auto_returned_flag|{s1} Flagge wurde automatisch zurückgebracht!
str_s1_captured_flag|{s1} hat die feindliche Flagge zurück erobert!
str_s1_taken_flag|{s1} hat die feindliche Flagge erobert!
str_s1_neutralized_flag_reg0|{s1} hat {s0} verloren.
str_s1_captured_flag_reg0|{s1} hat {s0} eingenommen!
str_s1_pulling_flag_reg0|{s1} hat angefangen {s0} einzunehmen.
str_s1_defended_castle|{s1} hat das Fort verteidigt!
str_s1_captured_castle|{s1} hat das Fort eingenommen!
str_auto_team_balance_in_20_seconds|Automatische Teambalance wird in 20 Sekunden ausgeführt.
str_auto_team_balance_next_round|Autotomatische Teambalance wird nächste Runde ausgeführt.
str_auto_team_balance_done|Teams wurden Automatisch ausbalanciert.
str_s1_won_round|{s1} hat die Runde gewonnen!
str_round_draw|Zeit ist abgelaufen. Unentschieden!
str_round_draw_no_one_remained|Keiner mehr übrig. Unentschieden!
str_reset_to_default|Auf Standart zurücksetzten.
str_done|Fertig
str_player_name|Spielername
str_kills|Abschuss
str_deaths|Tode
str_ping|Ping
str_dead|Tot
str_reg0_dead|{reg0} Tot
str_bots_reg0_agents|Bots: ({reg0})
str_bot_1_agent|Bot: (1)
str_score|Punte
str_score_reg0|Punkte: {reg0}
str_flags_reg0|(Flaggen: {reg0})
str_reg0_players|({reg0} Spieler,  {reg40} am Leben,  {reg41} Tot)
str_reg0_player|({reg0} Spieler,  {reg40} am Leben,  {reg41} Tot)
str_reg0_alive|{reg0} am Leben
str_reg0_player_only|{reg0} Spieler
str_reg0_players_only|{reg0} Spieler
str_reg0_spectator|{reg0} Zuschauer
str_reg0_spectators|{reg0} Zuschauer
str_open_gate|Öffne Tor
str_close_gate|Schließe Tor
str_open_door|Öffne Tür
str_close_door|Schließe Tür
str_raise_ladder|Lege Leiter an
str_drop_ladder|Lasse Leiter fallen
str_back|Zurück
str_start_map|Starte Karte
str_choose_an_option|Wähle eine Option:
str_choose_a_poll_type|Wähle einen Umfragetyp:
str_choose_faction|Nationen:
str_choose_a_faction|Wähle eine Nation:
str_choose_troop|Flaggenauswahl
str_choose_a_troop|Wähle ein Regiment:
str_choose_items|Truppen Selektion
str_choose_an_item|Wähle einen Rang:
str_options|Optionen
str_redefine_keys|Tastatureinstellungen
str_submit_a_poll|Umfrage erstellen
str_show_game_rules|Zeige Spielregeln
str_administrator_panel|Administrator Panel
str_kick_player|Werfe Spieler vom Server
str_ban_player|Verbanne Spieler
str_mute_player|Stelle Spieler Stumm
str_unmute_player|Erlaube Spieler zu Sprechen
str_quit|Verlassen
str_poll_for_changing_the_map|Ändere die Karte
str_poll_for_changing_the_map_and_factions|Ändere die Karte und Nationen
str_poll_for_changing_number_of_bots|Ändere die Botanzahl
str_poll_for_kicking_a_player|Werfe Spieler raus
str_poll_for_banning_a_player|Verbanne einen Spieler
str_choose_a_player|Wähle einen Spieler:
str_choose_a_map|Wähle eine Karte:
str_choose_a_faction_for_team_reg0|Wähle eine Nation für Team{reg0}:
str_choose_number_of_bots_for_team_reg0|Wähle Botanzahl für Team {reg0}:
str_spectator|Zuschauer
str_spectators|Zuschauer
str_score_2|Punkte
str_command|Befehl:
str_profile_banner_selection_text|Wähle ein Banner:
str_use_default_banner|Nutze das Banner der jeweiligen Nation
str_player_name_s1|- {s1}
str_space| 
str_us_|Uns
str_allies_|Verbündete 
str_enemies_|Feinde
str_routed|Geflohen
str_maximum_seconds_for_round_is_reg0|Maximale Rundenzeit ist {reg0} Sekunden.
str_respawn_period_is_reg0_seconds|Wiedereinstiegszeit liegt bei {reg0} Sekunden.
str_bots_upper_limit_for_votes_is_reg0|Bots Limit für Umfragen liegt bei {reg0}.
str_map_is_voteable|Karte ist wählbar.
str_map_is_not_voteable|Karte ist nicht wählbar
str_factions_are_voteable|Nationen sind wählbar.
str_factions_are_not_voteable|Nationen sind nicht wählbar.
str_players_respawn_as_bot|Spieler spawnen als Bot wieder.
str_players_do_not_respawn_as_bot|Spieler spawnen nicht als Bot wieder.
str_kicking_a_player_is_voteable|Spieler können herausgeworfen werden.
str_kicking_a_player_is_not_voteable|Spieler können nicht herausgeworfen werden.
str_banning_a_player_is_voteable|Verbannen von Spielern ist möglich.
str_banning_a_player_is_not_voteable|Verbannen von Spielern ist nicht möglich.
str_player_banners_are_allowed|Eigene Banner sind erlaubt.
str_player_banners_are_not_allowed|Eigene Bannner sind nicht erlaubt.
str_default_armor_is_forced|Minimale Ausrüstung ist erzwungen.
str_default_armor_is_not_forced|Minimale Ausrüstung ist nicht erzwungen.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Umfrageergebnis benötig um angenommen zu werden liegt bei: {reg0}%.
str_auto_team_balance_threshold_is_reg0|Automatische Team balance liegt bei{reg0}.
str_starting_gold_ratio_is_reg0|Gold ist bei{reg0}%.
str_combat_gold_bonus_ratio_is_reg0|Goldbonus ist bei {reg0}%.
str_round_gold_bonus_ratio_is_reg0|Godlbonus ist bei{reg0}%.
str_point_gained_from_flags_is_reg0|Teampunke für Flaggen liegen bei {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Punkte fürs erobern von Flaggen: {reg0}%.
str_map_time_limit_is_reg0|Kartenzeit liegt bei {reg0} Minuten.
str_team_points_limit_is_reg0|Teampunkte limit liegt bei: {reg0}.
str_defender_spawn_count_limit_is_s1|Wiedereinstiesgsanzahl für Verteidiger liegt bei: {s1}.
str_system_error|SYSTEM ERROR!
str_routed_2|ziehten sich zurück
str_s42|{s42}
str_you|Du
str_we|Wir
str_quick_battle_french_farm|French Farm
str_quick_battle_landshut|Landshut
str_quick_battle_river_crossing|River Crossing
str_quick_battle_spanish_village|Spanish Village
str_quick_battle_strangefields|Strangefields
str_quick_battle_scene_1|Berge
str_quick_battle_scene_2|Schneelandschaft
str_quick_battle_scene_3|Wald
str_quick_battle_scene_4|Steppe
str_quick_battle_scene_6|Wüste
str_map_basic|Karte
str_game_type_basic|Spieltyp
str_battle|Schlacht
str_character|Character
str_player|Spieler
str_enemy|Feind
str_faction|Nation
str_start|Start
str_custom_battle|Benutzerdefinierte Schlacht
str_plus|+
str_minus|-
str_server_name_s0|Servername: {s0}
str_map_name_s0|Kartenname: {s0}
str_game_type_s0|Spieltyp: {s0}
str_remaining_time_s0reg0_s1reg1|Verbleibende Zeit: {s0}{reg0}:{s1}{reg1}
str_a_duel_request_is_sent_to_s0|Eine Duellanfrage wurde an {s0} gesendet.
str_s0_offers_a_duel_with_you|{s0} will ein Duell mit dir.
str_your_duel_with_s0_is_cancelled|Dein Duell mit {s0} wurde abgebrochen.
str_a_duel_between_you_and_s0_will_start_in_3_seconds|Ein Duell zwischen dir und {s0} wird in 3 Sekunden starten.
str_you_have_lost_a_duel|Du hast ein Duell verloren!
str_you_have_won_a_duel|Du hast ein Duell gewonnen!
str_server_s0|[SERVER]: {s0}
str_disallow_ranged_weapons|Erlaube keine Feuerwaffen
str_ranged_weapons_are_disallowed|Erlaube keine Feuerwaffen
str_ranged_weapons_are_allowed|Feuerwaffen sind erlaubt
str_duel_starts_in_reg0_seconds|Duell startet in {reg0} Sekunden...
str_true|Wahr
str_false|Falsch
str_teamkilled_s1_s2|{s1} Tötete Teammitglied {s2}.
str_kick_server_kills_first_s1_reg5|{s1} wurde aufgrund von {reg5} Teamkills zum ersten mal vom Server geworfen.
str_kick_server_kills_second_s1_reg5|{s1} wurde aufgrund von {reg5} Teamkills zum zweiten mal vom Server geworfen.
str_ban_server_kills_s1_reg5|{s1} wurde aufgrund von {reg5} oder mehr Teamkills vom Server verbannt.
str_warning_message_first_reg5|Du hast bereits {reg5} Teammitglieder umgebracht, pass auf!
str_warning_message_second_reg5|Du hast bereits {reg5} Teammitglieder umgerbracht, der nächste Teamkill wird bestraft!
str_kick_to_message_first|Du wurdest aufgrund zu vieler Teamkills vom Server geworfen!
str_kick_to_message_second|Du wurdest aufgrund zu vieler Teamkills vom Server geworfen! Nächstes mal wirst du gebannt!
str_ban_to_message|Du wurdest aufgrund zu vieler Teamkills vom Server geworfen! Viel Spaß in der Hölle!
str_auto_kick_message_s1|{s1} wurde aufgrund Teamkillings vom Server geworfen.
str_auto_ban_message_s1|{s1} wurde aufgrund Teamkillings vom Server verbannt.
str_server_hq_base_retake_s1|{s1} Nimmt die Basis ein!!
str_server_hq_base_attack_s1|Die Basis von {s1} wird Angegriffen!!
str_player_left_server_s1_reg13|{s1} hat das Spiel mit der ID verlassen: {reg13}
str_push_cannon|Schiebe die Kanone
str_fire_cannon|Feuer die Kanone
str_aim_cannon|Nutze die Kanone
str_unlimber_cannon|Lade die Kanone ab
str_limber_cannon|Lade die Kanone auf
str_load_cartridge|Platzere die Munition
str_load_bomb|Platziere eine Mörserkugel
str_load_rocket|Platziere eine Rakete
str_reload_cannon|Lade die Kanone nach
str_pick_up_round|Nimm eine Kugel
str_pick_up_shell|Nimm eine Granate (Explosive)
str_pick_up_canister|Nimm eine Karatätsche
str_pick_up_bomb|Nimm eine Mörserkugel
str_pick_up_rocket|Hebe den Raketenwerfer auf
str_play_piano|Spiele das Klavier
str_play_organ|Spiele die Orgel
str_take_a_shit|Nutze die Toilette
str_play_bell|Benutze die Glocke
str_take_ship_control|Steuere das Boot
str_cannot_use_piano|Du kannst nicht vom Pferderücken spielen!
str_cannot_use_organ|Du kannst nicht vom Pferderücken spielen!
str_cannot_use_piano_angle|Du kannst ein Klavier nicht von hinten spielen.
str_cannot_use_organ_angle|Du kannst eine Orgel nicht von hinten spielen.
str_cannot_use_toilet|Du kannst nicht vom Pferderücken kacken!
str_piano_in_use|Da spielt schon einer!
str_organ_in_use|Da spielt schon einer!
str_toilet_in_use|Da kackt schon einer!
str_cannot_use_cannon|Du kannst keine Kanonen nutzen!
str_cannot_use_rocket|Du kannst keine Raketen nutzen!
str_cannon_not_loaded|Die Kanone ist nicht nachgeladen!
str_cannon_already_has_ball|Die Kanone ist bereits geladen!
str_cannon_already_loaded|Die Kanone ist bereits geladen!
str_cannot_carry_more_cannon_ammo|Du kannst nicht noch mehr Munition tragen!
str_cannon_cannot_load_type|Die Kanone kann nicht mit dieser Art von Munition geladen werden!
str_need_to_have_a_lighter|Du brauchst eine Lunte um zu Feuern!
str_need_to_have_a_ramrod|Du brauchst einen Ladestock um nachzuladen!
str_need_to_have_a_ball|Du brauchst Munittion um nachzuladen!
str_need_to_have_a_horse|Du brauchst eine Protze um die Kanone zum aufprotzen!
str_horse_already_has_cannon|Dieses Pferd ist bereits beladen!
str_already_to_many_barricades|Dein Team hat bereits zuviele Barrikaden gebaut!
str_already_to_many_ammobox|AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
str_cannon_is_already_in_use|Die Kanone wird bereits genutzt!
