itm_no_item|falsches item
itm_sniper_rifle|Sniper Gewehr
itm_sniper_rifle_pl|Sniper Gewehr
itm_blunderbluss|Schrotflinte
itm_blunderbluss_pl|Schrotflinte
itm_french_charleville|Muskete
itm_french_charleville_pl|Muskete
itm_french_charleville_melee|Muskete
itm_french_charleville_melee_pl|Muskete
itm_french_versailles|Muskete
itm_french_versailles_pl|Muskete
itm_french_versailles_melee|Muskete
itm_french_versailles_melee_pl|Muskete
itm_british_brown_bess|Muskete
itm_british_brown_bess_pl|Muskete
itm_british_brown_bess_melee|Muskete
itm_british_brown_bess_melee_pl|Muskete
itm_russian_musket_1808|Muskete
itm_russian_musket_1808_pl|Muskete
itm_russian_musket_1808_melee|Muskete
itm_russian_musket_1808_melee_pl|Muskete
itm_austrian_musket|Muskete
itm_austrian_musket_pl|Muskete
itm_austrian_musket_melee|Muskete
itm_austrian_musket_melee_pl|Muskete
itm_prussian_potsdam|Muskete
itm_prussian_potsdam_pl|Muskete
itm_prussian_potsdam_melee|Muskete
itm_prussian_potsdam_melee_pl|Muskete
itm_prussian_musket_1806|Infanterie Muskete
itm_prussian_musket_1806_pl|Infanterie Muskete
itm_prussian_musket_1806_melee|Infanterie Muskete
itm_prussian_musket_1806_melee_pl|Infanterie Muskete
itm_french_art_off_sword|Schwert
itm_french_art_off_sword_pl|Schwert
itm_french_carabineer_sword|Schwert
itm_french_carabineer_sword_pl|Schwert
itm_french_briquet_garde|Sabre Briquet
itm_french_briquet_garde_pl|Sabre Briquet
itm_french_light_cav_sabre_garde|Schwert
itm_french_light_cav_sabre_garde_pl|Schwert
itm_french_heavy_cav_sabre_garde|Schwert
itm_french_heavy_cav_sabre_garde_pl|Schwert
itm_french_inf_off_sabre_garde|Schwert
itm_french_inf_off_sabre_garde_pl|Schwert
itm_french_heavy_cav_off_sabre|Schwert
itm_french_heavy_cav_off_sabre_pl|Schwert
itm_french_inf_off_sabre|Schwert
itm_french_inf_off_sabre_pl|Schwert
itm_french_light_cav_off_sabre|Schwert
itm_french_light_cav_off_sabre_pl|Schwert
itm_french_light_inf_off_sabre|Schwert
itm_french_light_inf_off_sabre_pl|Schwert
itm_french_line_cav_sabre|Schwert
itm_french_line_cav_sabre_pl|Schwert
itm_french_briquet|Sabre Briquet
itm_french_briquet_pl|Sabre Briquet
itm_french_light_cav_sabre|Schwert
itm_french_light_cav_sabre_pl|Schwert
itm_french_sappeur_sword|Schwert
itm_french_sappeur_sword_pl|Schwert
itm_russian_sabre_1798|Schwert
itm_russian_sabre_1798_pl|Schwert
itm_russian_sabre_1809|Schwert
itm_russian_sabre_1809_pl|Schwert
itm_russian_sword_1810|Schwert
itm_russian_sword_1810_pl|Schwert
itm_russian_guard_sword_1799|Schwert
itm_russian_guard_sword_1799_pl|Schwert
itm_russian_briquet_1807|Sabre Briquet
itm_russian_briquet_1807_pl|Sabre Briquet
itm_russian_jaeger_bayonet|Schwert
itm_russian_jaeger_bayonet_pl|Schwert
itm_russian_jaeger_bayonet_jaeger|Schwert
itm_russian_jaeger_bayonet_jaeger_pl|Schwert
itm_russian_officer_sword|Schwert
itm_russian_officer_sword_pl|Schwert
itm_russian_officer_sword_jaeger|Schwert
itm_russian_officer_sword_jaeger_pl|Schwert
itm_russian_peasant_axe|Hand Axt
itm_russian_peasant_axe_pl|Hand Axt
itm_brokenbottle|Vodka 
itm_brokenbottle_pl|Vodka
itm_brokenbottle_melee|Vodka
itm_brokenbottle_melee_pl|Vodka
itm_russian_kindjal|Schwert
itm_russian_kindjal_pl|Schwert
itm_russian_guard_off_sword|Schwert
itm_russian_guard_off_sword_pl|Schwert
itm_russian_sappeur_dagger|Schwert
itm_russian_sappeur_dagger_pl|Schwert
itm_russian_sappeur_dagger_invis|Schwert
itm_russian_sappeur_dagger_invis_pl|Schwert
itm_russian_peasant_knife|Schwert
itm_russian_peasant_knife_pl|Schwert
itm_russian_peasant_serp|Schwert
itm_russian_peasant_serp_pl|Schwert
itm_british_highlander_officer_sword|Schwert
itm_british_highlander_officer_sword_pl|Schwert
itm_british_heavy_cav_sword|Schwert
itm_british_heavy_cav_sword_pl|Schwert
itm_british_light_cav_sabre|Schwert
itm_british_light_cav_sabre_pl|Schwert
itm_british_baker_bayonet|Schwert
itm_british_baker_bayonet_pl|Schwert
itm_british_musician_sword|Schwert
itm_british_musician_sword_pl|Schwert
itm_british_musician_sword_invis|Schwert
itm_british_musician_sword_invis_pl|Schwert
itm_british_officer_sword|Schwert
itm_british_officer_sword_pl|Schwert
itm_austrian_infantry_briquet|Schwert
itm_austrian_infantry_briquet_pl|Schwert
itm_austrian_infantry_briquet_black|Schwert
itm_austrian_infantry_briquet_black_pl|Schwert
itm_austrian_jaeger_bayonet|Schwert
itm_austrian_jaeger_bayonet_pl|Schwert
itm_austrian_jaeger_bayonet_invis|Schwert
itm_austrian_jaeger_bayonet_invis_pl|Schwert
itm_russian_briquet_1807_black|Schwert
itm_russian_briquet_1807_black_pl|Schwert
itm_russian_briquet_1807_black_blackbelt|Schwert
itm_russian_briquet_1807_black_blackbelt_pl|Schwert
itm_russian_briquet_1807_landwehr|Schwert
itm_russian_briquet_1807_landwehr_pl|Schwert
itm_russian_peasant_axe_landwehr|Hand Axe
itm_russian_peasant_axe_landwehr_pl|Hand Axe
itm_french_briquet_garde_fake|Schwert
itm_french_briquet_garde_fake_pl|Schwert
itm_french_briquet_fake|Schwert
itm_french_briquet_fake_pl|Schwert
itm_russian_briquet_1807_fake|Schwert
itm_russian_briquet_1807_fake_pl|Schwert
itm_russian_briquet_1807_black_fake|Sabre Briquet
itm_russian_briquet_1807_black_fake_pl|Sabre Briquet
itm_russian_briquet_1807_black_blackbelt_fake|Sabre Briquet
itm_russian_briquet_1807_black_blackbelt_fake_pl|Sabre Briquet
itm_russian_briquet_1807_landwehr_fake|Sabre Briquet
itm_russian_briquet_1807_landwehr_fake_pl|Sabre Briquet
itm_russian_peasant_axe_landwehr_fake|Hand Axe
itm_russian_peasant_axe_landwehr_fake_pl|Hand Axe
itm_austrian_infantry_briquet_fake|Sword Bayonet
itm_austrian_infantry_briquet_fake_pl|Sword Bayonet
itm_banhammer|Bannhammer
itm_banhammer_pl|Bannhammer
itm_drumstick_right|Trommel
itm_drumstick_right_pl|Trommel
itm_flute|Floete
itm_flute_pl|Floete
itm_horn|Horn
itm_horn_pl|Horn
itm_trumpet|Trompete
itm_trumpet_pl|Trompete
itm_bugle|Horn
itm_bugle_pl|Horn
itm_bagpipe|Dudelsack
itm_bagpipe_pl|Dudelsack
itm_bullets|Munition
itm_bullets_pl|Munition
itm_pistol_ammo|Munition
itm_pistol_ammo_pl|Munition
itm_canister_ammo|Munition
itm_canister_ammo_pl|Munition
itm_shell_fragment|Munition
itm_shell_fragment_pl|Munition
itm_explosive_bullets|Munition
itm_explosive_bullets_pl|Munition
itm_cannon_cartridge_round|Munition
itm_cannon_cartridge_round_pl|Munition
itm_cannon_cartridge_shell|Munition
itm_cannon_cartridge_shell_pl|Munition
itm_cannon_cartridge_canister|Munition
itm_cannon_cartridge_canister_pl|Munition
itm_cannon_cartridge_bomb|Munition
itm_cannon_cartridge_bomb_pl|Munition
itm_rockets|Munition
itm_rockets_pl|Munition
itm_french_lance|Lanze
itm_french_lance_pl|Lanze
itm_prussian_lance|Lanze
itm_prussian_lance_pl|Lanze
itm_austrian_lance|Lanze
itm_austrian_lance_pl|Lanze
itm_saxon_lance|Lance
itm_saxon_lance_pl|Lance
itm_russian_cossack_pike|Lanze
itm_russian_cossack_pike_pl|Lanze
itm_russian_lancer_pike|Lanze
itm_russian_lancer_pike_pl|Lanze
itm_russian_opolcheniye_pike|Lanze
itm_russian_opolcheniye_pike_pl|Lanze
itm_russian_peasant_kosa|Lanze
itm_russian_peasant_kosa_pl|Lanze
itm_russian_peasant_fork|Lanze
itm_russian_peasant_fork_pl|Lanze
itm_russian_peasant_pitchfork|Lanze
itm_russian_peasant_pitchfork_pl|Lanze
itm_russian_peasant_sap|Rake
itm_russian_peasant_sap_pl|Rake
itm_birch_trunk|Birch Trunk
itm_birch_trunk_pl|Birch Trunk
itm_russian_peasant_kosa2|Lanze
itm_russian_peasant_kosa2_pl|Lanze
itm_russian_peasant_club|Club
itm_russian_peasant_club_pl|Club
itm_russian_peasant_birch_club|Birch Club
itm_russian_peasant_birch_club_pl|Birch Club
itm_russian_peasant_pike|Lanze
itm_russian_peasant_pike_pl|Lanze
itm_russian_peasant_kuvalda|Sledgehammer
itm_russian_peasant_kuvalda_pl|Sledgehammer
itm_russian_peasant_2handed_axe|Lumber Axe
itm_russian_peasant_2handed_axe_pl|Lumber Axe
itm_russian_peasant_rogatina|Hunting Spear
itm_russian_peasant_rogatina_pl|Hunting Spear
itm_sapper_axe_ship|Sapper Axe
itm_sapper_axe_ship_pl|Sapper Axe
itm_sapper_axe_rus_ship|Sapper Axe
itm_sapper_axe_rus_ship_pl|Sapper Axe
itm_french_mousquiton_melee_gf|Kavalleriekarabiner 
itm_french_mousquiton_melee_gf_pl|Kavallerie Karabiner 
itm_french_mousquiton_light_melee_gf|Leichter Kavallerie-Karabiner 
itm_french_mousquiton_light_melee_gf_pl|Leichte Kavalleriekarabiner 
itm_french_dragoon_musket_melee_gf|Kavallerie Muskete 
itm_french_dragoon_musket_melee_gf_pl|Kavalleriemuske 
itm_russian_dragoon_musket_melee_gf|Kavallerie Muskete 
itm_russian_dragoon_musket_melee_gf_pl|Kavalleriemuske 
itm_russian_gusarskiy_karabin_melee_gf|Musketoon 
itm_russian_gusarskiy_karabin_melee_gf_pl|Musketoon 
itm_british_carbine_melee_gf|Kavalleriekarabiner 
itm_british_carbine_melee_gf_pl|Kavalleriekarabiner 
itm_russian_rifle_1805_melee_gf|Gewehr 
itm_russian_rifle_1805_melee_gf_pl|Gewehr 
itm_british_baker_rifle_melee_gf|Rifle 
itm_british_baker_rifle_melee_gf_pl|Rifle 
itm_french_charleville_melee_gf|Infanteriemuske 
itm_french_charleville_melee_gf_pl|Infanteriemuske 
itm_french_versailles_melee_gf|Infanteriemuske 
itm_french_versailles_melee_gf_pl|Infanteriemuske 
itm_british_brown_bess_melee_gf|Infanteriemuske 
itm_british_brown_bess_melee_gf_pl|Infanteriemuske 
itm_russian_musket_1808_melee_gf|Infanteriemuske 
itm_russian_musket_1808_melee_gf_pl|Infanteriemuske 
itm_austrian_musket_melee_gf|Infanteriemuske 
itm_austrian_musket_melee_gf_pl|Infanteriemuske 
itm_prussian_potsdam_melee_gf|Infanteriemuske 
itm_prussian_potsdam_melee_gf_pl|Infanteriemuske 
itm_prussian_musket_1806_melee_gf|Infanteriemuske 
itm_prussian_musket_1806_melee_gf_pl|Infanteriemuske 
itm_flag_france_45e|French Line Infantry Colour
itm_flag_france_45e_pl|French Line Infantry Colour
itm_flag_france_84e|French Line Infantry Colour
itm_flag_france_84e_pl|French Line Infantry Colour
itm_flag_france_vistula|Vistula Legion Colour
itm_flag_france_vistula_pl|Vistula Legion Colour
itm_flag_france_grenadiers|French Guard Infantry Colour
itm_flag_france_grenadiers_pl|French Guard Infantry Colour
itm_flag_france_15|French Light Infantry Colour
itm_flag_france_15_pl|French Light Infantry Colour
itm_flag_france_hussard|French Hussar Colour
itm_flag_france_hussard_pl|French Hussar Colour
itm_flag_france_carab|French Carabinier Colour
itm_flag_france_carab_pl|French Carabinier Colour
itm_flag_france_cuirassier|French Cuirassier Colour
itm_flag_france_cuirassier_pl|French Cuirassier Colour
itm_flag_france_cheval|French Grenadiers a Cheval Colour
itm_flag_france_cheval_pl|French Grenadiers a Cheval Colour
itm_flag_france_dragon|French Dragoon Colour
itm_flag_france_dragon_pl|French Dragoon Colour
itm_flag_france_lancier|French Lanzer Colour
itm_flag_france_lancier_pl|French Lanzer Colour
itm_flag_russia_opolcheniye|Russian St Petersburg's Opolcheniye Flag
itm_flag_russia_opolcheniye_pl|Russian St Petersburg's Opolcheniye Flag
itm_flag_russia_pavlovsk_color|Russian Pavlovskiy Regimental Colour
itm_flag_russia_pavlovsk_color_pl|Russian Pavlovskiy Regimental Colour
itm_flag_russia_pavlovsk_white|Russian Pavlovskiy White Flag
itm_flag_russia_pavlovsk_white_pl|Russian Pavlovskiy White Flag
itm_flag_russia_preobragenskiy_color|Russian Preobrazhenskiy Regimental Colour
itm_flag_russia_preobragenskiy_color_pl|Russian Preobrazhenskiy Regimental Colour
itm_flag_russia_preobragenskiy_white|Russian Preobrazhenskiy White Flag
itm_flag_russia_preobragenskiy_white_pl|Russian Preobrazhenskiy White Flag
itm_flag_russia_simbirsk_color|Russian Simbirskiy Regimental Colour
itm_flag_russia_simbirsk_color_pl|Russian Simbirskiy Regimental Colour
itm_flag_russia_simbirsk_white|Russian Simbirskiy White Flag
itm_flag_russia_simbirsk_white_pl|Russian Simbirskiy White Flag
itm_flag_russia_kyiv_dragoon|Russian Kyiv Dragoons Guidon
itm_flag_russia_kyiv_dragoon_pl|Russian Kyiv Dragoons Guidon
itm_britain_colour_33rd_regt|British 33rd Reg. Colour
itm_britain_colour_33rd_regt_pl|British 33rd Reg. Colour
itm_britain_colour_33rd_king|British 33rd King's Colour
itm_britain_colour_33rd_king_pl|British 33rd King's Colour
itm_britain_colour_42nd_regt|British 42nd Reg. Colour
itm_britain_colour_42nd_regt_pl|British 42nd Reg. Colour
itm_britain_colour_42nd_king|British 42nd King's Colour
itm_britain_colour_42nd_king_pl|British 42nd King's Colour
itm_britain_colour_2nd_regt|British 2nd Reg. Colour
itm_britain_colour_2nd_regt_pl|British 2nd Reg. Colour
itm_britain_colour_2nd_king|British 2nd King's Colour
itm_britain_colour_2nd_king_pl|British 2nd King's Colour
itm_britain_colour_51st_regt|British 51st Reg. Colour
itm_britain_colour_51st_regt_pl|British 51st Reg. Colour
itm_britain_colour_51st_king|British 51st King's Colour
itm_britain_colour_51st_king_pl|British 51st King's Colour
itm_britain_colour_kgl_regt|British KGL Reg. Colour
itm_britain_colour_kgl_regt_pl|British KGL Reg. Colour
itm_britain_colour_kgl_king|British KGL King's Colour
itm_britain_colour_kgl_king_pl|British KGL King's Colour
itm_britain_colour_blues|British Horse Guards Colour
itm_britain_colour_blues_pl|British Horse Guards Colour
itm_prussia_colour_infantry|Prussian Infantry Colour
itm_prussia_colour_infantry_pl|Prussian Infantry Colour
itm_prussia_colour_infantry2|Prussian Infantry Colour
itm_prussia_colour_infantry2_pl|Prussian Infantry Colour
itm_prussia_colour_guard|Prussian Guard Infantry Colour
itm_prussia_colour_guard_pl|Prussian Guard Infantry Colour
itm_prussia_colour_landwehr|Prussian Landwehr Colour
itm_prussia_colour_landwehr_pl|Prussian Landwehr Colour
itm_prussia_colour_hussard|Prussian Hussards Colour
itm_prussia_colour_hussard_pl|Prussian Hussards Colour
itm_austria_colour_leibfahne|Austrian Leibfahne
itm_austria_colour_leibfahne_pl|Austrian Leibfahne
itm_austria_colour_ordinarfahne|Austrian Ordinarfahne
itm_austria_colour_ordinarfahne_pl|Austrian Ordinarfahne
itm_austria_colour_ordinarfahne_cav|Austrian Ordinarfahne
itm_austria_colour_ordinarfahne_cav_pl|Austrian Ordinarfahne
itm_bavarian_flag_national|Bavarian National Colour
itm_bavarian_flag_national_pl|Bavarian National Colour
itm_bavarian_flag_regimental|Bavarian Reg. Colour
itm_bavarian_flag_regimental_pl|Bavarian Reg. Colour
itm_saxon_flag_infantry|Sächsische Infanterie-Farbe 
itm_saxon_flag_infantry_pl|Sächsische Infanterie-Farbe 
itm_saxon_flag_uhlan|Sächsischer Ulan-Standard 
itm_saxon_flag_uhlan_pl|Sächsischer Ulan-Standard 
itm_hessian_flag_infantry|Hessische Infanterie-Farbe 
itm_hessian_flag_infantry_pl|Hessische Infanterie-Farbe 
itm_westphialian_flag_infantry|Westfälische Infanterie Farbe 
itm_westphialian_flag_infantry_pl|Westfälische Infanterie Farbe 
itm_baden_flag_dragoon|Baden Dragoon Standard 
itm_baden_flag_dragoon_pl|Baden Dragoner Standard 
itm_westphalian_flag_cuirassier|Westfälischer Kürassier Standard 
itm_westphalian_flag_cuirassier_pl|Westfälischer Kürassier Standard 
itm_saxon_flag_garde|Sächsischer Garde du Corps-Standard 
itm_saxon_flag_garde_pl|Sächsischer Garde du Corps-Standard 
itm_wurttemberg_flag_infantry|Württemberg Infanterie Farbe 
itm_wurttemberg_flag_infantry_pl|Wurttembergische Infanterie-Farbe 
itm_wurttemberg_flag_infantry2|Württembergische Infanterie Farbe 
itm_wurttemberg_flag_infantry2_pl|Württemberg Infanterie Farbe 
itm_cannon_lighter|Zündstock
itm_cannon_lighter_pl|Zündstock
itm_ramrod|Ladestock
itm_ramrod_pl|Ladestock
itm_rocket_placement|Racketenwerfer
itm_rocket_placement_pl|Racketenwerfer
itm_spyglass|Fernglas
itm_spyglass_pl|Fernglas
itm_bandages|Bandages
itm_bandages_pl|Bandages
itm_grenade|Heilige Handgranate
itm_grenade_pl|Heilige Handgranate
itm_sapper_axe|Pionieraxt
itm_sapper_axe_pl|Pionieraxt
itm_sapper_axe_rus|Pionieraxt
itm_sapper_axe_rus_pl|Pionieraxt
itm_construction_hammer|Konstruktionshammer
itm_construction_hammer_pl|Konstruktionshammer
itm_shovel|Spaten
itm_shovel_pl|Spaten
itm_shovel_undig|Spade
itm_shovel_undig_pl|Spaten
itm_french_bomb|Sprengkiste
itm_french_bomb_pl|Sprengkiste
itm_french_voltigeur_body_officer|French Voltigeur Uniform
itm_french_voltigeur_body_officer_pl|French Voltigeur Uniform
itm_french_voltigeur_body_ranker|French Voltigeur Uniform
itm_french_voltigeur_body_ranker_pl|French Voltigeur Uniform
itm_french_voltigeur_body_sarge|French Voltigeur Uniform
itm_french_voltigeur_body_sarge_pl|French Voltigeur Uniform
itm_french_45e_body_officer|French Infantry Uniform
itm_french_45e_body_officer_pl|French Infantry Uniform
itm_french_45e_body_colours|French Infantry Uniform
itm_french_45e_body_colours_pl|French Infantry Uniform
itm_french_45e_body_ranker|French Infantry Uniform
itm_french_45e_body_ranker_pl|French Infantry Uniform
itm_french_84e_body_officer|French Infantry Uniform
itm_french_84e_body_officer_pl|French Infantry Uniform
itm_french_84e_body_ranker|French Infantry Uniform
itm_french_84e_body_ranker_pl|French Infantry Uniform
itm_french_84e_body_sarge|French Infantry Uniform
itm_french_84e_body_sarge_pl|French Infantry Uniform
itm_french_dragoon_body_ranker|French Dragoon Uniform
itm_french_dragoon_body_ranker_pl|French Dragoon Uniform
itm_french_dragoon_body_officer|French Dragoon Uniform
itm_french_dragoon_body_officer_pl|French Dragoon Uniform
itm_french_general_body_boney|Napoleon's Uniform
itm_french_general_body_boney_pl|Napoleon's Uniform
itm_french_grenadiers_a_cheval_body_colours|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_colours_pl|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_ranker|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_ranker_pl|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_officer|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_officer_pl|French Horse Grenadier Uniform
itm_french_gap_body_colours|French Grenadier Uniform
itm_french_gap_body_colours_pl|French Grenadier Uniform
itm_french_gap_body_ranker|French Grenadier Uniform
itm_french_gap_body_ranker_pl|French Grenadier Uniform
itm_french_gap_body_officer|French Grenadier Uniform
itm_french_gap_body_officer_pl|French Grenadier Uniform
itm_french_art_ranker_body|French Artillery Uniform
itm_french_art_ranker_body_pl|French Artillery Uniform
itm_french_art_ranker_body_alt|French Artillery Uniform
itm_french_art_ranker_body_alt_pl|French Artillery Uniform
itm_french_art_officer_body|French Artillery Uniform
itm_french_art_officer_body_pl|French Artillery Uniform
itm_french_vistula_body_ranker|Vistula Legion Uniform
itm_french_vistula_body_ranker_pl|Vistula Legion Uniform
itm_french_vistula_body_colours|Vistula Legion Uniform
itm_french_vistula_body_colours_pl|Vistula Legion Uniform
itm_french_vistula_body_officer|Vistula Legion Uniform
itm_french_vistula_body_officer_pl|Vistula Legion Uniform
itm_french_lancer_body_ranker|French Guard Lanzer Uniform
itm_french_lancer_body_ranker_pl|French Guard Lanzer Uniform
itm_french_lancer_body_colours|French Guard Lanzer Uniform
itm_french_lancer_body_colours_pl|French Guard Lanzer Uniform
itm_french_lancer_body_officer|French Guard Lanzer Uniform
itm_french_lancer_body_officer_pl|French Guard Lanzer Uniform
itm_french_cuirassier_ranker|French Cuirassier Uniform
itm_french_cuirassier_ranker_pl|French Cuirassier Uniform
itm_french_cuirassier_colours|French Cuirassier Uniform
itm_french_cuirassier_colours_pl|French Cuirassier Uniform
itm_french_cuirassier_officer|French Cuirassier Uniform
itm_french_cuirassier_officer_pl|French Cuirassier Uniform
itm_french_carabineer_ranker|French Carabineer Uniform
itm_french_carabineer_ranker_pl|French Carabineer Uniform
itm_french_carabineer_colours|French Carabineer Uniform
itm_french_carabineer_colours_pl|French Carabineer Uniform
itm_french_carabineer_officer|French Carabineer Uniform
itm_french_carabineer_officer_pl|French Carabineer Uniform
itm_french_hussards_ranker|French Hussar Uniform
itm_french_hussards_ranker_pl|French Hussar Uniform
itm_french_hussards_nco|French Hussar Uniform
itm_french_hussards_nco_pl|French Hussar Uniform
itm_french_hussards_officer|French Hussar Uniform
itm_french_hussards_officer_pl|French Hussar Uniform
itm_french_hussards_trumpeter|French Hussar Uniform
itm_french_hussards_trumpeter_pl|French Hussar Uniform
itm_french_sapper|French Sapper Uniform
itm_french_sapper_pl|French Sapper Uniform
itm_french_grap_body_drummer|French Drummer Uniform
itm_french_grap_body_drummer_pl|French Drummer Uniform
itm_french_grap_body_flautist|French Flautist Uniform
itm_french_grap_body_flautist_pl|French Flautist Uniform
itm_french_voltigeur_body_hornist|French Voltigeur Uniform
itm_french_voltigeur_body_hornist_pl|French Voltigeur Uniform
itm_french_45e_body_drummer|French Drummer Uniform
itm_french_45e_body_drummer_pl|French Drummer Uniform
itm_french_45e_body_flautist|French Flautist Uniform
itm_french_45e_body_flautist_pl|French Flautist Uniform
itm_french_84e_body_drummer|French Drummer Uniform
itm_french_84e_body_drummer_pl|French Drummer Uniform
itm_french_84e_body_flautist|French Flautist Uniform
itm_french_84e_body_flautist_pl|French Flautist Uniform
itm_fr_carabineer_trumpeter|French Trumpeter Uniform
itm_fr_carabineer_trumpeter_pl|French Trumpeter Uniform
itm_fr_cuirassier_body_trumpeter|French Trumpeter Uniform
itm_fr_cuirassier_body_trumpeter_pl|French Trumpeter Uniform
itm_french_dragoon_body_trumpeter|French Trumpeter Uniform
itm_french_dragoon_body_trumpeter_pl|French Trumpeter Uniform
itm_french_lancer_trumpeter_body|French Trumpeter Uniform
itm_french_lancer_trumpeter_body_pl|French Trumpeter Uniform
itm_french_vistula_body_drummer|Vistula Legion Uniform
itm_french_vistula_body_drummer_pl|Vistula Legion Uniform
itm_french_vistula_body_flautist|Vistula Legion Uniform
itm_french_vistula_body_flautist_pl|Vistula Legion Uniform
itm_french_dragoon_body_sargent|French Dragoon Uniform
itm_french_dragoon_body_sargent_pl|French Dragoon Uniform
itm_french_arty_train|French Artillery Train Uniform
itm_french_arty_train_pl|French Artillery Train Uniform
itm_french_grenadier_a_cheval_body_trumpeter|French Trumpeter Uniform
itm_french_grenadier_a_cheval_body_trumpeter_pl|French Trumpeter Uniform
itm_french_captain|french captain
itm_french_captain_pl|french captain
itm_french_equipage_batallion|french equipage batallion
itm_french_equipage_batallion_pl|french equipage batallion
itm_french_surgeon|Surgeon Outfit
itm_french_surgeon_pl|Surgeon Outfit
itm_british_infantry_ranker|British Infantry Uniform
itm_british_infantry_ranker_pl|British Infantry Uniform
itm_british_infantry_sarge|British Infantry Uniform
itm_british_infantry_sarge_pl|British Infantry Uniform
itm_british_infantry_officer|British Infantry Uniform
itm_british_infantry_officer_pl|British Infantry Uniform
itm_british_infantry_drum|British Infantry Uniform
itm_british_infantry_drum_pl|British Infantry Uniform
itm_british_infantry_flute|British Infantry Uniform
itm_british_infantry_flute_pl|British Infantry Uniform
itm_british_kgl_ranker|KGL Infantry Uniform
itm_british_kgl_ranker_pl|KGL Infantry Uniform
itm_british_kgl_sarge|KGL Infantry Uniform
itm_british_kgl_sarge_pl|KGL Infantry Uniform
itm_british_kgl_officer|KGL Infantry Uniform
itm_british_kgl_officer_pl|KGL Infantry Uniform
itm_british_kgl_drum|KGL Infantry Uniform
itm_british_kgl_drum_pl|KGL Infantry Uniform
itm_british_kgl_flute|KGL Infantry Uniform
itm_british_kgl_flute_pl|KGL Infantry Uniform
itm_british_highland_ranker|British Highland Infantry Uniform
itm_british_highland_ranker_pl|British Highland Infantry Uniform
itm_british_highland_sarge|British Highland Infantry Uniform
itm_british_highland_sarge_pl|British Highland Infantry Uniform
itm_british_highland_officer|British Highland Infantry Uniform
itm_british_highland_officer_pl|British Highland Infantry Uniform
