qstr_Careful...|Careful...
qstr_Hold_the_village_at_|Kasabayı Rus karşı-ataklarına karşı ne pahasına olursa olsun savun.
qstr_Go_to_meet_the_Emper|İmparatorla görüşmeye git
qstr_Recapture_the_city_w|Şehir duvarlarını Ruslardan geri al.
qstr_Help_your_allies_dri|Müttefiklerinin Rusları püskürtmesine yardım et.
qstr_Defend_the_gate_agai|Kapıyı Rus hücumuna karşı koru.
qstr_Sally_out_and_rout_t|Dışarı çık ve geri kalan Rusları bozguna uğrat.
qstr_The_assault_has_been|Kuşatma kırıldı! Vive la France!
qstr_Catch_the_Austrian_c|Avusturyalı komutanı, Avusturya cephesine ulaşmadan önce yakala!
qstr_Break_the_Austrian_s|Avusturyalı piyadeleri öldürerek ya da kaçırarak bozguna uğrat.
qstr_Attack_the_lines_gua|Kasabayı koruyan hatlara saldır ve bozguna uğrat.
qstr_Vive_l_Empereur!_La_|Vive l'Empereur! La Victoire est a Nous!
qstr_Talk_to_the_messenge|Bir sonraki görevin için ulakla konuş.
