itm_no_item|OBJETO INVALIDO
itm_french_heavy_cav_sabre_garde|Sable de Caballería Pesada
itm_french_heavy_cav_sabre_garde_pl|Sable de Caballería Pesada
itm_french_inf_off_sabre_garde|Sable de Oficial de la Guardia Imperial
itm_french_inf_off_sabre_garde_pl|Sable de Oficial de la Guardia Imperial
itm_french_heavy_cav_off_sabre|Sable de Caballería Pesada
itm_french_heavy_cav_off_sabre_pl|Sable de Caballería Pesada
itm_french_inf_off_sabre|Sable de Infantería
itm_french_inf_off_sabre_pl|Sable de Infantería
itm_french_light_cav_off_sabre|Sable de Caballería ligera
itm_french_light_cav_off_sabre_pl|Sable de Caballería ligera
itm_french_light_inf_off_sabre|Sable de Infantería ligera
itm_french_light_inf_off_sabre_pl|Sable de Infantería ligera
itm_french_line_cav_sabre|Sable de Caballería de línea
itm_french_line_cav_sabre_pl|Sable de Caballería de línea
itm_french_briquet|Sable Briquet
itm_french_briquet_pl|Sable Briquet
itm_french_light_cav_sabre|Sable de Caballería ligera
itm_french_light_cav_sabre_pl|Sable de Caballería ligera
itm_french_sappeur_sword|Espada de zapador
itm_french_sappeur_sword_pl|Espada de zapador
itm_russian_sabre_1798|Sable
itm_russian_sabre_1798_pl|Sable
itm_russian_sabre_1809|Sable
itm_russian_sabre_1809_pl|Sable
itm_russian_sword_1810|Espada
itm_russian_sword_1810_pl|Espada
itm_russian_guard_sword_1799|Espada
itm_russian_guard_sword_1799_pl|Espada
itm_russian_briquet_1807|Sable Briquet
itm_russian_briquet_1807_pl|Sable Briquet
itm_russian_jaeger_bayonet|Espada Bayoneta
itm_russian_jaeger_bayonet_pl|Espada Bayoneta
itm_russian_jaeger_bayonet_jaeger|Espada Bayoneta
itm_russian_jaeger_bayonet_jaeger_pl|Espada Bayoneta
itm_russian_officer_sword|Espada de Oficial
itm_russian_officer_sword_pl|Espada de Oficial
itm_russian_officer_sword_jaeger|Espada de Oficial
itm_russian_officer_sword_jaeger_pl|Espada de Oficial
itm_russian_peasant_axe|Hacha de Mano
itm_russian_peasant_axe_pl|Hacha de Mano
itm_brokenbottle|Botella de Vodka rota
itm_brokenbottle_pl|Botella de Vodka rota
itm_brokenbottle_melee|Botella de Vodka rota
itm_brokenbottle_melee_pl|Botella de Vodka rota
itm_russian_kindjal|Cuchillo de Cosaco
itm_russian_kindjal_pl|Cuchillo de Cosaco
itm_russian_guard_off_sword|Espada de Oficial
itm_russian_guard_off_sword_pl|Espada de Oficial
itm_russian_sappeur_dagger|Espada Corta
itm_russian_sappeur_dagger_pl|Espada Corta
itm_russian_sappeur_dagger_invis|Espada Corta
itm_russian_sappeur_dagger_invis_pl|Espada Corta
itm_russian_peasant_knife|Cuchillo
itm_russian_peasant_knife_pl|Cuchillo
itm_russian_peasant_serp|Hoz
itm_russian_peasant_serp_pl|Hoz
itm_british_highlander_officer_sword|Espada de Oficial Escocés
itm_british_highlander_officer_sword_pl|Espada de Oficial Escocés
itm_british_heavy_cav_sword|Espada de Caballería Pesada
itm_british_heavy_cav_sword_pl|Espada de Caballería Pesada
itm_british_light_cav_sabre|Sable de Caballería ligera
itm_british_light_cav_sabre_pl|Sable de Caballería ligera
itm_british_baker_bayonet|Espada Bayoneta
itm_british_baker_bayonet_pl|Espada Bayoneta
itm_british_musician_sword|Espada
itm_british_musician_sword_pl|Espada
itm_british_musician_sword_invis|Espada
itm_british_musician_sword_invis_pl|Espada
itm_british_officer_sword|Espada de Oficial
itm_british_officer_sword_pl|Espada de Oficial
itm_austrian_infantry_briquet|Espada Bayoneta
itm_austrian_infantry_briquet_pl|Espada Bayoneta
itm_austrian_infantry_briquet_black|Espada Bayoneta
itm_austrian_infantry_briquet_black_pl|Espada Bayoneta
itm_austrian_jaeger_bayonet|Espada Bayoneta
itm_austrian_jaeger_bayonet_pl|Espada Bayoneta
itm_austrian_jaeger_bayonet_invis|Espada Bayoneta
itm_austrian_jaeger_bayonet_invis_pl|Espada Bayoneta
itm_russian_briquet_1807_black|Sable Briquet
itm_russian_briquet_1807_black_pl|Sable Briquet
itm_russian_briquet_1807_black_blackbelt|Sable Briquet
itm_russian_briquet_1807_black_blackbelt_pl|Sable Briquet
itm_russian_briquet_1807_landwehr|Sable Briquet
itm_russian_briquet_1807_landwehr_pl|Sable Briquet
itm_russian_peasant_axe_landwehr|Hacha de Mano
itm_russian_peasant_axe_landwehr_pl|Hacha de Mano
itm_french_briquet_garde_fake|Sable Briquet
itm_french_briquet_garde_fake_pl|Sable Briquet
itm_french_briquet_fake|Sable Briquet
itm_french_briquet_fake_pl|Sable Briquet
itm_russian_briquet_1807_fake|Sable Briquet
itm_russian_briquet_1807_fake_pl|Sable Briquet
itm_russian_briquet_1807_black_fake|Sable Briquet
itm_russian_briquet_1807_black_fake_pl|Sable Briquet
itm_russian_briquet_1807_black_blackbelt_fake|Sable Briquet
itm_russian_briquet_1807_black_blackbelt_fake_pl|Sable Briquet
itm_russian_briquet_1807_landwehr_fake|Sable Briquet
itm_russian_briquet_1807_landwehr_fake_pl|Sable Briquet
itm_russian_peasant_axe_landwehr_fake|Hacha de Mano
itm_russian_peasant_axe_landwehr_fake_pl|Hacha de Mano
itm_austrian_infantry_briquet_fake|Espada Bayoneta
itm_austrian_infantry_briquet_fake_pl|Espada Bayoneta
itm_banhammer|Banhammer
itm_banhammer_pl|Banhammer
itm_drumstick_right|Tambor
itm_drumstick_right_pl|Tambor
itm_flute|Flauta
itm_flute_pl|Flauta
itm_horn|Cuerno
itm_horn_pl|Cuerno
itm_trumpet|Trompeta
itm_trumpet_pl|Trompeta
itm_bugle|Corneta
itm_bugle_pl|Corneta
itm_bagpipe|Gaita
itm_bagpipe_pl|Gaita
itm_bullets|Cartuchos
itm_bullets_pl|Cartuchos
itm_pistol_ammo|Cartuchos
itm_pistol_ammo_pl|Cartuchos
itm_canister_ammo|Cartuchos
itm_canister_ammo_pl|Cartuchos
itm_shell_fragment|Fragmentos de Obús
itm_shell_fragment_pl|Fragmentos de Obús
itm_explosive_bullets|Cartuchos
itm_explosive_bullets_pl|Cartuchos
itm_cannon_cartridge_round|Bola de Cañón
itm_cannon_cartridge_round_pl|Bola de Cañón
itm_cannon_cartridge_shell|Obús (Explosivo)
itm_cannon_cartridge_shell_pl|Obús (Explosivo)
itm_cannon_cartridge_canister|Metralla
itm_cannon_cartridge_canister_pl|Metralla
itm_cannon_cartridge_bomb|Bomba de Mortero
itm_cannon_cartridge_bomb_pl|Bomba de Mortero
itm_rockets|Cohetes
itm_rockets_pl|Cohetes
itm_french_lance|Lanza
itm_french_lance_pl|Lanza
itm_prussian_lance|Lanza
itm_prussian_lance_pl|Lanza
itm_austrian_lance|Lanza
itm_austrian_lance_pl|Lanza
itm_saxon_lance|Lanza
itm_saxon_lance_pl|Lanza
itm_russian_cossack_pike|Lanza
itm_russian_cossack_pike_pl|Lanza
itm_russian_lancer_pike|Lanza
itm_russian_lancer_pike_pl|Lanza
itm_russian_opolcheniye_pike|Pica
itm_russian_opolcheniye_pike_pl|Pica
itm_russian_peasant_kosa|Guadaña
itm_russian_peasant_kosa_pl|Guadaña
itm_russian_peasant_fork|Horca de Madera
itm_russian_peasant_fork_pl|Horca de Madera
itm_russian_peasant_pitchfork|Horca
itm_russian_peasant_pitchfork_pl|Horca
itm_russian_peasant_sap|Rastrillo
itm_russian_peasant_sap_pl|Rastrillo
itm_birch_trunk|Tronco de Abedul
itm_birch_trunk_pl|Tronco de Abedul
itm_russian_peasant_kosa2|Guadaña
itm_russian_peasant_kosa2_pl|Guadaña
itm_russian_peasant_club|Garrote
itm_russian_peasant_club_pl|Garrote
itm_russian_peasant_birch_club|Garrote de Abedul
itm_russian_peasant_birch_club_pl|Garrote de Abedul
itm_russian_peasant_pike|Pica
itm_russian_peasant_pike_pl|Pica
itm_russian_peasant_kuvalda|Almádena
itm_russian_peasant_kuvalda_pl|Almádena
itm_russian_peasant_2handed_axe|Hacha de Leñador
itm_russian_peasant_2handed_axe_pl|Hacha de Leñador
itm_russian_peasant_rogatina|Lanza de Caza
itm_russian_peasant_rogatina_pl|Lanza de Caza
itm_sapper_axe_ship|Sapper Axe
itm_sapper_axe_ship_pl|Sapper Axe
itm_sapper_axe_rus_ship|Sapper Axe
itm_sapper_axe_rus_ship_pl|Sapper Axe
itm_french_mousquiton_melee_gf|Carabina de caballer�a
itm_french_mousquiton_melee_gf_pl|Carabina de caballer�a
itm_french_mousquiton_light_melee_gf|Carabina de caballer�a ligera
itm_french_mousquiton_light_melee_gf_pl|Carabina de caballer�a ligera
itm_french_dragoon_musket_melee_gf|Mosquete de caballer�a
itm_french_dragoon_musket_melee_gf_pl|Mosquete de caballer�a
itm_russian_dragoon_musket_melee_gf|Mosquete de caballer�a
itm_russian_dragoon_musket_melee_gf_pl|Mosquete de caballer�a
itm_russian_gusarskiy_karabin_melee_gf|Mosquet�n
itm_russian_gusarskiy_karabin_melee_gf_pl|Mosquet�n
itm_british_carbine_melee_gf|Carabina de caballer�a
itm_british_carbine_melee_gf_pl|Carabina de caballer�a
itm_russian_rifle_1805_melee_gf|Rifle
itm_russian_rifle_1805_melee_gf_pl|Rifle
itm_british_baker_rifle_melee_gf|Rifle
itm_british_baker_rifle_melee_gf_pl|Rifle
itm_french_charleville_melee_gf|Mosquete de caballer�a
itm_french_charleville_melee_gf_pl|Mosquete de infanter�a
itm_french_versailles_melee_gf|Mosquete de infanter�a
itm_french_versailles_melee_gf_pl|Mosquete de infanter�a
itm_british_brown_bess_melee_gf|Mosquete de infanter�a
itm_british_brown_bess_melee_gf_pl|Mosquete de infanter�a
itm_russian_musket_1808_melee_gf|Mosquete de infanter�a
itm_russian_musket_1808_melee_gf_pl|Mosquete de infanter�a
itm_austrian_musket_melee_gf|Mosquete de infanter�a
itm_austrian_musket_melee_gf_pl|Mosquete de infanter�a
itm_prussian_potsdam_melee_gf|Mosquete de infanter�a
itm_prussian_potsdam_melee_pl|Mosquete de infanter�a
itm_prussian_musket_1806_melee_gf|Mosquete de infanter�a
itm_prussian_musket_1806_melee_gf_pl|Mosquete de infanter�a
itm_flag_france_45e|Estandarte de Infantería de Línea Francesa
itm_flag_france_45e_pl|Estandarte de Infantería de Línea Francesa
itm_flag_france_84e|Estandarte de Infantería de Línea Francesa
itm_flag_france_84e_pl|Estandarte de Infantería de Línea Francesa
itm_flag_france_vistula|Estandarte de la Legión Vístula
itm_flag_france_vistula_pl|Estandarte de la Legión Vístula
itm_flag_france_grenadiers|Estandarte de la Guardia Francesa
itm_flag_france_grenadiers_pl|Estandarte de la Guardia Francesa
itm_flag_france_15|Estandarte de Infantería Ligera Francesa
itm_flag_france_15_pl|Estandarte de Infantería Ligera Francesa
itm_flag_france_hussard|Estandarte de Húsares Franceses
itm_flag_france_hussard_pl|Estandarte de Húsares Franceses
itm_flag_france_carab|Estandarte de Carabineros Franceses
itm_flag_france_carab_pl|Estandarte de Carabineros Franceses
itm_flag_france_cuirassier|Estandarte de Coraceros Franceses
itm_flag_france_cuirassier_pl|Estandarte de Coraceros Franceses
itm_flag_france_cheval|Estandarte de Granaderos a Caballo Franceses
itm_flag_france_cheval_pl|Estandarte de Granaderos a Caballo Franceses
itm_flag_france_dragon|Estandarte de Dragones Franceses
itm_flag_france_dragon_pl|Estandarte de Dragones Franceses
itm_flag_france_lancier|Estandarte de Lanceros Franceses
itm_flag_france_lancier_pl|Estandarte de Lanceros Franceses
itm_flag_russia_opolcheniye|Bandera de Milicia de St Petersburgo Rusa
itm_flag_russia_opolcheniye_pl|Bandera de Milicia de St Petersburgo Rusa
itm_flag_russia_pavlovsk_color|Estandarte del Regimiento Pavlovskiy Ruso
itm_flag_russia_pavlovsk_color_pl|Estandarte del Regimiento Pavlovskiy Ruso
itm_flag_russia_pavlovsk_white|Bandera Blanca de Pavlovskiy
itm_flag_russia_pavlovsk_white_pl|Bandera Blanca de Pavlovskiy
itm_flag_russia_preobragenskiy_color|Estandarte del Regimiento Preobragenskiy Ruso
itm_flag_russia_preobragenskiy_color_pl|Estandarte del Regimiento Preobragenskiy Ruso
itm_flag_russia_preobragenskiy_white|Bandera Blanca de Preobragenskiy
itm_flag_russia_preobragenskiy_white_pl|Bandera Blanca de Preobragenskiy
itm_flag_russia_simbirsk_color|Estandarte del Regimiento Simbirskiy Ruso
itm_flag_russia_simbirsk_color_pl|Estandarte del Regimiento Simbirskiy Ruso
itm_flag_russia_simbirsk_white|Bandera Blanca de Simbirskiy
itm_flag_russia_simbirsk_white_pl|Bandera Blanca de Simbirskiy
itm_flag_russia_kyiv_dragoon|Guión de Dragones Kyiv Rusos
itm_flag_russia_kyiv_dragoon_pl|Guión de Dragones Kyiv Rusos
itm_britain_colour_33rd_regt|Estandarte del 33º Regimiento Británico
itm_britain_colour_33rd_regt_pl|Estandarte del 33º Regimiento Británico
itm_britain_colour_33rd_king|Estandarte del 33º Regimiento del Rey Británico
itm_britain_colour_33rd_king_pl|Estandarte del 33º Regimiento del Rey Británico
itm_britain_colour_42nd_regt|Estandarte del 42º Regimiento del Rey Británico
itm_britain_colour_42nd_regt_pl|Estandarte del 42º Regimiento Británico
itm_britain_colour_42nd_king|Estandarte del 42º Regimiento del Rey Británico
itm_britain_colour_42nd_king_pl|Estandarte del 42º Regimiento del Rey Británico
itm_britain_colour_2nd_regt|Estandarte del 2º Regimiento Británico
itm_britain_colour_2nd_regt_pl|Estandarte del 2º Regimiento Británico
itm_britain_colour_2nd_king|Estandarte del 2º Regimiento del Rey Británico
itm_britain_colour_2nd_king_pl|Estandarte del 2º Regimiento del Rey Británico
itm_britain_colour_51st_regt|Estandarte del 51º Regimiento Británico
itm_britain_colour_51st_regt_pl|Estandarte del 51º Regimiento Británico
itm_britain_colour_51st_king|Estandarte del 51º Regimiento del Rey Británico
itm_britain_colour_51st_king_pl|Estandarte del 51º Regimiento del Rey Británico
itm_britain_colour_kgl_regt|Estandarte del Regimiento KGL Británico
itm_britain_colour_kgl_regt_pl|Estandarte del Regimiento KGL Británico
itm_britain_colour_kgl_king|Estandarte del Regimiento KGL del Rey Británico
itm_britain_colour_kgl_king_pl|Estandarte del Regimiento KGL del Rey Británico
itm_britain_colour_blues|Estandarte Azul de los Royal Horse Guards
itm_britain_colour_blues_pl|Estandarte Azul de los Royal Horse Guards
itm_prussia_colour_infantry|Estandarte de Infantería Prusiana
itm_prussia_colour_infantry_pl|Estandarte de Infantería Prusiana
itm_prussia_colour_infantry2|Estandarte de Infantería Prusiana
itm_prussia_colour_infantry2_pl|Estandarte de Infantería Prusiana
itm_prussia_colour_guard|Estandarte de la Guardia de Infantería Prusiana
itm_prussia_colour_guard_pl|Estandarte de Guardia de Infantería Prusiana
itm_prussia_colour_landwehr|Estandarte de la Milicia Prusiana
itm_prussia_colour_landwehr_pl|Estandarte de la Milicia Prusiana
itm_prussia_colour_hussard|Estandarte de los Húsares Prusianos
itm_prussia_colour_hussard_pl|Estandarte de los Húsares Prusianos
itm_austria_colour_leibfahne|Leibfahne Austríaco
itm_austria_colour_leibfahne_pl|Leibfahne Austríaco
itm_austria_colour_ordinarfahne|Ordinarfahne Austríaco
itm_austria_colour_ordinarfahne_pl|Ordinarfahne Austríaco
itm_austria_colour_ordinarfahne_cav|Ordinarfahne Austríaco
itm_austria_colour_ordinarfahne_cav_pl|Ordinarfahne Austríaco
itm_bavarian_flag_national|Bavarian National Colour
itm_bavarian_flag_national_pl|Bavarian National Colour
itm_bavarian_flag_regimental|Bavarian Reg. Colour
itm_bavarian_flag_regimental_pl|Bavarian Reg. Colour
itm_saxon_flag_infantry|Saxon Infantry Colour
itm_saxon_flag_infantry_pl|Saxon Infantry Colour
itm_saxon_flag_uhlan|Saxon Uhlan Standard
itm_saxon_flag_uhlan_pl|Saxon Uhlan Standard
itm_hessian_flag_infantry|Hessian Infantry Colour
itm_hessian_flag_infantry_pl|Hessian Infantry Colour
itm_westphalian_flag_infantry|Westphalian Infantry Colour
itm_westphalian_flag_infantry_pl|Westphalian Infantry Colour
itm_baden_flag_dragoon|Baden Dragoon Standard
itm_baden_flag_dragoon_pl|Baden Dragoon Standard
itm_westphalian_flag_cuirassier|Westphalian Cuirassier Standard
itm_westphalian_flag_cuirassier_pl|Westphalian Cuirassier Standard
itm_saxon_flag_garde|Saxon Garde du Corps Standard
itm_saxon_flag_garde_pl|Saxon Garde du Corps Standard
itm_wurttemberg_flag_infantry|Wurttemberg Infantry Colour
itm_wurttemberg_flag_infantry_pl|Wurttemberg Infantry Colour
itm_wurttemberg_flag_infantry2|Wurttemberg Infantry Colour
itm_wurttemberg_flag_infantry2_pl|Wurttemberg Infantry Colour
itm_cannon_lighter|Encendedor
itm_cannon_lighter_pl|Encendedor
itm_ramrod|Baqueta
itm_ramrod_pl|Baqueta
itm_rocket_placement|Lanzador de Cohetes
itm_rocket_placement_pl|Lanzador de Cohetes
itm_spyglass|Catalejo
itm_spyglass_pl|Catalejo
itm_bandages|vendas
itm_bandages_pl|vendas
itm_grenade|Santa Granada de Mano
itm_grenade_pl|Santa Granada de Mano
itm_sapper_axe|Hacha de Zapador
itm_sapper_axe_pl|Hacha de Zapador
itm_sapper_axe_rus|Hacha de Zapador
itm_sapper_axe_rus_pl|Hacha de Zapador
itm_construction_hammer|Martillo de Construcción
itm_construction_hammer_pl|Martillo de Construcción
itm_shovel|Pala
itm_shovel_pl|Pala
itm_shovel_undig|Pala
itm_shovel_undig_pl|Pala
itm_french_bomb|Explosivos
itm_french_bomb_pl|Explosivos
itm_french_voltigeur_body_officer|French Voltigeur Uniform
itm_french_voltigeur_body_officer_pl|French Voltigeur Uniform
itm_french_voltigeur_body_ranker|French Voltigeur Uniform
itm_french_voltigeur_body_ranker_pl|French Voltigeur Uniform
itm_french_voltigeur_body_sarge|French Voltigeur Uniform
itm_french_voltigeur_body_sarge_pl|French Voltigeur Uniform
itm_french_45e_body_officer|French Infantry Uniform
itm_french_45e_body_officer_pl|French Infantry Uniform
itm_french_45e_body_colours|French Infantry Uniform
itm_french_45e_body_colours_pl|French Infantry Uniform
itm_french_45e_body_ranker|French Infantry Uniform
itm_french_45e_body_ranker_pl|French Infantry Uniform
itm_french_84e_body_officer|French Infantry Uniform
itm_french_84e_body_officer_pl|French Infantry Uniform
itm_french_84e_body_ranker|French Infantry Uniform
itm_french_84e_body_ranker_pl|French Infantry Uniform
itm_french_84e_body_sarge|French Infantry Uniform
itm_french_84e_body_sarge_pl|French Infantry Uniform
itm_french_dragoon_body_ranker|French Dragoon Uniform
itm_french_dragoon_body_ranker_pl|French Dragoon Uniform
itm_french_dragoon_body_officer|French Dragoon Uniform
itm_french_dragoon_body_officer_pl|French Dragoon Uniform
itm_french_general_body_boney|Napoleon's Uniform
itm_french_general_body_boney_pl|Napoleon's Uniform
itm_french_grenadiers_a_cheval_body_colours|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_colours_pl|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_ranker|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_ranker_pl|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_officer|French Horse Grenadier Uniform
itm_french_grenadiers_a_cheval_body_officer_pl|French Horse Grenadier Uniform
itm_french_gap_body_colours|French Grenadier Uniform
itm_french_gap_body_colours_pl|French Grenadier Uniform
itm_french_gap_body_ranker|French Grenadier Uniform
itm_french_gap_body_ranker_pl|French Grenadier Uniform
itm_french_gap_body_officer|French Grenadier Uniform
itm_french_gap_body_officer_pl|French Grenadier Uniform
itm_french_art_ranker_body|French Artillery Uniform
itm_french_art_ranker_body_pl|French Artillery Uniform
itm_french_art_ranker_body_alt|French Artillery Uniform
itm_french_art_ranker_body_alt_pl|French Artillery Uniform
itm_french_art_officer_body|French Artillery Uniform
itm_french_art_officer_body_pl|French Artillery Uniform
itm_french_vistula_body_ranker|Vistula Legion Uniform
itm_french_vistula_body_ranker_pl|Vistula Legion Uniform
itm_french_vistula_body_colours|Vistula Legion Uniform
itm_french_vistula_body_colours_pl|Vistula Legion Uniform
itm_french_vistula_body_officer|Vistula Legion Uniform
itm_french_vistula_body_officer_pl|Vistula Legion Uniform
itm_french_lancer_body_ranker|French Guard Lancer Uniform
itm_french_lancer_body_ranker_pl|French Guard Lancer Uniform
itm_french_lancer_body_colours|French Guard Lancer Uniform
itm_french_lancer_body_colours_pl|French Guard Lancer Uniform
itm_french_lancer_body_officer|French Guard Lancer Uniform
itm_french_lancer_body_officer_pl|French Guard Lancer Uniform
itm_french_cuirassier_ranker|French Cuirassier Uniform
itm_french_cuirassier_ranker_pl|French Cuirassier Uniform
itm_french_cuirassier_colours|French Cuirassier Uniform
itm_french_cuirassier_colours_pl|French Cuirassier Uniform
itm_french_cuirassier_officer|French Cuirassier Uniform
itm_french_cuirassier_officer_pl|French Cuirassier Uniform
itm_french_carabineer_ranker|French Carabineer Uniform
itm_french_carabineer_ranker_pl|French Carabineer Uniform
itm_french_carabineer_colours|French Carabineer Uniform
itm_french_carabineer_colours_pl|French Carabineer Uniform
itm_french_carabineer_officer|French Carabineer Uniform
itm_french_carabineer_officer_pl|French Carabineer Uniform
itm_french_hussards_ranker|French Hussar Uniform
itm_french_hussards_ranker_pl|French Hussar Uniform
itm_french_hussards_nco|French Hussar Uniform
itm_french_hussards_nco_pl|French Hussar Uniform
itm_french_hussards_officer|French Hussar Uniform
itm_french_hussards_officer_pl|French Hussar Uniform
itm_french_hussards_trumpeter|French Hussar Uniform
itm_french_hussards_trumpeter_pl|French Hussar Uniform
itm_french_sapper|French Sapper Uniform
itm_french_sapper_pl|French Sapper Uniform
itm_french_grap_body_drummer|French Drummer Uniform
itm_french_grap_body_drummer_pl|French Drummer Uniform
itm_french_grap_body_flautist|French Flautist Uniform
itm_french_grap_body_flautist_pl|French Flautist Uniform
itm_french_voltigeur_body_hornist|French Voltigeur Uniform
itm_french_voltigeur_body_hornist_pl|French Voltigeur Uniform
itm_french_45e_body_drummer|French Drummer Uniform
itm_french_45e_body_drummer_pl|French Drummer Uniform
itm_french_45e_body_flautist|French Flautist Uniform
itm_french_45e_body_flautist_pl|French Flautist Uniform
itm_french_84e_body_drummer|French Drummer Uniform
itm_french_84e_body_drummer_pl|French Drummer Uniform
itm_french_84e_body_flautist|French Flautist Uniform
itm_french_84e_body_flautist_pl|French Flautist Uniform
itm_fr_carabineer_trumpeter|French Trumpeter Uniform
itm_fr_carabineer_trumpeter_pl|French Trumpeter Uniform
itm_fr_cuirassier_body_trumpeter|French Trumpeter Uniform
itm_fr_cuirassier_body_trumpeter_pl|French Trumpeter Uniform
itm_french_dragoon_body_trumpeter|French Trumpeter Uniform
itm_french_dragoon_body_trumpeter_pl|French Trumpeter Uniform
itm_french_lancer_trumpeter_body|French Trumpeter Uniform
itm_french_lancer_trumpeter_body_pl|French Trumpeter Uniform
itm_french_vistula_body_drummer|Vistula Legion Uniform
itm_french_vistula_body_drummer_pl|Vistula Legion Uniform
itm_french_vistula_body_flautist|Vistula Legion Uniform
itm_french_vistula_body_flautist_pl|Vistula Legion Uniform
itm_french_dragoon_body_sargent|French Dragoon Uniform
